Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-11-01,AMBUJACEM,EQ,140.1,141.0,144.9,141.0,142.6,142.7,142.84,1847565,26390214025000.0,,1148118,0.6214000000000001
2010-11-02,AMBUJACEM,EQ,142.7,143.9,149.4,143.15,148.1,148.25,147.65,3848612,56823938650000.0,,1853850,0.4817
2010-11-03,AMBUJACEM,EQ,148.25,149.85,153.8,149.25,150.8,150.85,151.65,2132275,32336883214999.996,,935244,0.4386
2010-11-04,AMBUJACEM,EQ,150.85,151.0,152.8,148.5,151.55,151.75,151.06,2400503,36260912675000.0,,1457065,0.6070000000000001
2010-11-05,AMBUJACEM,EQ,151.75,152.0,152.5,151.05,151.2,151.65,151.58,193293,2929992305000.0,,78148,0.4043
2010-11-08,AMBUJACEM,EQ,151.65,151.1,164.5,151.1,163.5,163.6,160.22,5744429,92038638315000.0,,1654329,0.28800000000000003
2010-11-09,AMBUJACEM,EQ,163.6,163.5,165.5,159.7,165.35,164.7,162.51,4182575,67970028620000.01,,1948485,0.46590000000000004
2010-11-10,AMBUJACEM,EQ,164.7,163.25,164.0,159.8,160.95,160.7,161.8,1790217,28966367195000.0,,699156,0.39049999999999996
2010-11-11,AMBUJACEM,EQ,160.7,160.3,166.8,159.3,161.9,161.3,162.72,2409787,39211250220000.0,,688766,0.2858
2010-11-12,AMBUJACEM,EQ,161.3,160.0,162.5,156.3,157.25,158.5,159.51,2212396,35289379990000.0,,1150242,0.5199
2010-11-15,AMBUJACEM,EQ,158.5,155.7,157.0,152.75,154.5,155.25,155.02,1306689,20256040240000.0,,537283,0.4112
2010-11-16,AMBUJACEM,EQ,155.25,155.6,155.6,146.0,147.35,148.2,150.27,1445783,21725481335000.0,,624843,0.4322
2010-11-18,AMBUJACEM,EQ,148.2,148.7,152.5,146.25,149.0,149.55,149.13,2072465,30906493335000.004,,1040045,0.5018
