Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-11-01,BERGEPAINT,EQ,101.2,100.1,105.0,100.1,104.9,104.25,103.58,207867,2153132625000.0,,111446,0.5361
2010-11-02,BERGEPAINT,EQ,104.25,105.0,106.85,103.1,104.35,104.45,104.86,478602,5018760680000.0,,142482,0.2977
2010-11-03,BERGEPAINT,EQ,104.45,105.4,106.3,102.65,103.0,103.2,104.73,149550,1566169365000.0,,63566,0.425
2010-11-04,BERGEPAINT,EQ,103.2,104.3,104.5,99.45,99.65,100.05,101.08,413016,4174967485000.0,,242471,0.5871000000000001
2010-11-05,BERGEPAINT,EQ,100.05,100.8,102.35,100.8,101.45,101.65,101.59,56391,572857555000.0,,33247,0.5896
2010-11-08,BERGEPAINT,EQ,101.65,102.0,102.0,99.5,100.1,100.0,100.13,153024,1532278565000.0,,84903,0.5548
2010-11-09,BERGEPAINT,EQ,100.0,101.25,101.25,98.0,98.3,98.15,98.92,255181,2524149050000.0,,156719,0.6141
2010-11-10,BERGEPAINT,EQ,98.15,98.15,100.0,97.65,98.3,98.25,98.88,174289,1723391139999.9998,,80096,0.4596
2010-11-11,BERGEPAINT,EQ,98.25,98.5,99.9,97.15,97.5,97.7,98.67,99610,982807244999.9999,,51262,0.5146000000000001
2010-11-12,BERGEPAINT,EQ,97.7,98.0,98.0,94.8,94.85,95.05,95.73,147400,1411083925000.0,,77138,0.5233
2010-11-15,BERGEPAINT,EQ,95.05,95.1,95.8,93.1,93.9,93.8,93.91,107672,1011153560000.0,,45617,0.42369999999999997
2010-11-16,BERGEPAINT,EQ,93.8,94.5,95.95,91.0,91.2,91.45,93.18,130231,1213510920000.0,,50236,0.3857
2010-11-18,BERGEPAINT,EQ,91.45,92.0,93.15,87.25,89.0,88.75,90.13,129677,1168744280000.0,,53798,0.41490000000000005
2010-11-19,BERGEPAINT,EQ,88.75,90.0,90.0,84.85,84.85,85.7,87.5,111094,972112669999.9999,,52930,0.4764
2010-11-22,BERGEPAINT,EQ,85.7,86.7,87.8,84.25,87.0,86.4,85.87,118919,1021174215000.0,,54511,0.45840000000000003
2010-11-23,BERGEPAINT,EQ,86.4,85.2,87.5,83.2,86.2,86.25,85.45,161011,1375916970000.0,,69874,0.434
2010-11-24,BERGEPAINT,EQ,86.25,86.2,86.9,85.0,85.85,85.85,85.75,89980,771568720000.0,,36830,0.4093
2010-11-25,BERGEPAINT,EQ,85.85,85.85,87.0,84.65,86.35,85.4,85.96,109995,945536565000.0,,58299,0.53
2010-11-26,BERGEPAINT,EQ,85.4,86.4,87.0,80.25,86.5,85.75,83.96,162153,1361495695000.0,,98718,0.6088
2010-11-29,BERGEPAINT,EQ,85.75,85.1,86.95,85.0,86.0,86.35,85.92,100089,859923390000.0,,49486,0.4944
2010-11-30,BERGEPAINT,EQ,86.35,86.0,97.5,83.0,95.65,96.15,92.78,442001,4100822190000.0,,129849,0.2938
2010-12-01,BERGEPAINT,EQ,96.15,97.15,101.9,93.6,95.3,95.6,98.87,628860,6217456330000.0,,180751,0.2874
2010-12-02,BERGEPAINT,EQ,95.6,96.5,97.4,93.75,94.8,94.5,95.69,227598,2177829720000.0,,68277,0.3
2010-12-03,BERGEPAINT,EQ,94.5,95.0,95.85,91.4,91.85,92.2,93.56,91793,858855400000.0,,31102,0.33880000000000005
2010-12-06,BERGEPAINT,EQ,92.2,93.0,95.4,89.5,90.8,90.6,92.79,124734,1157453290000.0,,40594,0.3254
2010-12-07,BERGEPAINT,EQ,90.6,90.9,92.95,88.75,91.1,91.45,91.23,207707,1894823925000.0,,51320,0.24710000000000001
2010-12-08,BERGEPAINT,EQ,91.45,92.65,96.45,92.0,94.6,94.7,94.61,560876,5306420035000.0,,146032,0.2604
2010-12-09,BERGEPAINT,EQ,94.7,94.8,95.9,90.3,93.0,91.35,92.29,362142,3342330135000.0,,187858,0.5186999999999999
2010-12-10,BERGEPAINT,EQ,91.35,91.8,93.8,88.0,90.3,91.4,91.36,202334,1848549964999.9998,,73302,0.36229999999999996
2010-12-13,BERGEPAINT,EQ,91.4,91.9,99.0,90.15,96.9,96.8,96.55,565944,5464263150000.0,,262238,0.46340000000000003
2010-12-14,BERGEPAINT,EQ,96.8,98.15,104.95,98.0,102.25,101.9,100.91,643571,6494530840000.0,,281805,0.4379
2010-12-15,BERGEPAINT,EQ,101.9,102.0,103.4,101.3,102.05,102.2,102.27,338777,3464814879999.9995,,172026,0.5078
2010-12-16,BERGEPAINT,EQ,102.2,102.2,105.75,100.5,105.75,104.95,103.59,412566,4273736620000.0005,,201922,0.4894
2010-12-20,BERGEPAINT,EQ,104.95,104.3,105.0,101.1,101.7,101.45,102.04,96932,989107360000.0,,35078,0.3619
2010-12-21,BERGEPAINT,EQ,101.45,102.45,103.9,101.5,102.6,102.95,102.67,138650,1423478525000.0,,32408,0.23370000000000002
