Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-11-01,DLF,EQ,350.7,358.9,363.4,353.25,361.35,361.3,358.28,3589812,128615903165000.02,,555853,0.15480000000000002
2010-11-02,DLF,EQ,361.3,364.15,364.4,345.0,348.7,349.2,351.65,7433620,261400736615000.0,,1892757,0.2546
2010-11-03,DLF,EQ,349.2,352.5,355.4,346.7,349.6,348.85,351.15,4090246,143628573870000.0,,1034229,0.2529
2010-11-04,DLF,EQ,348.85,352.4,356.9,350.55,355.6,354.8,354.42,2795306,99071736590000.0,,771778,0.2761
2010-11-05,DLF,EQ,354.8,357.0,358.8,355.65,356.15,356.8,356.94,497341,17752118315000.0,,208704,0.41960000000000003
2010-11-08,DLF,EQ,356.8,356.5,359.45,350.15,359.2,357.85,354.62,3395212,120402146295000.0,,1256627,0.3701
2010-11-09,DLF,EQ,357.85,356.1,365.8,356.05,362.55,363.15,361.6,4226505,152828980440000.0,,1360936,0.322
2010-11-10,DLF,EQ,363.15,362.95,366.4,359.5,362.3,362.7,363.17,2862887,103970716110000.0,,500132,0.1747
2010-11-11,DLF,EQ,362.7,360.0,360.0,345.25,345.75,346.45,351.32,4990703,175332022085000.0,,1398582,0.2802
2010-11-12,DLF,EQ,346.45,340.2,341.5,325.0,325.95,327.2,334.4,6211307,207707918200000.0,,1690726,0.2722
2010-11-15,DLF,EQ,327.2,330.0,330.0,317.1,323.2,322.25,321.31,4752675,152709678305000.0,,1093904,0.2302
2010-11-16,DLF,EQ,322.25,325.0,326.8,312.85,313.0,314.25,318.03,4561857,145079860085000.0,,852301,0.1868
2010-11-18,DLF,EQ,314.25,319.95,321.85,302.8,321.25,318.9,312.91,6395998,200134183315000.0,,1225623,0.1916
2010-11-19,DLF,EQ,318.9,320.0,321.0,306.0,307.05,307.95,312.09,4798576,149760740080000.0,,1091050,0.2274
2010-11-22,DLF,EQ,307.95,311.0,320.45,308.2,317.3,318.7,314.76,5263162,165664762785000.0,,1328609,0.2524
2010-11-23,DLF,EQ,318.7,313.25,317.4,305.0,315.85,315.6,312.46,5837221,182391994685000.0,,1269743,0.2175
