Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-11-01,RPOWER,EQ,157.05,158.7,159.25,156.7,158.0,158.3,158.18,1289426,20396596560000.0,,630113,0.48869999999999997
2010-11-02,RPOWER,EQ,158.3,158.5,159.0,157.0,157.9,157.95,157.81,941985,14865325230000.002,,409794,0.435
2010-11-03,RPOWER,EQ,157.95,158.3,163.0,158.0,160.1,160.1,160.96,1291493,20787979900000.0,,442718,0.3428
2010-11-04,RPOWER,EQ,160.1,160.2,166.8,160.2,164.8,165.2,164.72,4088543,67346192365000.0,,1612991,0.3945
2010-11-05,RPOWER,EQ,165.2,167.0,167.1,164.15,164.35,164.9,165.41,439972,7277498240000.001,,232445,0.5283
2010-11-08,RPOWER,EQ,164.9,170.0,175.0,170.0,171.45,172.1,172.26,9185369,158225775915000.0,,3626483,0.3948
2010-11-09,RPOWER,EQ,172.1,171.95,172.8,168.65,171.6,170.95,170.8,3038042,51889617340000.0,,1313894,0.4325
2010-11-10,RPOWER,EQ,170.95,170.9,174.4,170.55,173.6,173.45,172.35,2660968,45861582185000.0,,1169088,0.4393
2010-11-11,RPOWER,EQ,173.45,172.5,192.8,172.5,190.25,190.75,186.93,45795956,856050935985000.0,,15233795,0.3326
2010-11-12,RPOWER,EQ,190.75,189.85,190.7,181.7,181.9,183.35,186.05,14225167,264660821244999.97,,4884791,0.34340000000000004
2010-11-15,RPOWER,EQ,183.35,183.0,184.65,175.3,184.05,182.05,179.79,9899011,177969517080000.0,,3748383,0.3787
2010-11-16,RPOWER,EQ,182.05,183.2,184.45,175.15,175.8,176.1,178.85,4713130,84296174315000.0,,1469313,0.31170000000000003
2010-11-18,RPOWER,EQ,176.1,177.8,178.95,167.15,172.55,172.5,172.67,3588322,61959177210000.0,,949139,0.2645
2010-11-19,RPOWER,EQ,172.5,172.5,173.0,166.55,167.0,167.5,169.43,2429729,41166335370000.0,,855287,0.35200000000000004
2010-11-22,RPOWER,EQ,167.5,168.25,173.5,166.75,171.1,170.95,170.64,2779898,47436645800000.0,,735187,0.2645
2010-11-23,RPOWER,EQ,170.95,170.0,176.25,167.6,170.8,171.0,172.28,4485761,77282478495000.0,,834394,0.18600000000000003
2010-11-24,RPOWER,EQ,171.0,170.25,173.5,167.1,167.5,168.05,170.83,1599869,27331208914999.996,,444003,0.2775
2010-11-25,RPOWER,EQ,168.05,169.4,169.85,156.1,158.05,157.9,161.12,5797158,93404639465000.0,,3744701,0.6459999999999999
2010-11-26,RPOWER,EQ,157.9,159.7,160.35,151.2,157.0,157.6,156.33,4770228,74573576980000.0,,1608863,0.3373
2010-11-29,RPOWER,EQ,157.6,159.0,159.35,153.75,156.05,156.0,155.86,2531338,39453323170000.0,,1156892,0.457
2010-11-30,RPOWER,EQ,156.0,156.0,161.7,153.5,159.65,160.2,158.43,5328372,84416830340000.0,,2449911,0.4598
2010-12-01,RPOWER,EQ,160.2,159.5,163.75,158.65,162.05,162.4,161.86,2428459,39307509065000.0,,667458,0.2748
2010-12-02,RPOWER,EQ,162.4,164.4,164.9,162.2,162.75,162.85,163.25,1814201,29616998689999.996,,633775,0.3493
2010-12-03,RPOWER,EQ,162.85,163.0,164.25,159.65,160.75,160.5,161.91,1814793,29383714930000.0,,450055,0.24800000000000003
2010-12-06,RPOWER,EQ,160.5,161.25,163.25,158.65,158.8,159.3,161.15,1173782,18915245770000.0,,258146,0.21989999999999998
2010-12-07,RPOWER,EQ,159.3,159.8,161.4,158.55,160.65,160.05,159.98,1207503,19317849370000.0,,289679,0.2399
2010-12-08,RPOWER,EQ,160.05,159.8,159.8,155.8,156.9,156.65,157.77,1367191,21569690630000.0,,402189,0.2942
2010-12-09,RPOWER,EQ,156.65,157.9,157.9,150.25,150.9,151.05,153.63,1625111,24966929650000.0,,584770,0.35979999999999995
