Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-11-01,SUNPHARMA,EQ,2110.05,2169.5,2209.0,2149.0,2201.15,2190.7,2168.33,218657,47412001990000.0,,120431,0.5508
2010-11-02,SUNPHARMA,EQ,2190.7,2172.0,2204.0,2166.15,2172.0,2190.45,2189.03,84455,18487444615000.0,,29137,0.34500000000000003
2010-11-03,SUNPHARMA,EQ,2190.45,2192.0,2276.7,2192.0,2250.0,2249.3,2249.88,225839,50810981810000.0,,106186,0.47020000000000006
2010-11-04,SUNPHARMA,EQ,2249.3,2274.0,2274.0,2232.0,2241.0,2241.75,2247.97,95991,21578465725000.0,,50281,0.5238
2010-11-05,SUNPHARMA,EQ,2241.75,2295.0,2295.0,2255.0,2285.0,2276.65,2273.82,24389,5545616500000.0,,9954,0.4081
2010-11-08,SUNPHARMA,EQ,2276.65,2305.0,2344.0,2285.0,2297.1,2294.95,2306.11,157883,36409632450000.0,,98624,0.6247
2010-11-09,SUNPHARMA,EQ,2294.95,2302.0,2344.5,2275.8,2340.0,2321.65,2300.08,134328,30896529064999.996,,92304,0.6872
2010-11-10,SUNPHARMA,EQ,2321.65,2323.0,2345.05,2310.0,2310.0,2322.1,2331.91,62127,14487435944999.998,,33562,0.5402
2010-11-11,SUNPHARMA,EQ,2322.1,2324.25,2348.0,2308.55,2348.0,2328.0,2321.26,52843,12266234930000.0,,31475,0.5956
2010-11-12,SUNPHARMA,EQ,2328.0,2350.0,2383.95,2305.0,2318.0,2321.6,2346.32,135214,31725578305000.0,,64016,0.47340000000000004
2010-11-15,SUNPHARMA,EQ,2321.6,2290.0,2354.1,2276.0,2303.05,2306.35,2318.04,126360,29290742814999.996,,70724,0.5597
2010-11-16,SUNPHARMA,EQ,2306.35,2323.0,2350.0,2285.3,2300.95,2303.9,2307.72,130079,30018528155000.0,,79618,0.6121
2010-11-18,SUNPHARMA,EQ,2303.9,2348.0,2348.0,2275.0,2301.0,2289.0,2300.38,180943,41623794155000.0,,103108,0.5698
2010-11-19,SUNPHARMA,EQ,2289.0,2301.1,2306.95,2202.0,2209.8,2214.85,2238.3,233108,52176546335000.0,,152796,0.6555
2010-11-22,SUNPHARMA,EQ,2214.85,2235.0,2244.1,2148.75,2235.0,2230.85,2207.76,151406,33426838855000.0,,80648,0.5327000000000001
2010-11-23,SUNPHARMA,EQ,2230.85,2227.7,2299.0,2197.85,2266.0,2276.1,2236.26,118056,26400333370000.0,,50520,0.4279
2010-11-24,SUNPHARMA,EQ,2276.1,2283.0,2304.0,2254.7,2264.95,2273.35,2287.56,102895,23537871660000.0,,55833,0.5426
2010-11-25,SUNPHARMA,EQ,2273.35,455.0,474.75,445.2,450.5,454.0,462.1,972399,44934566560000.0,,448516,0.4612
