Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-11-01,SUNTV,EQ,499.3,501.0,507.0,500.1,503.0,502.25,502.13,54537,2738458030000.0,,32535,0.5966
2010-11-02,SUNTV,EQ,502.25,504.6,519.0,500.2,518.1,516.75,513.54,216743,11130692050000.0,,94861,0.43770000000000003
2010-11-03,SUNTV,EQ,516.75,519.0,525.0,515.0,520.95,521.85,519.99,192807,10025801590000.0,,143681,0.7452
2010-11-04,SUNTV,EQ,521.85,523.05,526.0,519.45,524.0,521.5,523.61,155389,8136316315000.001,,112315,0.7228
2010-11-05,SUNTV,EQ,521.5,525.0,526.7,517.0,518.0,520.7,522.05,6679,348678655000.0,,3894,0.583
2010-11-08,SUNTV,EQ,520.7,516.05,523.75,512.35,515.55,517.85,519.57,64604,3356632425000.0,,38688,0.5988
2010-11-09,SUNTV,EQ,517.85,520.6,520.6,511.0,513.3,514.95,514.9,260397,13407945035000.0,,237866,0.9135
2010-11-10,SUNTV,EQ,514.95,515.0,542.0,514.0,535.55,537.2,532.15,407914,21707114080000.0,,158004,0.3873
2010-11-11,SUNTV,EQ,537.2,538.4,541.0,526.95,531.4,530.85,532.5,149966,7985647940000.001,,60726,0.40490000000000004
2010-11-12,SUNTV,EQ,530.85,526.95,536.8,516.05,519.95,518.85,528.45,112100,5923980055000.0,,50920,0.45420000000000005
2010-11-15,SUNTV,EQ,518.85,521.35,534.0,515.1,517.0,518.6,520.99,76411,3980965260000.0,,37915,0.4962
2010-11-16,SUNTV,EQ,518.6,518.0,535.0,509.0,510.0,511.45,519.42,189228,9828934295000.0,,122158,0.6456000000000001
2010-11-18,SUNTV,EQ,511.45,513.85,518.4,504.0,508.0,508.35,510.29,170458,8698250965000.001,,117455,0.6890999999999999
2010-11-19,SUNTV,EQ,508.35,508.35,510.9,502.0,504.0,504.55,507.78,31539,1601485600000.0,,14569,0.4619
2010-11-22,SUNTV,EQ,504.55,501.6,510.05,486.25,497.3,497.9,496.39,84246,4181880960000.0,,36293,0.4308
2010-11-23,SUNTV,EQ,497.9,494.6,495.95,478.0,480.95,485.4,483.03,704924,34049664325000.0,,606883,0.8609
2010-11-24,SUNTV,EQ,485.4,479.5,496.0,479.5,488.0,490.0,490.88,102936,5052877300000.0,,40836,0.39670000000000005
2010-11-25,SUNTV,EQ,490.0,482.25,493.7,482.0,484.8,489.15,489.65,283618,13887446019999.998,,213749,0.7537
2010-11-26,SUNTV,EQ,489.15,485.1,495.0,472.25,494.0,490.7,482.06,117304,5654711375000.0,,78508,0.6693000000000001
2010-11-29,SUNTV,EQ,490.7,486.0,506.0,485.55,496.0,495.0,497.52,408524,20324822335000.0,,306007,0.7491
2010-11-30,SUNTV,EQ,495.0,476.35,507.5,476.35,505.2,504.9,501.37,71102,3564830115000.0,,38856,0.5465
2010-12-01,SUNTV,EQ,504.9,502.0,522.0,497.25,517.55,519.65,513.39,240950,12370194095000.0,,159271,0.6609999999999999
2010-12-02,SUNTV,EQ,519.65,526.0,527.0,514.3,521.95,523.05,521.46,54498,2841846435000.0,,26584,0.4878
2010-12-03,SUNTV,EQ,523.05,524.7,529.5,519.15,520.0,520.05,522.33,60311,3150200845000.0,,32347,0.5363
2010-12-06,SUNTV,EQ,520.05,520.55,529.45,485.7,527.0,527.05,525.4,154053,8093968250000.0,,102838,0.6675
2010-12-07,SUNTV,EQ,527.05,527.0,531.0,522.65,529.0,527.15,527.09,63958,3371175710000.0,,35436,0.5540999999999999
2010-12-08,SUNTV,EQ,527.15,522.0,527.0,518.0,523.0,525.0,523.77,149500,7830406895000.0,,107237,0.7173
2010-12-09,SUNTV,EQ,525.0,520.05,524.95,505.0,517.0,516.9,516.52,68972,3562514800000.0,,37437,0.5428000000000001
2010-12-10,SUNTV,EQ,516.9,506.0,539.5,506.0,529.45,528.5,521.08,336219,17519807605000.002,,274091,0.8151999999999999
2010-12-13,SUNTV,EQ,528.5,530.0,535.0,518.1,522.1,522.9,526.47,88551,4661925545000.0,,55578,0.6276
2010-12-14,SUNTV,EQ,522.9,524.0,541.7,520.0,538.2,538.0,536.45,391388,20995985110000.0,,301026,0.7691
2010-12-15,SUNTV,EQ,538.0,538.0,543.9,530.5,536.0,535.95,538.14,188097,10122278070000.0,,116934,0.6217
2010-12-16,SUNTV,EQ,535.95,540.0,540.95,529.95,530.35,532.3,534.21,104308,5572251670000.0,,70137,0.6724
2010-12-20,SUNTV,EQ,532.3,526.6,544.0,526.6,544.0,540.65,537.58,116748,6276146115000.0,,56899,0.48740000000000006
2010-12-21,SUNTV,EQ,540.65,547.0,550.0,525.05,527.0,529.0,539.73,229544,12389098370000.0,,92916,0.4048
2010-12-22,SUNTV,EQ,529.0,530.0,533.95,524.0,527.5,529.15,529.5,56043,2967499170000.0,,13480,0.24050000000000002
2010-12-23,SUNTV,EQ,529.15,526.0,532.9,525.1,529.0,527.85,527.7,20238,1067951610000.0,,7247,0.35810000000000003
2010-12-24,SUNTV,EQ,527.85,532.0,532.0,521.75,524.1,528.75,529.27,32297,1709392485000.0002,,13153,0.4073
2010-12-27,SUNTV,EQ,528.75,524.8,533.6,524.0,525.9,525.05,529.36,47234,2500374510000.0,,29599,0.6265999999999999
2010-12-28,SUNTV,EQ,525.05,526.05,529.95,524.15,527.0,526.95,526.66,20081,1057587019999.9999,,9633,0.4797
2010-12-29,SUNTV,EQ,526.95,525.0,531.45,521.55,523.0,523.1,528.66,316392,16726351300000.0,,301883,0.9541
2010-12-30,SUNTV,EQ,523.1,528.6,530.0,521.0,525.9,524.4,526.32,111497,5868318735000.0,,75705,0.679
2010-12-31,SUNTV,EQ,524.4,525.05,528.6,522.5,527.75,525.9,526.0,49278,2592015690000.0,,19583,0.39740000000000003
2011-01-03,SUNTV,EQ,525.9,526.0,544.0,525.3,543.1,539.65,537.18,167653,9005993730000.0,,100813,0.6013000000000001
2011-01-04,SUNTV,EQ,539.65,541.0,550.0,537.3,540.5,539.55,544.03,195779,10651041525000.0,,91543,0.4676
2011-01-05,SUNTV,EQ,539.55,530.0,556.9,530.0,545.1,546.0,546.42,467566,25548903400000.0,,229138,0.4901
2011-01-06,SUNTV,EQ,546.0,549.0,551.0,535.55,545.0,544.95,543.13,84433,4585811550000.0,,45104,0.5342
2011-01-07,SUNTV,EQ,544.95,546.0,546.0,525.1,525.5,527.65,537.1,66798,3587727720000.0005,,31762,0.4755
2011-01-10,SUNTV,EQ,527.65,519.0,525.0,503.0,507.6,507.0,511.59,109583,5606157645000.0,,61912,0.5650000000000001
2011-01-11,SUNTV,EQ,507.0,508.0,513.6,492.0,498.9,495.55,500.39,95037,4755559360000.0,,47235,0.49700000000000005
2011-01-12,SUNTV,EQ,495.55,498.0,512.0,491.0,504.05,504.35,498.82,76450,3813453104999.9995,,20403,0.2669
2011-01-13,SUNTV,EQ,504.35,502.0,510.3,500.2,501.2,501.7,504.53,19602,988983285000.0,,6169,0.3147
2011-01-14,SUNTV,EQ,501.7,506.0,509.8,496.0,504.7,503.4,503.76,42817,2156947400000.0,,20212,0.4721
2011-01-17,SUNTV,EQ,503.4,505.95,508.9,496.5,508.0,505.75,503.59,21976,1106685365000.0,,11887,0.5409
2011-01-18,SUNTV,EQ,505.75,507.0,521.9,504.5,521.9,518.2,512.5,97440,4993761475000.0,,39171,0.402
2011-01-19,SUNTV,EQ,518.2,521.0,522.0,504.0,506.0,506.5,510.87,51984,2655685415000.0,,25532,0.49119999999999997
2011-01-20,SUNTV,EQ,506.5,502.0,509.4,483.35,501.0,501.45,501.48,52381,2626809835000.0,,26214,0.5004
2011-01-21,SUNTV,EQ,501.45,500.0,505.0,496.5,500.0,498.3,499.81,495239,24752457415000.0,,446747,0.9020999999999999
2011-01-24,SUNTV,EQ,498.3,502.85,504.5,498.0,502.95,501.65,501.38,37572,1883794089999.9998,,25914,0.6897
2011-01-25,SUNTV,EQ,501.65,505.0,509.45,500.25,502.0,504.2,504.63,361767,18255783610000.0,,213889,0.5912
2011-01-27,SUNTV,EQ,504.2,504.2,509.0,495.1,496.3,498.05,499.98,152988,7649102520000.0,,97387,0.6365999999999999
2011-01-28,SUNTV,EQ,498.05,499.6,510.0,478.35,484.5,482.55,494.67,518096,25628505315000.0,,159242,0.3074
2011-01-31,SUNTV,EQ,482.55,486.9,498.0,460.05,486.0,488.2,484.98,254945,12364264850000.0,,140306,0.5503
2011-02-01,SUNTV,EQ,488.2,491.1,501.95,487.95,494.0,494.55,496.71,114888,5706619680000.0,,60160,0.5236
2011-02-02,SUNTV,EQ,494.55,499.95,502.0,485.1,497.7,494.85,495.78,87075,4317024740000.0,,49753,0.5714
2011-02-03,SUNTV,EQ,494.85,495.05,503.25,495.05,500.3,500.55,499.59,78235,3908532204999.9995,,51048,0.6525
2011-02-04,SUNTV,EQ,500.55,505.95,505.95,452.5,466.85,464.0,485.58,771524,37463521135000.0,,645310,0.8364
2011-02-07,SUNTV,EQ,464.0,460.0,468.6,370.35,404.55,411.75,411.37,10456708,430157766510000.06,,2414398,0.2309
2011-02-08,SUNTV,EQ,411.75,408.0,433.0,402.0,411.95,410.15,415.66,3676088,152798776720000.0,,613121,0.1668
2011-02-09,SUNTV,EQ,410.15,410.0,416.0,396.35,416.0,410.7,407.49,1105954,45066218315000.0,,463220,0.41880000000000006
2011-02-10,SUNTV,EQ,410.7,420.0,421.0,385.0,411.0,407.05,402.0,586769,23587835105000.0,,213677,0.3642
2011-02-11,SUNTV,EQ,407.05,416.8,425.0,407.5,420.95,419.1,415.58,274159,11393471900000.0,,95013,0.34659999999999996
2011-02-14,SUNTV,EQ,419.1,421.0,425.0,415.0,422.0,421.8,420.69,216209,9095655915000.0,,113969,0.5271
2011-02-15,SUNTV,EQ,421.8,416.4,441.0,390.0,403.05,405.45,411.69,2802522,115375818945000.0,,776685,0.2771
2011-02-16,SUNTV,EQ,405.45,388.0,454.0,388.0,425.0,425.4,436.06,3453098,150575017150000.0,,676610,0.1959
2011-02-17,SUNTV,EQ,425.4,432.0,432.0,402.2,412.9,412.3,412.28,2123417,87545178320000.0,,529873,0.2495
2011-02-18,SUNTV,EQ,412.3,410.0,416.3,393.2,405.1,406.2,409.86,533876,21881301510000.0,,98396,0.1843
2011-02-21,SUNTV,EQ,406.2,411.7,411.8,396.35,406.2,407.2,406.36,273314,11106466305000.0,,67953,0.2486
2011-02-22,SUNTV,EQ,407.2,404.0,407.9,390.0,390.95,392.0,398.13,385573,15350739735000.0,,156486,0.40590000000000004
2011-02-23,SUNTV,EQ,392.0,391.0,401.8,386.0,392.0,392.0,393.65,342371,13477410410000.0,,85936,0.251
2011-02-24,SUNTV,EQ,392.0,399.7,399.7,378.9,379.45,382.05,384.1,583861,22426239640000.0,,240595,0.4121
2011-02-25,SUNTV,EQ,382.05,387.0,399.0,382.1,399.0,395.55,390.22,188855,7369412125000.0,,54131,0.2866
2011-02-28,SUNTV,EQ,395.55,390.0,409.9,390.0,403.0,405.75,406.35,407631,16564212119999.998,,267151,0.6554000000000001
2011-03-01,SUNTV,EQ,405.75,409.35,416.0,404.45,413.0,413.05,410.52,181878,7466541725000.0,,119189,0.6553
2011-03-03,SUNTV,EQ,413.05,416.0,419.9,410.0,418.7,418.75,416.69,135965,5665560725000.0,,63464,0.4668
2011-03-04,SUNTV,EQ,418.75,430.0,430.0,417.0,419.8,419.55,420.2,79389,3335954495000.0,,36353,0.4579
