Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,AARTIDRUGS,EQ,140.2,141.0,144.25,139.2,140.05,140.8,142.11,101668,1444759885000.0,,47610,0.4683
2010-10-05,AARTIDRUGS,EQ,140.8,141.4,147.05,140.35,142.0,142.25,144.68,132921,1923132814999.9998,,35333,0.2658
2010-10-06,AARTIDRUGS,EQ,142.25,145.0,146.25,141.05,141.8,141.8,144.17,33561,483851775000.0,,14222,0.4238
2010-10-07,AARTIDRUGS,EQ,141.8,141.65,143.35,139.1,140.6,140.25,141.14,12087,170591475000.0,,7125,0.5895
2010-10-08,AARTIDRUGS,EQ,140.25,140.5,142.4,139.3,142.0,141.0,140.54,9877,138808145000.0,,7844,0.7942
2010-10-11,AARTIDRUGS,EQ,141.0,141.0,143.4,140.25,142.45,142.05,141.97,8082,114740164999.99998,,4052,0.5014000000000001
2010-10-12,AARTIDRUGS,EQ,142.05,143.7,145.95,140.3,144.65,143.9,142.87,25641,366334350000.0,,17598,0.6863
2010-10-13,AARTIDRUGS,EQ,143.9,143.9,145.0,142.25,143.5,143.05,143.68,13985,200930985000.0,,9420,0.6736
2010-10-14,AARTIDRUGS,EQ,143.05,145.0,145.4,142.75,143.5,143.7,143.77,15701,225737179999.99997,,9682,0.6165999999999999
2010-10-15,AARTIDRUGS,EQ,143.7,144.85,144.85,141.65,144.3,144.0,143.77,18275,262734295000.00003,,14542,0.7957
2010-10-18,AARTIDRUGS,EQ,144.0,144.95,144.95,138.0,142.25,142.2,140.96,10206,143868320000.0,,5391,0.5282
2010-10-19,AARTIDRUGS,EQ,142.2,144.85,144.85,137.2,138.05,139.9,142.02,11706,166251495000.0,,8567,0.7318000000000001
2010-10-20,AARTIDRUGS,EQ,139.9,140.5,142.95,136.1,139.15,139.15,138.77,26238,364117325000.0,,15266,0.5818
2010-10-21,AARTIDRUGS,EQ,139.15,141.7,141.7,139.0,139.1,139.2,139.5,7208,100549550000.0,,5814,0.8066
2010-10-22,AARTIDRUGS,EQ,139.2,141.6,144.0,139.5,141.1,141.5,141.55,6555,92786975000.0,,4820,0.7353000000000001
2010-10-25,AARTIDRUGS,EQ,141.5,143.7,143.7,140.1,142.5,141.9,141.7,5869,83166030000.0,,4318,0.7356999999999999
2010-10-26,AARTIDRUGS,EQ,141.9,141.1,144.7,141.1,144.0,143.7,142.98,10311,147430245000.0,,8991,0.872
2010-10-27,AARTIDRUGS,EQ,143.7,143.0,147.0,142.25,142.55,143.15,144.96,31720,459811120000.0,,13353,0.42100000000000004
2010-10-28,AARTIDRUGS,EQ,143.15,147.9,147.9,141.85,143.6,144.6,144.6,20762,300228825000.0,,14141,0.6811
2010-10-29,AARTIDRUGS,EQ,144.6,145.8,145.8,136.0,136.0,136.85,139.53,12689,177043810000.0,,7347,0.579
2010-11-01,AARTIDRUGS,EQ,136.85,138.9,141.8,135.0,141.0,139.65,138.79,51154,709947755000.0,,18569,0.363
2010-11-02,AARTIDRUGS,EQ,139.65,141.15,141.6,139.1,141.25,140.15,140.41,14994,210535160000.0,,13085,0.8727
2010-11-03,AARTIDRUGS,EQ,140.15,144.0,166.0,140.25,158.9,159.55,159.5,1230415,19624524645000.0,,181048,0.1471
2010-11-04,AARTIDRUGS,EQ,159.55,161.0,162.4,154.25,156.3,155.85,158.18,181135,2865203745000.0,,49905,0.2755
2010-11-05,AARTIDRUGS,EQ,155.85,158.8,158.8,154.0,155.5,155.65,155.76,23944,372956690000.0,,13063,0.5456000000000001
