Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,AARTIIND,EQ,62.1,62.0,64.0,62.0,63.2,63.25,63.16,335728,2120555225000.0,,126592,0.3771
2010-10-05,AARTIIND,EQ,63.25,63.95,73.3,63.95,71.25,70.9,70.83,1543394,10931879095000.0,,456841,0.29600000000000004
2010-10-06,AARTIIND,EQ,70.9,70.0,72.9,68.0,68.65,69.15,69.68,451101,3143111215000.0,,209999,0.46549999999999997
2010-10-07,AARTIIND,EQ,69.15,69.7,71.95,67.55,68.45,68.7,69.81,250633,1749551745000.0,,82949,0.331
2010-10-08,AARTIIND,EQ,68.7,68.15,70.0,67.0,67.25,67.5,68.25,97068,662476475000.0,,37560,0.38689999999999997
2010-10-11,AARTIIND,EQ,67.5,68.0,74.5,68.0,71.8,71.95,72.64,661245,4803008300000.0,,304063,0.4598
2010-10-12,AARTIIND,EQ,71.95,72.9,75.8,72.3,73.5,72.85,74.06,662311,4905395560000.0,,255304,0.38549999999999995
2010-10-13,AARTIIND,EQ,72.85,73.4,73.7,72.2,72.5,72.45,72.84,116133,845908065000.0,,64237,0.5531
2010-10-14,AARTIIND,EQ,72.45,73.2,73.2,69.3,70.0,69.75,71.04,88066,625605450000.0,,51074,0.58
2010-10-15,AARTIIND,EQ,69.75,69.1,70.0,67.5,68.25,68.2,69.0,101979,703658380000.0,,60614,0.5944
2010-10-18,AARTIIND,EQ,68.2,68.25,71.65,67.0,71.0,70.6,69.53,138663,964129355000.0001,,81274,0.5861
2010-10-19,AARTIIND,EQ,70.6,72.0,72.0,69.55,70.0,70.0,70.77,62729,443903030000.0,,42015,0.6698000000000001
2010-10-20,AARTIIND,EQ,70.0,70.0,70.0,68.3,68.7,68.7,68.73,83580,574472845000.0,,40549,0.4852
2010-10-21,AARTIIND,EQ,68.7,72.0,72.85,69.75,70.0,70.35,71.57,118813,850394869999.9999,,39724,0.3343
2010-10-22,AARTIIND,EQ,70.35,70.35,72.0,69.0,70.75,70.4,70.61,113515,801515005000.0,,44147,0.3889
2010-10-25,AARTIIND,EQ,70.4,70.95,72.0,70.25,71.15,71.05,71.39,64350,459377680000.0,,34257,0.5324
2010-10-26,AARTIIND,EQ,71.05,71.65,74.2,71.05,72.5,72.5,72.55,129838,941911275000.0,,68656,0.5288
2010-10-27,AARTIIND,EQ,72.5,72.1,72.85,71.35,71.55,71.65,71.93,74127,533198650000.0,,51031,0.6884
