Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ABAN,EQ,852.9,859.9,869.0,855.05,859.0,859.45,862.06,1121134,96648722885000.0,,266456,0.2377
2010-10-05,ABAN,EQ,859.45,855.0,899.9,855.0,897.5,895.6,882.64,2713580,239511102725000.0,,675557,0.249
2010-10-06,ABAN,EQ,895.6,906.25,913.35,892.2,896.0,897.35,903.0,1396995,126148121545000.0,,241388,0.1728
2010-10-07,ABAN,EQ,897.35,899.0,907.0,867.05,877.8,876.45,891.01,1114367,99291473365000.0,,182510,0.1638
2010-10-08,ABAN,EQ,876.45,885.1,885.1,852.7,867.0,865.6,869.29,828095,71985620455000.0,,126871,0.1532
2010-10-11,ABAN,EQ,865.6,875.0,887.0,871.0,876.5,876.5,876.62,510882,44785072765000.0,,64373,0.126
2010-10-12,ABAN,EQ,876.5,878.8,878.8,858.0,862.35,863.7,864.76,578311,50010188400000.0,,113505,0.1963
2010-10-13,ABAN,EQ,863.7,876.05,880.0,866.9,874.7,873.0,874.14,550322,48105952855000.0,,99219,0.18030000000000002
2010-10-14,ABAN,EQ,873.0,875.6,891.7,862.65,866.9,867.45,880.19,906991,79832362455000.0,,156033,0.172
2010-10-15,ABAN,EQ,867.45,885.0,885.0,847.0,851.2,850.45,860.89,793252,68290285735000.0,,271657,0.3425
2010-10-18,ABAN,EQ,850.45,851.0,855.0,825.55,837.0,835.45,833.66,678910,56598331345000.01,,174491,0.257
2010-10-19,ABAN,EQ,835.45,844.4,847.0,825.0,825.0,829.9,836.95,383396,32088414855000.0,,85526,0.2231
2010-10-20,ABAN,EQ,829.9,827.4,828.0,806.0,810.4,810.4,816.53,487621,39815582685000.0,,168919,0.3464
2010-10-21,ABAN,EQ,810.4,814.0,835.0,805.7,829.2,828.9,823.2,854504,70342429315000.0,,211077,0.247
2010-10-22,ABAN,EQ,828.9,831.4,844.7,827.3,831.5,832.35,836.22,556644,46547575385000.0,,144118,0.2589
2010-10-25,ABAN,EQ,832.35,835.0,843.5,825.1,827.0,828.6,835.44,432624,36143103740000.0,,67690,0.1565
2010-10-26,ABAN,EQ,828.6,825.4,834.0,817.0,820.0,820.6,826.3,343292,28366195145000.0,,81612,0.2377
2010-10-27,ABAN,EQ,820.6,818.0,826.8,810.5,812.0,813.25,817.54,425857,34815305250000.0,,150731,0.3539
2010-10-28,ABAN,EQ,813.25,812.15,821.5,775.65,781.8,784.5,801.15,799869,64081810175000.0,,347877,0.4349
2010-10-29,ABAN,EQ,784.5,786.05,798.5,776.0,790.3,786.95,788.54,586895,46279137095000.0,,155593,0.2651
2010-11-01,ABAN,EQ,786.95,793.2,805.9,792.0,795.35,796.05,798.13,420235,33540256645000.0,,97992,0.23320000000000002
2010-11-02,ABAN,EQ,796.05,804.4,819.95,792.8,817.0,811.6,804.48,486829,39164441915000.0,,134417,0.2761
2010-11-03,ABAN,EQ,811.6,825.0,833.45,816.0,819.95,820.05,825.16,662444,54662433085000.0,,118188,0.1784
2010-11-04,ABAN,EQ,820.05,827.0,839.0,823.0,833.0,831.8,832.08,558530,46474058690000.0,,126766,0.227
2010-11-05,ABAN,EQ,831.8,839.35,839.35,830.05,831.0,833.0,833.86,93759,7818216220000.0,,36120,0.38520000000000004
2010-11-08,ABAN,EQ,833.0,835.5,857.65,804.8,841.5,841.35,843.16,1802404,151972107370000.0,,200410,0.1112
2010-11-09,ABAN,EQ,841.35,844.0,859.45,841.0,851.55,850.15,850.74,704046,59896189854999.99,,182561,0.2593
2010-11-10,ABAN,EQ,850.15,846.95,867.0,844.5,856.2,856.05,858.13,982854,84342025740000.0,,156153,0.1589
2010-11-11,ABAN,EQ,856.05,859.0,868.4,847.65,856.1,852.55,860.1,853694,73425857320000.0,,256095,0.3
2010-11-12,ABAN,EQ,852.55,850.0,855.0,805.0,812.0,809.75,828.01,779733,64563048960000.0,,188286,0.2415
2010-11-15,ABAN,EQ,809.75,812.0,818.4,800.1,815.65,813.15,809.97,526533,42647608600000.0,,69403,0.1318
2010-11-16,ABAN,EQ,813.15,815.0,818.25,790.1,795.0,794.8,802.01,504233,40439764175000.0,,100580,0.1995
2010-11-18,ABAN,EQ,794.8,798.0,805.0,776.05,794.05,793.9,790.78,485393,38383666140000.0,,110578,0.2278
2010-11-19,ABAN,EQ,793.9,796.7,799.7,765.1,766.0,772.45,782.18,560013,43802940775000.0,,145513,0.25980000000000003
2010-11-22,ABAN,EQ,772.45,779.9,801.0,771.35,786.0,794.1,786.55,546716,43002033705000.0,,147270,0.26940000000000003
2010-11-23,ABAN,EQ,794.1,784.9,789.5,750.05,760.4,762.55,768.31,610311,46891062870000.0,,189333,0.3102
2010-11-24,ABAN,EQ,762.55,765.0,775.5,750.1,751.3,755.4,765.99,442840,33921301960000.004,,108643,0.24530000000000002
2010-11-25,ABAN,EQ,755.4,761.0,764.0,717.0,729.0,724.4,738.25,753576,55632524104999.99,,309369,0.4105
2010-11-26,ABAN,EQ,724.4,733.8,733.8,660.0,668.0,669.15,683.28,916618,62630775585000.0,,296767,0.32380000000000003
2010-11-29,ABAN,EQ,669.15,675.0,684.5,650.1,679.1,680.2,672.84,693076,46632617670000.0,,198792,0.2868
2010-11-30,ABAN,EQ,680.2,674.0,701.0,661.6,696.0,695.95,690.16,667004,46033807735000.0,,116210,0.17420000000000002
2010-12-01,ABAN,EQ,695.95,696.0,749.4,690.0,742.5,743.4,727.02,1230260,89441839695000.0,,331887,0.2698
2010-12-02,ABAN,EQ,743.4,750.35,766.9,750.0,754.25,755.55,759.35,799581,60716468210000.0,,168352,0.21059999999999998
2010-12-03,ABAN,EQ,755.55,755.0,758.9,728.1,739.5,736.1,740.58,580908,43021167345000.0,,180661,0.311
2010-12-06,ABAN,EQ,736.1,743.0,755.9,728.35,735.1,734.85,743.06,362769,26955849395000.0,,62793,0.1731
2010-12-07,ABAN,EQ,734.85,738.0,741.75,716.2,729.9,727.25,728.51,478175,34835447314999.996,,59215,0.12380000000000001
2010-12-08,ABAN,EQ,727.25,726.3,739.5,713.0,720.95,723.45,727.67,730452,53152534570000.0,,233923,0.32020000000000004
2010-12-09,ABAN,EQ,723.45,728.2,728.2,665.05,669.9,670.3,689.88,976676,67378764215000.0,,263333,0.2696
2010-12-10,ABAN,EQ,670.3,671.05,704.0,641.6,698.5,698.9,685.27,983983,67429716804999.99,,176187,0.1791
2010-12-13,ABAN,EQ,698.9,698.0,716.0,685.1,704.3,705.75,701.35,589407,41337831070000.0,,69036,0.11710000000000001
2010-12-14,ABAN,EQ,705.75,708.0,717.5,697.15,709.0,711.45,710.18,607116,43115948495000.0,,116889,0.1925
2010-12-15,ABAN,EQ,711.45,712.0,722.0,701.0,709.5,709.45,712.12,598499,42620276625000.0,,86489,0.1445
2010-12-16,ABAN,EQ,709.45,710.05,714.9,691.0,710.9,708.75,705.02,467504,32959846995000.0,,54450,0.1165
2010-12-20,ABAN,EQ,708.75,709.2,720.5,694.05,716.0,714.9,713.38,462175,32970777105000.0,,123949,0.2682
2010-12-21,ABAN,EQ,714.9,717.1,729.9,717.0,721.0,722.8,724.92,425033,30811378030000.0,,93756,0.2206
