Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-07-31,PFRL,EQ,146.0,140.0,164.9,131.0,155.05,154.2,149.03,14136,210666720000.00003,334,11776,0.8331000000000001
2013-08-01,PFRL,EQ,154.2,158.8,164.95,155.0,161.95,161.35,160.15,19948,319465465000.0,426,11780,0.5905
2013-08-02,PFRL,EQ,161.35,163.0,172.0,155.0,155.0,155.35,161.5,38303,618603610000.0,999,15672,0.4092
2013-08-05,PFRL,EQ,155.35,155.0,164.0,152.15,157.0,158.75,160.83,29410,473001875000.0,643,16155,0.5493
2013-08-06,PFRL,EQ,158.75,153.0,160.0,130.25,145.3,147.5,150.36,12462,187372890000.0,453,9428,0.7565000000000001
2013-08-07,PFRL,EQ,147.5,145.0,152.0,144.0,144.1,147.35,149.89,18507,277399545000.0,360,10755,0.5811000000000001
2013-08-08,PFRL,EQ,147.35,141.1,154.4,141.0,143.25,144.05,150.2,20670,310457985000.0,314,11096,0.5368
2013-08-12,PFRL,EQ,144.05,145.0,153.7,143.25,145.8,144.4,148.69,11958,177804825000.0,266,9225,0.7715000000000001
2013-08-13,PFRL,EQ,144.4,137.25,153.8,137.25,146.0,148.25,150.73,15162,228543825000.0,403,9201,0.6068
2013-08-14,PFRL,EQ,148.25,147.25,153.9,147.25,152.0,152.4,151.61,10550,159948585000.0,300,7091,0.6720999999999999
2013-08-16,PFRL,EQ,152.4,152.4,152.4,142.5,142.5,143.55,148.99,13893,206992600000.0,289,11311,0.8142
2013-08-19,PFRL,EQ,143.55,142.0,147.0,137.0,138.0,139.6,142.03,6607,93839260000.0,166,5232,0.7919
2013-08-20,PFRL,EQ,139.6,138.0,145.0,136.05,139.65,139.55,141.71,29038,411508735000.0,449,11589,0.39909999999999995
2013-08-21,PFRL,EQ,139.55,140.1,143.75,138.25,140.9,139.0,140.84,24666,347398870000.0,218,11917,0.48310000000000003
2013-08-22,PFRL,EQ,139.0,127.0,140.3,127.0,135.75,136.5,137.66,9676,133199735000.00002,189,7021,0.7256
2013-08-23,PFRL,EQ,136.5,135.1,137.0,128.0,130.0,130.8,131.91,40028,528009650000.0,342,23269,0.5813
2013-08-26,PFRL,EQ,130.8,132.0,139.7,130.0,135.0,135.9,134.09,12983,174088820000.0,302,11049,0.851
2013-08-27,PFRL,EQ,135.9,132.0,133.0,130.1,130.45,132.15,131.43,2790,36669240000.0,163,1540,0.552
2013-08-28,PFRL,EQ,132.15,131.9,135.25,121.5,131.9,133.05,127.43,22909,291933415000.0,365,13713,0.5986
