Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ADANIENT,EQ,674.5,675.6,691.8,672.2,683.0,684.25,685.69,645225,44242444815000.0,,422883,0.6554000000000001
2010-10-05,ADANIENT,EQ,684.25,689.0,690.15,660.45,663.0,662.3,666.39,1374625,91603120895000.0,,1037619,0.7548
2010-10-06,ADANIENT,EQ,662.3,670.0,676.0,656.0,662.0,661.05,664.43,859944,57137154629999.99,,633549,0.7367
2010-10-07,ADANIENT,EQ,661.05,662.5,698.4,662.5,686.8,690.15,683.43,2826465,193169591995000.0,,2057028,0.7278
2010-10-08,ADANIENT,EQ,690.15,694.45,706.0,683.3,689.0,693.65,695.72,4552068,316698485805000.0,,3462210,0.7606
2010-10-11,ADANIENT,EQ,693.65,698.75,711.85,690.15,704.95,706.15,703.66,969343,68208700335000.0,,495284,0.5109
2010-10-12,ADANIENT,EQ,706.15,708.35,708.9,692.2,700.0,699.6,696.67,779644,54315122560000.0,,558124,0.7159000000000001
2010-10-13,ADANIENT,EQ,699.6,702.0,705.9,687.15,704.0,704.05,697.22,921681,64261828635000.0,,590217,0.6404000000000001
2010-10-14,ADANIENT,EQ,704.05,709.0,709.0,686.95,689.0,689.5,694.8,794852,55226125585000.0,,698366,0.8786
2010-10-15,ADANIENT,EQ,689.5,693.4,694.45,680.25,685.0,687.0,686.83,334222,22955465540000.0,,244537,0.7317
2010-10-18,ADANIENT,EQ,687.0,687.0,698.85,670.1,678.1,679.3,677.47,216332,14655942335000.0,,141282,0.6531
2010-10-19,ADANIENT,EQ,679.3,670.15,697.0,670.15,673.5,675.15,682.64,561023,38297880880000.0,,322685,0.5752
2010-10-20,ADANIENT,EQ,675.15,675.1,675.1,667.0,670.65,670.65,670.87,354203,23762380945000.0,,289627,0.8177
2010-10-21,ADANIENT,EQ,670.65,675.0,687.15,673.7,680.0,680.85,682.68,397115,27110136814999.996,,295967,0.7453000000000001
2010-10-22,ADANIENT,EQ,680.85,675.8,684.85,672.0,672.0,674.05,677.74,413231,28006215625000.0,,367575,0.8895000000000001
2010-10-25,ADANIENT,EQ,674.05,678.8,684.5,670.0,674.5,674.05,678.43,292731,19859742565000.0,,197079,0.6731999999999999
2010-10-26,ADANIENT,EQ,674.05,680.05,688.0,660.0,679.0,678.55,679.56,370100,25150578180000.0,,287362,0.7764
2010-10-27,ADANIENT,EQ,678.55,674.5,684.0,672.0,674.05,676.15,678.24,220423,14949964519999.998,,144743,0.6567000000000001
2010-10-28,ADANIENT,EQ,676.15,684.0,692.6,675.0,685.0,683.7,685.11,1435793,98367620970000.0,,889706,0.6197
2010-10-29,ADANIENT,EQ,683.7,689.0,714.15,681.0,709.5,704.45,696.05,459274,31967642660000.004,,269770,0.5874
2010-11-01,ADANIENT,EQ,704.45,711.8,744.0,711.8,738.1,738.95,733.54,850862,62413829450000.0,,405770,0.4769
2010-11-02,ADANIENT,EQ,738.95,744.75,782.9,735.25,764.15,768.65,755.07,875828,66131105335000.0,,511641,0.5842
