Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-11-20,ADANIGAS,EQ,77.8,81.0,88.5,80.1,81.7,80.9,84.13,3819027,32130171539999.996,34652,1658744,0.4343
2018-11-21,ADANIGAS,EQ,80.9,81.9,97.05,81.7,97.05,97.05,92.4,7785820,71937126695000.0,46424,1800748,0.2313
2018-11-22,ADANIGAS,EQ,97.05,106.55,115.4,105.0,110.85,111.55,110.88,17594459,195080122665000.0,110939,2716428,0.1544
2018-11-26,ADANIGAS,EQ,111.55,114.1,114.7,102.0,102.9,104.1,106.23,7818868,83057064545000.0,51150,2218601,0.2837
2018-11-27,ADANIGAS,EQ,104.1,100.5,105.25,98.25,100.6,101.05,101.94,4647882,47380146280000.0,30527,1519373,0.32689999999999997
2018-11-28,ADANIGAS,EQ,101.05,101.45,102.6,94.1,98.5,99.0,99.37,4517227,44889191290000.0,30954,1469506,0.32530000000000003
2018-11-29,ADANIGAS,EQ,99.0,99.9,101.7,98.1,99.0,99.45,99.75,2006532,20015017505000.0,15978,885840,0.4415
2018-11-30,ADANIGAS,EQ,99.45,99.1,101.4,97.65,98.7,98.75,99.33,1745738,17339728935000.0,11046,750996,0.4302
2018-12-03,ADANIGAS,EQ,98.75,99.0,99.75,96.3,97.3,97.5,97.44,1065560,10383108470000.0,7332,520509,0.48850000000000005
2018-12-04,ADANIGAS,EQ,97.5,97.5,97.85,95.2,96.1,96.2,96.23,1044937,10055812360000.0,7173,593119,0.5676
2018-12-05,ADANIGAS,EQ,96.2,95.15,105.8,94.2,105.8,105.35,104.09,6794511,70721986595000.0,39506,1604206,0.2361
2018-12-06,ADANIGAS,EQ,105.35,103.95,110.7,103.15,103.5,104.3,106.64,4175920,44532428250000.0,27122,1024353,0.24530000000000002
2018-12-07,ADANIGAS,EQ,104.3,105.0,108.5,99.25,99.7,100.15,102.36,1674014,17134832675000.0,18612,648341,0.3873
2018-12-10,ADANIGAS,EQ,100.15,95.1,98.0,94.0,95.0,94.85,95.47,965256,9214934020000.0,8932,424474,0.43979999999999997
2018-12-11,ADANIGAS,EQ,94.85,91.0,98.7,91.0,96.5,96.15,95.99,1521664,14606509065000.0,13961,367164,0.2413
2018-12-12,ADANIGAS,EQ,96.15,97.7,101.95,97.5,97.9,98.05,99.44,1142024,11356787360000.0,9909,468763,0.4105
2018-12-13,ADANIGAS,EQ,98.05,99.6,101.9,98.5,99.45,98.95,99.79,966517,9644550935000.0,7437,299972,0.3104
2018-12-14,ADANIGAS,EQ,98.95,99.75,100.8,98.1,98.6,98.85,99.14,513487,5090896335000.0,4016,235189,0.45799999999999996
2018-12-17,ADANIGAS,EQ,98.85,99.55,100.8,98.75,99.7,99.7,99.52,584085,5812811980000.0,3976,222396,0.38079999999999997
2018-12-18,ADANIGAS,EQ,99.7,99.1,108.4,98.4,106.55,106.25,105.1,3127798,32874338864999.996,22919,820985,0.2625
2018-12-19,ADANIGAS,EQ,106.25,108.45,108.45,102.55,102.9,103.0,105.04,1107432,11632684240000.0,8897,528610,0.4773
2018-12-20,ADANIGAS,EQ,103.0,102.05,104.75,101.55,103.0,102.8,103.3,657144,6787983590000.001,4936,189824,0.2889
2018-12-21,ADANIGAS,EQ,102.8,103.65,103.9,99.4,99.7,99.65,100.89,763820,7705936190000.001,6043,426761,0.5587
2018-12-24,ADANIGAS,EQ,99.65,100.7,101.15,98.05,98.4,98.3,99.47,415118,4129343110000.0,3726,183863,0.4429
2018-12-26,ADANIGAS,EQ,98.3,97.85,103.2,96.5,100.9,100.5,100.64,1298911,13071937760000.0,10575,326767,0.2516
2018-12-27,ADANIGAS,EQ,100.5,101.25,102.3,99.65,99.85,100.1,100.78,455898,4594395430000.0,5353,164212,0.3602
2018-12-28,ADANIGAS,EQ,100.1,100.65,102.75,100.35,101.0,101.2,101.45,618916,6278648505000.0,4226,286968,0.4637
2018-12-31,ADANIGAS,EQ,101.2,101.5,102.4,100.1,100.3,100.8,101.23,394322,3991756545000.0005,2821,162791,0.4128
2019-01-01,ADANIGAS,EQ,100.8,101.25,103.5,100.55,101.8,101.85,102.1,501670,5122180400000.0,4149,164957,0.32880000000000004
2019-01-02,ADANIGAS,EQ,101.85,101.25,102.55,99.4,100.85,100.45,101.11,379628,3838326020000.0005,3395,133068,0.3505
2019-01-03,ADANIGAS,EQ,100.45,102.3,103.2,100.75,100.75,100.85,101.67,560741,5701174560000.0,4988,228490,0.40750000000000003
2019-01-04,ADANIGAS,EQ,100.85,101.0,101.75,99.85,100.6,100.85,100.8,360516,3633906900000.0,2402,156028,0.4328
2019-01-07,ADANIGAS,EQ,100.85,101.5,103.0,100.5,101.6,101.65,101.66,787978,8010851220000.0,4530,373844,0.4744
2019-01-08,ADANIGAS,EQ,101.65,101.65,101.9,100.25,101.05,101.1,100.96,385585,3892870029999.9995,2158,173030,0.4487
2019-01-09,ADANIGAS,EQ,101.1,101.5,102.75,99.9,101.3,101.25,101.45,563962,5721676465000.0,3488,199918,0.35450000000000004
2019-01-10,ADANIGAS,EQ,101.25,101.45,101.7,99.75,99.95,100.4,100.6,336970,3389900985000.0,1989,181009,0.5372
2019-01-11,ADANIGAS,EQ,100.4,100.5,101.6,98.35,98.7,99.0,99.83,533121,5322131395000.0,3490,240683,0.4515
2019-01-14,ADANIGAS,EQ,99.0,99.05,100.2,97.5,98.5,98.05,98.66,457526,4513746380000.0,3049,161125,0.3522
2019-01-15,ADANIGAS,EQ,98.05,98.7,99.2,97.75,98.25,98.4,98.41,341359,3359190690000.0,3462,165562,0.485
2019-01-16,ADANIGAS,EQ,98.4,98.5,100.4,98.2,99.1,99.05,98.97,363370,3596251595000.0005,2460,123926,0.341
2019-01-17,ADANIGAS,EQ,99.05,99.5,101.0,97.8,98.55,98.5,99.16,509916,5056250000000.0,3730,180005,0.353
2019-01-18,ADANIGAS,EQ,98.5,99.1,99.5,97.0,98.7,98.6,98.3,378266,3718386020000.0005,2553,170191,0.4499
2019-01-21,ADANIGAS,EQ,98.6,98.8,98.8,97.0,97.2,97.75,97.96,440885,4318875160000.0,3383,237915,0.5396
2019-01-22,ADANIGAS,EQ,97.75,97.75,98.4,95.3,97.1,96.9,96.92,462224,4479957340000.0,3224,260638,0.5639000000000001
2019-01-23,ADANIGAS,EQ,96.9,96.9,97.45,95.8,96.8,96.8,96.69,323343,3126415635000.0,1925,166891,0.5161
2019-01-24,ADANIGAS,EQ,96.8,97.25,100.0,95.95,99.7,99.45,98.29,715971,7037265920000.0,3030,480860,0.6716
2019-01-25,ADANIGAS,EQ,99.45,98.7,99.5,93.45,97.8,98.1,97.17,1095182,10641467010000.0,6790,717148,0.6548
2019-01-28,ADANIGAS,EQ,98.1,97.95,97.95,88.3,88.3,88.55,89.77,1186589,10651568020000.0,6848,521577,0.4396
2019-01-29,ADANIGAS,EQ,88.55,89.9,96.4,88.9,96.2,93.65,92.4,1667154,15404204455000.002,10353,555391,0.3331
2019-01-30,ADANIGAS,EQ,93.65,95.7,96.7,94.05,94.75,94.7,95.14,455516,4333863725000.0,3792,238328,0.5232
2019-01-31,ADANIGAS,EQ,94.7,95.3,96.0,91.0,92.25,92.45,93.13,572228,5329092785000.0,3302,371965,0.65
2019-02-01,ADANIGAS,EQ,92.45,92.05,93.3,92.0,92.5,92.45,92.59,285635,2644696985000.0,1935,156270,0.5471
2019-02-04,ADANIGAS,EQ,92.45,92.9,97.2,84.0,95.9,96.0,93.91,1260974,11841390810000.0,6603,843517,0.6689
2019-02-05,ADANIGAS,EQ,96.0,95.15,98.0,94.05,96.5,96.35,96.12,879131,8450343790000.001,3335,672326,0.7648
2019-02-06,ADANIGAS,EQ,96.35,97.4,97.9,92.9,97.2,96.4,95.45,383885,3664211479999.9995,2284,248249,0.6467
2019-02-07,ADANIGAS,EQ,96.4,97.2,103.4,97.1,97.75,97.9,99.89,798768,7978502615000.001,6596,298886,0.37420000000000003
2019-02-08,ADANIGAS,EQ,97.9,98.0,98.7,94.8,95.5,95.45,96.22,252817,2432578615000.0,2175,143397,0.5672
2019-02-11,ADANIGAS,EQ,95.45,94.05,96.75,94.0,95.1,94.8,94.86,239324,2270325010000.0,1725,117730,0.4919
2019-02-12,ADANIGAS,EQ,94.8,94.8,95.75,93.55,93.65,94.0,94.39,178252,1682577110000.0002,1449,112811,0.6329
2019-02-13,ADANIGAS,EQ,94.0,94.05,99.05,94.05,97.6,97.7,97.04,992892,9634880490000.0,8517,298408,0.3005
