Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-04-06,ADLABS,EQ,180.0,162.2,194.6,155.2,191.5,192.65,184.91,9021323,166810841500000.0,83906,1347958,0.1494
2015-04-07,ADLABS,EQ,192.65,192.25,207.0,184.8,185.4,185.8,194.94,1743051,33978543210000.004,24090,393121,0.2255
2015-04-08,ADLABS,EQ,185.8,187.0,188.0,176.7,178.5,178.8,181.4,353582,6413864465000.0,6101,97695,0.2763
2015-04-09,ADLABS,EQ,178.8,179.0,180.85,170.15,171.9,172.25,174.34,216767,3779128954999.9995,3955,68729,0.3171
2015-04-10,ADLABS,EQ,172.25,171.0,183.8,165.05,175.5,177.55,173.62,561701,9752023890000.0,7766,106043,0.1888
2015-04-13,ADLABS,EQ,177.55,179.55,179.9,173.1,174.95,174.95,177.27,166933,2959245125000.0,2853,56868,0.3407
2015-04-15,ADLABS,EQ,174.95,174.95,184.0,170.35,175.05,175.9,178.18,344759,6142867080000.0,6170,61814,0.1793
2015-04-16,ADLABS,EQ,175.9,174.4,177.9,171.2,172.05,172.5,174.25,100236,1746571645000.0,1974,35752,0.3567
2015-04-17,ADLABS,EQ,172.5,171.0,174.95,165.6,166.75,167.0,170.19,108023,1838429980000.0,2574,33523,0.3103
2015-04-20,ADLABS,EQ,167.0,166.8,168.9,158.8,160.05,159.8,163.26,75271,1228900290000.0,2113,31966,0.4247
2015-04-21,ADLABS,EQ,159.8,161.0,163.6,155.75,157.75,157.75,158.99,89290,1419614815000.0,2218,24467,0.27399999999999997
2015-04-22,ADLABS,EQ,157.75,158.0,164.45,156.0,160.0,159.45,160.95,134378,2162825730000.0,2841,32805,0.2441
2015-04-23,ADLABS,EQ,159.45,159.9,163.85,157.0,157.5,159.15,159.75,99392,1587834790000.0,2171,37798,0.3803
2015-04-24,ADLABS,EQ,159.15,158.5,159.4,141.0,143.0,144.45,148.58,143358,2130046339999.9998,2576,74215,0.5177
2015-04-27,ADLABS,EQ,144.45,143.1,143.9,134.05,135.6,135.7,138.88,140731,1954521185000.0002,2912,72877,0.5178
2015-04-28,ADLABS,EQ,135.7,135.95,139.8,131.95,136.0,137.3,134.97,444326,5997205245000.0,2756,370104,0.833
2015-04-29,ADLABS,EQ,137.3,136.25,145.4,134.7,139.7,140.15,140.32,175135,2457414270000.0,3489,39707,0.2267
2015-04-30,ADLABS,EQ,140.15,143.0,143.95,136.0,140.7,140.65,141.73,88393,1252789070000.0,2828,37303,0.42200000000000004
2015-05-04,ADLABS,EQ,140.65,142.0,150.0,141.0,142.3,143.95,144.93,109865,1592275235000.0,2528,42122,0.3834
2015-05-05,ADLABS,EQ,143.95,142.3,148.35,138.1,146.4,146.95,141.34,339292,4795384950000.0,3137,237696,0.7006
2015-05-06,ADLABS,EQ,146.95,146.1,149.8,138.65,139.4,139.95,143.1,68670,982681910000.0,1679,26565,0.38689999999999997
2015-05-07,ADLABS,EQ,139.95,139.55,140.0,134.9,136.05,135.15,136.79,73017,998825219999.9999,1424,40107,0.5493
2015-05-08,ADLABS,EQ,135.15,138.9,140.8,136.3,137.35,137.7,138.59,38686,536135075000.0,848,16213,0.4191
2015-05-11,ADLABS,EQ,137.7,138.05,143.8,138.05,139.8,140.0,140.69,23121,325283925000.0,728,7822,0.3383
2015-05-12,ADLABS,EQ,140.0,140.0,140.0,136.0,136.0,136.1,137.45,33241,456902300000.0,628,18023,0.5422
2015-05-13,ADLABS,EQ,136.1,138.8,144.2,136.6,140.0,140.2,141.18,55618,785196255000.0,1541,25953,0.46659999999999996
2015-05-14,ADLABS,EQ,140.2,141.0,166.4,140.55,163.5,162.85,158.87,896401,14240847344999.998,18784,139081,0.1552
2015-05-15,ADLABS,EQ,162.85,164.3,167.0,155.35,158.0,158.15,161.0,166199,2675786955000.0,3541,42168,0.25370000000000004
2015-05-18,ADLABS,EQ,158.15,159.0,159.0,153.0,153.15,153.95,154.46,34850,538286284999.99994,935,12719,0.365
2015-05-19,ADLABS,EQ,153.95,154.0,168.9,150.25,168.0,165.95,164.22,259921,4268377404999.9995,5924,70291,0.2704
2015-05-20,ADLABS,EQ,165.95,167.9,182.0,164.25,178.0,177.45,176.67,766031,13533728950000.0,13147,263235,0.3436
2015-05-21,ADLABS,EQ,177.45,179.0,181.5,173.3,179.55,179.75,178.35,260362,4643559400000.0,7190,86782,0.3333
2015-05-22,ADLABS,EQ,179.75,177.1,179.0,169.5,170.6,171.7,173.82,50106,870953600000.0,1157,24057,0.48009999999999997
2015-05-25,ADLABS,EQ,171.7,172.0,175.0,168.15,170.0,169.75,171.57,41337,709208440000.0,1209,19299,0.4669
2015-05-26,ADLABS,EQ,169.75,171.0,173.0,167.8,169.0,168.05,169.19,40801,690292155000.0,1136,23324,0.5717
2015-05-27,ADLABS,EQ,168.05,167.25,174.0,161.05,162.45,163.1,166.28,58571,973928305000.0001,1827,28109,0.47990000000000005
2015-05-28,ADLABS,EQ,163.1,154.95,158.0,144.4,147.7,147.2,151.59,201901,3060545200000.0,4289,104741,0.5188
2015-05-29,ADLABS,EQ,147.2,152.8,159.9,147.5,152.45,150.85,153.94,199973,3078463415000.0,4417,76191,0.381
2015-06-01,ADLABS,EQ,150.85,152.35,157.9,149.7,154.0,151.55,154.01,40595,625188470000.0,1414,13442,0.3311
2015-06-02,ADLABS,EQ,151.55,150.3,154.2,145.3,145.8,146.9,149.37,38401,573592050000.0,966,21059,0.5484
2015-06-03,ADLABS,EQ,146.9,146.35,148.35,138.0,139.0,139.55,141.47,49742,703706895000.0,1113,26105,0.5247999999999999
2015-06-04,ADLABS,EQ,139.55,140.0,141.9,131.4,133.0,132.65,132.95,185982,2472716915000.0,2247,136911,0.7362000000000001
