Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ADORWELD,EQ,216.1,218.1,222.9,216.05,217.05,217.8,219.79,10311,226625685000.0,,6724,0.6520999999999999
2010-10-05,ADORWELD,EQ,217.8,214.2,220.7,214.2,219.45,218.95,219.35,15064,330427175000.0,,9726,0.6456000000000001
2010-10-06,ADORWELD,EQ,218.95,224.2,224.9,217.0,219.45,219.05,220.21,14596,321413615000.0,,9693,0.6641
2010-10-07,ADORWELD,EQ,219.05,220.0,229.5,219.5,228.0,227.45,225.79,93196,2104241005000.0,,61835,0.6635
2010-10-08,ADORWELD,EQ,227.45,229.45,234.0,222.3,225.1,225.55,230.04,100693,2316303225000.0,,38382,0.3812
2010-10-11,ADORWELD,EQ,225.55,228.7,228.75,222.6,222.6,223.65,225.61,14658,330697575000.0,,9063,0.6183
2010-10-12,ADORWELD,EQ,223.65,221.55,225.0,221.4,223.0,222.15,223.04,8666,193284610000.0,,5565,0.6422
2010-10-13,ADORWELD,EQ,222.15,222.65,226.85,222.45,224.0,224.15,224.57,11416,256365225000.0,,8277,0.725
2010-10-14,ADORWELD,EQ,224.15,228.0,233.5,225.0,228.0,226.75,229.23,34981,801859410000.0,,16374,0.4681
2010-10-15,ADORWELD,EQ,226.75,224.4,230.0,222.0,226.0,223.6,224.96,15069,338989070000.0,,9041,0.6
2010-10-18,ADORWELD,EQ,223.6,220.6,225.75,218.05,221.0,221.1,220.29,10525,231855429999.99997,,7002,0.6653
2010-10-19,ADORWELD,EQ,221.1,222.05,222.75,220.0,220.0,220.05,221.07,7775,171882880000.0,,5664,0.7284999999999999
2010-10-20,ADORWELD,EQ,220.05,219.0,222.0,216.05,218.85,218.85,220.2,8139,179219450000.0,,5421,0.6661
2010-10-21,ADORWELD,EQ,218.85,216.15,228.9,215.2,223.0,223.45,223.04,17614,392857540000.0,,7761,0.44060000000000005
2010-10-22,ADORWELD,EQ,223.45,224.0,226.6,218.5,220.0,222.45,221.97,10526,233647820000.00003,,6107,0.5802
2010-10-25,ADORWELD,EQ,222.45,232.2,237.0,219.05,220.0,222.25,228.52,52827,1207198665000.0,,31709,0.6002000000000001
2010-10-26,ADORWELD,EQ,222.25,220.0,227.5,220.0,221.1,221.1,223.7,16548,370174445000.0,,8414,0.5085000000000001
2010-10-27,ADORWELD,EQ,221.1,222.1,223.7,217.1,219.0,218.4,220.61,10753,237223329999.99997,,7959,0.7402
2010-10-28,ADORWELD,EQ,218.4,222.0,223.25,218.7,222.0,220.95,221.18,22021,487062905000.0,,11153,0.5065
2010-10-29,ADORWELD,EQ,220.95,218.0,222.45,214.0,214.75,215.45,217.27,10353,224939700000.0,,7635,0.7375
2010-11-01,ADORWELD,EQ,215.45,216.05,229.6,216.05,217.55,217.85,218.57,8470,185132935000.0,,6149,0.726
2010-11-02,ADORWELD,EQ,217.85,216.15,220.0,216.0,219.5,218.05,218.67,8030,175590240000.0,,4332,0.5395000000000001
2010-11-03,ADORWELD,EQ,218.05,216.15,221.35,216.05,217.5,218.15,219.21,13238,290196555000.0,,10264,0.7753
2010-11-04,ADORWELD,EQ,218.15,217.4,219.55,217.05,218.5,217.85,217.99,9353,203889525000.0,,3183,0.3403
2010-11-05,ADORWELD,EQ,217.85,218.0,222.8,218.0,219.7,220.8,220.6,3543,78156895000.0,,3165,0.8933
2010-11-08,ADORWELD,EQ,220.8,221.0,221.85,217.6,219.55,219.75,220.02,6297,138545670000.0,,4175,0.663
2010-11-09,ADORWELD,EQ,219.75,218.15,223.9,218.0,221.2,221.95,220.59,16403,361833260000.0,,9115,0.5557
2010-11-10,ADORWELD,EQ,221.95,223.0,228.0,223.0,226.0,226.9,225.78,18854,425694300000.0,,12110,0.6423000000000001
2010-11-11,ADORWELD,EQ,226.9,227.0,227.0,218.0,219.0,219.25,221.46,12975,287349705000.0,,7290,0.5618
2010-11-12,ADORWELD,EQ,219.25,219.0,221.9,215.0,215.45,216.05,217.45,11654,253417570000.00003,,7798,0.6691
2010-11-15,ADORWELD,EQ,216.05,216.8,218.0,213.0,215.0,215.1,215.56,9282,200078280000.0,,5394,0.5811000000000001
2010-11-16,ADORWELD,EQ,215.1,217.95,217.95,210.0,210.25,210.45,212.16,8035,170473425000.0,,5607,0.6978
2010-11-18,ADORWELD,EQ,210.45,212.0,213.0,205.0,212.0,210.65,209.54,14259,298789965000.0,,10900,0.7644
2010-11-19,ADORWELD,EQ,210.65,209.0,211.95,207.0,208.95,207.5,208.63,7304,152384225000.0,,5555,0.7605
2010-11-22,ADORWELD,EQ,207.5,207.6,212.3,207.0,210.5,208.85,208.61,3350,69884070000.0,,1816,0.5421
2010-11-23,ADORWELD,EQ,208.85,207.5,209.0,201.1,204.85,204.0,205.34,12895,264788475000.0,,9297,0.721
2010-11-24,ADORWELD,EQ,204.0,204.85,206.0,197.0,198.0,200.5,203.26,8181,166290105000.0,,6499,0.7944
2010-11-25,ADORWELD,EQ,200.5,209.65,209.65,194.0,197.95,196.1,197.86,8651,171165970000.0,,6909,0.7986
2010-11-26,ADORWELD,EQ,196.1,193.35,195.65,185.0,191.8,190.0,189.66,11152,211509695000.00003,,6705,0.6012
2010-11-29,ADORWELD,EQ,190.0,196.0,196.0,184.0,190.0,187.7,186.68,9111,170081885000.0,,5570,0.6113000000000001
2010-11-30,ADORWELD,EQ,187.7,186.0,189.9,185.1,189.9,188.15,186.78,4129,77119475000.0,,3071,0.7438
2010-12-01,ADORWELD,EQ,188.15,190.0,202.0,190.0,200.1,200.55,198.15,7443,147483655000.0,,4169,0.5601
2010-12-02,ADORWELD,EQ,200.55,205.0,205.0,200.15,200.15,200.25,201.93,2577,52036815000.0,,1624,0.6302000000000001
2010-12-03,ADORWELD,EQ,200.25,200.7,203.8,199.0,199.9,200.0,200.83,5341,107261725000.0,,4427,0.8289
2010-12-06,ADORWELD,EQ,200.0,202.0,206.0,197.0,199.5,198.35,201.59,5919,119321575000.0,,3154,0.5329
2010-12-07,ADORWELD,EQ,198.35,198.0,202.0,197.0,200.0,198.85,198.13,2060,40814705000.0,,1410,0.6845
2010-12-08,ADORWELD,EQ,198.85,198.0,202.0,192.5,195.0,193.7,196.24,3256,63897169999.99999,,2713,0.8331999999999999
2010-12-09,ADORWELD,EQ,193.7,194.0,201.95,185.35,187.15,188.25,190.51,3681,70128485000.0,,2641,0.7175
2010-12-10,ADORWELD,EQ,188.25,197.6,197.6,185.35,190.0,191.8,190.8,4181,79775375000.0,,3069,0.7340000000000001
2010-12-13,ADORWELD,EQ,191.8,186.75,198.0,185.0,196.0,196.3,194.23,4263,82799870000.0,,2127,0.4989
2010-12-14,ADORWELD,EQ,196.3,194.0,205.8,194.0,204.4,202.95,202.14,7634,154315195000.0,,3881,0.5084000000000001
2010-12-15,ADORWELD,EQ,202.95,196.55,203.55,196.55,199.05,199.15,200.09,2425,48521070000.0,,1909,0.7872
2010-12-16,ADORWELD,EQ,199.15,195.65,199.5,194.5,194.5,195.2,196.72,2595,51049490000.0,,1503,0.5792
2010-12-20,ADORWELD,EQ,195.2,197.0,201.8,192.0,200.8,200.25,198.48,4515,89615725000.0,,2956,0.6547
2010-12-21,ADORWELD,EQ,200.25,203.0,203.0,197.3,201.0,201.25,200.74,2948,59177790000.0,,2534,0.8595999999999999
2010-12-22,ADORWELD,EQ,201.25,202.0,203.0,201.0,202.6,202.45,202.03,3275,66164430000.00001,,2549,0.7783
2010-12-23,ADORWELD,EQ,202.45,201.0,202.45,199.3,200.0,200.7,200.88,2428,48774670000.0,,2111,0.8694
2010-12-24,ADORWELD,EQ,200.7,197.0,202.0,196.0,200.0,199.95,199.27,1545,30787684999.999996,,974,0.6304
2010-12-27,ADORWELD,EQ,199.95,200.0,200.0,196.6,197.15,198.0,198.69,1360,27022005000.0,,1098,0.8074
2010-12-28,ADORWELD,EQ,198.0,196.8,200.2,196.75,197.05,198.05,198.64,2781,55242065000.0,,1791,0.644
2010-12-29,ADORWELD,EQ,198.05,197.7,203.0,197.7,199.5,199.8,201.13,2524,50764650000.0,,1530,0.6062
2010-12-30,ADORWELD,EQ,199.8,200.0,200.0,198.4,199.0,198.9,199.69,7952,158790270000.0,,6843,0.8605
2010-12-31,ADORWELD,EQ,198.9,198.3,208.4,198.3,205.3,205.2,205.96,10282,211764935000.0,,4378,0.4258
2011-01-03,ADORWELD,EQ,205.2,205.85,214.0,205.85,213.95,212.7,210.7,10010,210913165000.0,,7310,0.7303000000000001
2011-01-04,ADORWELD,EQ,212.7,212.0,215.6,208.1,208.1,208.2,211.14,3588,75757300000.0,,2378,0.6628000000000001
2011-01-05,ADORWELD,EQ,208.2,210.0,210.0,205.6,207.0,207.5,207.29,2843,58931819999.99999,,2071,0.7284999999999999
2011-01-06,ADORWELD,EQ,207.5,206.5,209.0,203.0,203.25,204.3,205.32,1703,34965565000.0,,1071,0.6289
2011-01-07,ADORWELD,EQ,204.3,202.0,203.8,195.1,197.0,197.5,199.44,1984,39568520000.0,,1797,0.9057
2011-01-10,ADORWELD,EQ,197.5,198.0,198.0,190.35,190.5,190.75,192.95,5210,100528185000.0,,3824,0.7340000000000001
2011-01-11,ADORWELD,EQ,190.75,190.6,201.0,188.0,197.55,193.7,191.62,7688,147316965000.0,,5719,0.7439
2011-01-12,ADORWELD,EQ,193.7,202.5,209.6,191.5,193.0,194.2,193.8,3724,72171290000.0,,2629,0.706
2011-01-13,ADORWELD,EQ,194.2,192.0,196.5,192.0,192.0,192.45,193.01,1464,28256565000.000004,,1015,0.6933
2011-01-14,ADORWELD,EQ,192.45,192.0,198.0,187.2,191.5,192.55,191.64,4761,91241225000.0,,2377,0.4993
2011-01-17,ADORWELD,EQ,192.55,190.0,190.0,185.0,187.55,186.6,187.89,4477,84120560000.0,,2540,0.5673
2011-01-18,ADORWELD,EQ,186.6,188.0,189.95,183.1,189.95,188.85,186.24,6721,125168730000.0,,3741,0.5566
2011-01-19,ADORWELD,EQ,188.85,186.15,189.7,186.1,187.0,186.8,187.82,2170,40757985000.0,,1448,0.6673
2011-01-20,ADORWELD,EQ,186.8,185.0,191.9,185.0,190.15,189.2,189.6,1609,30506175000.0,,1060,0.6587999999999999
2011-01-21,ADORWELD,EQ,189.2,194.9,194.9,183.6,183.9,184.35,187.34,24438,457820584999.99994,,18902,0.7735
2011-01-24,ADORWELD,EQ,184.35,184.55,185.0,180.0,180.0,180.6,182.25,6520,118827305000.0,,4620,0.7086
2011-01-25,ADORWELD,EQ,180.6,181.0,182.4,178.0,178.0,178.8,179.6,4586,82364425000.0,,2861,0.6239
2011-01-27,ADORWELD,EQ,178.8,178.4,181.75,178.0,181.0,179.55,179.14,2914,52200760000.0,,2670,0.9163
2011-01-28,ADORWELD,EQ,179.55,178.0,187.6,173.0,180.0,181.3,176.42,8455,149159895000.0,,5707,0.675
2011-01-31,ADORWELD,EQ,181.3,177.0,177.0,173.05,174.0,174.25,174.5,3742,65296380000.00001,,2945,0.787
2011-02-01,ADORWELD,EQ,174.25,175.0,176.75,173.1,176.0,174.75,174.28,2773,48326465000.0,,2231,0.8045
2011-02-02,ADORWELD,EQ,174.75,173.1,177.5,173.0,173.0,174.75,174.52,3480,60733065000.0,,2858,0.8212999999999999
2011-02-03,ADORWELD,EQ,174.75,173.0,185.0,173.0,176.2,176.35,177.65,4602,81755375000.0,,2978,0.6470999999999999
2011-02-04,ADORWELD,EQ,176.35,178.0,180.8,174.0,175.0,175.25,177.17,3675,65110700000.0,,2467,0.6713
2011-02-07,ADORWELD,EQ,175.25,174.2,174.65,170.0,172.3,172.1,172.09,26272,452110690000.00006,,25864,0.9845
2011-02-08,ADORWELD,EQ,172.1,171.0,176.0,165.1,168.0,166.0,168.56,2608,43959735000.0,,1851,0.7097
2011-02-09,ADORWELD,EQ,166.0,175.0,175.0,152.3,155.0,154.55,157.24,6747,106092920000.0,,4370,0.6476999999999999
2011-02-10,ADORWELD,EQ,154.55,154.2,158.0,154.0,154.0,155.0,155.77,2457,38271705000.0,,1809,0.7363
2011-02-11,ADORWELD,EQ,155.0,155.5,159.6,155.5,157.0,158.2,157.57,2785,43882770000.0,,1908,0.6851
2011-02-14,ADORWELD,EQ,158.2,160.0,169.4,160.0,166.25,168.3,166.3,3400,56543344999.99999,,1834,0.5394
2011-02-15,ADORWELD,EQ,168.3,168.0,172.9,167.2,169.9,168.95,170.09,1962,33371859999.999996,,1453,0.7406
2011-02-16,ADORWELD,EQ,168.95,166.95,170.9,166.95,170.0,168.95,169.33,3619,61280090000.0,,3050,0.8428
2011-02-17,ADORWELD,EQ,168.95,169.9,176.6,168.35,176.6,174.85,172.23,3766,64862330000.00001,,3217,0.8542000000000001
2011-02-18,ADORWELD,EQ,174.85,173.1,173.1,168.1,168.1,168.2,170.99,5445,93106185000.0,,3115,0.5721
2011-02-21,ADORWELD,EQ,168.2,171.95,176.3,167.1,175.1,173.9,171.05,4202,71873170000.0,,3032,0.7216
2011-02-22,ADORWELD,EQ,173.9,172.0,174.0,170.85,171.6,172.35,172.15,2528,43520665000.0,,2131,0.843
2011-02-23,ADORWELD,EQ,172.35,172.0,172.2,166.0,166.0,166.8,169.51,3099,52530885000.0,,2428,0.7835
2011-02-24,ADORWELD,EQ,166.8,174.8,174.8,163.0,166.0,165.75,164.8,3568,58799030000.00001,,2725,0.7637
2011-02-25,ADORWELD,EQ,165.75,174.0,174.0,165.05,165.2,165.55,165.75,846,14022615000.0,,804,0.9504000000000001
2011-02-28,ADORWELD,EQ,165.55,162.0,174.0,162.0,168.0,165.6,165.37,2628,43458830000.0,,1716,0.653
2011-03-01,ADORWELD,EQ,165.6,177.0,177.0,163.0,166.4,167.1,166.09,1814,30128759999.999996,,1226,0.6759000000000001
2011-03-03,ADORWELD,EQ,167.1,167.0,169.8,163.05,169.0,168.1,166.2,3817,63439344999.99999,,3145,0.8239000000000001
2011-03-04,ADORWELD,EQ,168.1,166.25,172.95,166.25,168.1,168.2,169.9,5870,99731775000.0,,3423,0.5831000000000001
2011-03-07,ADORWELD,EQ,168.2,166.0,171.95,165.05,171.0,169.25,169.24,1406,23794625000.0,,766,0.5448
2011-03-08,ADORWELD,EQ,169.25,169.9,169.9,167.5,168.9,168.25,168.09,867,14573610000.0,,639,0.737
2011-03-09,ADORWELD,EQ,168.25,168.65,169.95,165.0,167.0,167.1,166.46,3671,61108535000.0,,1989,0.5418000000000001
2011-03-10,ADORWELD,EQ,167.1,167.0,168.0,163.4,166.8,166.65,166.5,976,16250795000.000002,,806,0.8258
2011-03-11,ADORWELD,EQ,166.65,161.0,168.6,159.15,166.35,166.45,166.02,2244,37254630000.0,,1792,0.7986
2011-03-14,ADORWELD,EQ,166.45,165.2,168.8,165.2,167.15,166.7,166.9,1799,30026180000.0,,1158,0.6437
2011-03-15,ADORWELD,EQ,166.7,163.0,168.95,160.95,163.0,162.6,164.1,3485,57190385000.0,,1744,0.5004
2011-03-16,ADORWELD,EQ,162.6,161.25,167.3,161.25,163.5,163.85,164.97,1265,20868690000.0,,584,0.4617
2011-03-17,ADORWELD,EQ,163.85,163.0,165.4,163.0,165.2,164.0,164.36,4011,65925394999.99999,,2653,0.6614
2011-03-18,ADORWELD,EQ,164.0,162.7,166.0,162.5,163.4,162.95,163.7,3326,54446344999.99999,,2718,0.8172
2011-03-21,ADORWELD,EQ,162.95,162.5,169.9,162.3,163.0,164.7,166.81,20644,344369160000.0,,4574,0.22160000000000002
