Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-13,SPHEREGSL,EQ,50.65,52.0,59.9,49.6,52.5,52.5,52.93,12337,65303275000.0,111,1800,0.1459
2015-10-14,SPHEREGSL,EQ,52.5,52.85,56.0,49.6,53.0,53.25,52.84,14357,75866320000.0,76,3373,0.2349
2015-10-15,SPHEREGSL,EQ,53.25,55.5,57.0,50.5,53.0,53.95,55.0,13145,72303580000.0,91,2683,0.2041
2015-10-16,SPHEREGSL,EQ,53.95,55.75,55.9,52.0,53.8,53.8,54.09,18438,99730680000.0,41,7431,0.40299999999999997
2015-10-19,SPHEREGSL,EQ,53.8,45.05,55.0,45.05,51.5,51.5,52.31,22401,117168875000.0,84,12278,0.5481
2015-10-20,SPHEREGSL,EQ,51.5,52.6,54.95,50.0,52.0,51.6,52.45,10967,57521285000.0,42,812,0.07400000000000001
2015-10-21,SPHEREGSL,EQ,51.6,50.0,55.0,50.0,52.5,53.25,53.86,11208,60360700000.0,67,1061,0.0947
2015-10-23,SPHEREGSL,EQ,53.25,54.3,54.95,51.2,53.5,51.9,53.61,16212,86919260000.0,77,3252,0.2006
2015-10-26,SPHEREGSL,EQ,51.9,53.0,56.0,52.0,55.45,55.05,53.33,16096,85843945000.0,95,1498,0.0931
2015-10-27,SPHEREGSL,EQ,55.05,56.5,62.0,56.0,61.0,61.0,57.66,20333,117242175000.0,191,8982,0.44170000000000004
2015-10-28,SPHEREGSL,EQ,61.0,62.0,67.0,53.5,65.15,65.15,65.12,85025,553693080000.0,92,81941,0.9637000000000001
2015-10-29,SPHEREGSL,EQ,65.15,65.0,69.0,64.1,66.25,65.8,65.56,41394,271386529999.99997,167,29197,0.7053
2015-10-30,SPHEREGSL,EQ,65.8,62.5,68.0,62.25,65.0,64.95,65.05,34728,225911075000.0,85,27249,0.7846
2015-11-02,SPHEREGSL,EQ,64.95,61.0,66.0,60.7,66.0,64.85,63.29,14551,92099575000.0,87,1422,0.0977
2015-11-03,SPHEREGSL,EQ,64.85,61.6,69.1,61.6,67.0,67.0,66.96,17800,119187985000.00002,139,6630,0.3725
2015-11-04,SPHEREGSL,EQ,67.0,68.0,69.0,66.3,67.95,67.45,67.67,11094,75070795000.0,148,4134,0.3726
2015-11-05,SPHEREGSL,EQ,67.45,67.1,67.6,65.75,66.55,66.45,66.88,13445,89926540000.0,95,3835,0.2852
