Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ADSL,EQ,244.7,246.0,253.5,240.15,243.1,242.2,246.8,200109,4938640505000.0,,117057,0.585
2010-10-05,ADSL,EQ,242.2,244.0,249.75,243.0,245.0,243.85,245.89,120236,2956536215000.0,,57576,0.4789
2010-10-06,ADSL,EQ,243.85,245.0,247.0,240.0,243.45,243.25,243.48,59955,1459763580000.0,,31067,0.5182
2010-10-07,ADSL,EQ,243.25,244.5,245.85,237.7,239.0,238.5,243.17,189727,4613663980000.0,,129288,0.6814
2010-10-08,ADSL,EQ,238.5,239.85,241.15,236.5,241.0,239.85,238.9,49406,1180287065000.0,,26582,0.538
2010-10-11,ADSL,EQ,239.85,241.4,247.0,241.05,244.65,243.45,244.15,112004,2734615260000.0,,59620,0.5323
2010-10-12,ADSL,EQ,243.45,243.25,244.55,239.5,241.3,241.0,241.26,44648,1077199340000.0,,23090,0.5172
2010-10-13,ADSL,EQ,241.0,243.4,244.3,237.3,239.25,238.7,239.86,93954,2253624805000.0,,63345,0.6742
2010-10-14,ADSL,EQ,238.7,240.4,241.3,236.1,237.0,236.9,239.18,46717,1117375585000.0,,26755,0.5727000000000001
2010-10-15,ADSL,EQ,236.9,238.9,239.15,232.35,234.9,233.65,235.41,128870,3033687935000.0,,108941,0.8454
2010-10-18,ADSL,EQ,233.65,234.0,235.9,232.4,233.95,233.25,233.62,49639,1159647220000.0,,31715,0.6389
2010-10-19,ADSL,EQ,233.25,234.4,244.0,232.25,232.75,233.1,236.32,295722,6988629555000.0,,177525,0.6003000000000001
2010-10-20,ADSL,EQ,233.1,232.0,238.8,231.8,233.2,233.2,234.48,132861,3115340020000.0,,93537,0.7040000000000001
2010-10-21,ADSL,EQ,233.2,234.8,236.0,232.65,234.45,234.3,234.35,37804,885946015000.0,,22331,0.5907
2010-10-22,ADSL,EQ,234.3,235.5,236.8,233.0,234.85,234.3,234.7,64255,1508041520000.0,,38032,0.5919
2010-10-25,ADSL,EQ,234.3,235.7,236.4,232.6,235.4,235.25,234.54,50682,1188699440000.0,,32470,0.6406999999999999
2010-10-26,ADSL,EQ,235.25,236.0,236.3,230.8,230.9,231.15,233.48,86289,2014667930000.0,,69992,0.8111
2010-10-27,ADSL,EQ,231.15,231.55,232.5,228.0,230.0,229.6,229.8,71206,1636342675000.0,,48335,0.6788
2010-10-28,ADSL,EQ,229.6,230.9,231.4,220.0,224.2,224.65,226.25,111505,2522785035000.0,,78918,0.7078
2010-10-29,ADSL,EQ,224.65,224.3,226.8,218.25,220.9,221.55,221.42,129854,2875172460000.0,,81170,0.6251
2010-11-01,ADSL,EQ,221.55,222.4,224.5,218.3,219.0,219.25,220.89,111811,2469843325000.0,,77082,0.6894
2010-11-02,ADSL,EQ,219.25,220.85,223.0,218.6,221.0,220.2,220.28,103186,2272996405000.0,,68860,0.6673
2010-11-03,ADSL,EQ,220.2,221.8,231.0,221.8,225.2,225.25,227.73,218515,4976159485000.0,,153972,0.7046
2010-11-04,ADSL,EQ,225.25,226.05,228.8,223.95,225.3,225.0,226.02,104049,2351677465000.0,,74633,0.7173
2010-11-05,ADSL,EQ,225.0,226.95,229.95,226.0,229.05,228.8,228.5,15672,358098230000.0,,9664,0.6165999999999999
2010-11-08,ADSL,EQ,228.8,230.0,232.0,221.4,222.0,222.4,225.1,102277,2302241300000.0,,75425,0.7375
2010-11-09,ADSL,EQ,222.4,223.05,225.7,222.45,224.0,223.3,224.18,64882,1454518815000.0,,47196,0.7273999999999999
2010-11-10,ADSL,EQ,223.3,222.8,229.3,221.8,222.0,222.7,225.42,174321,3929496250000.0,,136008,0.7802
2010-11-11,ADSL,EQ,222.7,223.85,224.8,218.5,219.65,219.3,220.49,123189,2716203580000.0,,91903,0.746
2010-11-12,ADSL,EQ,219.3,219.3,219.95,217.0,219.0,218.9,218.67,82620,1806634350000.0,,59552,0.7208
2010-11-15,ADSL,EQ,218.9,219.0,219.0,210.15,211.0,211.2,213.21,103936,2215976615000.0,,84805,0.8159000000000001
2010-11-16,ADSL,EQ,211.2,212.4,216.7,200.55,203.65,203.55,210.03,263010,5523871085000.0,,222996,0.8479000000000001
