Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-08-01,ADVENZYMES,EQ,896.0,1210.0,1244.0,1168.0,1172.0,1178.1,1215.62,4996197,607346503565000.0,170265,1692465,0.33880000000000005
2016-08-02,ADVENZYMES,EQ,1178.1,1176.6,1388.7,1172.2,1370.0,1375.15,1317.27,4618016,608318028440000.0,175829,816176,0.17670000000000002
2016-08-03,ADVENZYMES,EQ,1375.15,1367.15,1418.3,1335.0,1372.0,1369.8,1376.57,1464676,201622590235000.0,56836,203094,0.1387
2016-08-04,ADVENZYMES,EQ,1369.8,1394.9,1407.0,1341.2,1375.0,1366.45,1373.39,637748,87587480850000.0,26966,137477,0.21559999999999999
2016-08-05,ADVENZYMES,EQ,1366.45,1375.0,1462.0,1361.2,1418.0,1423.95,1427.86,1435920,205029644310000.0,51614,190888,0.1329
2016-08-08,ADVENZYMES,EQ,1423.95,1427.0,1478.0,1390.0,1455.05,1463.75,1442.33,772077,111358689609999.98,29940,162999,0.2111
2016-08-09,ADVENZYMES,EQ,1463.75,1456.0,1484.0,1436.15,1468.0,1471.2,1461.13,413320,60391236125000.0,19975,76177,0.1843
2016-08-10,ADVENZYMES,EQ,1471.2,1470.0,1506.7,1452.5,1459.0,1468.85,1482.03,420416,62307102820000.01,20377,101066,0.2404
2016-08-11,ADVENZYMES,EQ,1468.85,1449.0,1452.0,1377.0,1402.0,1400.7,1422.76,347355,49420223375000.0,15687,100884,0.2904
2016-08-12,ADVENZYMES,EQ,1400.7,1409.0,1440.0,1382.0,1390.0,1394.6,1412.55,197408,27884899255000.0,10015,62244,0.3153
2016-08-16,ADVENZYMES,EQ,1394.6,1390.15,1409.8,1331.2,1358.0,1360.3,1360.64,184992,25170742640000.0,9234,57910,0.313
2016-08-17,ADVENZYMES,EQ,1360.3,1375.0,1401.9,1362.0,1362.0,1369.15,1378.89,79125,10910456160000.0,4734,21675,0.27390000000000003
2016-08-18,ADVENZYMES,EQ,1369.15,1386.0,1424.5,1371.05,1398.9,1401.25,1401.65,209585,29376515339999.996,9412,56153,0.26789999999999997
2016-08-19,ADVENZYMES,EQ,1401.25,1401.0,1414.0,1382.1,1395.0,1390.55,1393.62,101210,14104814040000.0,4892,35101,0.3468
2016-08-22,ADVENZYMES,EQ,1390.55,1395.0,1398.55,1360.0,1361.0,1362.35,1375.44,53065,7298791034999.999,3255,25414,0.4789
2016-08-23,ADVENZYMES,EQ,1362.35,1365.0,1389.0,1310.1,1323.0,1322.75,1343.39,114107,15329039135000.0,5404,55368,0.4852
2016-08-24,ADVENZYMES,EQ,1322.75,1328.0,1359.0,1326.0,1338.55,1340.9,1340.52,77854,10436448715000.0,4413,24457,0.3141
2016-08-25,ADVENZYMES,EQ,1340.9,1339.85,1360.0,1334.0,1358.0,1349.65,1351.65,91821,12411013965000.0,4471,54179,0.5901
2016-08-26,ADVENZYMES,EQ,1349.65,1358.0,1367.4,1335.8,1355.0,1355.5,1351.73,75965,10268438060000.0,2838,48262,0.6353
2016-08-29,ADVENZYMES,EQ,1355.5,1359.9,1359.9,1271.1,1296.0,1297.5,1295.3,262810,34041696964999.996,16706,139652,0.5314
2016-08-30,ADVENZYMES,EQ,1297.5,1308.8,1429.0,1298.6,1398.0,1399.9,1382.83,524607,72543992475000.0,27059,164521,0.3136
2016-08-31,ADVENZYMES,EQ,1399.9,1408.0,1424.9,1360.0,1369.0,1366.5,1388.24,185539,25757310125000.0,9486,61004,0.32880000000000004
