Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-08,AFFLE,EQ,745.0,926.0,958.7,750.0,858.0,873.65,886.58,8361975,741356888935000.0,269748,2827035,0.3381
2019-08-09,AFFLE,EQ,873.65,844.95,884.9,835.2,844.0,843.05,856.5,674521,57772453895000.01,32268,152274,0.2258
2019-08-13,AFFLE,EQ,843.05,849.7,859.7,828.05,830.0,832.85,842.22,191338,16114959290000.0,10362,64804,0.3387
2019-08-14,AFFLE,EQ,832.85,833.1,840.3,827.3,835.0,835.15,834.24,103535,8637283634999.999,5284,50940,0.49200000000000005
2019-08-16,AFFLE,EQ,835.15,822.0,835.0,790.0,804.95,805.9,817.45,62147,5080210030000.0,3286,29730,0.47840000000000005
2019-08-19,AFFLE,EQ,805.9,808.15,809.0,765.9,792.0,794.2,783.86,174671,13691690725000.0,7606,93902,0.5376
2019-08-20,AFFLE,EQ,794.2,798.0,818.0,795.5,804.3,804.7,806.12,108251,8726325320000.0,4211,65164,0.6020000000000001
2019-08-21,AFFLE,EQ,804.7,801.0,810.0,782.8,788.0,789.75,792.68,63189,5008879745000.0,4119,40340,0.6384000000000001
2019-08-22,AFFLE,EQ,789.75,790.0,794.4,776.15,780.05,781.6,783.3,37736,2955869830000.0,2466,22767,0.6033
2019-08-23,AFFLE,EQ,781.6,780.0,785.9,770.6,775.05,777.5,778.36,37357,2907707980000.0,1552,25040,0.6703
2019-08-26,AFFLE,EQ,777.5,790.0,790.05,779.0,780.75,781.3,781.27,21221,1657931615000.0,1176,13530,0.6376
2019-08-27,AFFLE,EQ,781.3,781.1,849.0,781.1,840.0,838.25,830.91,94041,7813946005000.0,5262,36419,0.3873
2019-08-28,AFFLE,EQ,838.25,841.4,855.55,827.15,828.8,830.55,837.62,38728,3243920760000.0,2285,16363,0.4225
2019-08-29,AFFLE,EQ,830.55,832.0,848.95,820.75,832.0,822.45,834.58,24272,2025691280000.0,1325,9983,0.41130000000000005
2019-08-30,AFFLE,EQ,822.45,829.95,849.0,804.6,840.0,839.3,824.38,27978,2306436415000.0,1809,13354,0.4773
2019-09-03,AFFLE,EQ,839.3,838.0,850.0,832.75,839.95,835.6,839.38,13573,1139291030000.0,976,5811,0.42810000000000004
2019-09-04,AFFLE,EQ,835.6,833.0,849.1,828.45,828.45,832.9,834.57,13675,1141276210000.0,1248,7596,0.5555
2019-09-05,AFFLE,EQ,832.9,833.1,839.0,826.95,826.95,828.45,829.96,8244,684217835000.0,1207,5547,0.6729
2019-09-06,AFFLE,EQ,828.45,829.0,852.0,825.55,835.0,842.5,841.47,60451,5086771600000.0,5092,41003,0.6783
2019-09-09,AFFLE,EQ,842.5,842.0,899.95,830.3,842.1,847.0,870.72,125023,10886040060000.0,9850,63996,0.5119
2019-09-11,AFFLE,EQ,847.0,851.0,867.0,835.0,851.0,849.8,851.29,53619,4564526910000.0,5404,30986,0.5779
2019-09-12,AFFLE,EQ,849.8,860.0,881.8,842.05,858.0,857.75,865.07,70367,6087203370000.0,6487,39286,0.5583
2019-09-13,AFFLE,EQ,857.75,864.0,909.0,849.0,906.95,896.15,886.84,90758,8048816520000.0,5024,47317,0.5214
2019-09-16,AFFLE,EQ,896.15,900.0,949.0,896.15,939.95,940.3,933.22,192663,17979664020000.0,9783,76575,0.3975
2019-09-17,AFFLE,EQ,940.3,947.0,975.0,916.2,919.9,929.75,955.8,214821,20532517820000.0,13786,72579,0.3379
2019-09-18,AFFLE,EQ,929.75,934.9,958.8,895.9,948.0,948.6,930.7,91070,8475911625000.0,4076,46769,0.5136000000000001
2019-09-19,AFFLE,EQ,948.6,950.0,972.0,927.0,940.0,940.15,948.94,70566,6696254920000.0,4642,27764,0.3934
2019-09-20,AFFLE,EQ,940.15,935.0,995.0,931.55,972.6,972.95,972.05,127238,12368131985000.0,6446,64812,0.5094
2019-09-23,AFFLE,EQ,972.95,989.95,1005.0,977.0,999.0,999.8,995.5,78040,7768903075000.0,3644,46523,0.5961
2019-09-24,AFFLE,EQ,999.8,981.2,1000.0,972.0,975.0,984.4,988.83,38794,3836060995000.0005,2604,17877,0.4608
2019-09-25,AFFLE,EQ,984.4,983.6,1104.3,967.1,1090.0,1081.4,1054.93,324188,34199697095000.0,20402,106230,0.32770000000000005
2019-09-26,AFFLE,EQ,1081.4,1108.0,1190.0,1090.05,1190.0,1174.35,1139.17,220749,25147031870000.0,13318,66748,0.3024
2019-09-27,AFFLE,EQ,1174.35,1191.0,1220.0,1147.0,1200.65,1202.4,1196.01,313857,37537658930000.0,24931,97061,0.3093
2019-09-30,AFFLE,EQ,1202.4,1200.0,1225.0,1102.6,1112.0,1125.3,1147.44,120404,13815600069999.998,8003,42390,0.3521
2019-10-01,AFFLE,EQ,1125.3,1125.0,1160.0,1046.25,1078.9,1079.65,1106.27,80067,8857590640000.0,5494,22682,0.2833
2019-10-03,AFFLE,EQ,1079.65,1073.85,1138.0,1035.25,1070.05,1075.05,1078.47,83171,8969779445000.0,5609,30889,0.3714
2019-10-04,AFFLE,EQ,1075.05,1085.0,1154.85,1085.0,1114.0,1112.9,1124.97,84305,9484033710000.0,6382,27027,0.32060000000000005
2019-10-07,AFFLE,EQ,1112.9,1129.0,1158.7,1101.0,1109.9,1105.7,1127.8,72633,8191558450000.0,5724,28250,0.3889
2019-10-09,AFFLE,EQ,1105.7,1115.95,1269.0,1093.0,1239.0,1234.1,1188.8,236537,28119441589999.996,16065,68116,0.28800000000000003
2019-10-10,AFFLE,EQ,1234.1,1239.0,1294.6,1190.0,1194.0,1198.2,1234.01,200638,24758849120000.0,13854,56128,0.2797
2019-10-11,AFFLE,EQ,1198.2,1209.4,1224.0,1160.0,1192.0,1187.0,1187.9,88360,10496298765000.0,6604,30348,0.3435
2019-10-14,AFFLE,EQ,1187.0,1192.0,1245.0,1182.2,1200.0,1200.9,1215.08,115142,13990683885000.0,7255,41992,0.36469999999999997
2019-10-15,AFFLE,EQ,1200.9,1209.0,1220.15,1160.35,1166.0,1167.15,1186.72,67284,7984733684999.999,5989,28514,0.4238
2019-10-16,AFFLE,EQ,1167.15,1167.9,1220.0,1164.1,1175.0,1178.0,1186.81,74289,8816718645000.0,5020,27426,0.36920000000000003
2019-10-17,AFFLE,EQ,1178.0,1181.1,1197.0,1140.0,1150.0,1151.15,1167.09,87417,10202369500000.0,5855,29006,0.3318
2019-10-18,AFFLE,EQ,1151.15,1159.6,1224.9,1153.25,1193.0,1197.9,1182.4,166021,19630366540000.0,9197,59998,0.3614
2019-10-22,AFFLE,EQ,1197.9,1195.2,1253.0,1185.3,1218.1,1217.95,1231.7,158999,19583957170000.0,6445,99505,0.6258
2019-10-23,AFFLE,EQ,1217.95,1245.0,1460.0,1233.6,1400.0,1397.5,1367.01,781328,106808180890000.0,43089,190312,0.2436
2019-10-24,AFFLE,EQ,1397.5,1413.0,1439.0,1296.0,1365.0,1362.95,1360.17,343408,46709489435000.0,23876,80574,0.2346
2019-10-25,AFFLE,EQ,1362.95,1370.0,1438.0,1360.5,1435.0,1420.75,1409.11,291922,41135061145000.0,19921,90547,0.3102
2019-10-27,AFFLE,EQ,1420.75,1450.0,1477.8,1421.0,1460.0,1466.3,1458.35,81567,11895359095000.0,5888,27369,0.33549999999999996
2019-10-29,AFFLE,EQ,1466.3,1474.9,1474.9,1421.6,1438.5,1438.95,1442.92,80272,11582567330000.0,7305,28750,0.3582
2019-10-30,AFFLE,EQ,1438.95,1440.1,1454.9,1421.0,1422.0,1428.0,1438.2,48795,7017716284999.999,4372,16304,0.33409999999999995
2019-10-31,AFFLE,EQ,1428.0,1434.6,1447.7,1375.15,1391.0,1387.55,1412.17,67735,9565354355000.0,5498,27674,0.4086
2019-11-01,AFFLE,EQ,1387.55,1398.45,1428.0,1385.1,1392.5,1397.15,1407.08,60715,8543090750000.0,3850,24489,0.4033
2019-11-04,AFFLE,EQ,1397.15,1407.9,1461.0,1395.0,1420.0,1417.9,1432.48,114612,16417980600000.0,7275,38861,0.33909999999999996
2019-11-05,AFFLE,EQ,1417.9,1420.0,1427.9,1377.0,1379.9,1388.05,1399.68,42076,5889286725000.0,3326,18325,0.4355
2019-11-06,AFFLE,EQ,1388.05,1385.0,1443.9,1360.25,1375.65,1373.0,1404.25,90442,12700302335000.0,6168,28142,0.31120000000000003
2019-11-07,AFFLE,EQ,1373.0,1385.0,1393.0,1340.0,1358.0,1356.35,1360.57,63054,8578924880000.0,4863,30358,0.4815
2019-11-08,AFFLE,EQ,1356.35,1388.0,1428.0,1366.3,1400.0,1395.75,1401.47,273487,38328291100000.0,17148,130466,0.47700000000000004
2019-11-11,AFFLE,EQ,1395.75,1530.0,1530.0,1405.0,1498.0,1482.75,1480.73,748480,110829505200000.0,51760,221208,0.29550000000000004
2019-11-13,AFFLE,EQ,1482.75,1508.85,1678.0,1500.15,1648.75,1650.55,1594.91,658722,105060267960000.0,46393,169714,0.2576
2019-11-14,AFFLE,EQ,1650.55,1665.0,1704.25,1585.0,1662.0,1663.8,1658.41,442580,73398064055000.0,32798,92434,0.2089
2019-11-15,AFFLE,EQ,1663.8,1677.0,1684.0,1620.0,1640.1,1638.4,1650.7,206305,34054827345000.0,16274,58733,0.2847
2019-11-18,AFFLE,EQ,1638.4,1648.8,1675.0,1626.95,1645.0,1636.65,1644.85,140123,23048140155000.0,14058,47123,0.33630000000000004
