Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,AGCNET,EQ,230.15,230.35,233.95,230.35,231.75,231.65,231.59,1925,44581145000.0,,1665,0.8649
2010-10-05,AGCNET,EQ,231.65,229.2,233.5,229.0,231.6,231.5,231.41,1624,37581395000.0,,1008,0.6207
2010-10-06,AGCNET,EQ,231.5,229.0,237.8,229.0,233.0,233.25,232.28,3103,72076700000.0,,2168,0.6987000000000001
2010-10-07,AGCNET,EQ,233.25,234.5,239.85,233.0,234.0,234.25,236.23,2969,70137825000.0,,1717,0.5783
2010-10-08,AGCNET,EQ,234.25,232.0,237.0,227.65,235.0,235.1,234.45,5804,136072705000.0,,4342,0.7481
2010-10-11,AGCNET,EQ,235.1,233.0,239.0,233.0,236.0,236.95,236.78,2623,62107605000.00001,,1991,0.7591
2010-10-12,AGCNET,EQ,236.95,235.0,238.0,232.85,238.0,236.7,235.97,2457,57977965000.0,,1827,0.7436
2010-10-13,AGCNET,EQ,236.7,235.0,241.0,235.0,237.0,237.0,237.64,5735,136287800000.0,,4208,0.7337
2010-10-14,AGCNET,EQ,237.0,238.0,243.3,235.05,235.15,235.05,235.93,2905,68537330000.00001,,1698,0.5845
2010-10-15,AGCNET,EQ,235.05,231.15,237.9,231.15,236.0,236.0,236.26,3113,73546580000.0,,2269,0.7289
2010-10-18,AGCNET,EQ,236.0,234.1,234.1,226.5,233.5,232.9,232.05,644,14944075000.0,,466,0.7236
2010-10-19,AGCNET,EQ,232.9,232.9,238.3,232.0,235.0,235.2,237.02,3031,71840200000.0,,2160,0.7126
2010-10-20,AGCNET,EQ,235.2,233.15,235.9,233.0,233.0,233.0,233.2,1040,24252700000.0,,790,0.7595999999999999
2010-10-21,AGCNET,EQ,233.0,234.0,236.0,232.0,234.5,232.8,233.39,1545,36059415000.0,,1101,0.7126
2010-10-22,AGCNET,EQ,232.8,233.1,237.0,232.9,233.0,233.05,233.34,4456,103974845000.0,,3226,0.7240000000000001
2010-10-25,AGCNET,EQ,233.05,233.3,233.9,230.0,230.2,231.35,232.24,2940,68278469999.99999,,2014,0.685
2010-10-26,AGCNET,EQ,231.35,231.0,235.0,231.0,231.95,231.4,232.65,2853,66374130000.00001,,1401,0.4911
2010-10-27,AGCNET,EQ,231.4,232.0,237.4,229.05,233.6,234.1,235.37,3128,73622695000.0,,2498,0.7986
2010-10-28,AGCNET,EQ,234.1,236.2,239.9,232.15,234.95,234.35,237.16,7310,173364395000.0,,6139,0.8398000000000001
