Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,AIAENG,EQ,409.1,413.0,415.95,405.05,410.0,408.15,411.64,171897,7075945325000.0,,167308,0.9733
2010-10-05,AIAENG,EQ,408.15,411.9,416.0,406.4,416.0,411.75,412.79,39223,1619097205000.0,,36475,0.9299
2010-10-06,AIAENG,EQ,411.75,420.0,420.0,410.1,415.8,414.1,413.95,10785,446440120000.0,,8629,0.8001
2010-10-07,AIAENG,EQ,414.1,419.8,419.8,409.1,415.0,414.35,412.48,38154,1573765530000.0,,35558,0.932
2010-10-08,AIAENG,EQ,414.35,419.65,419.65,396.0,397.35,398.35,407.49,14147,576473755000.0,,6172,0.4363
2010-10-11,AIAENG,EQ,398.35,400.05,415.0,400.0,414.35,413.15,409.91,29231,1198201285000.0,,25364,0.8677
2010-10-12,AIAENG,EQ,413.15,413.0,416.75,411.0,416.0,415.85,413.74,9337,386312815000.0,,6662,0.7134999999999999
2010-10-13,AIAENG,EQ,415.85,413.5,415.95,406.0,414.0,413.4,413.67,62276,2576184340000.0,,57557,0.9242
2010-10-14,AIAENG,EQ,413.4,418.0,419.5,405.0,408.95,410.7,409.97,135505,5555312800000.0,,128588,0.9490000000000001
2010-10-15,AIAENG,EQ,410.7,419.0,419.0,403.0,408.0,405.3,408.73,1541,62985565000.0,,833,0.5406000000000001
2010-10-18,AIAENG,EQ,405.3,400.0,413.9,400.0,411.0,410.65,405.7,6727,272915754999.99997,,3724,0.5536
2010-10-19,AIAENG,EQ,410.65,419.0,419.8,402.05,410.0,409.65,407.13,10608,431883740000.00006,,5726,0.5398
2010-10-20,AIAENG,EQ,409.65,408.15,409.45,402.0,403.35,403.35,405.36,2601,105433664999.99998,,1782,0.6851
2010-10-21,AIAENG,EQ,403.35,404.5,409.0,403.2,406.8,406.05,406.39,1604,65184435000.0,,865,0.5393
2010-10-22,AIAENG,EQ,406.05,411.95,411.95,406.0,410.0,410.25,409.6,7673,314289510000.0,,5416,0.7059000000000001
2010-10-25,AIAENG,EQ,410.25,414.0,414.0,406.05,410.0,410.5,410.1,14877,610111235000.0,,11757,0.7903
2010-10-26,AIAENG,EQ,410.5,406.0,418.0,406.0,415.0,415.4,415.04,11246,466749615000.00006,,7828,0.6961
2010-10-27,AIAENG,EQ,415.4,412.1,416.5,411.0,415.0,415.1,414.88,53308,2211624415000.0,,51018,0.9570000000000001
2010-10-28,AIAENG,EQ,415.1,423.4,423.4,411.3,415.75,415.7,415.63,8918,370660320000.0,,7530,0.8444
2010-10-29,AIAENG,EQ,415.7,412.0,419.0,410.05,415.25,415.95,416.16,123084,5122315810000.0,,119485,0.9708
2010-11-01,AIAENG,EQ,415.95,415.05,419.6,411.0,412.05,415.35,416.23,4733,197003080000.0,,3682,0.7779
2010-11-02,AIAENG,EQ,415.35,413.95,488.0,409.5,435.0,438.7,447.04,129884,5806396630000.0,,64929,0.4999
2010-11-03,AIAENG,EQ,438.7,444.2,452.0,435.0,438.1,440.15,444.54,53560,2380931475000.0,,33685,0.6289
2010-11-04,AIAENG,EQ,440.15,430.55,449.9,430.55,449.8,446.8,445.66,18218,811896885000.0,,13850,0.7602
2010-11-05,AIAENG,EQ,446.8,459.0,459.0,433.2,442.0,439.3,441.05,1224,53983990000.0,,763,0.6234000000000001
2010-11-08,AIAENG,EQ,439.3,440.0,445.0,440.0,444.85,443.5,443.18,2287,101354945000.0,,1848,0.8079999999999999
2010-11-09,AIAENG,EQ,443.5,437.0,444.5,437.0,442.0,442.1,441.99,147616,6524473520000.0,,146898,0.9951000000000001
2010-11-10,AIAENG,EQ,442.1,430.55,447.95,430.55,435.0,439.2,439.41,3003,131953710000.00002,,2124,0.7073
2010-11-11,AIAENG,EQ,439.2,438.0,460.9,434.05,458.0,456.4,452.09,21849,987763730000.0001,,16196,0.7413
2010-11-12,AIAENG,EQ,456.4,455.0,470.0,428.05,458.9,443.1,450.07,22205,999388755000.0001,,7852,0.3536
2010-11-15,AIAENG,EQ,443.1,455.0,455.0,425.25,429.5,428.85,436.98,58063,2537233470000.0,,55435,0.9547
2010-11-16,AIAENG,EQ,428.85,441.25,442.0,425.25,440.0,439.85,436.72,50809,2218931245000.0,,45434,0.8942
2010-11-18,AIAENG,EQ,439.85,441.95,441.95,427.1,430.0,430.45,431.26,11266,485856090000.00006,,8508,0.7552
2010-11-19,AIAENG,EQ,430.45,430.45,436.5,429.5,435.9,434.3,433.02,6526,282589235000.0,,5971,0.915
2010-11-22,AIAENG,EQ,434.3,436.0,453.95,436.0,452.0,450.1,449.07,31297,1405469995000.0,,27243,0.8704999999999999
2010-11-23,AIAENG,EQ,450.1,445.0,465.0,441.0,441.2,443.9,449.44,62888,2826444175000.0,,38889,0.6184000000000001
2010-11-24,AIAENG,EQ,443.9,440.0,445.0,431.1,432.0,434.0,438.89,2859,125477960000.00002,,1503,0.5257000000000001
2010-11-25,AIAENG,EQ,434.0,439.0,439.0,417.0,423.0,423.35,428.13,2274,97357890000.0,,1342,0.5901
2010-11-26,AIAENG,EQ,423.35,424.0,424.2,406.0,411.0,413.4,418.36,2459,102875345000.0,,1815,0.7381000000000001
2010-11-29,AIAENG,EQ,413.4,402.0,420.0,401.8,410.0,412.55,412.47,125777,5187979535000.0,,124828,0.9925
2010-11-30,AIAENG,EQ,412.55,417.45,421.0,409.0,415.45,416.8,418.08,2396,100171370000.0,,1311,0.5472
2010-12-01,AIAENG,EQ,416.8,418.0,440.0,418.0,432.0,427.45,430.17,6123,263393710000.0,,2675,0.4369
2010-12-02,AIAENG,EQ,427.45,427.0,440.0,412.15,432.05,429.3,417.14,37425,1561135800000.0,,28921,0.7728
2010-12-03,AIAENG,EQ,429.3,430.0,437.0,420.0,425.0,424.8,424.47,17859,758056590000.0,,16638,0.9316
2010-12-06,AIAENG,EQ,424.8,422.0,438.0,410.3,410.35,413.9,428.71,30758,1318624730000.0,,24865,0.8084
2010-12-07,AIAENG,EQ,413.9,411.0,423.85,404.0,406.0,407.45,412.73,7284,300635240000.0,,5236,0.7188
