Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-06-30,ALANKIT,EQ,219.4,220.1,226.0,220.1,224.4,224.0,224.63,185431,4165310729999.9995,997,22245,0.12
2015-07-01,ALANKIT,EQ,224.0,224.05,227.3,224.05,226.2,225.5,225.57,103133,2326379200000.0,914,20899,0.20260000000000003
2015-07-02,ALANKIT,EQ,225.5,225.05,225.9,224.75,224.9,224.9,225.14,127117,2861949725000.0,994,32902,0.2588
2015-07-03,ALANKIT,EQ,224.9,227.0,227.0,222.0,226.0,226.0,226.33,106622,2413226100000.0,895,20845,0.1955
2015-07-06,ALANKIT,EQ,226.0,223.0,230.4,220.9,230.4,229.1,223.66,119432,2671250560000.0,693,27304,0.2286
2015-07-07,ALANKIT,EQ,229.1,230.7,231.45,223.6,224.05,224.4,229.34,123385,2829681460000.0,972,19996,0.16210000000000002
2015-07-08,ALANKIT,EQ,224.4,223.9,223.9,221.1,221.95,221.2,222.4,104354,2320874810000.0,873,21801,0.2089
2015-07-09,ALANKIT,EQ,221.2,221.55,222.0,215.75,215.75,217.35,220.13,154033,3390741890000.0,610,39692,0.2577
2015-07-10,ALANKIT,EQ,217.35,217.5,218.7,215.7,215.7,216.35,216.8,162349,3519740610000.0,683,39612,0.244
2015-07-13,ALANKIT,EQ,216.35,216.8,217.2,210.1,215.0,215.05,215.85,157943,3409222479999.9995,696,38968,0.24670000000000003
2015-07-14,ALANKIT,EQ,215.05,215.05,215.9,212.7,212.7,213.65,213.61,117003,2499271145000.0,674,19992,0.1709
2015-07-15,ALANKIT,EQ,213.65,214.0,215.9,213.05,215.9,215.2,215.38,119484,2573405350000.0,666,21783,0.18230000000000002
2015-07-16,ALANKIT,EQ,215.2,215.9,217.3,214.9,215.2,215.55,215.97,148237,3201480020000.0,670,31491,0.21239999999999998
2015-07-17,ALANKIT,EQ,215.55,215.1,216.2,214.5,215.6,215.85,215.57,129208,2785376620000.0,564,25738,0.19920000000000002
2015-07-20,ALANKIT,EQ,215.85,215.85,217.9,215.2,217.0,217.4,216.18,125981,2723458190000.0,504,20968,0.16640000000000002
2015-07-21,ALANKIT,EQ,217.4,217.4,217.9,215.1,215.1,216.65,216.94,115236,2499950270000.0,517,21000,0.1822
2015-07-22,ALANKIT,EQ,216.65,216.6,218.9,215.6,217.2,217.95,216.64,142822,3094059665000.0,658,23741,0.16620000000000001
2015-07-23,ALANKIT,EQ,217.95,219.3,219.4,217.6,218.5,218.4,218.38,156004,3406836750000.0,762,33305,0.21350000000000002
2015-07-24,ALANKIT,EQ,218.4,219.5,219.9,217.6,218.35,218.3,218.48,185862,4060683340000.0,1031,39820,0.21420000000000003
2015-07-27,ALANKIT,EQ,218.3,218.0,219.75,216.5,216.6,216.6,217.61,141284,3074532285000.0,1321,27320,0.19340000000000002
2015-07-28,ALANKIT,EQ,216.6,215.7,217.4,215.0,215.0,215.4,216.55,165459,3582953479999.9995,1173,35587,0.2151
2015-07-29,ALANKIT,EQ,215.4,216.05,218.5,216.0,217.0,217.6,217.47,153164,3330923170000.0,1585,26309,0.1718
2015-07-30,ALANKIT,EQ,217.6,218.5,219.3,216.1,219.2,218.55,217.54,135951,2957475685000.0,1187,22469,0.1653
2015-07-31,ALANKIT,EQ,218.55,219.9,224.0,218.1,223.0,223.45,219.73,125132,2749537910000.0,1148,25057,0.2002
2015-08-03,ALANKIT,EQ,223.45,223.8,224.8,222.5,223.3,223.6,223.55,154525,3454415529999.9995,1110,34048,0.22030000000000002
2015-08-04,ALANKIT,EQ,223.6,224.4,225.65,221.3,221.35,222.0,222.6,198380,4415883370000.0,2047,47197,0.2379
2015-08-05,ALANKIT,EQ,222.0,222.8,222.9,221.15,222.65,222.5,222.54,179561,3995924225000.0,978,42200,0.23500000000000001
2015-08-06,ALANKIT,EQ,222.5,222.55,223.8,221.65,223.75,223.3,222.74,185624,4134641520000.0005,981,37248,0.20070000000000002
2015-08-07,ALANKIT,EQ,223.3,224.0,224.0,221.1,221.8,221.8,221.77,180903,4011967250000.0,556,43682,0.2415
2015-08-10,ALANKIT,EQ,221.8,221.0,223.85,220.85,223.0,223.5,223.38,217614,4861113770000.0,1244,51833,0.2382
2015-08-11,ALANKIT,EQ,223.5,223.9,223.9,219.0,219.9,219.6,221.56,170640,3780630610000.0,1378,38900,0.228
2015-08-12,ALANKIT,EQ,219.6,219.9,220.9,216.0,217.0,216.9,217.76,177931,3874616375000.0,846,37358,0.21
2015-08-13,ALANKIT,EQ,216.9,216.15,219.9,216.1,216.2,218.4,218.52,133313,2913093225000.0,543,20260,0.152
2015-08-14,ALANKIT,EQ,218.4,216.9,223.9,215.25,223.7,223.4,220.93,170129,3758727540000.0,1000,31278,0.1838
2015-08-17,ALANKIT,EQ,223.4,223.7,224.0,218.05,218.6,218.75,220.33,164629,3627199750000.0,922,34137,0.2074
2015-08-18,ALANKIT,EQ,218.75,219.2,222.15,218.1,220.0,219.1,219.99,197297,4340425465000.0,1416,39956,0.2025
2015-08-19,ALANKIT,EQ,219.1,219.9,220.95,216.1,216.7,217.25,219.03,184087,4032138204999.9995,1200,45839,0.249
2015-08-20,ALANKIT,EQ,217.25,217.9,218.3,212.8,213.6,214.0,215.96,168575,3640523300000.0,1363,32254,0.1913
2015-08-21,ALANKIT,EQ,214.0,214.05,214.3,209.5,214.0,213.75,211.61,131886,2790848685000.0,868,27788,0.2107
2015-08-24,ALANKIT,EQ,213.75,205.55,206.9,201.2,202.1,201.7,203.27,118561,2409965835000.0,1112,32050,0.27030000000000004
2015-08-25,ALANKIT,EQ,201.7,205.8,208.9,200.0,208.9,208.45,205.53,112742,2317218220000.0,686,24152,0.21420000000000003
2015-08-26,ALANKIT,EQ,208.45,205.0,208.45,205.0,205.0,205.15,206.77,109418,2262417650000.0,1866,20258,0.18510000000000001
2015-08-27,ALANKIT,EQ,205.15,206.0,219.9,206.0,217.5,217.5,210.3,117251,2465802280000.0,963,27563,0.23510000000000003
2015-08-28,ALANKIT,EQ,217.5,219.8,221.9,215.2,219.2,218.85,219.19,229113,5021997970000.0,1792,40160,0.1753
2015-08-31,ALANKIT,EQ,218.85,220.0,220.1,216.5,216.8,217.8,218.01,109917,2396282010000.0,1601,32524,0.2959
2015-09-01,ALANKIT,EQ,217.8,217.0,218.9,213.0,214.1,215.75,216.43,168736,3651991470000.0005,1582,33326,0.1975
2015-09-02,ALANKIT,EQ,215.75,216.75,216.75,214.55,215.95,215.2,215.47,137946,2972263610000.0,1079,30002,0.2175
2015-09-03,ALANKIT,EQ,215.2,215.95,219.0,215.0,218.95,218.55,216.35,132974,2876875420000.0,1528,21310,0.16030000000000003
2015-09-04,ALANKIT,EQ,218.55,218.15,219.7,212.0,213.8,212.6,216.58,102543,2220909395000.0,674,22580,0.2202
2015-09-07,ALANKIT,EQ,212.6,212.0,213.3,207.15,207.15,209.4,212.21,133560,2834239970000.0,771,27040,0.2025
2015-09-08,ALANKIT,EQ,209.4,208.25,211.95,208.0,211.95,209.55,209.09,125416,2622367595000.0,602,30051,0.2396
2015-09-09,ALANKIT,EQ,209.55,211.0,214.7,210.7,214.4,214.0,211.78,135752,2874941965000.0,697,29930,0.2205
2015-09-10,ALANKIT,EQ,214.0,214.7,214.7,210.1,210.3,210.65,210.95,127563,2690906605000.0,716,27424,0.215
2015-09-11,ALANKIT,EQ,210.65,211.85,212.9,210.0,211.9,211.1,211.48,164081,3470036290000.0,1121,35402,0.2158
2015-09-14,ALANKIT,EQ,211.1,212.05,212.9,211.5,211.6,212.55,212.43,136743,2904775625000.0,674,27261,0.19940000000000002
2015-09-15,ALANKIT,EQ,212.55,212.75,212.8,207.1,210.0,210.05,210.27,146261,3075434205000.0,801,30213,0.2066
2015-09-16,ALANKIT,EQ,210.05,210.55,214.3,210.15,214.3,212.9,210.63,144293,3039280945000.0,680,27780,0.1925
