Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ENKEI,EQ,110.1,109.1,113.9,108.2,110.75,111.15,111.28,7021,78131185000.0,,1994,0.284
2010-10-05,ENKEI,EQ,111.15,110.0,116.5,110.0,116.5,116.25,111.44,1222,13617450000.0,,1100,0.9002
2010-10-06,ENKEI,EQ,116.25,110.0,113.9,110.0,111.0,111.0,110.82,332,3679300000.0,,291,0.8765000000000001
2010-10-07,ENKEI,EQ,111.0,115.75,115.75,111.0,111.0,111.1,112.15,80,897200000.0,,50,0.625
2010-10-08,ENKEI,EQ,111.1,115.75,115.75,111.0,111.5,111.5,111.31,430,4786125000.0,,414,0.9628
2010-10-11,ENKEI,EQ,111.5,111.5,116.0,111.0,116.0,116.0,113.17,450,5092825000.0,,443,0.9844
2010-10-13,ENKEI,EQ,116.0,111.05,114.0,111.0,113.45,112.1,112.22,3279,36795590000.0,,1727,0.5267000000000001
2010-10-14,ENKEI,EQ,112.1,110.7,117.8,110.7,112.0,112.0,111.73,1841,20568700000.0,,1300,0.7061000000000001
2010-10-15,ENKEI,EQ,112.0,121.0,121.0,111.1,111.1,111.5,112.8,1339,15104154999.999998,,1179,0.8805
2010-10-18,ENKEI,EQ,111.5,119.0,119.0,108.3,112.95,112.95,111.64,714,7971430000.0,,107,0.1499
2010-10-19,ENKEI,EQ,112.95,112.5,112.5,104.5,104.5,105.35,106.25,16768,178164050000.0,,5683,0.33890000000000003
2010-10-20,ENKEI,EQ,105.35,105.3,108.0,102.55,103.3,103.3,104.4,605,6316170000.0,,238,0.3934
2010-10-21,ENKEI,EQ,103.3,103.0,108.75,102.5,108.0,108.45,105.56,959,10123325000.0,,650,0.6778000000000001
2010-10-22,ENKEI,EQ,108.45,112.8,112.8,108.0,112.5,110.75,110.27,5462,60231960000.0,,4550,0.833
2010-10-25,ENKEI,EQ,110.75,111.6,113.0,105.8,108.0,111.2,110.87,5077,56289085000.0,,3803,0.7491
2010-10-26,ENKEI,EQ,111.2,112.0,113.85,110.0,111.0,112.15,111.07,19925,221300554999.99997,,17010,0.8537
2010-10-27,ENKEI,EQ,112.15,113.75,113.8,110.25,110.25,110.5,111.52,628,7003650000.0,,628,1.0
2010-10-28,ENKEI,EQ,110.5,110.35,110.35,109.0,109.0,109.0,110.23,1100,12125000000.0,,1100,1.0
2010-10-29,ENKEI,EQ,109.0,107.0,110.0,103.0,103.0,103.7,107.78,2371,25554505000.0,,619,0.2611
2010-11-01,ENKEI,EQ,103.7,103.9,108.9,103.0,103.0,103.0,105.82,1204,12741200000.0,,204,0.16940000000000002
2010-11-02,ENKEI,EQ,103.0,105.55,105.55,105.55,105.55,105.55,105.55,10,105550000.0,,10,1.0
2010-11-03,ENKEI,EQ,105.55,108.5,110.0,106.3,106.35,106.35,108.64,1164,12646120000.0,,536,0.46049999999999996
2010-11-04,ENKEI,EQ,106.35,101.05,104.7,101.05,104.7,104.7,102.32,16,163705000.0,,13,0.8125
2010-11-08,ENKEI,EQ,104.7,104.3,105.0,102.3,104.1,103.6,104.14,221,2301530000.0,,100,0.4525
2010-11-09,ENKEI,EQ,103.6,109.9,109.9,96.2,104.6,105.65,102.66,1863,19126475000.0,,900,0.48310000000000003
2010-11-10,ENKEI,EQ,105.65,101.0,110.0,101.0,102.1,102.65,104.17,3414,35565335000.0,,323,0.09460000000000002
2010-11-11,ENKEI,EQ,102.65,100.4,108.75,100.4,104.0,104.5,104.93,2751,28865500000.0,,1600,0.5816
2010-11-12,ENKEI,EQ,104.5,103.0,108.25,103.0,108.25,108.25,103.82,400,4152625000.0,,400,1.0
2010-11-16,ENKEI,EQ,108.25,104.0,105.8,104.0,105.8,104.35,104.14,1120,11664200000.0,,1120,1.0
2010-11-18,ENKEI,EQ,104.35,104.0,106.0,94.5,94.5,99.4,100.66,7628,76784525000.0,,5217,0.6839000000000001
2010-11-19,ENKEI,EQ,99.4,99.4,115.0,96.25,96.3,96.3,98.07,2308,22634205000.0,,1530,0.6629
2010-11-22,ENKEI,EQ,96.3,102.9,110.0,100.0,107.0,103.95,101.94,5010,51070350000.0,,3148,0.6283
2011-11-23,ALICON,EQ,75.0,76.0,76.0,71.25,71.25,71.25,71.29,111,791350000.0,5,110,0.991
2011-11-24,ALICON,EQ,71.25,67.7,67.7,67.7,67.7,67.7,67.7,50,338500000.0,3,50,1.0
2011-11-28,ALICON,EQ,67.7,65.0,69.0,65.0,69.0,69.0,65.67,60,394000000.0,2,50,0.8333
2011-11-30,ALICON,EQ,69.0,65.55,65.55,65.55,65.55,65.55,65.55,32,209760000.0,2,32,1.0
2011-12-01,ALICON,EQ,65.55,62.3,62.3,62.3,62.3,62.3,62.3,100,623000000.0,2,100,1.0
2011-12-07,ALICON,EQ,62.3,60.1,65.4,60.1,65.4,65.4,62.75,10,62750000.0,2,5,0.5
2011-12-08,ALICON,EQ,65.4,67.95,68.65,67.95,68.65,68.15,68.13,350,2384635000.0,6,350,1.0
2011-12-13,ALICON,EQ,68.15,64.9,65.1,64.9,65.1,65.1,65.0,20,130000000.0,2,20,1.0
2011-12-14,ALICON,EQ,65.1,62.1,67.8,62.1,63.15,63.15,62.79,160,1004620000.0000001,12,150,0.9375
2011-12-16,ALICON,EQ,63.15,63.0,66.3,60.8,60.8,60.8,62.7,341,2137950000.0,8,250,0.7331000000000001
2011-12-19,ALICON,EQ,60.8,59.5,63.5,59.5,63.4,63.4,60.05,153,918790000.0,6,151,0.9869
2011-12-21,ALICON,EQ,63.4,61.05,66.55,61.0,66.55,66.55,61.14,50,305680000.0,3,50,1.0
2011-12-22,ALICON,EQ,66.55,65.0,65.0,65.0,65.0,65.0,65.0,85,552500000.0,2,85,1.0
