Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ALKALI,EQ,102.55,103.0,103.9,102.1,102.1,102.5,102.78,26932,276809360000.0,,14266,0.5297
2010-10-05,ALKALI,EQ,102.5,102.6,102.95,101.15,102.0,101.8,102.04,42979,438561095000.0,,19526,0.4543
2010-10-06,ALKALI,EQ,101.8,102.1,104.6,102.0,104.5,103.8,103.6,70277,728103920000.0,,28217,0.40149999999999997
2010-10-07,ALKALI,EQ,103.8,103.0,106.9,102.5,103.45,103.15,104.95,71069,745903240000.0,,17606,0.2477
2010-10-08,ALKALI,EQ,103.15,103.15,104.55,101.65,103.0,102.3,102.94,26657,274407340000.0,,9713,0.3644
2010-10-11,ALKALI,EQ,102.3,104.0,104.5,102.05,102.6,102.35,102.75,19707,202491290000.0,,7799,0.3957
2010-10-12,ALKALI,EQ,102.35,101.85,103.0,101.3,101.8,101.8,102.07,19097,194925520000.0,,7705,0.4035
2010-10-13,ALKALI,EQ,101.8,102.2,103.75,102.1,102.7,102.5,102.6,18435,189139470000.0,,6895,0.374
2010-10-14,ALKALI,EQ,102.5,103.45,103.45,101.55,101.55,101.85,102.39,23048,235980565000.0,,9512,0.41270000000000007
2010-10-15,ALKALI,EQ,101.85,102.8,104.2,101.5,102.35,102.3,103.06,51456,530305334999.99994,,15261,0.29660000000000003
2010-10-18,ALKALI,EQ,102.3,101.7,102.3,100.25,101.0,100.95,101.12,18838,190483685000.0,,9736,0.5168
2010-10-19,ALKALI,EQ,100.95,101.2,102.3,100.2,101.3,100.85,101.42,19204,194774185000.0,,8340,0.4343
2010-10-20,ALKALI,EQ,100.85,101.3,101.7,100.1,100.4,100.4,100.71,15105,152124205000.0,,9239,0.6117
2010-10-21,ALKALI,EQ,100.4,101.5,101.75,100.1,100.5,100.25,100.55,24945,250832320000.00003,,11572,0.46390000000000003
2010-10-22,ALKALI,EQ,100.25,100.65,101.3,99.6,99.8,99.9,100.39,21537,216204620000.00003,,13382,0.6213000000000001
2010-10-25,ALKALI,EQ,99.9,100.85,100.85,99.05,99.35,99.3,99.74,23891,238288435000.0,,12156,0.5088
2010-10-26,ALKALI,EQ,99.3,98.55,101.0,98.55,99.2,99.1,99.64,26687,265909829999.99997,,12163,0.4558
2010-10-27,ALKALI,EQ,99.1,98.6,100.7,98.2,98.65,98.65,99.41,23410,232723535000.0,,9677,0.41340000000000005
2010-10-28,ALKALI,EQ,98.65,99.1,99.9,98.5,98.65,98.55,98.82,15665,154797785000.0,,8272,0.5281
2010-10-29,ALKALI,EQ,98.55,98.85,99.35,96.4,96.5,96.8,97.76,24950,243908645000.00003,,14976,0.6002000000000001
2010-11-01,ALKALI,EQ,96.8,97.2,98.5,96.1,96.3,96.5,97.32,22617,220101000000.0,,11588,0.5124000000000001
2010-11-02,ALKALI,EQ,96.5,96.3,96.95,94.65,95.65,95.1,95.65,24644,235714210000.0,,12395,0.503
2010-11-03,ALKALI,EQ,95.1,96.0,96.0,94.6,94.8,94.95,95.27,16526,157449460000.0,,8184,0.49520000000000003
2010-11-04,ALKALI,EQ,94.95,95.8,95.8,94.7,95.2,95.1,95.27,15435,147051310000.0,,8672,0.5618
2010-11-05,ALKALI,EQ,95.1,96.0,96.85,95.25,95.9,96.2,96.04,4168,40029940000.0,,3055,0.733
2010-11-08,ALKALI,EQ,96.2,95.55,97.1,94.2,94.8,94.65,95.33,30909,294643240000.0,,18720,0.6056
2010-11-09,ALKALI,EQ,94.65,95.0,95.8,94.6,94.75,94.9,95.05,31688,301179605000.0,,19028,0.6005
2010-11-10,ALKALI,EQ,94.9,95.0,97.2,94.45,95.0,95.5,95.9,40677,390109205000.0,,12976,0.319
2010-11-11,ALKALI,EQ,95.5,95.7,106.0,95.2,100.05,100.1,101.24,258174,2613847345000.0,,66003,0.2557
2010-11-12,ALKALI,EQ,100.1,100.7,102.4,96.0,96.1,96.7,99.75,57160,570146540000.0,,21891,0.383
2010-11-15,ALKALI,EQ,96.7,96.1,98.0,95.0,95.05,95.3,95.98,24270,232950800000.0,,10336,0.42590000000000006
2010-11-16,ALKALI,EQ,95.3,95.05,96.2,91.7,93.0,92.35,93.57,41347,386890475000.0,,15187,0.36729999999999996
2010-11-18,ALKALI,EQ,92.35,92.05,93.9,88.5,89.25,89.4,90.55,37816,342413545000.0,,16282,0.43060000000000004
2010-11-19,ALKALI,EQ,89.4,88.65,90.0,85.05,86.0,86.15,87.66,39694,347945135000.0,,16093,0.4054
2010-11-22,ALKALI,EQ,86.15,86.5,93.8,85.2,91.45,92.05,91.06,256976,2339979920000.0,,29958,0.11660000000000001
2010-11-23,ALKALI,EQ,92.05,91.75,91.75,87.2,87.3,87.95,89.06,41866,372849950000.0,,12508,0.2988
2010-11-24,ALKALI,EQ,87.95,88.7,90.45,86.1,86.6,87.7,89.09,45711,407223870000.0,,11450,0.2505
2010-11-25,ALKALI,EQ,87.7,88.0,88.9,84.6,84.9,84.95,85.95,19353,166338645000.0,,10029,0.5182
2010-11-26,ALKALI,EQ,84.95,84.55,86.0,76.1,77.55,77.8,79.7,40675,324189245000.0,,19145,0.4707
2010-11-29,ALKALI,EQ,77.8,78.5,85.2,75.0,83.05,82.75,82.14,152355,1251465110000.0,,19669,0.1291
2010-11-30,ALKALI,EQ,82.75,82.0,83.0,80.4,81.15,81.05,81.35,33319,271055765000.0,,13612,0.40850000000000003
2010-12-01,ALKALI,EQ,81.05,81.6,84.5,81.0,83.25,83.25,83.28,35921,299142390000.0,,11002,0.3063
2010-12-02,ALKALI,EQ,83.25,83.5,84.6,82.0,82.4,82.75,83.49,42589,355567010000.0,,16679,0.39159999999999995
2010-12-03,ALKALI,EQ,82.75,83.0,83.65,79.05,80.45,80.3,81.21,18496,150203975000.0,,7470,0.40390000000000004
2010-12-06,ALKALI,EQ,80.3,79.85,83.2,79.0,79.65,80.1,81.28,16373,133078710000.00002,,6437,0.3931
2010-12-07,ALKALI,EQ,80.1,79.6,80.25,77.25,78.2,77.85,78.23,20997,164265125000.0,,10313,0.49119999999999997
2010-12-08,ALKALI,EQ,77.85,77.0,78.1,76.25,77.6,77.25,77.1,15372,118512580000.0,,6832,0.44439999999999996
2010-12-09,ALKALI,EQ,77.25,78.0,78.55,71.1,71.9,72.2,74.2,29404,218179045000.00003,,16075,0.5467000000000001
2010-12-10,ALKALI,EQ,72.2,71.55,74.25,70.0,72.5,72.85,72.41,21350,154604830000.0,,8790,0.4117
2010-12-13,ALKALI,EQ,72.85,78.1,78.1,73.7,74.3,74.65,74.48,25629,190872180000.0,,6172,0.2408
2010-12-14,ALKALI,EQ,74.65,75.5,78.3,73.0,76.0,75.9,76.0,18772,142674100000.0,,9941,0.5296000000000001
2010-12-15,ALKALI,EQ,75.9,75.0,77.5,74.1,75.05,75.25,75.77,16125,122177564999.99998,,4970,0.30820000000000003
2010-12-16,ALKALI,EQ,75.25,74.0,76.0,74.0,75.35,74.85,74.87,10403,77882385000.0,,6591,0.6336
2010-12-20,ALKALI,EQ,74.85,74.0,75.8,74.0,74.0,74.2,74.77,14425,107861364999.99998,,7017,0.4864
2010-12-21,ALKALI,EQ,74.2,74.5,76.0,74.25,74.3,74.45,74.9,9471,70941185000.0,,3207,0.3386
2010-12-22,ALKALI,EQ,74.45,74.05,76.8,74.05,75.25,74.85,75.42,20430,154082935000.0,,9406,0.4604
2010-12-23,ALKALI,EQ,74.85,74.8,75.9,74.5,74.55,74.9,75.13,15720,118111085000.00002,,8223,0.5231
2010-12-24,ALKALI,EQ,74.9,74.8,75.0,73.5,74.0,73.9,74.31,8737,64925335000.0,,4239,0.4852
2010-12-27,ALKALI,EQ,73.9,70.0,75.7,70.0,74.7,74.65,74.67,9594,71635350000.0,,4066,0.4238
2010-12-28,ALKALI,EQ,74.65,74.25,75.15,74.1,74.6,74.35,74.59,10796,80531910000.0,,4815,0.446
2010-12-29,ALKALI,EQ,74.35,75.0,78.0,74.15,75.85,76.1,76.38,27608,210856810000.0,,9517,0.3447
2010-12-30,ALKALI,EQ,76.1,75.1,76.8,75.1,75.15,75.5,75.61,14330,108348405000.0,,6810,0.47520000000000007
2010-12-31,ALKALI,EQ,75.5,75.15,78.45,75.0,77.45,77.2,77.29,22878,176829980000.0,,8080,0.3532
2011-01-03,ALKALI,EQ,77.2,77.0,79.45,76.5,78.0,78.25,78.47,29917,234755635000.0,,10604,0.3544
2011-01-04,ALKALI,EQ,78.25,78.8,79.2,77.0,77.3,77.4,77.91,23412,182391285000.0,,9554,0.4081
2011-01-05,ALKALI,EQ,77.4,76.8,78.65,76.3,76.3,76.5,77.42,16093,124585980000.0,,6775,0.42100000000000004
2011-01-06,ALKALI,EQ,76.5,77.0,77.65,76.0,77.0,76.55,76.42,13042,99661480000.0,,6074,0.4657
2011-01-07,ALKALI,EQ,76.55,76.55,76.85,73.0,73.4,73.75,74.61,12607,94056850000.0,,7780,0.6171
2011-01-10,ALKALI,EQ,73.75,73.0,80.5,72.25,73.65,73.2,76.71,212443,1629630125000.0,,18489,0.087
2011-01-11,ALKALI,EQ,73.2,72.6,74.0,71.0,71.0,71.65,72.4,23963,173503845000.0,,7848,0.3275
2011-01-12,ALKALI,EQ,71.65,71.35,73.2,70.2,71.85,71.6,71.39,18012,128594905000.0,,6899,0.383
2011-01-13,ALKALI,EQ,71.6,71.8,74.8,70.55,70.9,71.45,72.76,40092,291689525000.0,,9117,0.2274
2011-01-14,ALKALI,EQ,71.45,71.0,72.25,68.7,69.4,69.55,70.67,12027,84989745000.0,,6559,0.5454
2011-01-17,ALKALI,EQ,69.55,69.55,70.7,67.5,68.45,67.9,68.81,12827,88265270000.0,,6828,0.5323
2011-01-18,ALKALI,EQ,67.9,69.95,69.95,67.3,68.5,67.8,68.17,9590,65376244999.99999,,4669,0.4869
2011-01-19,ALKALI,EQ,67.8,68.0,68.45,67.35,68.0,67.75,67.74,15067,102063005000.0,,6796,0.4511
2011-01-20,ALKALI,EQ,67.75,67.5,68.2,66.1,67.0,67.35,67.26,16665,112085239999.99998,,5605,0.33630000000000004
2011-01-21,ALKALI,EQ,67.35,68.9,68.9,66.7,67.0,67.4,67.55,8776,59280650000.0,,4403,0.5017
2011-01-24,ALKALI,EQ,67.4,67.0,71.75,67.0,67.3,67.7,68.09,11789,80274660000.0,,4991,0.42340000000000005
2011-01-25,ALKALI,EQ,67.7,67.4,68.75,67.0,67.7,67.9,67.79,13074,88622315000.0,,4362,0.3336
2011-01-27,ALKALI,EQ,67.9,67.65,68.7,67.15,67.15,67.65,67.98,14536,98810950000.0,,6056,0.41659999999999997
2011-01-28,ALKALI,EQ,67.65,67.05,68.8,62.1,63.0,63.65,64.51,25979,167580710000.0,,11651,0.4485
2011-01-31,ALKALI,EQ,63.65,62.5,63.0,57.0,60.7,61.35,60.93,10342,63016610000.0,,4716,0.456
