Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ALOKTEXT,EQ,21.3,21.35,21.7,21.1,21.15,21.15,21.36,1881180,4018342150000.0,,729119,0.3876
2010-10-05,ALOKTEXT,EQ,21.15,21.25,21.7,21.15,21.5,21.45,21.42,2860523,6127781645000.0,,888854,0.31070000000000003
2010-10-06,ALOKTEXT,EQ,21.45,21.6,22.2,21.4,21.65,21.75,21.79,4405794,9601704550000.0,,1261333,0.2863
2010-10-07,ALOKTEXT,EQ,21.75,22.0,22.45,21.55,21.8,21.65,21.96,4168004,9151481565000.0,,1514148,0.3633
2010-10-08,ALOKTEXT,EQ,21.65,21.85,22.15,21.35,21.6,21.55,21.77,3613348,7867983755000.0,,1117788,0.3093
2010-10-11,ALOKTEXT,EQ,21.55,21.8,21.9,21.5,21.6,21.6,21.65,1663070,3600831445000.0005,,759862,0.4569
2010-10-12,ALOKTEXT,EQ,21.6,21.65,21.7,21.1,21.2,21.2,21.31,2079049,4429513040000.0,,1229780,0.5915
2010-10-13,ALOKTEXT,EQ,21.2,21.3,23.2,21.25,22.45,22.45,22.43,20119779,45129292770000.0,,4809884,0.2391
2010-10-14,ALOKTEXT,EQ,22.45,22.5,22.8,21.85,22.15,22.0,22.36,5360660,11983921540000.0,,1727811,0.3223
2010-10-15,ALOKTEXT,EQ,22.0,22.1,23.75,21.9,22.75,22.7,23.11,16924544,39112577745000.0,,4813371,0.28440000000000004
2010-10-18,ALOKTEXT,EQ,22.7,23.0,23.85,22.7,23.6,23.7,23.41,16583647,38827937570000.0,,6114694,0.36869999999999997
2010-10-19,ALOKTEXT,EQ,23.7,24.25,24.25,23.6,23.7,23.9,24.06,16653738,40066780660000.0,,6456367,0.38770000000000004
2010-10-20,ALOKTEXT,EQ,23.9,24.1,24.9,24.05,24.5,24.5,24.62,26106974,64277525129999.99,,9689973,0.3712
2010-10-21,ALOKTEXT,EQ,24.5,25.0,25.0,24.05,24.2,24.2,24.46,12637945,30918357560000.004,,4778067,0.37810000000000005
2010-10-22,ALOKTEXT,EQ,24.2,24.4,24.75,23.8,23.95,23.95,24.26,8592882,20842379570000.0,,3604835,0.41950000000000004
2010-10-25,ALOKTEXT,EQ,23.95,24.2,25.9,24.1,25.5,25.55,25.34,33410044,84649478650000.0,,14329299,0.4289
2010-10-26,ALOKTEXT,EQ,25.55,26.1,26.1,25.15,25.4,25.4,25.6,14578739,37316392090000.0,,5689927,0.39030000000000004
2010-10-27,ALOKTEXT,EQ,25.4,25.7,25.95,25.2,25.8,25.7,25.54,16474711,42072163270000.0,,7743394,0.47000000000000003
2010-10-28,ALOKTEXT,EQ,25.7,25.85,27.9,25.8,27.2,27.1,27.0,57942278,156432952490000.0,,20130845,0.34740000000000004
2010-10-29,ALOKTEXT,EQ,27.1,27.25,28.45,26.4,27.1,27.15,27.31,59980364,163806290325000.0,,13469295,0.22460000000000002
2010-11-01,ALOKTEXT,EQ,27.15,27.65,28.8,27.35,28.5,28.5,28.19,31650614,89209416660000.0,,9211004,0.29100000000000004
2010-11-02,ALOKTEXT,EQ,28.5,28.7,29.45,28.45,29.05,29.05,29.07,34410701,100030481355000.0,,10324813,0.3
2010-11-03,ALOKTEXT,EQ,29.05,29.35,29.6,28.5,28.55,28.65,28.98,18548525,53760627810000.0,,5658348,0.30510000000000004
2010-11-04,ALOKTEXT,EQ,28.65,28.85,28.9,28.4,28.75,28.7,28.64,13549374,38801870050000.0,,4318599,0.31870000000000004
2010-11-05,ALOKTEXT,EQ,28.7,28.75,29.5,28.75,29.3,29.25,29.3,7440003,21799358585000.0,,3258832,0.438
2010-11-08,ALOKTEXT,EQ,29.25,29.5,30.8,28.9,30.8,30.55,30.18,26362240,79552130810000.0,,9082845,0.34450000000000003
2010-11-09,ALOKTEXT,EQ,30.55,30.9,32.1,30.75,32.0,31.9,31.47,30432112,95778973565000.0,,7579291,0.24910000000000002
2010-11-10,ALOKTEXT,EQ,31.9,32.0,33.25,31.8,33.2,33.05,32.61,25745512,83957177395000.0,,6574776,0.2554
2010-11-11,ALOKTEXT,EQ,33.05,33.8,35.0,32.95,33.55,33.35,34.03,48192149,164021091975000.0,,13200249,0.27390000000000003
2010-11-12,ALOKTEXT,EQ,33.35,33.0,34.25,30.4,30.5,30.75,32.0,54192299,173413924220000.0,,13921010,0.2569
2010-11-15,ALOKTEXT,EQ,30.75,31.0,31.4,29.45,31.3,31.0,30.67,36681952,112496395095000.0,,7065558,0.19260000000000002
2010-11-16,ALOKTEXT,EQ,31.0,31.25,32.0,29.9,30.4,30.3,30.81,37237677,114715926725000.0,,6520443,0.1751
2010-11-18,ALOKTEXT,EQ,30.3,30.5,31.25,29.25,30.6,30.55,30.3,27682887,83881313940000.0,,4441977,0.1605
2010-11-19,ALOKTEXT,EQ,30.55,30.6,30.9,28.8,29.2,29.25,30.13,21431545,64575194445000.01,,4567719,0.21309999999999998
2010-11-22,ALOKTEXT,EQ,29.25,29.8,30.45,29.3,30.35,30.3,29.9,20033921,59901372704999.99,,3784543,0.1889
2010-11-23,ALOKTEXT,EQ,30.3,30.1,30.25,27.2,29.05,29.05,29.01,24996135,72511907295000.0,,4376222,0.1751
2010-11-24,ALOKTEXT,EQ,29.05,29.0,29.8,28.2,28.6,28.6,29.26,16800154,49159953230000.0,,3120180,0.1857
2010-11-25,ALOKTEXT,EQ,28.6,28.8,29.65,28.65,29.35,29.25,29.22,20246057,59150954100000.0,,6106769,0.30160000000000003
2010-11-26,ALOKTEXT,EQ,29.25,29.5,29.6,25.2,26.45,26.3,27.03,29070766,78588150555000.0,,7551272,0.25980000000000003
2010-11-29,ALOKTEXT,EQ,26.3,26.0,27.7,25.8,27.5,27.3,26.76,14457187,38680872900000.0,,3201496,0.2214
2010-11-30,ALOKTEXT,EQ,27.3,27.5,28.1,26.5,27.7,27.9,27.38,17524089,47980604080000.0,,2935937,0.1675
2010-12-01,ALOKTEXT,EQ,27.9,28.0,28.65,27.75,28.65,28.55,28.4,12308946,34952965845000.0,,2745148,0.223
2010-12-02,ALOKTEXT,EQ,28.55,28.6,29.25,28.25,28.6,28.65,28.72,14224436,40856978240000.0,,3171167,0.2229
2010-12-03,ALOKTEXT,EQ,28.65,29.2,29.2,27.25,27.6,27.55,27.74,12905503,35800428735000.0,,2477942,0.192
