Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ALPHAGEO,EQ,210.9,210.35,215.0,200.1,204.5,204.45,205.24,21324,437652245000.0,,11994,0.5625
2010-10-05,ALPHAGEO,EQ,204.45,203.5,212.9,203.5,208.2,209.0,210.08,26540,557540095000.0,,11399,0.42950000000000005
2010-10-06,ALPHAGEO,EQ,209.0,211.95,212.0,208.5,208.5,209.55,210.31,8194,172328130000.0,,4431,0.5408
2010-10-07,ALPHAGEO,EQ,209.55,210.0,212.6,206.0,208.95,207.4,210.47,9383,197484915000.0,,4862,0.5182
2010-10-08,ALPHAGEO,EQ,207.4,205.0,209.15,201.3,204.75,202.3,204.23,11447,233780575000.0,,7817,0.6829000000000001
2010-10-11,ALPHAGEO,EQ,202.3,206.0,206.0,196.0,196.25,196.8,199.3,6070,120972989999.99998,,4857,0.8002
2010-10-12,ALPHAGEO,EQ,196.8,198.95,205.0,196.0,197.0,198.55,200.1,10627,212645660000.0,,4112,0.38689999999999997
2010-10-13,ALPHAGEO,EQ,198.55,197.25,205.8,197.25,201.0,199.25,201.29,12943,260529345000.00003,,7080,0.547
2010-10-14,ALPHAGEO,EQ,199.25,202.4,205.0,194.55,199.0,198.4,198.48,8091,160591175000.0,,6247,0.7721
2010-10-15,ALPHAGEO,EQ,198.4,197.0,198.05,193.4,193.4,194.2,195.72,4714,92262690000.0,,4006,0.8498000000000001
2010-10-18,ALPHAGEO,EQ,194.2,195.0,208.7,193.0,208.0,205.4,201.36,25195,507315440000.00006,,14040,0.5573
2010-10-19,ALPHAGEO,EQ,205.4,209.0,212.05,205.1,208.0,206.55,208.93,15683,327667165000.0,,9698,0.6184000000000001
2010-10-20,ALPHAGEO,EQ,206.55,206.0,209.0,203.0,206.7,206.7,206.55,9996,206465720000.0,,7802,0.7805
2010-10-21,ALPHAGEO,EQ,206.7,209.7,209.7,201.5,205.0,203.75,204.83,6022,123349160000.00002,,4975,0.8261000000000001
2010-10-22,ALPHAGEO,EQ,203.75,203.0,210.55,202.75,204.0,204.65,206.8,13861,286640095000.0,,9697,0.6996
2010-10-25,ALPHAGEO,EQ,204.65,205.9,207.0,197.05,203.25,205.4,203.74,8591,175034985000.0,,6119,0.7123
2010-10-26,ALPHAGEO,EQ,205.4,202.05,206.5,199.3,199.95,199.55,201.75,3131,63169060000.0,,2019,0.6448
2010-10-27,ALPHAGEO,EQ,199.55,198.5,202.0,198.0,202.0,200.85,199.43,4375,87251960000.0,,3286,0.7511
2010-10-28,ALPHAGEO,EQ,200.85,198.35,210.25,198.35,205.5,204.75,206.88,16492,341181170000.0,,7137,0.4328
2010-10-29,ALPHAGEO,EQ,204.75,204.75,204.75,196.6,197.1,197.55,200.05,3821,76438030000.0,,2529,0.6619
2010-11-01,ALPHAGEO,EQ,197.55,199.5,203.75,194.2,197.3,196.7,198.62,4918,97683305000.0,,3719,0.7562000000000001
2010-11-02,ALPHAGEO,EQ,196.7,197.3,199.95,196.1,196.1,197.45,197.5,920,18169825000.0,,723,0.7859
2010-11-03,ALPHAGEO,EQ,197.45,193.3,199.5,193.3,196.0,196.1,196.96,1012,19932730000.0,,913,0.9022
