Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ANDHRSUGAR,EQ,130.55,130.5,131.9,127.25,128.0,127.75,129.87,56955,739678775000.0,,43982,0.7722
2010-10-05,ANDHRSUGAR,EQ,127.75,128.05,129.3,127.1,127.8,127.35,128.04,14931,191183170000.0,,7178,0.4807
2010-10-06,ANDHRSUGAR,EQ,127.35,127.1,129.4,127.1,128.05,128.05,128.36,20719,265956554999.99997,,12040,0.5811000000000001
2010-10-07,ANDHRSUGAR,EQ,128.05,128.05,128.95,126.5,127.15,127.1,127.85,27340,349528975000.0,,19477,0.7123999999999999
2010-10-08,ANDHRSUGAR,EQ,127.1,127.95,127.95,125.1,125.95,125.45,126.31,15520,196027810000.0,,11211,0.7223999999999999
2010-10-11,ANDHRSUGAR,EQ,125.45,127.0,127.75,125.75,126.15,126.2,126.57,15615,197633970000.0,,10297,0.6594
2010-10-12,ANDHRSUGAR,EQ,126.2,126.5,126.95,124.45,125.5,125.4,125.36,16321,204599795000.0,,10764,0.6595000000000001
2010-10-13,ANDHRSUGAR,EQ,125.4,127.95,129.4,125.6,126.5,126.3,126.6,9693,122708855000.0,,5534,0.5709000000000001
2010-10-14,ANDHRSUGAR,EQ,126.3,126.5,126.95,125.0,125.5,125.45,125.8,19191,241428420000.00003,,14375,0.7490000000000001
2010-10-15,ANDHRSUGAR,EQ,125.45,126.0,126.4,124.0,124.5,124.3,124.97,12698,158692535000.0,,11000,0.8663
2010-10-18,ANDHRSUGAR,EQ,124.3,123.05,125.45,123.0,123.6,123.4,123.4,12846,158513820000.0,,8568,0.667
2010-10-19,ANDHRSUGAR,EQ,123.4,123.0,124.45,122.7,123.3,122.95,123.24,12777,157468160000.0,,11186,0.8755
2010-10-20,ANDHRSUGAR,EQ,122.95,122.15,126.45,122.15,123.9,123.9,124.71,23076,287788345000.0,,8949,0.38780000000000003
2010-10-21,ANDHRSUGAR,EQ,123.9,129.4,129.4,123.25,124.1,124.4,124.76,12176,151912865000.0,,6427,0.5278
2010-10-22,ANDHRSUGAR,EQ,124.4,126.0,126.95,124.4,124.85,124.9,125.46,13609,170738015000.0,,6345,0.4662
2010-10-25,ANDHRSUGAR,EQ,124.9,124.05,124.05,120.1,120.55,120.5,121.21,52703,638793330000.0,,40116,0.7612000000000001
2010-10-26,ANDHRSUGAR,EQ,120.5,121.0,122.8,118.95,121.55,121.85,120.31,31540,379471100000.0,,12318,0.39060000000000006
2010-10-27,ANDHRSUGAR,EQ,121.85,121.0,121.4,118.7,120.0,119.85,120.01,16793,201540360000.0,,13663,0.8136
2010-10-28,ANDHRSUGAR,EQ,119.85,120.0,120.45,118.25,118.5,118.95,119.57,7993,95575040000.0,,7047,0.8815999999999999
2010-10-29,ANDHRSUGAR,EQ,118.95,119.0,119.0,117.55,118.2,118.25,118.09,8906,105171125000.0,,7236,0.8125
2010-11-01,ANDHRSUGAR,EQ,118.25,118.2,119.9,116.65,117.25,117.0,117.59,22175,260760590000.0,,17817,0.8035
2010-11-02,ANDHRSUGAR,EQ,117.0,118.4,118.4,116.75,117.85,117.45,117.48,7018,82445520000.0,,4784,0.6817000000000001
2010-11-03,ANDHRSUGAR,EQ,117.45,118.0,120.45,117.15,118.25,118.8,118.98,11530,137181614999.99998,,7043,0.6108
2010-11-04,ANDHRSUGAR,EQ,118.8,119.0,119.85,116.85,118.0,117.9,117.38,21584,253343285000.0,,16534,0.766
2010-11-05,ANDHRSUGAR,EQ,117.9,117.0,121.5,117.0,120.5,120.3,119.98,19471,233619204999.99997,,15616,0.802
2010-11-08,ANDHRSUGAR,EQ,120.3,120.5,127.8,119.35,124.8,125.05,124.8,99228,1238392170000.0,,42361,0.4269
2010-11-09,ANDHRSUGAR,EQ,125.05,125.0,126.95,123.1,124.8,124.65,125.09,32147,402136800000.0,,21681,0.6744
2010-11-10,ANDHRSUGAR,EQ,124.65,124.45,127.7,123.8,126.0,125.45,126.04,22472,283239565000.0,,8429,0.3751
2010-11-11,ANDHRSUGAR,EQ,125.45,125.55,126.35,123.45,124.7,123.95,125.46,18964,237924965000.0,,14874,0.7843000000000001
2010-11-12,ANDHRSUGAR,EQ,123.95,122.55,123.95,119.85,120.05,120.15,121.76,27034,329155290000.0,,23463,0.8679000000000001
2010-11-15,ANDHRSUGAR,EQ,120.15,121.3,122.95,119.0,122.0,121.9,121.12,8344,101064150000.0,,5613,0.6727
2010-11-16,ANDHRSUGAR,EQ,121.9,122.0,122.45,118.5,119.15,119.45,119.61,18143,217007825000.0,,14737,0.8123
2010-11-18,ANDHRSUGAR,EQ,119.45,120.0,120.2,116.1,117.6,117.7,117.98,10579,124809675000.0,,6370,0.6021
2010-11-19,ANDHRSUGAR,EQ,117.7,117.5,118.95,115.95,116.4,116.35,116.97,8034,93971050000.0,,6014,0.7486
2010-11-22,ANDHRSUGAR,EQ,116.35,116.0,117.0,115.0,116.25,115.9,115.87,5956,69010450000.0,,3835,0.6439
2010-11-23,ANDHRSUGAR,EQ,115.9,116.0,116.65,113.85,113.9,114.2,114.98,8900,102335945000.0,,6906,0.7759999999999999
2010-11-24,ANDHRSUGAR,EQ,114.2,113.55,116.9,113.55,115.7,115.65,115.89,8085,93697350000.0,,5989,0.7408
2010-11-25,ANDHRSUGAR,EQ,115.65,115.95,116.45,112.9,114.0,113.5,115.04,13630,156806030000.0,,9855,0.723
2010-11-26,ANDHRSUGAR,EQ,113.5,114.45,114.45,108.5,109.7,110.3,110.94,23998,266229460000.0,,13131,0.5472
2010-11-29,ANDHRSUGAR,EQ,110.3,111.0,112.95,109.25,111.0,110.85,110.76,10599,117389705000.0,,7248,0.6838
2010-11-30,ANDHRSUGAR,EQ,110.85,110.0,113.95,108.25,112.4,113.05,112.21,8908,99959340000.0,,4796,0.5384000000000001
2010-12-01,ANDHRSUGAR,EQ,113.05,113.45,116.45,113.45,114.1,114.4,114.85,16973,194928400000.0,,7871,0.4637
2010-12-02,ANDHRSUGAR,EQ,114.4,114.3,118.4,114.0,115.5,115.8,116.07,38173,443061300000.0,,14129,0.3701
