Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ANSALAPI,EQ,94.95,95.8,97.4,92.2,93.0,93.0,95.16,672530,6399865015000.0,,188060,0.2796
2010-10-05,ANSALAPI,EQ,93.0,93.5,94.7,90.1,90.5,91.4,92.79,854762,7931315305000.0,,218601,0.2557
2010-10-06,ANSALAPI,EQ,91.4,93.1,93.9,90.0,91.7,91.05,92.09,1118111,10296885215000.0,,385052,0.3444
2010-10-07,ANSALAPI,EQ,91.05,91.1,93.3,88.65,89.5,89.75,91.77,741369,6803507540000.001,,293988,0.3965
2010-10-08,ANSALAPI,EQ,89.75,90.0,90.95,87.0,87.25,88.05,88.94,735509,6541372815000.0,,349520,0.47520000000000007
2010-10-11,ANSALAPI,EQ,88.05,88.55,91.4,88.25,90.0,90.65,90.03,508533,4578494600000.0,,344138,0.6767000000000001
2010-10-12,ANSALAPI,EQ,90.65,90.8,91.0,88.0,88.0,89.25,89.73,311581,2795940655000.0,,150237,0.4822
2010-10-13,ANSALAPI,EQ,89.25,89.5,93.8,89.35,92.55,93.45,92.7,1696554,15727206219999.998,,555561,0.3275
2010-10-14,ANSALAPI,EQ,93.45,93.2,96.85,92.9,95.4,96.45,95.36,2242598,21385686475000.0,,597250,0.2663
2010-10-15,ANSALAPI,EQ,96.45,96.2,97.7,94.15,94.7,96.1,96.85,984748,9537506040000.0,,384434,0.3904
2010-10-18,ANSALAPI,EQ,96.1,95.8,96.85,92.2,94.7,95.3,94.93,516568,4903761100000.0,,164409,0.31829999999999997
2010-10-19,ANSALAPI,EQ,95.3,95.5,95.5,91.2,91.2,92.25,92.82,922584,8563324050000.0,,649023,0.7034999999999999
2010-10-20,ANSALAPI,EQ,92.25,94.45,94.45,90.2,91.0,91.0,91.62,291372,2669467870000.0,,126646,0.4347
2010-10-21,ANSALAPI,EQ,91.0,91.3,92.1,88.6,89.45,89.6,90.65,578140,5240685705000.0,,340310,0.5886
2010-10-22,ANSALAPI,EQ,89.6,89.9,90.8,87.5,87.7,88.2,89.1,296119,2638428685000.0,,198274,0.6696
2010-10-25,ANSALAPI,EQ,88.2,89.0,90.25,88.0,88.5,88.3,89.17,294402,2625212275000.0,,142919,0.4855
2010-10-26,ANSALAPI,EQ,88.3,88.6,89.5,88.15,88.8,88.5,88.8,176230,1564945535000.0,,111532,0.6329
2010-10-27,ANSALAPI,EQ,88.5,88.5,89.45,88.0,88.4,88.35,88.5,283483,2508844580000.0,,246313,0.8689
2010-10-28,ANSALAPI,EQ,88.35,88.6,89.25,86.1,86.45,86.6,87.2,215471,1878846705000.0,,78612,0.36479999999999996
2010-10-29,ANSALAPI,EQ,86.6,86.8,87.8,86.0,87.5,87.1,87.08,312964,2725178020000.0,,235464,0.7524
2010-11-01,ANSALAPI,EQ,87.1,87.4,91.75,87.4,89.8,90.4,90.6,1255205,11371909950000.0,,487561,0.3884
2010-11-02,ANSALAPI,EQ,90.4,90.7,91.3,86.45,86.75,86.8,88.5,509934,4512763210000.0,,280311,0.5497
2010-11-03,ANSALAPI,EQ,86.8,87.1,89.2,84.75,85.0,85.0,87.7,1031702,9048345670000.0,,326089,0.3161
2010-11-04,ANSALAPI,EQ,85.0,84.4,87.85,84.4,84.9,85.2,85.82,882794,7576177300000.0,,236820,0.2683
2010-11-05,ANSALAPI,EQ,85.2,86.45,88.7,84.25,85.0,85.15,85.43,313105,2674943010000.0,,98989,0.31620000000000004
2010-11-08,ANSALAPI,EQ,85.15,85.4,86.4,82.45,83.45,83.05,83.76,776056,6500545940000.0,,294862,0.3799
2010-11-09,ANSALAPI,EQ,83.05,83.3,84.65,83.2,84.3,83.85,84.0,200182,1681438620000.0,,99342,0.4963
2010-11-10,ANSALAPI,EQ,83.85,84.25,85.9,84.05,85.05,84.5,85.12,259300,2207202780000.0,,90696,0.3498
2010-11-11,ANSALAPI,EQ,84.5,85.45,88.8,85.15,88.0,88.15,87.74,1860620,16324716455000.002,,536382,0.2883
2010-11-12,ANSALAPI,EQ,88.15,88.2,89.8,84.0,84.65,86.15,87.12,1042190,9079915245000.0,,298467,0.2864
2010-11-15,ANSALAPI,EQ,86.15,86.0,86.0,83.1,84.45,84.25,84.19,161757,1361868300000.0,,103399,0.6392
2010-11-16,ANSALAPI,EQ,84.25,85.3,86.4,80.3,81.05,82.05,84.23,641523,5403239325000.0,,230370,0.3591
2010-11-18,ANSALAPI,EQ,82.05,82.5,82.5,72.05,81.0,80.85,75.98,2703489,20541862420000.0,,978274,0.3619
2010-11-19,ANSALAPI,EQ,80.85,81.1,81.65,76.8,78.5,77.9,79.0,815358,6441273345000.0,,243785,0.299
2010-11-22,ANSALAPI,EQ,77.9,78.7,80.75,77.2,78.2,79.55,79.63,346441,2758709930000.0,,132903,0.3836
2010-11-23,ANSALAPI,EQ,79.55,78.4,79.5,75.15,75.65,75.8,76.87,185476,1425714155000.0,,96978,0.5229
2010-11-24,ANSALAPI,EQ,75.8,74.0,78.8,73.1,73.3,75.45,76.78,284065,2180923735000.0002,,76625,0.2697
2010-11-25,ANSALAPI,EQ,75.45,76.0,76.0,65.1,67.0,66.7,68.05,1938384,13191041920000.0,,987797,0.5096
2010-11-26,ANSALAPI,EQ,66.7,70.0,80.05,59.05,59.9,60.2,63.46,1026509,6514587185000.0,,498036,0.4852
2010-11-29,ANSALAPI,EQ,60.2,61.0,62.5,58.0,60.65,60.65,59.79,445109,2661327520000.0,,180121,0.4047
2010-11-30,ANSALAPI,EQ,60.65,60.2,65.0,59.1,63.5,63.85,63.4,710783,4506340730000.0,,332276,0.4675
2010-12-01,ANSALAPI,EQ,63.85,65.5,67.8,64.2,67.0,66.85,66.74,380882,2542042940000.0,,160698,0.4219
2010-12-02,ANSALAPI,EQ,66.85,67.9,69.45,66.5,67.35,67.75,68.12,459173,3127720805000.0,,190067,0.4139
2010-12-03,ANSALAPI,EQ,67.75,67.85,68.4,61.95,63.0,62.9,64.01,266459,1705589030000.0,,136627,0.5128
2010-12-06,ANSALAPI,EQ,62.9,63.2,64.9,62.25,63.0,62.55,63.33,143360,907908025000.0,,73067,0.5097
2010-12-07,ANSALAPI,EQ,62.55,62.6,63.0,60.1,61.25,60.75,61.4,157566,967382255000.0001,,70115,0.445
2010-12-08,ANSALAPI,EQ,60.75,61.85,61.85,59.0,59.05,59.25,60.09,159076,955900040000.0,,77461,0.4869
2010-12-09,ANSALAPI,EQ,59.25,60.2,60.2,55.1,56.0,55.45,57.28,169095,968611235000.0,,85424,0.5052000000000001
2010-12-10,ANSALAPI,EQ,55.45,56.15,58.0,53.3,57.4,57.25,57.01,184614,1052493085000.0,,86781,0.47009999999999996
2010-12-13,ANSALAPI,EQ,57.25,58.45,59.4,56.8,57.8,57.9,58.12,123589,718268415000.0,,76601,0.6198
2010-12-14,ANSALAPI,EQ,57.9,58.75,61.8,58.0,61.45,61.45,60.7,317242,1925610285000.0002,,150861,0.4755
2010-12-15,ANSALAPI,EQ,61.45,62.0,62.6,57.2,58.0,57.95,59.51,252170,1500541235000.0,,155888,0.6182
2010-12-16,ANSALAPI,EQ,57.95,59.1,59.45,57.6,57.85,57.95,58.12,206074,1197603980000.0,,120906,0.5867
2010-12-20,ANSALAPI,EQ,57.95,57.95,59.5,56.65,56.8,57.1,57.84,152201,880275819999.9999,,85696,0.563
2010-12-21,ANSALAPI,EQ,57.1,57.5,59.75,57.5,58.3,58.8,59.11,220492,1303373265000.0,,92111,0.4178
2010-12-22,ANSALAPI,EQ,58.8,59.6,60.0,58.65,59.4,59.3,59.39,86179,511802950000.0,,44996,0.5221
2010-12-23,ANSALAPI,EQ,59.3,59.0,59.8,58.1,58.5,58.4,58.77,83585,491207620000.0,,53317,0.6379
2010-12-24,ANSALAPI,EQ,58.4,58.0,60.0,58.0,59.8,59.45,58.91,315642,1859497714999.9998,,258088,0.8177
2010-12-27,ANSALAPI,EQ,59.45,59.1,61.7,59.1,61.0,60.8,60.79,219601,1334926755000.0,,120030,0.5466
2010-12-28,ANSALAPI,EQ,60.8,60.1,61.4,60.0,60.9,60.4,60.46,239397,1447354780000.0,,143252,0.5984
2010-12-29,ANSALAPI,EQ,60.4,61.25,61.5,60.35,60.35,60.8,60.82,183179,1114097090000.0,,139975,0.7641
2010-12-30,ANSALAPI,EQ,60.8,60.25,61.3,59.3,59.7,59.55,59.7,175318,1046641450000.0,,105451,0.6015
2010-12-31,ANSALAPI,EQ,59.55,59.9,61.5,59.5,60.5,60.65,60.79,220943,1343209385000.0,,138196,0.6255
2011-01-03,ANSALAPI,EQ,60.65,59.75,61.6,59.75,61.2,60.9,61.08,139851,854262325000.0,,75884,0.5426
2011-01-04,ANSALAPI,EQ,60.9,61.2,62.25,60.1,60.1,60.5,60.79,169621,1031104219999.9999,,119093,0.7021
2011-01-05,ANSALAPI,EQ,60.5,60.3,60.8,59.6,59.75,59.75,60.12,54189,325809655000.0,,30605,0.5648
2011-01-06,ANSALAPI,EQ,59.75,60.0,60.2,58.15,58.5,58.8,59.0,86728,511691495000.0,,47918,0.5525
2011-01-07,ANSALAPI,EQ,58.8,58.25,59.3,55.55,56.1,56.2,57.26,140519,804613940000.0,,99530,0.7083
2011-01-10,ANSALAPI,EQ,56.2,56.0,57.2,55.2,55.3,55.65,56.0,110744,620135025000.0,,58515,0.5284000000000001
2011-01-11,ANSALAPI,EQ,55.65,55.4,56.4,53.15,53.9,53.7,54.32,146166,793977670000.0,,71890,0.4918
2011-01-12,ANSALAPI,EQ,53.7,54.95,55.0,52.6,54.3,54.1,53.53,182865,978946044999.9999,,83447,0.45630000000000004
2011-01-13,ANSALAPI,EQ,54.1,53.7,55.0,52.7,53.1,53.2,53.82,110366,594021800000.0,,51973,0.47090000000000004
2011-01-14,ANSALAPI,EQ,53.2,53.4,53.85,50.75,51.0,51.2,52.29,159115,831994335000.0,,85431,0.5369
2011-01-17,ANSALAPI,EQ,51.2,51.8,51.8,48.1,48.3,48.4,49.31,265665,1309912950000.0,,151697,0.5710000000000001
2011-01-18,ANSALAPI,EQ,48.4,48.5,49.55,46.9,47.8,47.6,47.89,279613,1338990560000.0,,162047,0.5795
2011-01-19,ANSALAPI,EQ,47.6,47.65,49.45,47.15,47.25,47.45,47.95,166665,799151435000.0,,93530,0.5612
2011-01-20,ANSALAPI,EQ,47.45,46.8,47.6,45.55,46.4,46.35,46.58,203383,947410275000.0,,103016,0.5065
2011-01-21,ANSALAPI,EQ,46.35,46.05,46.9,45.5,46.05,46.05,46.1,254883,1174937705000.0,,147728,0.5796
2011-01-24,ANSALAPI,EQ,46.05,46.5,47.3,45.5,45.95,45.9,46.22,237958,1099868955000.0,,167711,0.7048000000000001
2011-01-25,ANSALAPI,EQ,45.9,46.5,47.0,44.55,45.05,44.8,45.4,428644,1946009730000.0,,250735,0.5849000000000001
2011-01-27,ANSALAPI,EQ,44.8,45.25,45.75,43.6,43.65,44.05,44.73,142082,635593750000.0,,84794,0.5968
2011-01-28,ANSALAPI,EQ,44.05,43.25,44.05,40.35,42.05,41.95,41.84,416662,1743389989999.9998,,266139,0.6386999999999999
2011-01-31,ANSALAPI,EQ,41.95,41.95,42.5,40.55,41.8,41.95,41.65,168028,699805310000.0,,110227,0.6559999999999999
2011-02-01,ANSALAPI,EQ,41.95,41.15,42.7,40.0,40.95,40.7,41.34,294689,1218154695000.0,,207704,0.7048000000000001
2011-02-02,ANSALAPI,EQ,40.7,41.05,41.75,39.1,39.25,39.75,40.26,424876,1710408075000.0,,214476,0.5048
2011-02-03,ANSALAPI,EQ,39.75,39.75,41.2,39.1,40.95,40.9,40.41,438548,1772154635000.0002,,238088,0.5429
2011-02-04,ANSALAPI,EQ,40.9,41.9,42.0,40.1,40.7,40.6,41.11,213633,878172010000.0,,89115,0.4171
2011-02-07,ANSALAPI,EQ,40.6,41.0,41.0,40.1,40.8,40.55,40.44,82706,334500070000.0,,54107,0.6542
2011-02-08,ANSALAPI,EQ,40.55,41.0,41.7,39.55,39.7,40.0,40.84,545807,2229224365000.0,,273813,0.5017
2011-02-09,ANSALAPI,EQ,40.0,40.8,40.9,35.1,35.6,35.55,36.76,335317,1232561840000.0,,170863,0.5096
2011-02-10,ANSALAPI,EQ,35.55,36.1,36.1,32.85,35.1,35.4,34.4,323387,1112528385000.0,,120794,0.3735
2011-02-11,ANSALAPI,EQ,35.4,35.4,39.2,33.65,37.9,37.6,36.77,429326,1578724900000.0,,216009,0.5031
