Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ANSALHSG,EQ,68.2,70.25,70.25,68.4,68.75,68.8,69.32,63216,438240045000.0,,35007,0.5538000000000001
2010-10-05,ANSALHSG,EQ,68.8,69.5,69.5,68.5,68.8,68.7,68.92,39144,269771154999.99997,,25104,0.6413
2010-10-06,ANSALHSG,EQ,68.7,69.5,72.0,69.15,70.35,70.3,70.66,148793,1051378305000.0001,,65103,0.4375
2010-10-07,ANSALHSG,EQ,70.3,70.8,71.1,68.5,69.0,68.95,70.08,48888,342627805000.0,,29945,0.6125
2010-10-08,ANSALHSG,EQ,68.95,69.2,69.8,68.0,68.3,68.4,68.5,25951,177771970000.0,,12942,0.4987
2010-10-11,ANSALHSG,EQ,68.4,69.65,69.65,68.0,68.25,68.4,68.38,15005,102599590000.0,,11006,0.7334999999999999
2010-10-12,ANSALHSG,EQ,68.4,68.25,68.9,66.5,66.95,67.15,67.73,23847,161521215000.0,,16824,0.7055
2010-10-13,ANSALHSG,EQ,67.15,68.3,69.0,67.5,68.45,68.6,68.47,33129,226832054999.99997,,19175,0.5788000000000001
2010-10-14,ANSALHSG,EQ,68.6,68.8,69.25,68.05,68.85,68.9,68.76,31303,215227320000.00003,,17475,0.5583
2010-10-15,ANSALHSG,EQ,68.9,68.5,69.2,67.2,67.8,67.95,68.57,37448,256792690000.0,,25980,0.6938
2010-10-18,ANSALHSG,EQ,67.95,67.15,68.65,66.25,67.0,67.35,67.41,25047,168846575000.0,,19842,0.7922
2010-10-19,ANSALHSG,EQ,67.35,69.05,69.05,67.15,68.5,68.35,68.27,39826,271883875000.0,,22838,0.5734
2010-10-20,ANSALHSG,EQ,68.35,67.25,68.45,67.0,67.65,67.65,67.62,22874,154665250000.0,,14664,0.6411
2010-10-21,ANSALHSG,EQ,67.65,68.7,68.7,67.3,67.8,68.0,67.95,17482,118796200000.0,,11742,0.6717000000000001
2010-10-22,ANSALHSG,EQ,68.0,68.0,68.5,67.3,67.75,67.5,67.84,18558,125892930000.0,,15364,0.8279000000000001
2010-10-25,ANSALHSG,EQ,67.5,67.75,68.25,67.2,67.25,67.25,67.64,10847,73373595000.0,,8284,0.7637
