Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-12-14,APLAPOLLO,EQ,144.6,159.8,159.8,141.0,145.0,145.7,145.53,95534,1390324165000.0,382,33134,0.3468
2011-12-15,APLAPOLLO,EQ,145.7,140.05,145.0,140.05,142.0,142.0,144.33,5780,83421005000.0,31,697,0.12060000000000001
2011-12-16,APLAPOLLO,EQ,142.0,144.6,146.85,137.95,137.95,140.6,142.7,3776,53883280000.00001,82,1291,0.3419
2011-12-19,APLAPOLLO,EQ,140.6,132.05,143.5,132.05,137.05,137.05,135.01,1369,18483195000.0,22,1081,0.7896
2011-12-20,APLAPOLLO,EQ,137.05,137.0,140.0,136.0,136.0,136.0,136.81,468,6402825000.0,13,393,0.8397
2011-12-21,APLAPOLLO,EQ,136.0,138.5,138.5,133.0,133.0,133.55,134.7,303,4081485000.0,8,301,0.9934000000000001
2011-12-22,APLAPOLLO,EQ,133.55,132.0,134.45,131.6,131.6,131.65,133.99,3870,51854650000.0,18,3470,0.8966
2011-12-23,APLAPOLLO,EQ,131.65,134.45,139.5,133.1,133.2,133.2,135.48,4002,54218380000.00001,8,4000,0.9995
2011-12-26,APLAPOLLO,EQ,133.2,137.0,137.0,134.0,137.0,136.95,136.98,126,1725900000.0,5,126,1.0
2011-12-27,APLAPOLLO,EQ,136.95,138.9,139.0,132.55,137.9,137.45,134.8,32889,443339765000.00006,21,32364,0.9840000000000001
2011-12-28,APLAPOLLO,EQ,137.45,139.8,139.8,134.35,134.35,134.8,138.13,9,124315000.00000001,4,7,0.7778
2011-12-29,APLAPOLLO,EQ,134.8,137.05,140.0,132.5,132.5,136.45,137.05,145114,1988732095000.0,46,129601,0.8931
2011-12-30,APLAPOLLO,EQ,136.45,136.0,144.0,136.0,140.45,140.45,140.21,10885,152615105000.0,13,10806,0.9927
2012-01-02,APLAPOLLO,EQ,140.45,139.75,139.75,139.45,139.45,139.45,139.7,625,8731125000.0,3,625,1.0
2012-01-03,APLAPOLLO,EQ,139.45,139.5,139.75,135.55,139.5,137.5,139.38,7752,108047825000.0,17,6651,0.858
2012-01-04,APLAPOLLO,EQ,137.5,139.8,147.85,135.0,138.5,138.25,140.6,1018,14313504999.999998,13,908,0.8919
2012-01-05,APLAPOLLO,EQ,138.25,139.85,139.85,136.35,139.0,139.0,137.78,520,7164450000.0,9,449,0.8634999999999999
2012-01-06,APLAPOLLO,EQ,139.0,132.7,139.45,132.7,139.0,139.0,137.49,194,2667350000.0,4,144,0.7423000000000001
2012-01-09,APLAPOLLO,EQ,139.0,135.0,138.0,134.85,135.4,135.4,135.85,540,7335670000.0,13,270,0.5
2012-01-10,APLAPOLLO,EQ,135.4,139.0,144.75,136.5,140.65,140.3,140.42,27665,388475935000.0,95,18556,0.6707
2012-01-11,APLAPOLLO,EQ,140.3,135.65,140.0,135.65,139.75,139.75,139.15,6077,84564000000.0,13,5001,0.8229000000000001
2012-01-12,APLAPOLLO,EQ,139.75,115.9,139.0,115.9,132.1,132.2,135.21,9390,126963639999.99998,22,9088,0.9678
2012-01-13,APLAPOLLO,EQ,132.2,135.0,138.0,135.0,135.0,135.0,135.08,1310,17696100000.0,10,1270,0.9695
2012-01-16,APLAPOLLO,EQ,135.0,138.5,138.5,134.0,134.0,134.0,134.08,101,1354245000.0,3,100,0.9901000000000001
2012-01-18,APLAPOLLO,EQ,134.0,135.0,135.0,135.0,135.0,135.0,135.0,100,1350000000.0,1,100,1.0
2012-01-19,APLAPOLLO,EQ,135.0,132.05,135.75,132.05,135.0,135.55,134.81,165,2224300000.0,3,130,0.7879
2012-01-20,APLAPOLLO,EQ,135.55,132.5,138.5,132.5,138.5,138.5,135.85,14613,198518675000.0,29,5611,0.384
2012-01-23,APLAPOLLO,EQ,138.5,138.0,138.0,133.1,133.1,133.3,134.43,4,53770000.00000001,4,1,0.25
2012-01-24,APLAPOLLO,EQ,133.3,138.0,138.0,135.0,137.9,136.45,137.61,2302,31676795000.0,29,1701,0.7389
2012-01-25,APLAPOLLO,EQ,136.45,126.7,158.4,126.5,151.6,149.8,147.18,34698,510668170000.0,176,27699,0.7983
2012-01-27,APLAPOLLO,EQ,149.8,153.0,164.25,153.0,156.15,159.6,159.91,25241,403633475000.0,236,12788,0.5065999999999999
2012-01-30,APLAPOLLO,EQ,159.6,155.0,157.0,146.35,151.05,156.9,155.93,4466,69637765000.0,21,4305,0.9639
2012-01-31,APLAPOLLO,EQ,156.9,155.0,160.0,155.0,159.9,158.85,159.15,5201,82773350000.0,43,4400,0.846
2012-02-01,APLAPOLLO,EQ,158.85,155.0,157.05,148.15,156.0,155.95,152.79,556,8495300000.0,10,305,0.5486
2012-02-02,APLAPOLLO,EQ,155.95,153.0,154.0,151.1,152.0,152.0,152.53,188,2867500000.0,9,188,1.0
2012-02-03,APLAPOLLO,EQ,152.0,150.5,152.9,150.1,152.9,152.9,151.4,1000,15140000000.0,4,100,0.1
2012-02-06,APLAPOLLO,EQ,152.9,157.0,160.0,151.0,155.0,153.8,159.82,18726,299282930000.0,27,18700,0.9986
2012-02-07,APLAPOLLO,EQ,153.8,154.0,160.0,147.8,155.0,156.15,153.81,1978,30423590000.000004,72,710,0.3589
