Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-10-04,APLLTD,EQ,41.25,40.5,44.0,40.5,42.0,41.7,41.78,68054,284349415000.0,368,43518,0.6395000000000001
2011-10-05,APLLTD,EQ,41.7,42.0,42.0,40.5,41.0,41.05,41.51,34987,145229780000.0,173,28539,0.8157
2011-10-07,APLLTD,EQ,41.05,38.0,43.25,38.0,42.7,42.1,41.58,53721,223393390000.0,373,36264,0.675
2011-10-10,APLLTD,EQ,42.1,40.1,42.5,40.1,41.0,41.15,41.24,46006,189725975000.0,164,41892,0.9106000000000001
2011-10-11,APLLTD,EQ,41.15,40.6,42.95,40.35,40.8,40.7,40.94,35220,144187675000.0,121,32775,0.9306000000000001
2011-10-12,APLLTD,EQ,40.7,38.7,42.85,38.7,40.55,40.95,40.85,22380,91412670000.0,93,19474,0.8702
2011-10-13,APLLTD,EQ,40.95,40.2,41.2,40.2,40.6,40.7,40.76,13526,55132435000.0,276,10997,0.813
2011-10-14,APLLTD,EQ,40.7,40.5,41.5,40.1,40.35,40.45,40.54,47030,190652275000.0,503,37360,0.7944
2011-10-17,APLLTD,EQ,40.45,39.25,41.0,39.25,40.85,40.8,40.36,34243,138190875000.0,157,28827,0.8418000000000001
2011-10-18,APLLTD,EQ,40.8,39.25,41.45,39.25,40.8,40.85,40.67,21585,87776495000.0,325,15939,0.7384000000000001
2011-10-19,APLLTD,EQ,40.85,39.25,46.95,39.25,45.0,45.4,44.05,91085,401209835000.0,1116,52861,0.5803
2011-10-20,APLLTD,EQ,45.4,45.6,46.5,43.95,45.5,45.85,45.69,96984,443156930000.0,589,65360,0.6739
2011-10-21,APLLTD,EQ,45.85,44.6,46.65,44.6,45.5,45.7,45.77,42867,196223530000.0,343,28017,0.6536
2011-10-24,APLLTD,EQ,45.7,46.1,46.5,44.05,45.0,45.05,45.06,30920,139330430000.0,192,20065,0.6489
2011-10-24,APLLTD,EQ,45.7,46.1,46.5,44.05,45.0,45.05,45.06,30920,139330430000.0,192,20065,0.6489
2011-10-25,APLLTD,EQ,45.05,46.0,46.4,44.3,44.5,44.85,45.08,26058,117472039999.99998,224,19855,0.762
2011-10-26,APLLTD,EQ,44.85,44.0,46.0,44.0,46.0,45.75,45.54,9521,43355460000.0,115,8050,0.8455
2011-10-28,APLLTD,EQ,45.75,45.75,47.25,44.8,45.0,45.35,45.74,102095,467015630000.0,473,70596,0.6915000000000001
2011-10-31,APLLTD,EQ,45.35,44.65,45.9,44.55,45.0,44.9,45.02,25391,114318064999.99998,162,20985,0.8265000000000001
2011-11-01,APLLTD,EQ,44.9,44.3,45.2,43.9,44.0,44.05,44.25,39206,173471275000.0,152,33114,0.8445999999999999
2011-11-02,APLLTD,EQ,44.05,43.1,44.25,43.05,43.5,43.35,43.59,38265,166816150000.0,154,30807,0.8051
2011-11-03,APLLTD,EQ,43.35,41.25,44.65,41.25,44.0,44.15,44.02,82847,364701725000.0,168,75080,0.9062000000000001
2011-11-04,APLLTD,EQ,44.15,43.2,46.0,43.2,45.7,45.8,45.14,80023,361186210000.0,401,64715,0.8087000000000001
2011-11-08,APLLTD,EQ,45.8,44.75,48.8,44.75,48.5,48.4,47.54,108426,515495705000.0,721,89091,0.8217
2011-11-09,APLLTD,EQ,48.4,47.25,49.0,46.25,47.1,47.4,47.1,240767,1134066725000.0,724,167262,0.6947
2011-11-11,APLLTD,EQ,47.4,46.1,46.5,45.0,45.6,45.8,45.73,58823,269005350000.0,341,43644,0.742
2011-11-14,APLLTD,EQ,45.8,45.6,46.5,43.3,44.4,44.9,44.63,41570,185530250000.0,288,28322,0.6813
2011-11-15,APLLTD,EQ,44.9,43.6,45.25,43.3,43.3,43.75,44.11,25678,113255710000.00002,157,22522,0.8771
2011-11-16,APLLTD,EQ,43.75,43.3,44.0,42.2,42.9,42.6,42.9,27283,117045185000.00002,193,21926,0.8037000000000001
