Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-02-06,APOLLO,EQ,314.1,290.1,313.9,285.2,307.0,308.5,303.55,247979,7527446909999.999,7672,96682,0.3899
2018-02-07,APOLLO,EQ,308.5,314.45,340.65,312.5,325.05,327.3,326.31,449009,14651690880000.002,11634,167560,0.37320000000000003
2018-02-08,APOLLO,EQ,327.3,330.0,338.45,321.1,323.3,323.95,329.02,217011,7140007759999.999,6149,93318,0.43
2018-02-09,APOLLO,EQ,323.95,315.0,331.4,311.0,323.0,322.35,322.61,176847,5705182050000.0,4959,46847,0.26489999999999997
2018-02-12,APOLLO,EQ,322.35,326.25,328.3,321.5,323.0,322.6,324.64,91838,2981459485000.0,2592,41703,0.45409999999999995
2018-02-14,APOLLO,EQ,322.6,317.0,317.5,308.05,309.0,309.4,311.87,177469,5534683550000.0,4853,98613,0.5557
2018-02-15,APOLLO,EQ,309.4,310.15,314.4,308.3,312.2,311.55,311.16,109723,3414169085000.0,4424,67456,0.6148
2018-02-16,APOLLO,EQ,311.55,313.0,313.9,301.0,303.95,302.75,305.88,98752,3020610820000.0,5375,52899,0.5357000000000001
2018-02-19,APOLLO,EQ,302.75,306.0,306.0,295.25,296.0,296.3,298.66,73039,2181353060000.0002,2455,38428,0.5261
2018-02-20,APOLLO,EQ,296.3,296.3,299.0,287.95,288.45,288.45,290.97,71560,2082200635000.0002,1966,36957,0.5164
2018-02-21,APOLLO,EQ,288.45,291.0,293.95,280.5,281.9,281.35,283.44,71958,2039582480000.0,2329,39009,0.5421
2018-02-22,APOLLO,EQ,281.35,281.95,331.9,275.6,319.55,321.25,315.84,999388,31564541585000.004,27207,157267,0.1574
2018-02-23,APOLLO,EQ,321.25,321.25,328.75,310.0,312.0,312.5,319.42,311957,9964675535000.0,9270,84747,0.2717
2018-02-26,APOLLO,EQ,312.5,314.5,323.65,310.0,310.0,311.1,315.72,124168,3920200250000.0,3526,42596,0.3431
2018-02-27,APOLLO,EQ,311.1,313.35,314.45,302.0,303.75,303.3,308.02,94706,2917155175000.0,2575,47931,0.5061
2018-02-28,APOLLO,EQ,303.3,302.6,314.0,296.65,304.8,303.7,306.66,117019,3588534545000.0005,4111,27610,0.2359
2018-03-01,APOLLO,EQ,303.7,303.65,309.4,300.0,301.6,301.45,304.41,81640,2485230440000.0,2163,37812,0.4632
2018-03-05,APOLLO,EQ,301.45,300.0,304.2,296.0,296.25,297.9,298.96,76580,2289460495000.0,2343,29770,0.3887
2018-03-06,APOLLO,EQ,297.9,301.0,302.95,284.0,286.0,287.75,292.59,84241,2464804520000.0,2148,51245,0.6083
2018-03-07,APOLLO,EQ,287.75,286.0,293.0,279.65,281.0,281.4,285.28,82019,2339845295000.0,2551,42389,0.5168
2018-03-08,APOLLO,EQ,281.4,284.0,286.8,276.0,281.25,281.7,280.91,61535,1728560205000.0,2100,24148,0.3924
2018-03-09,APOLLO,EQ,281.7,284.7,286.0,278.15,279.6,279.15,281.69,42260,1190414575000.0,1440,18148,0.4294
