Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,AROGRANITE,EQ,59.65,59.65,60.0,58.0,58.5,58.35,59.07,8202,48450025000.0,,5725,0.698
2010-10-05,AROGRANITE,EQ,58.35,60.5,70.05,58.5,68.9,69.15,67.69,179499,1215106490000.0,,129569,0.7218000000000001
2010-10-06,AROGRANITE,EQ,69.15,70.0,70.9,63.1,63.4,63.55,65.19,353998,2307830380000.0,,153466,0.4335
2010-10-07,AROGRANITE,EQ,63.55,64.0,64.85,61.3,63.2,63.95,63.61,57430,365327390000.0,,20893,0.3638
2010-10-08,AROGRANITE,EQ,63.95,64.0,64.1,60.55,61.35,61.2,62.33,25618,159672465000.0,,17621,0.6878000000000001
2010-10-11,AROGRANITE,EQ,61.2,62.0,62.8,60.1,60.1,60.8,61.58,25486,156930100000.0,,15259,0.5987
2010-10-12,AROGRANITE,EQ,60.8,60.8,63.0,59.85,61.2,61.7,61.46,22842,140395675000.0,,7817,0.3422
2010-10-13,AROGRANITE,EQ,61.7,61.5,62.45,60.0,61.7,61.9,61.22,17218,105401210000.00002,,10624,0.617
2010-10-14,AROGRANITE,EQ,61.9,61.3,62.65,60.15,61.0,61.25,61.47,17481,107452525000.0,,9841,0.563
2010-10-15,AROGRANITE,EQ,61.25,61.0,61.4,58.3,59.0,59.05,60.15,9168,55142225000.0,,6790,0.7406
2010-10-18,AROGRANITE,EQ,59.05,58.0,60.0,57.2,57.6,57.9,58.29,12834,74809115000.0,,8201,0.639
2010-10-19,AROGRANITE,EQ,57.9,57.65,60.0,57.65,59.0,59.05,59.42,14268,84780680000.0,,6489,0.4548
2010-10-20,AROGRANITE,EQ,59.05,59.9,62.8,58.0,58.4,58.4,59.7,8203,48968720000.0,,4001,0.4877
2010-10-21,AROGRANITE,EQ,58.4,57.0,61.0,57.0,59.6,59.5,59.41,21245,126208675000.0,,8603,0.40490000000000004
2010-10-22,AROGRANITE,EQ,59.5,60.0,60.95,59.0,60.05,60.55,60.03,6226,37375095000.0,,4123,0.6622
2010-10-25,AROGRANITE,EQ,60.55,60.5,60.85,59.3,60.8,60.5,60.21,12360,74415270000.0,,7764,0.6282
2010-10-26,AROGRANITE,EQ,60.5,62.0,63.95,60.5,60.5,60.55,61.74,35652,220098145000.00003,,13477,0.378
2010-10-27,AROGRANITE,EQ,60.55,61.0,61.0,58.1,59.0,58.8,59.19,6359,37635905000.0,,5030,0.7909999999999999
2010-10-28,AROGRANITE,EQ,58.8,59.0,60.95,57.0,57.0,57.45,58.26,6233,36313100000.0,,4804,0.7706999999999999
2010-10-29,AROGRANITE,EQ,57.45,57.0,61.0,56.65,59.0,58.55,58.17,6234,36263175000.0,,4034,0.6470999999999999
2010-11-01,AROGRANITE,EQ,58.55,59.2,60.3,58.3,58.9,59.1,59.07,10474,61871075000.0,,9078,0.8667
2010-11-02,AROGRANITE,EQ,59.1,60.0,60.0,58.15,59.0,58.8,59.05,4519,26683425000.0,,2384,0.5276
2010-11-03,AROGRANITE,EQ,58.8,58.5,59.5,57.65,58.1,58.3,58.49,4257,24901240000.0,,1881,0.44189999999999996
2010-11-04,AROGRANITE,EQ,58.3,58.5,58.5,57.2,57.2,57.95,58.21,5038,29328595000.0,,3035,0.6024
2010-11-05,AROGRANITE,EQ,57.95,58.05,58.5,57.25,57.5,57.7,57.63,625,3601885000.0,,357,0.5712
2010-11-08,AROGRANITE,EQ,57.7,58.5,58.5,57.75,57.75,58.2,58.2,2654,15445915000.0,,2003,0.7547
2010-11-09,AROGRANITE,EQ,58.2,58.95,60.8,58.1,59.0,59.1,59.45,16321,97025135000.0,,8785,0.5383
2010-11-10,AROGRANITE,EQ,59.1,60.0,60.6,59.0,59.65,59.15,59.49,9947,59172440000.0,,4759,0.47840000000000005
2010-11-11,AROGRANITE,EQ,59.15,58.85,59.65,58.5,58.5,58.5,58.92,4338,25559580000.0,,2735,0.6305
2010-11-12,AROGRANITE,EQ,58.5,58.5,59.85,57.65,58.0,58.0,58.52,6305,36898740000.0,,4464,0.708
2010-11-15,AROGRANITE,EQ,58.0,57.2,59.0,56.75,57.25,57.15,57.44,9680,55598940000.0,,7463,0.7709999999999999
2010-11-16,AROGRANITE,EQ,57.15,58.0,58.9,56.1,56.85,56.7,57.03,9239,52688094999.99999,,6862,0.7427
2010-11-18,AROGRANITE,EQ,56.7,58.2,58.5,53.1,54.0,54.45,54.91,8210,45084395000.0,,5856,0.7133
2010-11-19,AROGRANITE,EQ,54.45,55.7,55.7,52.2,52.7,52.55,53.58,16757,89788770000.0,,15303,0.9131999999999999
2010-11-22,AROGRANITE,EQ,52.55,52.55,53.4,51.65,52.85,52.9,52.63,3932,20693955000.0,,2213,0.5628000000000001
2010-11-23,AROGRANITE,EQ,52.9,53.0,53.0,51.7,51.8,51.8,52.67,22207,116958314999.99998,,21384,0.9629000000000001
2010-11-24,AROGRANITE,EQ,51.8,53.0,57.8,50.1,51.0,50.95,52.19,2920,15240775000.0,,1801,0.6168
2010-11-25,AROGRANITE,EQ,50.95,50.1,51.9,49.0,49.0,49.35,49.65,3745,18593035000.0,,3081,0.8227
2010-11-26,AROGRANITE,EQ,49.35,49.0,52.4,46.45,47.05,47.55,47.54,5549,26381409999.999996,,3903,0.7034
2010-11-29,AROGRANITE,EQ,47.55,49.0,51.5,48.0,49.2,49.85,50.02,7321,36623300000.0,,4331,0.5916
2010-11-30,AROGRANITE,EQ,49.85,47.55,50.85,47.55,48.5,48.9,48.93,4194,20522395000.0,,3611,0.861
2010-12-01,AROGRANITE,EQ,48.9,49.4,50.7,49.1,50.0,50.05,50.19,2609,13093565000.0,,1955,0.7493000000000001
2010-12-02,AROGRANITE,EQ,50.05,50.5,50.9,48.35,50.3,49.6,49.27,4833,23812920000.0,,3122,0.6459999999999999
2010-12-03,AROGRANITE,EQ,49.6,50.1,50.1,48.15,49.05,48.7,49.0,2011,9854735000.0,,1484,0.7379000000000001
2010-12-06,AROGRANITE,EQ,48.7,49.0,49.9,46.6,48.7,48.65,48.71,711,3463555000.0000005,,464,0.6526000000000001
2010-12-07,AROGRANITE,EQ,48.65,47.2,51.0,47.0,47.0,47.95,48.07,1403,6744830000.0,,850,0.6058
2010-12-08,AROGRANITE,EQ,47.95,47.05,48.0,46.1,47.1,47.4,47.09,906,4266580000.0000005,,579,0.6391
2010-12-09,AROGRANITE,EQ,47.4,45.9,51.5,44.85,44.9,44.9,46.05,2916,13428625000.0,,1931,0.6622
2010-12-10,AROGRANITE,EQ,44.9,44.95,47.0,43.25,46.5,46.5,45.83,3434,15737904999.999998,,3245,0.9450000000000001
2010-12-13,AROGRANITE,EQ,46.5,46.5,47.45,46.0,47.45,47.45,46.41,378,1754145000.0,,375,0.9921
2010-12-14,AROGRANITE,EQ,47.45,45.0,49.95,45.0,48.0,47.9,47.35,2527,11964200000.0,,1965,0.7776000000000001
