Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ARSHIYA,EQ,275.7,270.0,278.0,268.0,268.5,269.7,271.75,5942,161474440000.0,,3559,0.599
2010-10-05,ARSHIYA,EQ,269.7,270.0,281.7,270.0,278.0,276.75,276.72,23017,636931045000.0,,14068,0.6112
2010-10-06,ARSHIYA,EQ,276.75,277.0,282.0,273.35,273.35,275.0,278.43,21577,600763205000.0,,10702,0.49600000000000005
2010-10-07,ARSHIYA,EQ,275.0,278.8,278.8,271.15,277.0,275.2,275.07,29532,812343045000.0,,22636,0.7665000000000001
2010-10-08,ARSHIYA,EQ,275.2,279.0,284.3,273.05,283.0,282.95,280.19,21150,592591825000.0,,18125,0.8570000000000001
2010-10-11,ARSHIYA,EQ,282.95,285.0,316.8,285.0,315.0,311.95,306.21,272845,8354818009999.999,,118965,0.436
2010-10-12,ARSHIYA,EQ,311.95,313.05,362.9,312.9,348.2,350.0,345.98,1225663,42404877835000.0,,327189,0.2669
2010-10-13,ARSHIYA,EQ,350.0,353.05,354.0,323.2,330.5,332.9,335.84,602954,20249618845000.0,,382074,0.6337
2010-10-14,ARSHIYA,EQ,332.9,333.5,346.0,321.15,323.05,324.2,333.65,193310,6449869955000.0,,82536,0.42700000000000005
2010-10-15,ARSHIYA,EQ,324.2,322.0,338.0,321.0,328.0,330.15,331.46,243300,8064426220000.0,,129930,0.534
2010-10-18,ARSHIYA,EQ,330.15,326.15,334.45,311.1,318.95,317.0,319.82,56115,1794659170000.0,,18314,0.3264
2010-10-19,ARSHIYA,EQ,317.0,317.05,321.95,301.8,308.05,307.65,313.46,18966,594501655000.0,,11837,0.6241
2010-10-20,ARSHIYA,EQ,307.65,318.8,318.8,308.0,311.45,311.45,312.17,31349,978610700000.0,,12301,0.3924
2010-10-21,ARSHIYA,EQ,311.45,316.0,318.9,309.3,310.0,310.4,312.54,22216,694345470000.0,,14473,0.6515000000000001
2010-10-22,ARSHIYA,EQ,310.4,311.5,332.0,311.0,325.45,324.2,326.36,48573,1585228460000.0,,19820,0.408
2010-10-25,ARSHIYA,EQ,324.2,328.0,354.0,326.25,344.7,342.85,338.6,231350,7833396140000.001,,81332,0.35159999999999997
2010-10-26,ARSHIYA,EQ,342.85,348.8,360.7,340.0,343.0,344.8,352.47,83691,2949817265000.0,,33780,0.4036
2010-10-27,ARSHIYA,EQ,344.8,346.0,359.9,345.0,348.45,347.35,353.91,53313,1886780480000.0,,21207,0.39780000000000004
2010-10-28,ARSHIYA,EQ,347.35,353.0,357.0,335.3,336.5,336.95,346.38,22512,779776880000.0,,12120,0.5384000000000001
2010-10-29,ARSHIYA,EQ,336.95,343.0,345.5,313.05,314.7,316.65,325.13,35595,1157288180000.0,,23796,0.6685
2010-11-01,ARSHIYA,EQ,316.65,322.0,328.95,316.5,320.0,319.95,321.1,42272,1357364195000.0,,26873,0.6357
2010-11-02,ARSHIYA,EQ,319.95,322.9,322.9,312.5,314.25,316.0,317.67,16651,528945684999.99994,,6710,0.40299999999999997
