Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ARVIND,EQ,45.4,45.5,46.2,44.7,45.35,45.2,45.41,1078903,4899817200000.0,,430345,0.39890000000000003
2010-10-05,ARVIND,EQ,45.2,45.1,46.9,44.9,46.75,46.55,46.06,2248432,10355923960000.0,,1085391,0.4827
2010-10-06,ARVIND,EQ,46.55,46.8,47.9,46.3,46.75,46.9,47.16,3095448,14598674435000.0,,1127830,0.3644
2010-10-07,ARVIND,EQ,46.9,47.15,47.4,45.25,45.8,45.6,46.36,1802020,8354838855000.0,,797913,0.4428
2010-10-08,ARVIND,EQ,45.6,45.8,46.65,44.75,45.15,45.1,45.63,1363927,6223568990000.0,,538353,0.3947
2010-10-11,ARVIND,EQ,45.1,45.0,46.0,45.0,45.6,45.5,45.55,663784,3023855180000.0,,270782,0.4079
2010-10-12,ARVIND,EQ,45.5,46.0,46.0,44.35,44.7,44.55,44.85,761680,3416222890000.0,,432511,0.5678
2010-10-13,ARVIND,EQ,44.55,44.95,53.5,44.6,51.3,51.45,50.78,24583452,124833682545000.0,,4699597,0.1912
2010-10-14,ARVIND,EQ,51.45,51.85,52.2,49.2,49.85,49.65,50.93,7070012,36008563245000.0,,1744920,0.2468
2010-10-15,ARVIND,EQ,49.65,50.0,53.4,49.8,51.2,51.05,51.97,10531266,54730609004999.99,,2120319,0.2013
2010-10-18,ARVIND,EQ,51.05,51.0,52.6,50.5,51.9,51.95,51.59,4746934,24488091030000.0,,900699,0.18969999999999998
2010-10-19,ARVIND,EQ,51.95,52.4,56.7,51.7,55.45,56.05,54.88,16803416,92213707790000.0,,3698558,0.22010000000000002
2010-10-20,ARVIND,EQ,56.05,56.4,56.4,54.05,54.4,54.4,55.13,5111454,28179527370000.0,,1318710,0.258
2010-10-21,ARVIND,EQ,54.4,55.0,55.3,53.55,53.85,53.8,54.54,4201226,22912040410000.0,,2145665,0.5107
2010-10-22,ARVIND,EQ,53.8,54.15,55.45,53.6,54.45,54.3,54.56,2971242,16210632990000.0,,687093,0.23120000000000002
2010-10-25,ARVIND,EQ,54.3,54.7,58.1,54.1,57.05,57.1,56.72,8757246,49673330640000.0,,2498946,0.2854
2010-10-26,ARVIND,EQ,57.1,57.0,57.45,55.2,55.85,55.65,56.35,2830418,15950160215000.0,,791992,0.2798
2010-10-27,ARVIND,EQ,55.65,56.2,59.4,55.5,59.1,59.15,58.3,8467451,49368523045000.0,,2464253,0.29100000000000004
2010-10-28,ARVIND,EQ,59.15,59.35,62.6,58.2,59.6,59.15,60.48,13055965,78966438615000.0,,3480981,0.2666
2010-10-29,ARVIND,EQ,59.15,60.0,60.9,56.6,57.65,57.8,58.78,3579112,21038088715000.0,,1081735,0.30219999999999997
2010-11-01,ARVIND,EQ,57.8,58.5,59.2,57.35,58.85,58.45,58.42,2277114,13302616015000.0,,718799,0.31570000000000004
2010-11-02,ARVIND,EQ,58.45,57.55,59.8,57.55,59.1,58.9,59.1,1689858,9986618240000.0,,540413,0.31980000000000003
2010-11-03,ARVIND,EQ,58.9,60.0,61.0,59.2,60.5,59.85,60.16,2986639,17967099500000.0,,1006661,0.3371
2010-11-04,ARVIND,EQ,59.85,60.5,60.9,59.5,60.45,60.4,60.22,1498462,9023699680000.0,,560746,0.37420000000000003
2010-11-05,ARVIND,EQ,60.4,61.0,61.5,60.15,60.95,60.95,60.94,842190,5132455735000.0,,497050,0.5902000000000001
2010-11-08,ARVIND,EQ,60.95,61.1,63.5,59.25,63.35,62.95,61.95,3775094,23385359640000.0,,1225311,0.3246
2010-11-09,ARVIND,EQ,62.95,63.45,64.7,62.8,64.2,64.15,63.76,3478198,22178556230000.0,,862332,0.2479
2010-11-10,ARVIND,EQ,64.15,64.35,66.9,63.95,66.5,66.2,65.85,4306128,28355035455000.0,,1314628,0.3053
2010-11-11,ARVIND,EQ,66.2,67.0,68.7,65.0,66.25,66.1,67.16,5284788,35495030505000.0,,1735373,0.3284
2010-11-12,ARVIND,EQ,66.1,66.8,66.9,61.6,61.8,61.9,64.07,3770142,24155546890000.0,,1466618,0.389
2010-11-15,ARVIND,EQ,61.9,62.1,62.2,58.5,60.3,60.1,59.83,4148338,24818498115000.0,,1825217,0.44
2010-11-16,ARVIND,EQ,60.1,60.9,60.9,56.0,56.8,56.5,58.22,2857180,16634701544999.998,,971937,0.34020000000000006
2010-11-18,ARVIND,EQ,56.5,57.1,58.05,54.9,57.7,57.55,56.83,2266578,12880094885000.0,,694342,0.3063
