Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-09-09,ARVINFRA,EQ,33.7,30.35,30.35,30.35,30.35,30.35,30.35,20260,61489100000.0,54,20260,1.0
2015-09-10,ARVINFRA,EQ,30.35,27.35,33.35,27.35,33.35,33.35,29.14,2182966,6361112965000.0,9317,1465691,0.6714
2015-09-11,ARVINFRA,EQ,33.35,35.2,36.65,32.1,36.35,35.9,35.31,2163150,7638267030000.0,8271,1006300,0.46520000000000006
2015-09-14,ARVINFRA,EQ,35.9,39.2,39.45,38.1,39.45,39.45,39.33,1567313,6164469105000.0,3529,649779,0.4146
2015-09-15,ARVINFRA,EQ,39.45,42.4,43.35,41.8,43.35,43.35,43.04,190600,820381815000.0,468,129358,0.6787000000000001
2015-09-16,ARVINFRA,EQ,43.35,45.5,45.5,45.5,45.5,45.5,45.5,73962,336527100000.0,137,73962,1.0
2015-09-18,ARVINFRA,EQ,45.5,47.75,47.75,47.75,47.75,47.75,47.75,236435,1128977125000.0,155,236435,1.0
2015-09-21,ARVINFRA,EQ,47.75,48.0,50.1,45.4,50.1,50.1,47.47,2014665,9564575685000.0,4414,777433,0.3859
2015-09-22,ARVINFRA,EQ,50.1,52.6,52.6,49.0,52.0,52.45,51.84,1182409,6129057300000.0,5094,436894,0.36950000000000005
2015-09-23,ARVINFRA,EQ,52.45,51.5,55.05,50.5,55.05,55.05,54.42,416724,2267906360000.0,2194,118808,0.2851
2015-09-24,ARVINFRA,EQ,55.05,56.5,57.8,56.2,57.8,57.8,57.18,183045,1046577065000.0,673,117662,0.6428
2015-09-28,ARVINFRA,EQ,57.8,60.65,60.65,60.65,60.65,60.65,60.65,5201,31544065000.000004,75,5201,1.0
2015-09-29,ARVINFRA,EQ,60.65,61.4,63.65,58.15,63.65,63.65,62.23,1203975,7492921400000.0,6182,307625,0.2555
2015-09-30,ARVINFRA,EQ,63.65,65.8,66.8,65.7,66.8,66.8,66.47,70229,466807700000.0,347,42115,0.5997
2015-10-01,ARVINFRA,EQ,66.8,70.1,70.1,64.2,70.1,70.1,68.3,603030,4118692260000.0,3217,272881,0.4525
2015-10-05,ARVINFRA,EQ,70.1,72.9,73.6,72.9,73.6,73.6,73.1,25771,188394280000.0,164,25441,0.9872
2015-10-06,ARVINFRA,EQ,73.6,77.25,77.25,74.0,77.25,77.25,76.69,643304,4933316960000.0,2154,124634,0.1937
2015-10-07,ARVINFRA,EQ,77.25,79.9,80.0,73.4,73.4,73.4,76.47,774684,5923720950000.0,5452,457165,0.5901
2015-10-08,ARVINFRA,EQ,73.4,72.0,72.0,69.75,69.75,69.75,69.85,103117,720311395000.0,306,98012,0.9505
2015-10-09,ARVINFRA,EQ,69.75,66.5,73.2,66.3,73.2,73.2,69.69,1162337,8099851425000.0,7593,442876,0.381
2015-10-12,ARVINFRA,EQ,73.2,76.85,76.85,74.0,75.7,75.8,76.35,669148,5109246720000.0,3677,278131,0.4156
2015-10-13,ARVINFRA,EQ,75.8,77.0,77.95,72.05,72.05,72.05,73.61,120123,884271675000.0,1801,73069,0.6083
2015-10-14,ARVINFRA,EQ,72.05,68.45,71.5,68.45,68.45,68.5,69.28,161120,1116189550000.0,1294,96083,0.5963
2015-10-15,ARVINFRA,EQ,68.5,67.1,71.9,66.1,70.3,69.9,70.8,323197,2288105230000.0,2226,150521,0.4657
2015-10-16,ARVINFRA,EQ,69.9,71.0,73.35,66.7,71.5,71.6,71.54,395956,2832758940000.0,2427,192400,0.48590000000000005
2015-10-19,ARVINFRA,EQ,71.6,74.0,74.0,69.1,69.7,69.7,70.7,125145,884836505000.0001,1346,69747,0.5573
2015-10-20,ARVINFRA,EQ,69.7,70.0,72.0,68.7,71.2,70.95,70.69,157078,1110350495000.0,1297,101365,0.6453
2015-10-21,ARVINFRA,EQ,70.95,71.0,71.35,68.0,68.3,68.5,69.11,74001,511414000000.0,687,43364,0.5860000000000001
2015-10-23,ARVINFRA,EQ,68.5,68.3,71.0,67.0,68.0,67.35,68.92,68886,474791615000.00006,513,52520,0.7624
