Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ASAHIINDIA,EQ,97.95,97.35,103.5,97.35,99.35,99.15,100.74,215701,2172893095000.0,,125397,0.5813
2010-10-05,ASAHIINDIA,EQ,99.15,98.35,103.5,98.35,102.75,102.8,101.36,278558,2823538415000.0,,191557,0.6877
2010-10-06,ASAHIINDIA,EQ,102.8,103.95,107.0,103.0,105.75,106.25,105.5,247519,2611322900000.0,,112081,0.45280000000000004
2010-10-07,ASAHIINDIA,EQ,106.25,107.85,113.0,105.15,107.55,107.65,107.71,163943,1765796730000.0,,101329,0.6181
2010-10-08,ASAHIINDIA,EQ,107.65,107.0,116.75,107.0,113.5,113.5,113.0,402702,4550723595000.0,,189717,0.4711
2010-10-11,ASAHIINDIA,EQ,113.5,114.25,115.4,105.05,111.5,111.0,111.86,154866,1732291995000.0,,98625,0.6368
2010-10-12,ASAHIINDIA,EQ,111.0,109.0,111.7,106.7,110.0,110.15,109.39,45053,492837509999.99994,,22727,0.5045000000000001
2010-10-13,ASAHIINDIA,EQ,110.15,110.95,114.8,110.0,111.2,111.35,112.44,80184,901603915000.0,,41830,0.5217
2010-10-14,ASAHIINDIA,EQ,111.35,111.95,112.45,108.3,109.95,109.7,109.76,76047,834699605000.0,,55535,0.7303000000000001
2010-10-15,ASAHIINDIA,EQ,109.7,109.05,113.5,108.0,109.0,109.0,110.43,73499,811681365000.0,,39945,0.5435
2010-10-18,ASAHIINDIA,EQ,109.0,112.75,114.0,106.5,109.15,109.35,109.11,68135,743391820000.0,,24067,0.3532
2010-10-19,ASAHIINDIA,EQ,109.35,106.05,114.05,106.05,110.3,110.7,111.64,76151,850123880000.0001,,42206,0.5542
2010-10-20,ASAHIINDIA,EQ,110.7,114.0,117.0,109.5,110.35,110.35,111.16,58799,653626580000.0,,39809,0.677
2010-10-21,ASAHIINDIA,EQ,110.35,109.05,117.75,109.05,114.9,115.95,113.49,205279,2329769780000.0,,120077,0.5849000000000001
2010-10-22,ASAHIINDIA,EQ,115.95,116.5,118.8,111.6,112.25,113.45,115.66,71178,823246710000.0,,29762,0.4181
2010-10-25,ASAHIINDIA,EQ,113.45,113.5,114.3,110.1,110.75,111.55,111.88,62548,699793220000.0,,40936,0.6545000000000001
2010-10-26,ASAHIINDIA,EQ,111.55,111.05,112.8,109.6,111.0,111.5,110.83,61787,684813335000.0,,35150,0.5689000000000001
2010-10-27,ASAHIINDIA,EQ,111.5,111.7,114.85,110.55,111.85,111.85,112.02,49211,551286120000.0,,34530,0.7017
2010-10-28,ASAHIINDIA,EQ,111.85,112.95,118.8,109.05,110.55,111.0,111.02,74164,823392715000.0,,48797,0.658
2010-10-29,ASAHIINDIA,EQ,111.0,113.0,113.0,106.0,107.25,108.15,108.9,100302,1092320869999.9999,,59108,0.5893
2010-11-01,ASAHIINDIA,EQ,108.15,108.3,110.0,107.35,107.55,108.25,109.12,40328,440071900000.0,,26083,0.6468
2010-11-02,ASAHIINDIA,EQ,108.25,108.95,109.0,107.1,107.95,107.35,107.93,40757,439901775000.0,,27403,0.6724
2010-11-03,ASAHIINDIA,EQ,107.35,108.95,109.2,105.6,107.5,107.15,107.48,107837,1159060975000.0,,87085,0.8076000000000001
2010-11-04,ASAHIINDIA,EQ,107.15,107.05,108.4,107.0,107.5,107.55,107.72,48594,523461809999.99994,,40673,0.8370000000000001
2010-11-05,ASAHIINDIA,EQ,107.55,110.0,112.2,109.05,110.55,111.4,111.01,38646,428997865000.00006,,31675,0.8196
2010-11-08,ASAHIINDIA,EQ,111.4,111.8,114.25,109.05,112.8,112.05,111.63,85115,950096255000.0001,,51633,0.6066
2010-11-09,ASAHIINDIA,EQ,112.05,113.0,122.95,112.0,121.25,121.3,118.43,376386,4457438060000.0,,192476,0.5114
2010-11-10,ASAHIINDIA,EQ,121.3,124.8,130.0,117.0,117.9,117.8,120.62,136343,1644508525000.0,,64436,0.47259999999999996
2010-11-11,ASAHIINDIA,EQ,117.8,126.0,126.0,113.5,115.0,114.35,117.33,79571,933619560000.0,,37881,0.4761
2010-11-12,ASAHIINDIA,EQ,114.35,113.6,117.0,109.7,109.8,110.25,112.47,47179,530613034999.99994,,29401,0.6232
2010-11-15,ASAHIINDIA,EQ,110.25,110.25,112.6,107.65,111.0,111.25,109.39,78719,861089490000.0,,52070,0.6615000000000001
2010-11-16,ASAHIINDIA,EQ,111.25,111.6,112.45,107.05,107.5,107.95,108.99,53515,583270850000.0,,38789,0.7248
2010-11-18,ASAHIINDIA,EQ,107.95,108.0,109.2,100.05,105.0,106.2,106.49,73089,778308565000.0,,54467,0.7452
2010-11-19,ASAHIINDIA,EQ,106.2,105.4,108.3,100.55,100.7,102.25,104.24,53551,558222185000.0,,35658,0.6659
2010-11-22,ASAHIINDIA,EQ,102.25,102.5,105.0,100.05,102.3,102.0,102.65,51296,526537670000.0,,35079,0.6839000000000001
2010-11-23,ASAHIINDIA,EQ,102.0,101.0,102.0,96.65,100.0,100.05,99.47,45801,455590540000.00006,,32179,0.7026000000000001
2010-11-24,ASAHIINDIA,EQ,100.05,99.05,103.5,98.6,99.4,99.95,100.3,58889,590651305000.0,,50212,0.8527
2010-11-25,ASAHIINDIA,EQ,99.95,101.0,101.9,96.0,99.0,97.85,97.91,22422,219537629999.99997,,14688,0.6551
2010-11-26,ASAHIINDIA,EQ,97.85,98.05,99.0,93.35,93.55,94.45,94.78,120793,1144929295000.0,,101086,0.8369
2010-11-29,ASAHIINDIA,EQ,94.45,95.95,99.4,94.0,96.4,97.45,97.22,90145,876360415000.0,,69550,0.7715000000000001
2010-11-30,ASAHIINDIA,EQ,97.45,97.0,99.7,96.35,97.5,97.95,98.37,68586,674673100000.0,,59892,0.8732
2010-12-01,ASAHIINDIA,EQ,97.95,97.5,102.75,90.5,101.0,101.25,99.1,68475,678606935000.0,,34591,0.5052000000000001
2010-12-02,ASAHIINDIA,EQ,101.25,102.95,108.45,101.9,103.5,103.85,105.47,65491,690703460000.0,,35730,0.5456000000000001
2010-12-03,ASAHIINDIA,EQ,103.85,104.95,106.7,98.5,101.0,100.8,100.57,159463,1603783290000.0,,113832,0.7138
2010-12-06,ASAHIINDIA,EQ,100.8,103.75,103.75,101.0,102.0,101.6,101.77,42843,436030915000.00006,,37566,0.8768000000000001
2010-12-07,ASAHIINDIA,EQ,101.6,100.5,103.35,98.1,98.15,98.7,99.81,28213,281597640000.0,,24493,0.8681000000000001
2010-12-08,ASAHIINDIA,EQ,98.7,97.95,99.95,95.15,96.05,96.15,97.02,34077,330630395000.0,,22821,0.6697
2010-12-09,ASAHIINDIA,EQ,96.15,97.95,98.6,91.0,91.45,91.75,92.6,95333,882767215000.0,,76293,0.8003
2010-12-10,ASAHIINDIA,EQ,91.75,93.0,97.9,90.05,97.3,96.75,95.8,54996,526853420000.0,,37993,0.6908
2010-12-13,ASAHIINDIA,EQ,96.75,96.05,99.9,94.0,96.1,96.8,97.07,56350,546979445000.0,,35123,0.6233
2010-12-14,ASAHIINDIA,EQ,96.8,95.25,102.0,95.25,99.55,100.05,97.77,175688,1717649095000.0,,145450,0.8279000000000001
2010-12-15,ASAHIINDIA,EQ,100.05,100.9,101.15,97.0,97.05,97.6,99.86,189104,1888403980000.0,,173640,0.9181999999999999
2010-12-16,ASAHIINDIA,EQ,97.6,97.15,98.8,95.35,95.7,95.95,96.59,56011,541030145000.0,,29339,0.5238
2010-12-20,ASAHIINDIA,EQ,95.95,96.05,97.9,95.25,95.6,95.7,96.7,10459,101137710000.0,,6899,0.6596
2010-12-21,ASAHIINDIA,EQ,95.7,95.7,97.0,94.5,95.0,95.15,95.63,82545,789368420000.0,,76429,0.9259000000000001
2010-12-22,ASAHIINDIA,EQ,95.15,94.75,97.0,93.35,94.65,94.7,95.69,16609,158926120000.0,,11208,0.6748000000000001
2010-12-23,ASAHIINDIA,EQ,94.7,94.5,96.75,94.0,94.65,94.75,95.03,11905,113134530000.0,,6353,0.5336
2010-12-24,ASAHIINDIA,EQ,94.75,93.5,95.0,93.5,94.9,94.45,94.28,18555,174929810000.0,,14549,0.7841
2010-12-27,ASAHIINDIA,EQ,94.45,93.35,96.4,93.35,95.0,95.1,94.99,7249,68857235000.0,,4269,0.5889
2010-12-28,ASAHIINDIA,EQ,95.1,95.1,97.65,86.9,88.95,88.3,90.03,258767,2329562370000.0,,159974,0.6182
2010-12-29,ASAHIINDIA,EQ,88.3,88.6,99.3,85.7,95.95,96.05,95.56,509236,4866158295000.0,,213476,0.4192
2010-12-30,ASAHIINDIA,EQ,96.05,96.8,96.8,92.5,93.2,93.6,94.73,478009,4528341230000.0,,332480,0.6956
2010-12-31,ASAHIINDIA,EQ,93.6,94.2,96.2,94.2,95.65,95.55,95.14,182147,1732948414999.9998,,162949,0.8946
2011-01-03,ASAHIINDIA,EQ,95.55,95.8,101.0,95.8,98.1,98.3,99.03,175111,1734058585000.0002,,104772,0.5982999999999999
2011-01-04,ASAHIINDIA,EQ,98.3,98.6,100.75,97.0,98.0,98.0,98.22,127805,1255314150000.0,,111554,0.8728
2011-01-05,ASAHIINDIA,EQ,98.0,98.0,106.0,98.0,98.7,98.9,101.41,160672,1629340285000.0,,91135,0.5672
2011-01-06,ASAHIINDIA,EQ,98.9,102.75,105.55,97.5,98.0,99.2,98.98,179340,1775191650000.0,,104684,0.5837
2011-01-07,ASAHIINDIA,EQ,99.2,98.9,98.9,93.1,94.0,93.95,95.91,81123,778072195000.0,,45367,0.5592
2011-01-10,ASAHIINDIA,EQ,93.95,94.0,96.4,92.35,93.5,93.8,94.53,256761,2427280490000.0,,219143,0.8534999999999999
2011-01-11,ASAHIINDIA,EQ,93.8,93.5,94.9,92.5,94.4,94.05,93.87,36084,338731685000.0,,26831,0.7436
2011-01-12,ASAHIINDIA,EQ,94.05,93.6,96.0,93.6,96.0,95.55,94.37,28680,270654060000.0,,25768,0.8985
2011-01-13,ASAHIINDIA,EQ,95.55,94.5,96.25,94.1,95.0,95.0,95.14,24165,229897815000.0,,18483,0.7648999999999999
2011-01-14,ASAHIINDIA,EQ,95.0,95.5,97.8,93.55,94.3,94.05,94.43,32012,302288730000.0,,25602,0.7998000000000001
2011-01-17,ASAHIINDIA,EQ,94.05,94.0,94.65,89.35,89.35,90.0,93.18,89650,835340205000.0,,79317,0.8847
2011-01-18,ASAHIINDIA,EQ,90.0,90.5,91.5,87.5,89.05,88.95,88.52,50997,451439570000.0,,44028,0.8633
2011-01-19,ASAHIINDIA,EQ,88.95,88.35,92.75,88.35,90.9,90.2,89.91,12005,107939945000.0,,6250,0.5206000000000001
2011-01-20,ASAHIINDIA,EQ,90.2,89.25,90.0,87.55,90.0,89.45,88.24,59049,521047530000.0,,43172,0.7311
2011-01-21,ASAHIINDIA,EQ,89.45,88.6,90.8,88.3,90.05,90.15,89.93,3666,32968615000.000004,,1977,0.5393
2011-01-24,ASAHIINDIA,EQ,90.15,89.25,93.45,89.25,92.0,92.4,91.42,33522,306474715000.0,,27817,0.8298000000000001
2011-01-25,ASAHIINDIA,EQ,92.4,91.75,97.0,91.35,95.15,95.75,94.58,66938,633128660000.0,,54929,0.8206
2011-01-27,ASAHIINDIA,EQ,95.75,97.15,99.95,88.65,90.9,90.1,93.73,63097,591383500000.0,,30685,0.4863
2011-01-28,ASAHIINDIA,EQ,90.1,90.35,92.0,88.0,91.0,89.45,89.5,122508,1096435594999.9999,,115941,0.9464
2011-01-31,ASAHIINDIA,EQ,89.45,89.05,91.1,86.25,87.35,87.85,87.87,45816,402577455000.0,,37300,0.8140999999999999
2011-02-01,ASAHIINDIA,EQ,87.85,87.05,89.2,84.35,86.0,86.05,86.75,134762,1169034825000.0,,122607,0.9098
2011-02-02,ASAHIINDIA,EQ,86.05,86.8,89.95,86.8,89.5,89.45,88.92,16188,143939675000.0,,13138,0.8116
2011-02-03,ASAHIINDIA,EQ,89.45,88.05,89.9,87.1,89.15,89.65,89.07,9023,80371115000.0,,6251,0.6928
2011-02-04,ASAHIINDIA,EQ,89.65,89.9,90.0,87.2,88.5,87.7,88.35,8947,79044630000.0,,6957,0.7776000000000001
2011-02-07,ASAHIINDIA,EQ,87.7,89.5,89.5,86.0,86.0,86.25,87.14,8300,72322635000.0,,4926,0.5935
2011-02-08,ASAHIINDIA,EQ,86.25,86.0,87.7,86.0,86.0,86.1,86.09,34578,297694430000.0,,31963,0.9244
2011-02-09,ASAHIINDIA,EQ,86.1,86.0,86.05,82.65,84.65,84.0,84.23,41161,346680200000.0,,32045,0.7785
2011-02-10,ASAHIINDIA,EQ,84.0,82.05,84.5,81.0,82.55,81.9,83.66,47516,397496605000.0,,39653,0.8345
2011-02-11,ASAHIINDIA,EQ,81.9,80.2,83.05,80.1,82.45,81.6,81.61,19276,157304745000.0,,14164,0.7348
2011-02-14,ASAHIINDIA,EQ,81.6,81.0,86.0,81.0,85.0,84.5,84.23,27167,228818310000.0,,18240,0.6714
2011-02-15,ASAHIINDIA,EQ,84.5,82.2,85.9,82.2,83.45,83.4,84.24,59906,504674355000.0,,50471,0.8425
2011-02-16,ASAHIINDIA,EQ,83.4,82.05,86.5,82.05,86.5,85.8,84.84,8553,72563415000.0,,6301,0.7367
2011-02-17,ASAHIINDIA,EQ,85.8,85.0,86.5,84.1,86.0,86.0,85.7,13425,115058305000.0,,9173,0.6833
2011-02-18,ASAHIINDIA,EQ,86.0,86.0,86.9,84.5,84.5,84.8,85.97,12388,106499630000.0,,8271,0.6677
2011-02-21,ASAHIINDIA,EQ,84.8,84.5,84.8,80.6,82.25,81.95,82.96,20721,171904435000.0,,14430,0.6964
2011-02-22,ASAHIINDIA,EQ,81.95,81.55,83.85,81.1,83.05,82.35,82.13,7656,62874905000.00001,,5260,0.687
2011-02-23,ASAHIINDIA,EQ,82.35,81.75,83.95,81.5,81.7,81.75,82.71,8982,74286395000.0,,5686,0.633
2011-02-24,ASAHIINDIA,EQ,81.75,81.2,81.85,79.05,80.4,79.8,80.19,9356,75026830000.0,,7631,0.8156
2011-02-25,ASAHIINDIA,EQ,79.8,79.2,80.5,78.0,80.0,79.4,79.09,9003,71203485000.0,,7260,0.8064
2011-02-28,ASAHIINDIA,EQ,79.4,78.4,82.0,78.4,79.1,79.3,80.78,14649,118327575000.0,,12697,0.8667
2011-03-01,ASAHIINDIA,EQ,79.3,79.0,84.0,79.0,84.0,83.8,81.47,39114,318671715000.0,,27768,0.7099
2011-03-03,ASAHIINDIA,EQ,83.8,84.0,86.5,83.0,85.7,85.3,85.45,12972,110845110000.00002,,5879,0.4532
2011-03-04,ASAHIINDIA,EQ,85.3,84.2,87.9,84.2,86.75,86.15,86.68,9776,84742845000.0,,5884,0.6019
2011-03-07,ASAHIINDIA,EQ,86.15,85.2,85.75,82.75,84.75,84.15,83.5,17630,147214875000.0,,9785,0.555
2011-03-08,ASAHIINDIA,EQ,84.15,83.5,85.9,83.5,84.55,84.25,84.57,7511,63519594999.99999,,7195,0.9579000000000001
2011-03-09,ASAHIINDIA,EQ,84.25,84.05,85.85,83.35,84.5,84.0,84.43,3248,27422315000.000004,,1937,0.5964
2011-03-10,ASAHIINDIA,EQ,84.0,83.5,86.5,83.05,84.2,84.65,84.12,7566,63642635000.0,,3442,0.4549
2011-03-11,ASAHIINDIA,EQ,84.65,84.0,84.8,82.35,82.6,82.9,83.1,8508,70698685000.0,,5479,0.644
2011-03-14,ASAHIINDIA,EQ,82.9,82.4,87.9,82.1,86.45,85.85,84.17,8015,67464794999.99999,,5089,0.6349
2011-03-15,ASAHIINDIA,EQ,85.85,85.0,85.05,81.1,82.25,82.1,82.26,44385,365094095000.0,,34362,0.7742
2011-03-16,ASAHIINDIA,EQ,82.1,82.0,83.75,82.0,82.75,83.0,83.37,17022,141915470000.0,,13825,0.8122
2011-03-17,ASAHIINDIA,EQ,83.0,82.5,87.85,82.0,85.15,85.45,86.04,73812,635053175000.0,,11507,0.1559
2011-03-18,ASAHIINDIA,EQ,85.45,85.05,86.45,83.4,83.4,83.95,84.96,9480,80544715000.0,,4068,0.4291
2011-03-21,ASAHIINDIA,EQ,83.95,83.5,94.5,82.5,87.5,86.65,87.61,35349,309680465000.0,,19871,0.5621
2011-03-22,ASAHIINDIA,EQ,86.65,86.2,88.5,84.05,87.75,87.3,86.86,28630,248682210000.0,,22756,0.7948000000000001
2011-03-23,ASAHIINDIA,EQ,87.3,86.75,87.9,86.35,87.0,87.2,87.09,46619,406019525000.0,,38494,0.8257
2011-03-24,ASAHIINDIA,EQ,87.2,86.7,88.9,86.7,88.4,87.45,87.73,15286,134111685000.00002,,11205,0.733
2011-03-25,ASAHIINDIA,EQ,87.45,86.5,89.05,86.5,87.0,87.15,88.54,50056,443199390000.00006,,46632,0.9316
2011-03-28,ASAHIINDIA,EQ,87.15,85.2,87.95,85.2,86.6,86.45,86.5,76505,661752590000.0,,71283,0.9317000000000001
2011-03-29,ASAHIINDIA,EQ,86.45,85.15,87.75,85.0,85.0,85.3,86.12,17717,152584670000.0,,14684,0.8288
2011-03-30,ASAHIINDIA,EQ,85.3,84.35,88.25,84.05,88.2,88.15,87.45,7108,62157500000.0,,6183,0.8699
2011-03-31,ASAHIINDIA,EQ,88.15,85.15,91.0,85.15,88.75,89.05,88.53,95193,842780485000.0,,90103,0.9465000000000001
2011-04-01,ASAHIINDIA,EQ,89.05,89.05,92.25,86.2,91.5,91.45,90.99,50633,460706980000.0,,45690,0.9024
2011-04-04,ASAHIINDIA,EQ,91.45,91.05,95.85,91.05,94.5,94.9,94.24,52221,492152215000.00006,,40725,0.7798999999999999
2011-04-05,ASAHIINDIA,EQ,94.9,93.05,96.05,93.05,95.05,95.55,95.07,16304,155003955000.0,,10745,0.659
2011-04-06,ASAHIINDIA,EQ,95.55,93.1,97.9,93.1,95.0,94.8,95.28,17481,166560585000.0,,10563,0.6043000000000001
2011-04-07,ASAHIINDIA,EQ,94.8,95.05,97.65,94.45,96.6,96.4,96.37,71543,689437210000.0,,54869,0.7669
2011-04-08,ASAHIINDIA,EQ,96.4,94.15,103.7,94.15,100.3,99.85,99.17,184545,1830047720000.0,,100982,0.5472
2011-04-11,ASAHIINDIA,EQ,99.85,99.0,101.0,97.1,99.5,99.6,98.95,44980,445092430000.0,,29954,0.6659
2011-04-13,ASAHIINDIA,EQ,99.6,95.15,105.25,95.15,103.55,104.1,103.71,100076,1037921700000.0,,48905,0.48869999999999997
2011-04-15,ASAHIINDIA,EQ,104.1,104.0,106.9,101.0,101.0,101.75,103.62,71324,739060260000.0,,48331,0.6776000000000001
2011-04-18,ASAHIINDIA,EQ,101.75,100.5,103.65,98.05,99.5,99.8,101.28,45714,462981490000.00006,,24193,0.5292
2011-04-19,ASAHIINDIA,EQ,99.8,98.05,102.45,98.05,102.0,101.7,100.36,51103,512865640000.00006,,27841,0.5448
2011-04-20,ASAHIINDIA,EQ,101.7,104.1,108.5,103.6,104.75,104.85,105.85,161994,1714757930000.0,,60567,0.3739
2011-04-21,ASAHIINDIA,EQ,104.85,101.55,105.9,101.55,102.8,102.8,102.95,28680,295258625000.0,,16094,0.5612
2011-04-25,ASAHIINDIA,EQ,102.8,101.5,104.45,101.0,101.6,102.3,102.91,19815,203918685000.0,,11603,0.5856
2011-04-26,ASAHIINDIA,EQ,102.3,101.0,104.05,101.0,103.4,103.4,103.06,19597,201965900000.0,,12280,0.6265999999999999
2011-04-27,ASAHIINDIA,EQ,103.4,102.0,105.25,102.0,102.3,102.75,103.37,15417,159361915000.0,,8259,0.5357000000000001
