Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ASHAPURMIN,EQ,51.6,51.6,52.6,50.75,51.2,51.05,51.72,107810,557606055000.0,,60728,0.5633
2010-10-05,ASHAPURMIN,EQ,51.05,51.2,56.05,51.05,54.7,54.4,54.17,225012,1218975615000.0,,99770,0.4434
2010-10-06,ASHAPURMIN,EQ,54.4,55.65,63.45,54.65,62.0,61.95,59.92,991682,5941723125000.0,,313808,0.3164
2010-10-07,ASHAPURMIN,EQ,61.95,62.4,62.6,57.55,58.55,58.45,59.7,292082,1743833985000.0002,,144111,0.49340000000000006
2010-10-08,ASHAPURMIN,EQ,58.45,58.3,58.55,56.3,56.5,56.8,57.28,81351,466017440000.00006,,34826,0.42810000000000004
2010-10-11,ASHAPURMIN,EQ,56.8,57.65,58.95,56.6,57.2,56.9,57.55,74459,428539820000.0,,35127,0.4718
2010-10-12,ASHAPURMIN,EQ,56.9,57.6,57.6,55.2,55.9,55.8,55.93,41994,234869035000.0,,23057,0.5491
2010-10-13,ASHAPURMIN,EQ,55.8,56.05,59.45,55.3,57.75,57.95,57.35,338609,1941994060000.0002,,211740,0.6253000000000001
2010-10-14,ASHAPURMIN,EQ,57.95,57.6,58.6,55.75,56.0,55.95,56.62,84797,480110550000.0,,46790,0.5518
2010-10-15,ASHAPURMIN,EQ,55.95,55.9,57.25,53.55,55.5,54.75,55.88,100358,560830405000.0,,41580,0.4143
2010-10-18,ASHAPURMIN,EQ,54.75,53.05,55.4,53.05,53.4,53.75,53.93,56285,303536850000.0,,34922,0.6204
2010-10-19,ASHAPURMIN,EQ,53.75,54.0,56.25,53.8,54.05,54.15,54.93,60084,330038975000.0,,20311,0.33799999999999997
2010-10-20,ASHAPURMIN,EQ,54.15,53.95,54.95,53.15,53.5,53.5,53.88,24267,130739685000.00002,,10318,0.4252
2010-10-21,ASHAPURMIN,EQ,53.5,53.9,54.8,53.8,54.0,54.15,54.31,46032,249995770000.00003,,32506,0.7062
2010-10-22,ASHAPURMIN,EQ,54.15,54.15,54.45,53.15,53.2,53.4,53.85,28207,151905980000.0,,16745,0.5936
2010-10-25,ASHAPURMIN,EQ,53.4,54.0,54.45,53.1,53.4,53.25,53.85,37331,201038020000.0,,23975,0.6422
2010-10-26,ASHAPURMIN,EQ,53.25,53.05,53.05,50.65,51.15,51.1,51.38,273574,1405665490000.0,,170141,0.6219
2010-10-27,ASHAPURMIN,EQ,51.1,51.35,53.2,51.35,52.4,52.25,52.4,149199,781796595000.0,,63936,0.42850000000000005
2010-10-28,ASHAPURMIN,EQ,52.25,52.85,53.0,51.8,52.2,52.05,52.27,55639,290822350000.0,,29233,0.5254
2010-10-29,ASHAPURMIN,EQ,52.05,51.9,52.75,50.5,51.0,50.65,51.36,75293,386703795000.0,,41310,0.5487
2010-11-01,ASHAPURMIN,EQ,50.65,51.6,52.0,50.1,50.25,50.45,50.91,60903,310076665000.0,,34785,0.5712
2010-11-02,ASHAPURMIN,EQ,50.45,50.45,50.7,48.45,50.4,49.7,49.92,92334,460896130000.0,,44731,0.4844
2010-11-03,ASHAPURMIN,EQ,49.7,50.1,51.45,49.5,49.9,49.95,50.4,69420,349896280000.0,,34526,0.49729999999999996
2010-11-04,ASHAPURMIN,EQ,49.95,50.15,53.5,50.0,51.35,51.3,52.11,301077,1569031855000.0,,104612,0.34750000000000003
2010-11-05,ASHAPURMIN,EQ,51.3,52.0,52.5,51.5,51.65,51.85,51.79,18303,94799950000.0,,13627,0.7445
2010-11-08,ASHAPURMIN,EQ,51.85,52.9,53.95,50.3,51.2,50.8,51.03,86356,440648845000.0,,33794,0.39130000000000004
2010-11-09,ASHAPURMIN,EQ,50.8,50.7,52.6,50.7,51.55,51.5,51.54,111898,576710630000.0,,56149,0.5018
2010-11-10,ASHAPURMIN,EQ,51.5,51.4,55.45,51.0,54.35,54.15,53.85,399103,2149307300000.0,,148321,0.3716
2010-11-11,ASHAPURMIN,EQ,54.15,54.75,56.4,52.05,52.7,52.7,54.76,226680,1241394630000.0,,106655,0.4705
2010-11-12,ASHAPURMIN,EQ,52.7,53.6,53.6,50.1,50.25,50.55,51.5,88844,457545175000.0,,48891,0.5503
2010-11-15,ASHAPURMIN,EQ,50.55,50.55,51.5,50.1,50.8,50.45,50.73,61612,312564650000.0,,31033,0.5037
2010-11-16,ASHAPURMIN,EQ,50.45,50.6,51.8,47.0,47.4,47.7,48.93,103803,507886900000.0,,58267,0.5613
2010-11-18,ASHAPURMIN,EQ,47.7,48.25,49.35,45.55,46.85,46.6,46.89,71765,336533085000.0,,41956,0.5846
2010-11-19,ASHAPURMIN,EQ,46.6,48.0,48.0,45.2,45.9,45.8,47.31,64254,303970195000.0,,47731,0.7428
2010-11-22,ASHAPURMIN,EQ,45.8,46.8,48.0,46.15,46.9,46.75,47.1,50887,239653495000.00003,,25142,0.4941
2010-11-23,ASHAPURMIN,EQ,46.75,46.05,47.0,45.15,46.65,46.25,46.24,36794,170150725000.0,,25099,0.6820999999999999
