Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-12-03,ASHIMASYN,EQ,6.65,6.7,6.8,6.35,6.35,6.35,6.4,12066,7723210000.000001,,10329,0.856
2010-12-06,ASHIMASYN,EQ,6.35,6.25,6.7,6.2,6.7,6.7,6.47,4770,3085210000.0,,2300,0.4822
2010-12-07,ASHIMASYN,EQ,6.7,6.85,6.85,6.4,6.45,6.4,6.49,6239,4049835000.0,,3146,0.5042
2010-12-08,ASHIMASYN,EQ,6.4,6.7,6.7,6.3,6.3,6.3,6.3,301,189670000.0,,300,0.9967
2010-12-09,ASHIMASYN,EQ,6.3,6.0,6.45,6.0,6.0,6.0,6.11,2010,1227550000.0,,1005,0.5
2010-12-10,ASHIMASYN,EQ,6.0,5.85,6.15,5.85,5.95,5.95,6.0,2952,1771945000.0,,2002,0.6781999999999999
2010-12-13,ASHIMASYN,EQ,5.95,6.0,6.25,6.0,6.25,6.15,6.2,12490,7748285000.000001,,10398,0.8325
2010-12-14,ASHIMASYN,EQ,6.15,6.45,6.45,6.45,6.45,6.45,6.45,101,65145000.00000001,,100,0.9901000000000001
2010-12-15,ASHIMASYN,EQ,6.45,6.25,6.3,6.15,6.3,6.3,6.29,355,223375000.0,,352,0.9915
2010-12-16,ASHIMASYN,EQ,6.3,6.0,6.4,6.0,6.4,6.2,6.16,7083,4363130000.0,,6082,0.8587
2010-12-20,ASHIMASYN,EQ,6.2,6.05,6.25,6.05,6.05,6.05,6.12,4700,2878040000.0,,2614,0.5562
2010-12-21,ASHIMASYN,EQ,6.05,6.0,6.25,5.85,5.85,5.85,5.99,4547,2722560000.0,,4544,0.9993000000000001
2010-12-22,ASHIMASYN,EQ,5.85,5.8,6.0,5.8,6.0,5.9,5.81,1884,1095360000.0,,1840,0.9766
2010-12-23,ASHIMASYN,EQ,5.9,5.6,6.2,5.6,6.05,6.05,5.91,5425,3204955000.0,,3523,0.6494
2010-12-24,ASHIMASYN,EQ,6.05,5.95,6.35,5.75,6.35,6.35,6.13,25006,15334875000.0,,10666,0.4265
2010-12-27,ASHIMASYN,EQ,6.35,6.6,6.7,6.55,6.7,6.7,6.7,32171,21546040000.0,,30932,0.9615000000000001
2010-12-28,ASHIMASYN,EQ,6.7,6.7,7.05,6.65,7.05,7.05,7.02,31763,22289930000.0,,28459,0.8959999999999999
2010-12-29,ASHIMASYN,EQ,7.05,7.0,7.25,6.9,7.0,7.0,7.11,16482,11717105000.0,,7995,0.4851
2010-12-30,ASHIMASYN,EQ,7.0,6.95,7.35,6.95,7.35,7.35,7.32,23793,17418125000.0,,23693,0.9958
2010-12-31,ASHIMASYN,EQ,7.35,7.75,7.75,7.75,7.75,7.75,7.75,2798,2168450000.0,,2798,1.0
2011-01-03,ASHIMASYN,EQ,7.75,7.85,8.15,7.75,8.05,8.05,8.1,33174,26876440000.000004,,25031,0.7545000000000001
2011-01-04,ASHIMASYN,EQ,8.05,8.0,8.1,7.85,8.0,8.0,8.0,6609,5289690000.0,,5902,0.893
2011-01-05,ASHIMASYN,EQ,8.0,7.65,8.0,7.65,7.7,7.7,7.69,2194,1687459999.9999998,,2194,1.0
2011-01-06,ASHIMASYN,EQ,7.7,7.55,7.75,7.4,7.4,7.45,7.54,3020,2277380000.0,,2500,0.8278
2011-03-07,ASHIMASYN,EQ,4.6,4.5,4.8,4.5,4.8,4.65,4.54,1323,600210000.0,,1322,0.9992000000000001
2011-03-08,ASHIMASYN,EQ,4.65,4.95,5.1,4.8,5.05,5.05,4.99,5294,2639065000.0,,5292,0.9995999999999999
2011-03-09,ASHIMASYN,EQ,5.05,5.6,5.6,4.75,5.05,5.05,4.91,3812,1871800000.0,,3102,0.8137000000000001
2011-03-10,ASHIMASYN,EQ,5.05,4.95,4.95,4.95,4.95,4.95,4.95,40,19800000.0,,40,1.0
2011-03-11,ASHIMASYN,EQ,4.95,4.75,4.9,4.6,4.85,4.85,4.7,1016,477735000.00000006,,510,0.502
2011-03-14,ASHIMASYN,EQ,4.85,5.0,5.0,4.75,5.0,5.0,4.96,121,60000000.0,,121,1.0
2011-03-15,ASHIMASYN,EQ,5.0,4.95,5.5,4.55,5.5,5.3,5.17,13156,6800695000.0,,12353,0.9390000000000001
2011-03-16,ASHIMASYN,EQ,5.3,5.8,5.8,4.85,5.25,4.85,5.15,2738,1411045000.0,,2175,0.7944
2011-03-17,ASHIMASYN,EQ,4.85,5.0,5.2,5.0,5.1,5.1,5.04,2620,1320040000.0,,2200,0.8397
2011-03-18,ASHIMASYN,EQ,5.1,5.0,5.3,4.85,4.85,4.85,5.05,7110,3588100000.0,,1460,0.2053
2011-03-21,ASHIMASYN,EQ,4.85,4.8,4.8,4.55,4.55,4.6,4.67,7738,3616344999.9999995,,7236,0.9351
