Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ASIANHOTNR,EQ,324.8,327.0,329.0,318.0,322.0,319.65,323.55,7826,253209595000.00003,,3606,0.4608
2010-10-05,ASIANHOTNR,EQ,319.65,320.4,325.0,307.15,309.0,311.05,315.28,9681,305221805000.0,,6879,0.7106
2010-10-06,ASIANHOTNR,EQ,311.05,310.05,314.0,310.0,312.0,312.95,312.51,8111,253473454999.99997,,7377,0.9095000000000001
2010-10-07,ASIANHOTNR,EQ,312.95,313.9,320.05,310.3,314.0,316.25,316.49,18560,587407560000.0,,15997,0.8619
2010-10-08,ASIANHOTNR,EQ,316.25,321.8,321.8,310.0,315.0,313.35,316.0,37879,1196977975000.0,,35518,0.9377
2010-10-11,ASIANHOTNR,EQ,313.35,315.45,320.0,314.0,319.0,318.15,316.84,7113,225370495000.00003,,4536,0.6377
2010-10-12,ASIANHOTNR,EQ,318.15,326.1,330.0,317.0,318.0,318.75,323.34,13778,445493765000.00006,,5919,0.42960000000000004
2010-10-13,ASIANHOTNR,EQ,318.75,320.05,322.95,316.0,320.0,319.15,319.46,4537,144939185000.0,,2553,0.5627000000000001
2010-10-14,ASIANHOTNR,EQ,319.15,316.0,320.0,310.3,315.0,313.05,314.77,3056,96194675000.0,,2035,0.6659
2010-10-15,ASIANHOTNR,EQ,313.05,315.0,318.0,306.3,312.7,309.4,311.63,2745,85541555000.0,,1844,0.6718000000000001
2010-10-18,ASIANHOTNR,EQ,309.4,300.0,309.0,300.0,305.25,307.05,306.83,4123,126506900000.0,,2865,0.6949
2010-10-19,ASIANHOTNR,EQ,307.05,307.2,310.9,306.5,308.0,308.55,307.78,2875,88487105000.0,,1920,0.6678000000000001
2010-10-20,ASIANHOTNR,EQ,308.55,305.0,309.95,303.1,304.1,304.1,304.89,3122,95186925000.0,,2153,0.6896
2010-10-21,ASIANHOTNR,EQ,304.1,302.3,308.85,300.0,302.75,304.15,303.98,3809,115784545000.0,,2845,0.7469
2010-10-22,ASIANHOTNR,EQ,304.15,317.75,317.75,302.0,305.0,304.3,305.04,2826,86203180000.0,,2057,0.7279000000000001
2010-10-25,ASIANHOTNR,EQ,304.3,306.25,313.7,300.0,308.5,308.45,307.89,3583,110316725000.0,,2302,0.6425
2010-10-26,ASIANHOTNR,EQ,308.45,310.0,313.0,307.05,308.5,308.1,309.18,2600,80387570000.0,,1865,0.7173
2010-10-27,ASIANHOTNR,EQ,308.1,303.05,310.1,303.05,309.25,307.9,308.95,4891,151108265000.0,,4154,0.8493
2010-10-28,ASIANHOTNR,EQ,307.9,303.5,311.0,303.5,307.0,308.65,308.57,2425,74828410000.0,,1867,0.7698999999999999
2010-10-29,ASIANHOTNR,EQ,308.65,305.0,308.5,300.1,300.1,301.15,303.45,3066,93038000000.0,,1827,0.5959000000000001
2010-11-01,ASIANHOTNR,EQ,301.15,304.0,306.5,302.6,302.95,303.7,304.16,1930,58702944999.99999,,1135,0.5881000000000001
2010-11-02,ASIANHOTNR,EQ,303.7,309.4,309.4,300.0,300.4,300.85,302.51,1079,32640895000.0,,637,0.5904
2010-11-03,ASIANHOTNR,EQ,300.85,307.9,308.5,302.55,308.35,306.6,305.63,5032,153794395000.0,,4123,0.8194
2010-11-04,ASIANHOTNR,EQ,306.6,304.0,315.35,304.0,315.0,313.3,311.6,5687,177208670000.0,,4167,0.7327
2010-11-05,ASIANHOTNR,EQ,313.3,315.15,319.0,310.05,315.0,315.15,315.23,2030,63991844999.99999,,1952,0.9616
2010-11-08,ASIANHOTNR,EQ,315.15,310.1,321.9,310.0,312.5,314.95,315.73,5323,168062205000.0,,4392,0.8251000000000001
2010-11-09,ASIANHOTNR,EQ,314.95,318.5,325.0,310.0,311.0,311.15,311.98,8641,269582200000.0,,8005,0.9264
2010-11-10,ASIANHOTNR,EQ,311.15,313.0,315.0,307.05,313.0,312.55,312.86,7561,236551865000.0,,6653,0.8799
2010-11-11,ASIANHOTNR,EQ,312.55,314.85,319.0,303.05,306.0,306.25,308.43,13917,429248100000.0,,12623,0.907
2010-11-12,ASIANHOTNR,EQ,306.25,308.1,312.9,302.25,306.0,305.8,307.78,6167,189810180000.0,,5152,0.8354
2010-11-15,ASIANHOTNR,EQ,305.8,301.05,314.45,301.05,306.0,305.1,308.64,6301,194471950000.0,,3695,0.5864
2010-11-16,ASIANHOTNR,EQ,305.1,303.05,305.7,296.25,300.0,297.65,300.23,3330,99976250000.0,,1938,0.5820000000000001
2010-11-18,ASIANHOTNR,EQ,297.65,296.95,303.4,290.0,291.0,291.5,292.75,6065,177551685000.0,,4115,0.6785
2010-11-19,ASIANHOTNR,EQ,291.5,290.0,297.0,290.0,290.0,290.05,291.19,7207,209859820000.00003,,5770,0.8006000000000001
2010-11-22,ASIANHOTNR,EQ,290.05,291.0,297.9,291.0,297.9,294.7,293.21,4880,143084135000.0,,4509,0.924
2010-11-23,ASIANHOTNR,EQ,294.7,290.5,295.8,289.0,290.0,291.5,290.64,8082,234891970000.00003,,7177,0.888
2010-11-24,ASIANHOTNR,EQ,291.5,291.5,298.0,291.5,292.0,294.85,295.83,2477,73276830000.0,,2081,0.8401000000000001
2010-11-25,ASIANHOTNR,EQ,294.85,292.0,295.0,290.05,293.0,291.65,291.72,2401,70042370000.0,,1819,0.7576
2010-11-26,ASIANHOTNR,EQ,291.65,290.2,292.9,251.0,291.9,288.5,287.65,14833,426664175000.0,,13241,0.8926999999999999
2010-11-29,ASIANHOTNR,EQ,288.5,291.9,291.9,281.0,286.5,286.55,287.53,1760,50605475000.0,,1319,0.7494
2010-11-30,ASIANHOTNR,EQ,286.55,285.25,290.9,285.25,287.0,287.05,287.22,2100,60316115000.0,,1464,0.6970999999999999
2010-12-01,ASIANHOTNR,EQ,287.05,289.0,296.9,289.0,296.25,292.45,292.71,1613,47214315000.0,,1133,0.7023999999999999
2010-12-02,ASIANHOTNR,EQ,292.45,292.45,297.45,292.45,294.25,294.4,295.11,622,18356020000.0,,520,0.836
2010-12-03,ASIANHOTNR,EQ,294.4,298.5,301.0,286.0,289.0,288.7,293.16,2088,61211680000.00001,,1693,0.8108
2010-12-06,ASIANHOTNR,EQ,288.7,294.0,304.0,291.0,293.0,292.75,296.37,4950,146703410000.0,,3042,0.6145
2010-12-07,ASIANHOTNR,EQ,292.75,300.9,300.9,290.0,290.55,291.6,295.09,1588,46860950000.0,,1141,0.7184999999999999
2010-12-08,ASIANHOTNR,EQ,291.6,295.0,295.8,292.0,292.15,292.2,293.63,1463,42957885000.0,,970,0.663
2010-12-09,ASIANHOTNR,EQ,292.2,292.0,292.55,286.0,286.1,286.0,287.04,6095,174950095000.0,,5773,0.9472
2010-12-10,ASIANHOTNR,EQ,286.0,285.0,292.9,269.8,285.1,287.55,287.98,2941,84694660000.0,,2462,0.8371
2010-12-13,ASIANHOTNR,EQ,287.55,283.9,291.0,283.9,287.6,288.0,287.91,2102,60519000000.0,,1712,0.8145
2010-12-14,ASIANHOTNR,EQ,288.0,287.7,293.9,287.7,289.15,289.7,290.53,4147,120484635000.00002,,2849,0.687
2010-12-15,ASIANHOTNR,EQ,289.7,292.75,292.75,273.2,285.9,282.7,282.67,4407,124572105000.0,,3078,0.6984
2010-12-16,ASIANHOTNR,EQ,282.7,280.05,290.0,280.05,290.0,288.85,288.01,771,22205315000.0,,689,0.8936000000000001
2010-12-20,ASIANHOTNR,EQ,288.85,287.0,287.0,236.85,259.1,260.35,256.55,101867,2613352195000.0,,43829,0.4303
2010-12-21,ASIANHOTNR,EQ,260.35,275.0,278.0,260.15,262.2,262.9,260.24,561592,14614931610000.0,,556901,0.9916
2010-12-22,ASIANHOTNR,EQ,262.9,261.2,274.85,261.2,268.25,269.65,270.38,8817,238389810000.0,,4201,0.4765
2010-12-23,ASIANHOTNR,EQ,269.65,270.0,274.0,265.05,265.15,266.25,268.59,6504,174691640000.0,,4658,0.7162000000000001
2010-12-24,ASIANHOTNR,EQ,266.25,267.8,272.95,262.7,272.0,271.9,271.09,2986,80946215000.0,,1842,0.6169
2010-12-27,ASIANHOTNR,EQ,271.9,272.5,274.5,267.05,274.0,273.6,272.67,1437,39183310000.0,,777,0.5407000000000001
2010-12-28,ASIANHOTNR,EQ,273.6,275.0,275.0,220.0,268.25,269.1,221.21,408349,9032955935000.0,,400296,0.9803000000000001
2010-12-29,ASIANHOTNR,EQ,269.1,272.15,274.0,221.65,245.0,249.1,243.63,235567,5739146360000.0,,78317,0.3325
2010-12-30,ASIANHOTNR,EQ,249.1,245.0,253.8,245.0,249.0,249.35,250.87,24868,623860550000.0,,10237,0.4117
2010-12-31,ASIANHOTNR,EQ,249.35,254.5,254.5,246.0,251.0,252.15,251.3,7591,190762525000.0,,5887,0.7755
2011-01-03,ASIANHOTNR,EQ,252.15,255.5,255.5,252.0,253.0,252.65,253.12,5807,146986885000.0,,4600,0.7920999999999999
2011-01-04,ASIANHOTNR,EQ,252.65,255.7,255.7,246.05,250.0,250.3,250.9,12901,323684525000.0,,8628,0.6688
2011-01-05,ASIANHOTNR,EQ,250.3,250.1,253.0,249.3,250.95,249.8,250.65,4481,112314410000.00002,,3686,0.8226000000000001
2011-01-06,ASIANHOTNR,EQ,249.8,252.35,259.5,246.05,255.5,256.3,256.6,77939,1999876760000.0002,,20673,0.2652
2011-01-07,ASIANHOTNR,EQ,256.3,232.2,260.0,232.2,246.05,248.95,252.29,11263,284156015000.0,,6674,0.5926
2011-01-10,ASIANHOTNR,EQ,248.95,246.0,253.7,245.0,245.05,245.7,247.37,6294,155694930000.0,,4357,0.6922
2011-01-11,ASIANHOTNR,EQ,245.7,235.0,249.95,235.0,242.0,243.0,246.66,28065,692245170000.0,,24391,0.8691
2011-01-12,ASIANHOTNR,EQ,243.0,248.5,248.5,238.15,240.9,240.3,244.24,9414,229928585000.0,,7432,0.7895000000000001
2011-01-13,ASIANHOTNR,EQ,240.3,239.9,247.8,237.6,242.0,242.25,243.56,6296,153348090000.0,,3051,0.48460000000000003
2011-01-14,ASIANHOTNR,EQ,242.25,245.5,251.95,238.1,239.05,241.1,247.74,44582,1104453610000.0,,5503,0.1234
2011-01-17,ASIANHOTNR,EQ,241.1,239.0,242.55,235.5,237.0,238.4,238.08,3599,85685800000.0,,1814,0.504
2011-01-18,ASIANHOTNR,EQ,238.4,239.5,240.0,236.0,236.3,236.65,236.99,4395,104157720000.0,,2478,0.5638000000000001
2011-01-19,ASIANHOTNR,EQ,236.65,234.0,244.0,234.0,238.5,239.25,240.29,3297,79222255000.0,,1981,0.6008
2011-01-20,ASIANHOTNR,EQ,239.25,242.5,243.95,236.75,237.15,238.95,240.0,1871,44904185000.0,,1339,0.7156999999999999
2011-01-21,ASIANHOTNR,EQ,238.95,239.25,254.0,239.0,247.0,245.8,249.15,35819,892433355000.0001,,6109,0.1706
2011-01-24,ASIANHOTNR,EQ,245.8,247.5,247.5,240.0,244.15,244.9,244.73,2096,51295425000.0,,1693,0.8077
2011-01-25,ASIANHOTNR,EQ,244.9,252.2,252.2,240.05,243.0,242.35,245.76,6407,157458260000.0,,4019,0.6273
2011-01-27,ASIANHOTNR,EQ,242.35,242.8,243.9,240.05,240.05,240.55,241.54,3870,93475135000.0,,3374,0.8718000000000001
2011-01-28,ASIANHOTNR,EQ,240.55,240.1,245.5,233.05,237.8,234.7,236.36,3313,78306100000.0,,2582,0.7794
2011-01-31,ASIANHOTNR,EQ,234.7,237.5,240.9,215.1,232.0,232.1,231.34,5569,128830964999.99998,,3577,0.6423000000000001
2011-02-01,ASIANHOTNR,EQ,232.1,231.0,236.5,225.45,225.95,226.9,229.82,11619,267022200000.0,,5504,0.4737
2011-02-02,ASIANHOTNR,EQ,226.9,235.5,238.0,230.05,234.0,232.7,234.13,3353,78505210000.0,,1384,0.4128
2011-02-03,ASIANHOTNR,EQ,232.7,236.95,236.95,229.5,231.2,232.15,233.49,2910,67944975000.0,,1529,0.5254
2011-02-04,ASIANHOTNR,EQ,232.15,235.5,235.5,223.0,226.45,225.2,226.67,2082,47191760000.0,,1350,0.6484000000000001
2011-02-07,ASIANHOTNR,EQ,225.2,225.1,235.5,225.1,226.5,232.45,230.44,4148,95585930000.0,,2514,0.6061
2011-02-08,ASIANHOTNR,EQ,232.45,230.0,234.9,226.2,226.25,226.25,232.12,3657,84886355000.0,,2655,0.726
2011-02-09,ASIANHOTNR,EQ,226.25,227.95,231.6,224.05,225.1,225.65,226.01,3535,79895565000.0,,1909,0.54
2011-02-10,ASIANHOTNR,EQ,225.65,220.25,227.95,214.05,215.0,215.35,217.34,10661,231703000000.0,,6117,0.5738000000000001
2011-02-11,ASIANHOTNR,EQ,215.35,227.85,228.45,218.0,222.25,221.55,223.66,23428,523990595000.0,,21916,0.9355
2011-02-14,ASIANHOTNR,EQ,221.55,230.0,244.0,223.15,241.7,242.4,235.28,34381,808918295000.0,,31042,0.9029
2011-02-15,ASIANHOTNR,EQ,242.4,241.6,242.8,231.1,232.7,235.4,237.23,19608,465153215000.00006,,15417,0.7863
2011-02-16,ASIANHOTNR,EQ,235.4,238.0,243.0,231.3,239.0,240.25,237.03,11471,271899025000.0,,5043,0.4396
2011-02-17,ASIANHOTNR,EQ,240.25,240.9,241.0,236.05,240.0,237.55,239.54,22461,538027350000.0,,19312,0.8598
2011-02-18,ASIANHOTNR,EQ,237.55,242.05,244.0,232.05,240.0,238.4,240.67,21389,514764640000.00006,,4080,0.1908
2011-02-21,ASIANHOTNR,EQ,238.4,234.0,237.95,233.15,233.25,234.75,235.26,9170,215731585000.0,,8321,0.9074
2011-02-22,ASIANHOTNR,EQ,234.75,225.0,233.5,221.2,224.0,224.5,225.91,6967,157388365000.0,,5704,0.8187000000000001
2011-02-23,ASIANHOTNR,EQ,224.5,227.9,228.95,222.2,222.75,223.3,224.05,2024,45347530000.0,,1468,0.7253000000000001
2011-02-24,ASIANHOTNR,EQ,223.3,224.35,224.5,220.75,221.65,221.85,223.15,9047,201880475000.0,,8494,0.9389000000000001
2011-02-25,ASIANHOTNR,EQ,221.85,230.4,235.0,211.55,217.0,217.55,227.63,12185,277366810000.0,,9869,0.8099
2011-02-28,ASIANHOTNR,EQ,217.55,220.5,224.5,212.0,214.15,215.15,216.77,2297,49791660000.0,,1596,0.6948000000000001
2011-03-01,ASIANHOTNR,EQ,215.15,219.5,219.5,213.0,216.85,214.35,214.88,7149,153620645000.0,,6502,0.9095000000000001
2011-03-03,ASIANHOTNR,EQ,214.35,214.35,220.0,210.0,214.0,214.55,214.09,3505,75038335000.0,,2130,0.6077
2011-03-04,ASIANHOTNR,EQ,214.55,215.0,217.95,213.65,214.5,215.0,215.37,3954,85156340000.0,,3411,0.8627
2011-03-07,ASIANHOTNR,EQ,215.0,203.0,232.75,203.0,222.0,223.55,224.16,25038,561242355000.0,,5835,0.233
2011-03-08,ASIANHOTNR,EQ,223.55,228.8,230.0,223.35,228.9,227.05,226.27,7691,174026445000.0,,3954,0.5141
2011-03-09,ASIANHOTNR,EQ,227.05,225.0,229.95,225.0,228.75,228.3,226.06,6791,153518585000.0,,4355,0.6413
2011-03-10,ASIANHOTNR,EQ,228.3,228.9,230.0,225.3,226.05,225.8,226.54,6211,140706440000.0,,5413,0.8715
2011-03-11,ASIANHOTNR,EQ,225.8,219.0,230.0,219.0,228.25,225.25,226.14,2610,59022155000.00001,,1517,0.5811999999999999
2011-03-14,ASIANHOTNR,EQ,225.25,228.5,228.5,225.0,225.0,225.0,225.16,1606,36160170000.0,,1451,0.9035
2011-03-15,ASIANHOTNR,EQ,225.0,224.5,224.5,217.05,221.0,220.15,219.87,7510,165123260000.0,,6231,0.8297
2011-03-16,ASIANHOTNR,EQ,220.15,224.5,224.5,215.55,219.5,218.25,219.01,5714,125140520000.0,,4459,0.7804000000000001
2011-03-17,ASIANHOTNR,EQ,218.25,222.5,222.5,215.0,217.1,217.75,217.85,2146,46750470000.0,,1726,0.8043000000000001
2011-03-18,ASIANHOTNR,EQ,217.75,223.5,223.5,214.0,215.5,216.15,216.89,20302,440326375000.0,,19029,0.9373
