Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ASIANTILES,EQ,68.05,69.8,69.8,67.2,68.0,68.0,68.28,4941,33739284999.999996,,2786,0.5639000000000001
2010-10-05,ASIANTILES,EQ,68.0,67.5,69.0,65.2,68.05,68.35,68.17,1150,7839855000.0,,934,0.8122
2010-10-06,ASIANTILES,EQ,68.35,67.25,69.0,67.25,68.3,68.45,68.24,3474,23707285000.0,,3145,0.9053
2010-10-07,ASIANTILES,EQ,68.45,67.05,68.75,66.0,66.6,66.7,67.56,3194,21579415000.0,,2115,0.6622
2010-10-08,ASIANTILES,EQ,66.7,66.15,68.0,65.95,66.0,66.0,66.45,11163,74175960000.0,,8204,0.7349
2010-10-11,ASIANTILES,EQ,66.0,66.95,68.0,65.55,66.65,66.7,67.22,3788,25463905000.0,,2246,0.5929
2010-10-12,ASIANTILES,EQ,66.7,67.85,72.95,66.65,71.0,70.05,70.3,48993,344442585000.0,,23356,0.4767
2010-10-13,ASIANTILES,EQ,70.05,72.0,72.0,69.5,69.5,69.55,70.72,6400,45260215000.0,,2940,0.4594
2010-10-14,ASIANTILES,EQ,69.55,69.5,69.5,68.55,69.45,68.7,69.14,1079,7459845000.0,,657,0.6089
2010-10-15,ASIANTILES,EQ,68.7,67.55,69.45,67.55,67.7,67.75,68.18,1592,10854290000.0,,1294,0.8128000000000001
2010-10-18,ASIANTILES,EQ,67.75,65.6,68.4,65.6,66.4,66.5,66.46,1583,10519860000.0,,1444,0.9122
2010-10-19,ASIANTILES,EQ,66.5,66.0,67.0,65.25,65.25,65.5,66.28,7530,49905675000.0,,7376,0.9795
2010-10-20,ASIANTILES,EQ,65.5,65.5,68.0,65.0,67.6,67.6,66.63,4545,30281920000.0,,3716,0.8176000000000001
2010-10-21,ASIANTILES,EQ,67.6,69.5,71.0,68.15,68.3,68.45,69.88,6300,44024610000.0,,5018,0.7965000000000001
2010-10-22,ASIANTILES,EQ,68.45,67.65,70.0,67.05,68.0,69.45,68.53,5381,36878485000.0,,2953,0.5488000000000001
2010-10-25,ASIANTILES,EQ,69.45,68.5,70.8,67.55,68.45,68.3,68.6,12973,88996455000.0,,7877,0.6072
2010-10-26,ASIANTILES,EQ,68.3,68.1,72.05,67.8,69.0,69.25,70.31,9937,69868710000.0,,6541,0.6581999999999999
2010-10-27,ASIANTILES,EQ,69.25,68.8,70.1,68.0,68.05,68.2,68.74,1059,7280060000.000001,,885,0.8357
2010-10-28,ASIANTILES,EQ,68.2,67.65,71.25,67.65,70.55,70.55,70.26,8208,57669115000.0,,7418,0.9037999999999999
2010-10-29,ASIANTILES,EQ,70.55,70.0,70.0,67.25,67.75,68.85,68.59,2358,16174695000.000002,,1240,0.5259
2010-11-01,ASIANTILES,EQ,68.85,68.0,69.1,67.05,67.05,67.15,67.9,1305,8861155000.0,,1264,0.9686
2010-11-02,ASIANTILES,EQ,67.15,65.8,69.5,65.8,69.3,68.9,67.68,2635,17834915000.0,,1181,0.4482
2010-11-03,ASIANTILES,EQ,68.9,67.75,69.65,67.5,69.0,69.0,68.77,3170,21799810000.0,,2209,0.6968000000000001
2010-11-04,ASIANTILES,EQ,69.0,69.0,70.0,67.7,67.8,67.8,68.45,865,5921150000.0,,698,0.8069
2010-11-05,ASIANTILES,EQ,67.8,67.5,69.85,67.2,69.75,68.4,68.41,281,1922284999.9999998,,223,0.7936
2010-11-08,ASIANTILES,EQ,68.4,66.6,69.0,66.6,68.05,68.05,68.5,2025,13871740000.0,,1578,0.7793000000000001
2010-11-09,ASIANTILES,EQ,68.05,67.25,69.15,67.25,68.0,68.6,68.44,6342,43403030000.0,,5131,0.8090999999999999
2010-11-10,ASIANTILES,EQ,68.6,68.05,71.8,68.0,70.0,70.55,69.89,19804,138400935000.0,,17939,0.9058
