Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ATFL,EQ,296.25,297.5,300.5,293.3,296.95,296.45,299.2,42500,1271580200000.0,,32537,0.7656000000000001
2010-10-05,ATFL,EQ,296.45,297.0,322.9,294.25,312.0,312.7,306.36,464595,14233306590000.0,,286217,0.6161
2010-10-06,ATFL,EQ,312.7,316.9,339.95,315.0,336.0,335.35,330.86,387591,12823677920000.0,,121286,0.3129
2010-10-07,ATFL,EQ,335.35,335.0,339.9,320.25,321.0,322.7,331.59,227563,7545824365000.001,,123047,0.5407000000000001
2010-10-08,ATFL,EQ,322.7,325.0,325.0,306.15,308.05,308.15,316.54,38881,1230752835000.0,,24330,0.6258
2010-10-11,ATFL,EQ,308.15,319.0,319.0,305.0,306.45,306.75,309.51,36474,1128911230000.0,,22066,0.605
2010-10-12,ATFL,EQ,306.75,308.9,309.9,304.0,305.5,305.9,306.49,19849,608354875000.0,,13016,0.6558
2010-10-13,ATFL,EQ,305.9,305.05,307.45,300.1,300.1,302.7,304.67,24793,755371260000.0,,19090,0.77
2010-10-14,ATFL,EQ,302.7,302.5,313.45,296.25,301.0,300.25,306.52,34173,1047458585000.0,,12617,0.36920000000000003
2010-10-15,ATFL,EQ,300.25,302.85,307.0,292.25,294.95,296.1,299.09,32366,968023490000.0,,18303,0.5655
2010-10-18,ATFL,EQ,296.1,294.0,295.85,288.3,295.7,294.95,291.76,17891,521986745000.0,,14093,0.7877
2010-10-19,ATFL,EQ,294.95,293.1,302.0,292.1,292.1,293.25,297.1,10051,298615320000.0,,4219,0.41979999999999995
2010-10-20,ATFL,EQ,293.25,290.2,302.0,290.2,296.45,296.45,297.76,8683,258546579999.99997,,4928,0.5675
2010-10-21,ATFL,EQ,296.45,293.5,312.9,290.1,303.0,303.05,306.51,30272,927880790000.0,,11957,0.395
2010-10-22,ATFL,EQ,303.05,300.0,307.0,297.2,304.8,301.65,302.41,8572,259222120000.00003,,4070,0.4748
2010-10-25,ATFL,EQ,301.65,305.0,323.8,305.0,310.6,310.45,315.43,97099,3062831040000.0,,38812,0.3997
2010-10-26,ATFL,EQ,310.45,313.85,329.0,313.85,318.6,318.45,320.33,174748,5597645110000.0,,129469,0.7409
2010-10-27,ATFL,EQ,318.45,320.0,323.0,308.5,316.1,317.75,318.62,88206,2810392425000.0,,66058,0.7489
2010-10-28,ATFL,EQ,317.75,329.0,329.0,309.1,310.25,311.7,317.34,30421,965373215000.0,,18547,0.6097
2010-10-29,ATFL,EQ,311.7,315.25,321.0,304.1,314.0,312.5,314.01,67523,2120282320000.0,,41606,0.6162
2010-11-01,ATFL,EQ,312.5,315.25,321.0,312.85,317.5,318.8,317.96,40538,1288951805000.0,,30559,0.7538
