Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ATLASCYCLE,EQ,275.95,277.75,285.8,275.0,277.55,278.85,279.79,83255,2329395955000.0,,16363,0.19649999999999998
2010-10-05,ATLASCYCLE,EQ,278.85,280.0,283.5,275.3,277.4,276.8,278.81,62178,1733603920000.0,,10382,0.167
2010-10-06,ATLASCYCLE,EQ,276.8,279.8,286.0,277.0,279.8,279.35,281.6,128550,3619949425000.0,,25868,0.20120000000000002
2010-10-07,ATLASCYCLE,EQ,279.35,281.0,288.3,278.1,280.8,279.1,284.07,202265,5745713575000.0,,23752,0.1174
2010-10-08,ATLASCYCLE,EQ,279.1,282.3,285.5,277.0,278.0,278.4,281.9,89508,2523260325000.0,,15363,0.1716
2010-10-11,ATLASCYCLE,EQ,278.4,279.3,283.4,257.5,275.5,275.5,277.04,47353,1311875495000.0,,13417,0.2833
2010-10-12,ATLASCYCLE,EQ,275.5,273.5,277.85,271.3,272.2,272.25,273.91,30390,832398295000.0,,9663,0.318
2010-10-13,ATLASCYCLE,EQ,272.25,274.0,278.0,271.0,272.0,272.65,273.92,41625,1140201995000.0,,12779,0.307
2010-10-14,ATLASCYCLE,EQ,272.65,274.5,275.2,268.0,269.8,269.3,271.59,35210,956256285000.0,,9330,0.265
2010-10-15,ATLASCYCLE,EQ,269.3,271.95,275.8,267.0,269.8,269.2,271.17,53699,1456157650000.0,,11562,0.21530000000000002
2010-10-18,ATLASCYCLE,EQ,269.2,270.9,273.0,263.0,267.0,266.4,268.94,41436,1114381930000.0,,6749,0.1629
2010-10-19,ATLASCYCLE,EQ,266.4,268.9,272.0,266.4,266.4,267.35,268.89,26859,722205915000.0,,6912,0.25730000000000003
2010-10-20,ATLASCYCLE,EQ,267.35,267.95,271.25,261.25,262.5,262.5,267.0,26016,694633485000.0,,5872,0.2257
2010-10-21,ATLASCYCLE,EQ,262.5,264.0,266.0,260.5,262.8,262.3,263.35,17969,473209665000.00006,,7840,0.4363
2010-10-22,ATLASCYCLE,EQ,262.3,261.0,264.75,260.2,260.5,261.3,262.58,22278,584978560000.0,,4792,0.2151
2010-10-25,ATLASCYCLE,EQ,261.3,263.65,271.7,261.1,265.5,265.35,266.25,105386,2805912020000.0,,17542,0.16649999999999998
2010-10-26,ATLASCYCLE,EQ,265.35,265.05,273.8,265.0,266.2,266.6,270.21,57191,1545357675000.0,,12787,0.2236
2010-10-27,ATLASCYCLE,EQ,266.6,267.15,269.7,262.25,265.0,265.5,266.23,18405,489991259999.99994,,8465,0.45990000000000003
2010-10-28,ATLASCYCLE,EQ,265.5,266.3,271.8,264.2,265.0,265.35,268.53,46519,1249157960000.0,,7120,0.1531
2010-10-29,ATLASCYCLE,EQ,265.35,263.2,271.0,258.5,259.5,260.3,265.94,64234,1708237639999.9998,,12539,0.1952
2010-11-01,ATLASCYCLE,EQ,260.3,262.1,268.7,260.0,262.0,262.05,264.54,42645,1128151325000.0,,7243,0.1698
2010-11-02,ATLASCYCLE,EQ,262.05,262.0,263.8,258.15,259.5,259.3,261.05,10535,275018780000.0,,4235,0.402
2010-11-03,ATLASCYCLE,EQ,259.3,262.0,263.0,256.3,258.75,259.15,260.76,11803,307778115000.0,,4120,0.34909999999999997
2010-11-04,ATLASCYCLE,EQ,259.15,259.05,262.2,255.0,259.95,259.5,260.15,12283,319539310000.0,,3574,0.29100000000000004
2010-11-05,ATLASCYCLE,EQ,259.5,261.9,261.9,258.4,260.95,260.5,260.5,838,21829490000.0,,420,0.5012
2010-11-08,ATLASCYCLE,EQ,260.5,260.65,262.9,257.4,257.55,258.45,259.83,9089,236158125000.0,,4661,0.5128
2010-11-09,ATLASCYCLE,EQ,258.45,259.8,261.9,256.05,256.5,257.15,258.93,10452,270637515000.0,,2826,0.2704
2010-11-10,ATLASCYCLE,EQ,257.15,257.3,289.3,256.65,273.0,271.05,274.76,291784,8016934905000.0,,36679,0.1257
2010-11-11,ATLASCYCLE,EQ,271.05,273.0,276.5,262.5,265.25,265.1,270.98,32825,889492750000.0,,11576,0.3527
2010-11-12,ATLASCYCLE,EQ,265.1,265.0,266.0,255.0,255.55,255.9,258.97,24079,623563205000.0,,12953,0.5379
2010-11-15,ATLASCYCLE,EQ,255.9,254.1,261.0,250.0,252.0,253.65,256.12,58997,1511053150000.0,,8097,0.13720000000000002
2010-11-16,ATLASCYCLE,EQ,253.65,253.85,264.0,247.0,251.9,249.5,257.14,68700,1766556139999.9998,,14741,0.2146
2010-11-18,ATLASCYCLE,EQ,249.5,251.4,257.4,240.15,245.9,243.7,248.49,29154,724444575000.0,,10498,0.3601
2010-11-19,ATLASCYCLE,EQ,243.7,245.0,248.7,235.1,235.3,237.0,242.55,38069,923372830000.0001,,7400,0.19440000000000002
2010-11-22,ATLASCYCLE,EQ,237.0,235.0,241.9,232.25,233.4,234.35,235.74,12461,293760860000.0,,4761,0.3821
2010-11-23,ATLASCYCLE,EQ,234.35,235.0,239.0,225.4,229.7,228.45,231.81,15123,350560670000.0,,4544,0.3005
2010-11-24,ATLASCYCLE,EQ,228.45,226.0,234.5,226.0,230.5,229.9,231.28,27447,634796235000.0,,5871,0.2139
2010-11-25,ATLASCYCLE,EQ,229.9,228.3,230.8,220.1,223.0,221.9,225.37,16165,364304040000.0,,7266,0.4495
2010-11-26,ATLASCYCLE,EQ,221.9,220.0,223.75,208.4,210.0,210.6,215.63,22578,486859370000.0,,7432,0.32920000000000005
2010-11-29,ATLASCYCLE,EQ,210.6,204.0,229.6,204.0,214.0,215.35,216.3,25225,545628840000.00006,,4911,0.19469999999999998
2010-11-30,ATLASCYCLE,EQ,215.35,212.0,224.0,209.0,222.0,221.35,218.3,21592,471347434999.99994,,7900,0.36590000000000006
2010-12-01,ATLASCYCLE,EQ,221.35,215.0,232.0,215.0,224.0,223.65,227.05,34951,793575610000.0,,6676,0.19100000000000003
2010-12-02,ATLASCYCLE,EQ,223.65,226.75,229.05,223.1,224.1,224.9,226.53,13617,308459455000.0,,3573,0.26239999999999997
2010-12-03,ATLASCYCLE,EQ,224.9,225.7,226.0,216.6,217.5,217.15,219.76,10882,239140975000.0,,4797,0.44079999999999997
2010-12-06,ATLASCYCLE,EQ,217.15,221.8,227.0,217.15,219.6,218.5,222.66,34255,762712330000.0,,4851,0.1416
