Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,AUTOAXLES,EQ,520.5,505.0,521.95,505.0,508.25,509.9,511.48,13818,706756545000.0,,12616,0.913
2010-10-05,AUTOAXLES,EQ,509.9,510.05,528.85,510.05,525.0,524.9,519.95,7487,389283745000.0,,5493,0.7337
2010-10-06,AUTOAXLES,EQ,524.9,517.35,556.0,517.35,532.0,532.7,538.93,7707,415356875000.0,,3620,0.4697
2010-10-07,AUTOAXLES,EQ,532.7,532.1,542.4,518.0,538.0,525.6,532.93,9525,507614520000.0,,7206,0.7565000000000001
2010-10-08,AUTOAXLES,EQ,525.6,525.0,534.0,510.05,518.0,515.45,517.85,3891,201494300000.0,,2725,0.7003
2010-10-11,AUTOAXLES,EQ,515.45,511.5,524.0,508.0,518.0,520.9,519.49,3995,207536970000.0,,2564,0.6418
2010-10-12,AUTOAXLES,EQ,520.9,580.0,580.0,515.05,517.0,517.0,529.48,1427,75557335000.0,,944,0.6615000000000001
2010-10-13,AUTOAXLES,EQ,517.0,517.05,524.85,514.05,520.0,517.45,517.96,961,49775910000.0,,623,0.6483
2010-10-14,AUTOAXLES,EQ,517.45,523.0,524.0,510.5,512.0,515.75,518.44,2738,141947625000.0,,2450,0.8948
2010-10-15,AUTOAXLES,EQ,515.75,513.0,540.0,508.05,520.0,516.8,520.1,2075,107920825000.0,,1521,0.733
2010-10-18,AUTOAXLES,EQ,516.8,518.95,525.0,501.35,525.0,515.15,506.58,4378,221781590000.0,,3925,0.8965000000000001
2010-10-19,AUTOAXLES,EQ,515.15,528.6,534.0,510.0,517.0,513.85,520.69,3449,179586120000.0,,1963,0.5692
2010-10-20,AUTOAXLES,EQ,513.85,508.0,535.0,508.0,510.65,510.65,514.89,2106,108435295000.0,,1715,0.8143000000000001
2010-10-21,AUTOAXLES,EQ,510.65,519.0,519.0,486.05,505.0,509.15,508.36,2147,109145089999.99998,,1780,0.8291
2010-10-22,AUTOAXLES,EQ,509.15,535.0,535.0,493.05,505.0,505.65,508.69,778,39575765000.0,,716,0.9203
2010-10-25,AUTOAXLES,EQ,505.65,510.0,512.0,498.0,498.0,502.4,504.56,1089,54946430000.00001,,636,0.584
2010-10-26,AUTOAXLES,EQ,502.4,498.2,510.0,498.2,501.0,503.55,505.95,674,34100750000.0,,573,0.8501000000000001
2010-10-27,AUTOAXLES,EQ,503.55,498.4,525.0,498.0,499.1,499.1,510.13,594,30301715000.000004,,450,0.7576
2010-10-28,AUTOAXLES,EQ,499.1,520.0,520.0,495.0,495.0,495.85,503.67,1429,71973745000.0,,973,0.6809000000000001
2010-10-29,AUTOAXLES,EQ,495.85,496.0,522.0,481.0,511.0,510.8,502.94,3095,155660240000.0,,2368,0.7651000000000001
2010-11-01,AUTOAXLES,EQ,510.8,512.0,519.9,501.2,515.0,517.05,512.57,1737,89032865000.0,,1270,0.7311
