Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,AUTOIND,EQ,238.0,236.1,242.4,235.0,237.0,236.8,238.38,90589,2159434470000.0,,47317,0.5223
2010-10-05,AUTOIND,EQ,236.8,234.1,249.9,234.1,244.9,245.85,244.78,217946,5334913550000.0,,93912,0.43090000000000006
2010-10-06,AUTOIND,EQ,245.85,246.1,254.9,243.55,244.9,244.95,250.05,256609,6416499615000.0,,104826,0.40850000000000003
2010-10-07,AUTOIND,EQ,244.95,246.9,252.0,242.55,244.0,243.5,248.5,105520,2622215710000.0,,55163,0.5228
2010-10-08,AUTOIND,EQ,243.5,236.0,248.0,236.0,243.9,243.25,242.46,78746,1909257150000.0,,35667,0.4529
2010-10-11,AUTOIND,EQ,243.25,244.0,249.0,243.0,246.5,244.8,245.9,62024,1525200390000.0,,41222,0.6646
2010-10-12,AUTOIND,EQ,244.8,246.0,248.25,238.65,240.2,240.85,243.16,44066,1071491194999.9999,,17781,0.4035
2010-10-13,AUTOIND,EQ,240.85,242.9,251.4,240.5,249.0,248.85,248.08,128311,3183086810000.0,,83463,0.6505
2010-10-14,AUTOIND,EQ,248.85,250.9,257.7,248.0,249.0,249.6,253.26,121175,3068934645000.0,,72619,0.5993
2010-10-15,AUTOIND,EQ,249.6,249.0,251.35,241.55,242.0,242.85,245.89,52597,1293307300000.0,,27051,0.5143
2010-10-18,AUTOIND,EQ,242.85,242.05,245.0,238.0,241.6,242.2,241.71,37186,898820150000.0,,16224,0.4363
2010-10-19,AUTOIND,EQ,242.2,244.15,259.2,243.6,252.85,251.75,252.93,133355,3372977929999.9995,,78309,0.5872
2010-10-20,AUTOIND,EQ,251.75,250.0,257.9,244.25,246.15,246.15,250.83,77102,1933970389999.9998,,42873,0.5561
2010-10-21,AUTOIND,EQ,246.15,248.1,254.0,248.1,253.0,251.85,251.91,53292,1342469875000.0,,22975,0.4311
2010-10-22,AUTOIND,EQ,251.85,255.0,260.0,245.1,246.0,248.75,255.34,248923,6356042125000.0,,72384,0.2908
