Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BAJAJCORP,EQ,701.75,714.0,714.0,701.0,705.05,705.1,704.94,16857,1188319290000.0,,13199,0.783
2010-10-05,BAJAJCORP,EQ,705.1,703.0,719.0,700.0,719.0,716.65,710.68,143208,10177512820000.0,,129703,0.9057
2010-10-06,BAJAJCORP,EQ,716.65,725.0,730.0,716.0,723.0,722.75,720.23,99051,7133906145000.0,,95588,0.965
2010-10-07,BAJAJCORP,EQ,722.75,720.1,729.0,719.5,725.0,726.85,722.4,44373,3205498810000.0,,39121,0.8815999999999999
2010-10-08,BAJAJCORP,EQ,726.85,715.1,730.0,715.1,720.25,723.4,722.96,91969,6648956830000.0,,88982,0.9675
2010-10-11,BAJAJCORP,EQ,723.4,720.0,729.9,720.0,725.0,725.15,725.21,23229,1684586900000.0,,21430,0.9226000000000001
2010-10-12,BAJAJCORP,EQ,725.15,716.2,726.0,710.0,719.0,723.1,718.47,9589,688940445000.0,,7223,0.7533
2010-10-13,BAJAJCORP,EQ,723.1,715.5,725.0,712.0,714.4,712.65,719.76,52224,3758850165000.0,,50928,0.9752
2010-10-14,BAJAJCORP,EQ,712.65,714.0,718.95,707.5,710.0,710.05,710.8,4316,306780000000.0,,3143,0.7282
2010-10-15,BAJAJCORP,EQ,710.05,710.0,717.0,697.1,698.0,702.25,709.46,33784,2396831635000.0,,26235,0.7766
2010-10-18,BAJAJCORP,EQ,702.25,708.95,708.95,690.05,696.2,694.6,697.64,4913,342748675000.0,,3798,0.7731
2010-10-19,BAJAJCORP,EQ,694.6,693.0,706.0,688.3,704.0,704.3,698.45,6825,476694270000.0,,3128,0.4583
2010-10-20,BAJAJCORP,EQ,704.3,705.75,705.95,695.25,704.25,704.25,701.66,4643,325779475000.0,,3231,0.6959000000000001
2010-10-21,BAJAJCORP,EQ,704.25,705.0,715.0,703.5,708.0,709.9,709.8,14466,1026790655000.0001,,9259,0.6401000000000001
2010-10-22,BAJAJCORP,EQ,709.9,703.0,703.0,670.0,680.0,680.15,679.29,62185,4224194570000.0005,,44837,0.721
2010-10-25,BAJAJCORP,EQ,680.15,685.05,693.0,650.1,666.1,669.3,670.9,56398,3783731135000.0,,51606,0.915
2010-10-26,BAJAJCORP,EQ,669.3,669.3,676.0,655.0,656.05,657.85,665.03,31241,2077627020000.0,,29627,0.9483
2010-10-27,BAJAJCORP,EQ,657.85,658.0,669.0,651.0,669.0,656.35,655.3,17087,1119714550000.0,,14936,0.8741
2010-10-28,BAJAJCORP,EQ,656.35,660.0,666.0,636.15,650.0,650.3,651.59,5019,327034640000.0,,3546,0.7065
2010-10-29,BAJAJCORP,EQ,650.3,645.0,650.05,635.0,635.0,647.5,641.75,55530,3563636779999.9995,,52302,0.9419
2010-11-01,BAJAJCORP,EQ,647.5,644.9,654.1,625.0,625.0,630.0,636.33,7677,488507530000.0,,5494,0.7156
2010-11-02,BAJAJCORP,EQ,630.0,624.0,632.7,623.0,625.0,626.1,628.67,8282,520660415000.00006,,6016,0.7264
2010-11-03,BAJAJCORP,EQ,626.1,627.0,652.95,620.05,624.95,622.25,633.13,15675,992429385000.0,,4191,0.26739999999999997
2010-11-04,BAJAJCORP,EQ,622.25,629.9,639.9,621.15,624.0,623.1,626.6,3955,247821575000.0,,2636,0.6665000000000001
2010-11-05,BAJAJCORP,EQ,623.1,635.0,635.0,623.0,632.0,629.45,629.31,1070,67336544999.99999,,731,0.6831999999999999
2010-11-08,BAJAJCORP,EQ,629.45,639.9,639.9,612.0,613.5,615.75,619.93,7387,457940125000.0,,5742,0.7773000000000001
2010-11-09,BAJAJCORP,EQ,615.75,620.0,620.0,600.0,604.0,602.8,607.78,9775,594102390000.0,,6975,0.7136
2010-11-10,BAJAJCORP,EQ,602.8,608.0,614.85,575.15,580.0,583.75,594.61,18126,1077787065000.0,,14320,0.79
2010-11-11,BAJAJCORP,EQ,583.75,592.0,607.0,589.9,590.0,591.25,598.37,25941,1552236855000.0,,15022,0.5791
2010-11-12,BAJAJCORP,EQ,591.25,599.9,600.0,571.25,578.0,591.05,592.07,141837,8397735130000.0,,140150,0.9881000000000001
2010-11-15,BAJAJCORP,EQ,591.05,585.0,595.0,583.1,591.0,589.9,590.14,3221,190083845000.0,,2170,0.6737000000000001
2010-11-16,BAJAJCORP,EQ,589.9,597.0,597.0,569.0,570.0,573.2,578.18,6009,347431340000.0,,4049,0.6738
2010-11-18,BAJAJCORP,EQ,573.2,579.9,584.9,551.1,576.9,574.65,563.84,7390,416679990000.0,,4977,0.6735
2010-11-19,BAJAJCORP,EQ,574.65,559.05,583.9,551.6,583.9,575.75,572.3,8912,510031780000.0,,7556,0.8478
2010-11-22,BAJAJCORP,EQ,575.75,588.0,597.65,563.5,590.1,590.05,579.55,5137,297715665000.0,,3730,0.7261
2010-11-23,BAJAJCORP,EQ,590.05,584.95,592.5,570.0,586.0,588.3,586.39,15295,896879840000.0,,13352,0.873
2010-11-24,BAJAJCORP,EQ,588.3,582.0,589.9,570.0,583.6,578.1,579.27,12932,749113220000.0,,11604,0.8973000000000001
2010-11-25,BAJAJCORP,EQ,578.1,570.4,580.0,558.05,580.0,566.7,566.57,2519,142718045000.0,,1602,0.636
2010-11-26,BAJAJCORP,EQ,566.7,570.0,570.0,548.0,548.0,549.95,551.46,3625,199902855000.0,,3081,0.8499
2010-11-29,BAJAJCORP,EQ,549.95,559.9,562.0,532.2,534.0,537.8,537.58,6160,331150225000.0,,4657,0.756
2010-11-30,BAJAJCORP,EQ,537.8,535.05,557.0,530.0,541.0,553.5,546.54,7717,421762505000.0,,6075,0.7872
2010-12-01,BAJAJCORP,EQ,553.5,546.0,569.9,540.2,560.0,561.2,558.73,4679,261427925000.0,,3577,0.7645000000000001
2010-12-02,BAJAJCORP,EQ,561.2,565.0,565.0,552.0,557.9,555.4,559.57,5357,299763250000.0,,4668,0.8714000000000001
2010-12-03,BAJAJCORP,EQ,555.4,560.0,560.0,543.0,543.05,551.0,551.85,3908,215664170000.00003,,2814,0.7201000000000001
2010-12-06,BAJAJCORP,EQ,551.0,551.0,554.9,535.0,538.0,538.35,544.04,2606,141777785000.0,,1652,0.6339
2010-12-07,BAJAJCORP,EQ,538.35,540.0,541.95,530.05,537.0,536.3,536.94,36555,1962783514999.9998,,36013,0.9852
2010-12-08,BAJAJCORP,EQ,536.3,545.0,559.3,530.0,535.0,534.35,535.52,3776,202213075000.0,,2758,0.7304
2010-12-09,BAJAJCORP,EQ,534.35,548.0,548.0,502.5,516.0,511.75,518.33,6790,351945310000.0,,5543,0.8163
2010-12-10,BAJAJCORP,EQ,511.75,519.0,530.0,503.55,517.0,526.4,512.57,28079,1439231485000.0,,26865,0.9568000000000001
