Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BALAJITELE,EQ,52.95,53.15,54.9,53.15,53.9,53.65,54.08,467388,2527856770000.0,,187335,0.4008
2010-10-05,BALAJITELE,EQ,53.65,53.85,54.4,53.45,53.75,53.6,53.82,195684,1053135160000.0,,126740,0.6476999999999999
2010-10-06,BALAJITELE,EQ,53.6,54.2,57.15,53.8,55.8,55.65,55.5,729916,4051356690000.0,,323946,0.44380000000000003
2010-10-07,BALAJITELE,EQ,55.65,56.4,56.4,53.8,54.15,54.0,54.95,250389,1375949895000.0,,142432,0.5688000000000001
2010-10-08,BALAJITELE,EQ,54.0,54.0,54.75,53.3,53.85,53.65,54.05,113963,615946195000.0,,49190,0.4316
2010-10-11,BALAJITELE,EQ,53.65,54.2,54.65,53.6,54.2,53.9,53.96,101810,549317095000.0,,47889,0.4704
2010-10-12,BALAJITELE,EQ,53.9,54.05,54.2,53.1,53.3,53.25,53.53,110363,590802420000.0,,60241,0.5458
2010-10-13,BALAJITELE,EQ,53.25,53.7,55.6,53.5,55.1,55.2,54.79,306506,1679380400000.0,,141601,0.462
2010-10-14,BALAJITELE,EQ,55.2,55.45,55.5,53.5,53.8,53.65,54.2,100865,546660120000.0,,53814,0.5335
2010-10-15,BALAJITELE,EQ,53.65,54.1,54.1,52.55,53.0,52.75,53.01,183035,970182785000.0,,147492,0.8058
2010-10-18,BALAJITELE,EQ,52.75,52.8,54.0,52.2,52.9,52.85,52.77,72946,384957350000.0,,39584,0.5426
2010-10-19,BALAJITELE,EQ,52.85,53.2,53.7,52.3,52.8,52.85,53.12,79577,422714490000.00006,,49590,0.6232
2010-10-20,BALAJITELE,EQ,52.85,52.8,53.35,51.8,52.15,52.15,52.49,74980,393546995000.0,,48407,0.6456000000000001
2010-10-21,BALAJITELE,EQ,52.15,52.5,53.4,52.0,52.45,52.5,52.6,85799,451285500000.0,,33577,0.39130000000000004
2010-10-22,BALAJITELE,EQ,52.5,52.05,53.7,51.2,52.0,51.95,52.45,236758,1241855545000.0,,88040,0.3719
2010-10-25,BALAJITELE,EQ,51.95,52.5,52.5,51.7,51.75,51.8,52.05,139781,727613090000.0,,86286,0.6173
2010-10-26,BALAJITELE,EQ,51.8,51.9,53.4,51.55,52.45,52.1,52.11,128935,671911020000.0,,55999,0.4343
2010-10-27,BALAJITELE,EQ,52.1,52.35,52.75,51.4,51.45,51.55,51.96,98212,510340900000.0,,58900,0.5997
2010-10-28,BALAJITELE,EQ,51.55,52.0,52.5,50.5,50.75,50.7,51.39,157840,811151060000.0,,105718,0.6698000000000001
2010-10-29,BALAJITELE,EQ,50.7,50.4,50.5,48.35,49.0,48.95,49.29,259091,1277097320000.0,,133158,0.5139
2010-11-01,BALAJITELE,EQ,48.95,49.55,49.9,49.0,49.75,49.6,49.61,98325,487751725000.0,,61775,0.6283
