Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BALMLAWRIE,EQ,661.25,668.0,673.0,649.5,649.5,652.6,661.12,9620,635998870000.0,,5830,0.606
2010-10-05,BALMLAWRIE,EQ,652.6,670.0,670.0,651.4,652.0,653.6,656.24,6030,395712390000.0,,3660,0.6070000000000001
2010-10-06,BALMLAWRIE,EQ,653.6,655.75,674.85,655.75,671.0,672.2,668.11,11900,795045660000.0,,6002,0.5044
2010-10-07,BALMLAWRIE,EQ,672.2,678.9,685.0,665.25,667.25,671.6,675.49,21120,1426640120000.0,,10444,0.49450000000000005
2010-10-08,BALMLAWRIE,EQ,671.6,670.0,674.9,660.0,660.5,663.15,668.27,4426,295775575000.0,,2820,0.6371
2010-10-11,BALMLAWRIE,EQ,663.15,657.0,669.4,656.05,665.0,658.55,662.35,3023,200226925000.0,,1859,0.615
2010-10-12,BALMLAWRIE,EQ,658.55,668.8,668.8,655.05,655.1,655.95,656.96,2782,182765210000.0,,1497,0.5381
2010-10-13,BALMLAWRIE,EQ,655.95,655.0,658.5,642.5,649.55,646.85,649.06,16675,1082305275000.0,,13954,0.8368000000000001
2010-10-14,BALMLAWRIE,EQ,646.85,670.0,670.0,641.3,643.5,644.65,651.0,8757,570077190000.0,,4576,0.5226
2010-10-15,BALMLAWRIE,EQ,644.65,645.0,666.7,630.1,631.0,632.15,647.89,30400,1969570825000.0,,10452,0.34380000000000005
2010-10-18,BALMLAWRIE,EQ,632.15,612.3,642.5,612.3,633.95,631.8,632.14,5311,335728330000.0,,3181,0.5989
2010-10-19,BALMLAWRIE,EQ,631.8,644.0,644.0,636.0,640.0,638.4,639.27,5851,374035315000.0,,4525,0.7734000000000001
2010-10-20,BALMLAWRIE,EQ,638.4,640.0,645.0,628.1,629.85,629.85,634.08,5546,351659995000.0,,3714,0.6697
2010-10-21,BALMLAWRIE,EQ,629.85,633.1,654.0,629.0,650.15,652.0,647.3,10035,649570435000.0,,5530,0.5511
2010-10-22,BALMLAWRIE,EQ,652.0,652.0,662.0,643.0,659.0,652.35,656.68,29089,1910205785000.0002,,18157,0.6242
2010-10-25,BALMLAWRIE,EQ,652.35,666.0,688.3,666.0,672.1,672.7,677.7,26042,1764874235000.0002,,12707,0.4879
2010-10-26,BALMLAWRIE,EQ,672.7,670.0,685.0,666.0,670.0,669.4,675.13,11889,802662710000.0,,6524,0.5487
