Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BANARISUG,EQ,907.8,890.3,925.0,890.3,896.1,898.0,909.07,628,57089605000.00001,,498,0.793
2010-10-05,BANARISUG,EQ,898.0,891.25,913.8,883.5,891.9,888.6,896.06,729,65323069999.99999,,529,0.7256999999999999
2010-10-06,BANARISUG,EQ,888.6,910.0,910.0,885.15,903.7,903.7,898.02,374,33585925000.0,,244,0.6524
2010-10-07,BANARISUG,EQ,903.7,900.15,913.6,885.0,885.0,889.4,901.04,972,87581060000.0,,938,0.965
2010-10-08,BANARISUG,EQ,889.4,886.35,904.5,875.0,875.0,877.3,887.1,808,71677940000.0,,661,0.8181
2010-10-11,BANARISUG,EQ,877.3,876.0,909.0,876.0,885.0,885.6,895.72,1398,125221070000.0,,1154,0.8255
2010-10-12,BANARISUG,EQ,885.6,881.0,885.95,876.1,879.0,880.85,880.79,403,35496015000.0,,241,0.598
2010-10-13,BANARISUG,EQ,880.85,889.9,898.8,883.3,895.0,894.8,895.02,287,25687065000.0,,256,0.892
2010-10-14,BANARISUG,EQ,894.8,881.55,888.6,881.55,885.0,884.85,884.87,216,19113175000.0,,157,0.7269
2010-10-15,BANARISUG,EQ,884.85,752.0,899.8,752.0,886.65,877.6,862.1,417,35949420000.0,,293,0.7026000000000001
2010-10-18,BANARISUG,EQ,877.6,870.2,879.7,862.9,875.0,875.0,869.64,506,44003610000.0,,263,0.5197999999999999
2010-10-19,BANARISUG,EQ,875.0,894.9,894.9,871.15,871.2,874.25,878.97,283,24874785000.0,,186,0.6572
2010-10-20,BANARISUG,EQ,874.25,872.1,897.0,872.1,887.8,887.8,888.11,916,81351235000.0,,697,0.7609
2010-10-21,BANARISUG,EQ,887.8,887.0,889.65,881.0,881.0,881.9,884.17,186,16445470000.000002,,186,1.0
2010-10-22,BANARISUG,EQ,881.9,890.3,890.3,870.3,870.3,872.2,875.86,336,29428925000.0,,316,0.9405
2010-10-25,BANARISUG,EQ,872.2,870.0,897.0,866.1,889.7,890.25,890.52,755,67233890000.0,,684,0.9059999999999999
2010-10-26,BANARISUG,EQ,890.25,980.0,980.0,875.1,880.0,878.1,888.04,418,37119870000.0,,189,0.4522
2010-10-27,BANARISUG,EQ,878.1,878.0,889.9,878.0,880.0,880.0,881.62,99,8728015000.0,,98,0.9899
2010-10-28,BANARISUG,EQ,880.0,870.6,887.0,870.6,887.0,884.1,882.87,139,12271915000.0,,70,0.5036
2010-10-29,BANARISUG,EQ,884.1,894.85,894.85,871.1,873.1,873.1,875.57,226,19787850000.0,,188,0.8319
2010-11-01,BANARISUG,EQ,873.1,870.0,889.5,868.0,889.5,880.95,875.92,183,16029395000.000002,,105,0.5738000000000001
2010-11-02,BANARISUG,EQ,880.95,892.0,892.0,870.0,870.0,872.9,874.89,138,12073495000.0,,70,0.5072
2010-11-03,BANARISUG,EQ,872.9,886.8,889.9,870.0,870.0,870.85,877.94,319,28006259999.999996,,239,0.7492000000000001
2010-11-04,BANARISUG,EQ,870.85,870.1,880.0,866.0,866.0,869.9,873.45,1363,119051570000.0,,765,0.5613
2010-11-05,BANARISUG,EQ,869.9,887.55,887.7,885.0,887.7,886.0,886.14,50,4430705000.0,,50,1.0
2010-11-08,BANARISUG,EQ,886.0,868.1,950.0,868.1,923.0,921.95,922.84,3881,358155680000.0,,1750,0.4509
2010-11-09,BANARISUG,EQ,921.95,925.0,974.8,924.8,935.05,938.55,950.81,2965,281915700000.0,,2149,0.7248
