Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-03-27,BANDHANBNK,EQ,375.0,499.0,499.0,455.0,470.0,476.85,482.07,91036634,4388570841140000.0,1200794,43942456,0.4827
2018-03-28,BANDHANBNK,EQ,476.85,463.85,478.9,463.0,470.0,469.05,470.24,12056881,566964540560000.0,213724,5122794,0.42490000000000006
2018-04-02,BANDHANBNK,EQ,469.05,474.9,485.0,472.0,477.15,475.7,478.25,5239378,250571817394999.97,71115,2845054,0.543
2018-04-03,BANDHANBNK,EQ,475.7,474.0,485.9,469.15,484.5,483.45,478.85,2796977,133932624415000.02,59147,1402460,0.5014000000000001
2018-04-04,BANDHANBNK,EQ,483.45,484.6,488.8,478.0,485.65,486.05,483.68,2459030,118937219740000.02,68144,1049930,0.42700000000000005
2018-04-05,BANDHANBNK,EQ,486.05,490.0,514.9,487.3,514.0,509.2,504.96,8163440,412217904525000.0,130821,2782005,0.3408
2018-04-06,BANDHANBNK,EQ,509.2,512.5,517.7,505.2,505.8,508.25,511.29,1844654,94315753435000.0,32528,604044,0.3275
2018-04-09,BANDHANBNK,EQ,508.25,508.8,519.9,496.05,514.4,514.45,509.8,2656272,135416456565000.02,50828,644172,0.2425
2018-04-10,BANDHANBNK,EQ,514.45,515.0,520.8,510.2,518.0,518.65,516.12,1731872,89384884400000.0,40609,573438,0.3311
2018-04-11,BANDHANBNK,EQ,518.65,519.9,535.0,513.0,533.6,533.5,526.2,3555719,187101686665000.0,79581,1270955,0.35740000000000005
2018-04-12,BANDHANBNK,EQ,533.5,530.0,540.8,526.1,531.0,534.75,535.54,1884412,100917728540000.0,50385,485043,0.25739999999999996
2018-04-13,BANDHANBNK,EQ,534.75,533.0,536.95,526.4,528.5,528.65,530.67,1057977,56144099185000.0,29080,526705,0.4978
2018-04-16,BANDHANBNK,EQ,528.65,523.9,532.35,516.1,516.8,518.8,523.38,760439,39799753700000.0,25505,328315,0.43170000000000003
2018-04-17,BANDHANBNK,EQ,518.8,520.0,521.4,500.0,505.25,505.1,507.35,1156139,58657218795000.01,35126,499902,0.4324
2018-04-18,BANDHANBNK,EQ,505.1,508.0,513.5,501.0,504.1,504.15,506.79,815508,41329518940000.0,31105,371032,0.455
2018-04-19,BANDHANBNK,EQ,504.15,505.2,508.9,502.0,505.2,505.1,505.29,589106,29766953055000.0,23505,299640,0.5086
2018-04-20,BANDHANBNK,EQ,505.1,505.1,510.5,493.1,494.1,495.05,500.68,949874,47558608110000.0,28273,465315,0.48990000000000006
2018-04-23,BANDHANBNK,EQ,495.05,496.0,504.3,481.75,497.95,498.35,493.64,2474228,122137966325000.0,111869,1237309,0.5001
2018-04-24,BANDHANBNK,EQ,498.35,500.0,502.3,486.0,490.0,489.85,493.34,1200876,59243554260000.0,44752,773369,0.644
2018-04-25,BANDHANBNK,EQ,489.85,490.05,497.1,485.25,494.0,494.3,491.37,1313604,64546268050000.0,43073,816057,0.6212
2018-04-26,BANDHANBNK,EQ,494.3,497.1,501.4,491.1,494.6,495.0,496.32,1878261,93221580505000.0,38453,1365722,0.7271
2018-04-27,BANDHANBNK,EQ,495.0,498.8,522.95,498.5,503.5,506.45,511.21,5635987,288120041295000.0,95251,1831302,0.3249
2018-04-30,BANDHANBNK,EQ,506.45,509.5,515.9,502.7,513.5,513.45,510.86,1461600,74667619400000.0,41011,725904,0.49670000000000003
2018-05-02,BANDHANBNK,EQ,513.45,513.0,520.9,511.0,515.8,515.85,517.09,1319363,68222823090000.0,38054,768141,0.5822
2018-05-03,BANDHANBNK,EQ,515.85,511.95,515.0,496.4,502.0,502.05,503.02,861937,43357156060000.0,19920,511350,0.5933
2018-05-04,BANDHANBNK,EQ,502.05,503.0,506.0,500.5,503.05,504.6,502.97,1078225,54231719429999.99,11072,810199,0.7514000000000001
2018-05-07,BANDHANBNK,EQ,504.6,507.0,508.0,492.65,493.0,494.5,496.05,764766,37936472215000.0,38385,454749,0.5946
2018-05-08,BANDHANBNK,EQ,494.5,496.95,497.0,490.0,493.7,494.35,493.81,568372,28066907814999.996,18498,316810,0.5574
2018-05-09,BANDHANBNK,EQ,494.35,492.0,495.25,485.3,488.8,488.6,489.74,505802,24771030960000.0,16767,316975,0.6267
2018-05-10,BANDHANBNK,EQ,488.6,490.0,493.9,484.05,485.5,486.45,488.09,251959,12297859315000.0,8279,133137,0.5284000000000001
2018-05-11,BANDHANBNK,EQ,486.45,486.55,492.2,480.25,483.5,484.35,484.94,1030945,49994414250000.0,17764,847650,0.8222
2018-05-14,BANDHANBNK,EQ,484.35,484.0,489.4,478.4,480.15,479.95,481.93,377154,18176265795000.0,15350,249406,0.6613
2018-05-15,BANDHANBNK,EQ,479.95,483.9,489.8,473.5,479.0,483.85,481.82,1463884,70533056465000.0,24450,852735,0.5825
2018-05-16,BANDHANBNK,EQ,483.85,479.9,484.9,475.0,480.3,482.5,477.95,432584,20675370380000.0,10329,263806,0.6098
2018-05-17,BANDHANBNK,EQ,482.5,483.0,487.0,477.65,482.0,483.85,483.61,477080,23072268795000.0,11605,356210,0.7465999999999999
2018-05-18,BANDHANBNK,EQ,483.85,481.05,485.05,478.0,478.2,479.55,480.23,294337,14134835344999.998,9936,209445,0.7116
2018-05-21,BANDHANBNK,EQ,479.55,474.0,481.2,463.2,467.4,468.8,470.98,363194,17105662850000.0,10939,243870,0.6715000000000001
2018-05-22,BANDHANBNK,EQ,468.8,468.8,477.4,468.0,470.05,470.35,471.28,243251,11463956295000.0,14572,146289,0.6014
2018-05-23,BANDHANBNK,EQ,470.35,471.8,500.0,469.3,495.25,495.95,491.93,1809012,88990441565000.0,30939,1108305,0.6127
2018-05-24,BANDHANBNK,EQ,495.95,489.8,495.1,474.6,477.25,477.2,482.54,435390,21009125490000.0,9325,275851,0.6336
2018-05-25,BANDHANBNK,EQ,477.2,483.75,487.0,476.85,484.15,483.1,483.4,289819,14009720290000.0,11253,145067,0.5005
2018-05-28,BANDHANBNK,EQ,483.1,486.7,488.4,481.0,483.5,484.55,485.06,228736,11094996345000.0,7462,127328,0.5567000000000001
2018-05-29,BANDHANBNK,EQ,484.55,485.1,488.5,478.25,479.0,479.75,482.63,172900,8344700830000.0,6678,87595,0.5065999999999999
2018-05-30,BANDHANBNK,EQ,479.75,477.0,478.95,468.2,469.65,469.9,472.11,372779,17599351190000.0,13263,239605,0.6428
2018-05-31,BANDHANBNK,EQ,469.9,472.2,474.0,463.1,470.0,470.5,467.82,375833,17582116350000.0,11178,215755,0.5740999999999999
