Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BANG,EQ,50.2,50.9,50.95,48.8,48.9,49.3,50.12,37506,187998140000.0,,21687,0.5782
2010-10-05,BANG,EQ,49.3,49.0,52.95,48.2,48.6,48.65,50.0,169348,846739325000.0,,64700,0.3821
2010-10-06,BANG,EQ,48.65,49.5,50.8,49.15,50.05,50.05,50.06,65479,327806525000.0,,32498,0.4963
2010-10-07,BANG,EQ,50.05,50.0,50.9,49.1,49.5,49.45,50.12,42232,211670215000.0,,18450,0.4369
2010-10-08,BANG,EQ,49.45,49.45,51.0,49.05,49.4,49.35,49.71,59768,297107930000.0,,31329,0.5242
2010-10-11,BANG,EQ,49.35,49.3,51.0,49.15,49.15,49.45,50.13,41321,207132630000.0,,11801,0.2856
2010-10-12,BANG,EQ,49.45,49.9,56.8,49.5,52.35,52.5,54.35,805696,4378906395000.0005,,132720,0.16469999999999999
2010-10-13,BANG,EQ,52.5,53.0,53.8,51.5,51.55,51.65,52.54,85720,450406620000.0,,34033,0.397
2010-10-14,BANG,EQ,51.65,52.3,54.25,49.8,49.95,50.2,51.87,151604,786346300000.0,,57050,0.3763
2010-10-15,BANG,EQ,50.2,50.9,56.6,50.3,51.5,51.5,54.45,891138,4851813840000.0,,122689,0.1377
2010-10-18,BANG,EQ,51.5,53.1,53.1,50.35,51.1,51.2,51.42,82258,422932045000.0,,33090,0.4023
2010-10-19,BANG,EQ,51.2,51.9,51.9,50.1,50.25,50.3,50.81,58843,299005145000.0,,29659,0.504
2010-10-20,BANG,EQ,50.3,50.3,50.8,49.15,49.45,49.45,49.96,39979,199742835000.0,,20838,0.5212
2010-10-21,BANG,EQ,49.45,49.75,51.75,49.55,49.7,49.8,50.64,103684,525027784999.99994,,30437,0.2936
2010-10-22,BANG,EQ,49.8,50.65,51.9,49.0,49.5,49.7,50.56,75364,381036470000.0,,24179,0.3208
2010-10-25,BANG,EQ,49.7,50.45,54.25,50.15,51.5,51.25,52.31,298465,1561335625000.0,,46102,0.1545
2010-10-26,BANG,EQ,51.25,52.5,53.65,51.1,51.1,51.45,52.42,149132,781726035000.0,,41654,0.2793
2010-10-27,BANG,EQ,51.45,51.8,52.1,50.15,50.75,50.65,50.92,48638,247680645000.00003,,19846,0.408
2010-10-28,BANG,EQ,50.65,51.25,51.5,49.45,49.6,49.75,50.54,64338,325139470000.0,,26416,0.4106
2010-10-29,BANG,EQ,49.75,50.3,50.3,48.5,48.8,48.9,49.37,35351,174533415000.0,,23610,0.6679
2010-11-01,BANG,EQ,48.9,49.9,50.45,48.8,49.05,49.2,49.63,36464,180970190000.0,,24762,0.6790999999999999
2010-11-02,BANG,EQ,49.2,50.4,50.4,48.6,48.6,48.85,49.28,27124,133676064999.99998,,14294,0.527
2010-11-03,BANG,EQ,48.85,49.65,50.9,49.1,49.3,49.4,49.95,51306,256287579999.99997,,14759,0.2877
2010-11-04,BANG,EQ,49.4,49.55,50.2,49.0,49.4,49.15,49.43,11444,56566675000.0,,5817,0.5083
2010-11-05,BANG,EQ,49.15,49.3,49.9,49.25,49.5,49.6,49.57,2794,13848960000.0,,2431,0.8701000000000001
2010-11-08,BANG,EQ,49.6,49.2,50.8,49.15,49.2,49.4,49.77,31814,158351945000.0,,15817,0.4972
2010-11-09,BANG,EQ,49.4,49.8,51.85,49.75,51.0,50.8,50.85,67507,343306295000.0,,35477,0.5255
2010-11-10,BANG,EQ,50.8,51.0,52.5,50.7,51.7,51.8,51.79,100941,522743815000.00006,,51450,0.5097
2010-11-11,BANG,EQ,51.8,52.5,52.9,50.6,50.65,50.85,51.97,35280,183346130000.0,,19807,0.5614
2010-11-12,BANG,EQ,50.85,50.9,51.5,49.0,49.05,49.2,50.09,67697,339065925000.0,,56993,0.8419
2010-11-15,BANG,EQ,49.2,52.8,52.8,48.5,48.7,48.8,49.2,27972,137621670000.0,,17156,0.6133
2010-11-16,BANG,EQ,48.8,48.85,49.5,47.55,48.0,47.9,48.37,19989,96682120000.0,,11050,0.5528000000000001
2010-11-18,BANG,EQ,47.9,48.15,48.85,45.7,46.25,46.3,46.69,28720,134107030000.0,,20876,0.7269
2010-11-19,BANG,EQ,46.3,45.9,46.75,45.25,45.25,45.5,45.96,13991,64300085000.0,,11412,0.8157
2010-11-22,BANG,EQ,45.5,45.5,47.15,45.3,46.3,45.95,45.9,11382,52245425000.0,,7704,0.6769
2010-11-23,BANG,EQ,45.95,45.35,46.8,44.65,45.6,45.75,45.64,20648,94229125000.0,,10065,0.4875
2010-11-24,BANG,EQ,45.75,45.2,46.55,45.1,45.6,45.4,45.78,12915,59124194999.99999,,5352,0.4144
2010-11-25,BANG,EQ,45.4,46.2,46.2,43.5,43.85,43.75,44.35,11243,49865865000.0,,7563,0.6727
2010-11-26,BANG,EQ,43.75,43.9,43.9,38.0,39.65,40.0,39.87,39799,158680935000.0,,23303,0.5855
2010-11-29,BANG,EQ,40.0,40.0,41.4,38.0,41.25,40.5,39.52,26757,105730410000.00002,,11571,0.4324
2010-11-30,BANG,EQ,40.5,40.9,41.7,39.65,41.0,41.2,40.81,13087,53405319999.99999,,8156,0.6232
2010-12-01,BANG,EQ,41.2,42.85,43.25,40.65,43.0,42.8,42.62,22392,95432630000.0,,10373,0.4632
2010-12-02,BANG,EQ,42.8,44.4,45.6,43.5,43.65,43.8,44.13,16503,72828980000.0,,9854,0.5971000000000001
2010-12-03,BANG,EQ,43.8,43.0,44.65,42.0,42.25,42.4,43.09,11208,48295265000.0,,6277,0.56
2010-12-06,BANG,EQ,42.4,43.0,43.5,40.7,41.45,41.1,41.86,9320,39010885000.0,,6664,0.715
2010-12-07,BANG,EQ,41.1,42.0,42.0,40.3,40.9,40.65,40.67,4408,17926145000.0,,3735,0.8473
2010-12-08,BANG,EQ,40.65,42.85,42.85,40.05,40.7,40.35,40.79,15758,64280000000.0,,9364,0.5942000000000001
2010-12-09,BANG,EQ,40.35,40.2,40.5,37.5,39.0,38.4,38.59,22266,85933170000.0,,17294,0.7767000000000001
2010-12-10,BANG,EQ,38.4,38.0,39.25,35.85,38.55,38.7,38.24,7861,30063900000.0,,4452,0.5663
2010-12-13,BANG,EQ,38.7,39.95,40.05,39.1,40.05,39.6,39.52,11661,46079300000.0,,7837,0.6720999999999999
2010-12-14,BANG,EQ,39.6,39.55,40.0,39.4,39.9,39.6,39.61,7608,30132130000.0,,6764,0.8891
2010-12-15,BANG,EQ,39.6,40.0,40.0,38.4,38.95,38.7,39.01,8275,32281955000.0,,4290,0.5184000000000001
2010-12-16,BANG,EQ,38.7,38.55,39.35,38.5,38.55,38.8,38.74,5189,20102840000.0,,2863,0.5517000000000001
2010-12-20,BANG,EQ,38.8,38.7,42.6,38.3,40.2,40.05,40.77,22587,92090450000.0,,7635,0.33799999999999997
2010-12-21,BANG,EQ,40.05,40.5,42.0,39.7,42.0,41.15,40.97,27298,111838264999.99998,,16053,0.5881000000000001
2010-12-22,BANG,EQ,41.15,41.0,41.6,40.0,40.0,40.55,40.98,12498,51213320000.0,,9608,0.7687999999999999
2010-12-23,BANG,EQ,40.55,41.0,41.55,39.35,39.4,39.8,40.51,18865,76421650000.0,,11213,0.5944
2010-12-24,BANG,EQ,39.8,42.0,42.0,40.15,40.6,40.8,40.9,49019,200502320000.0,,23725,0.484
2010-12-27,BANG,EQ,40.8,41.0,41.0,39.9,40.25,40.5,40.4,12697,51298985000.0,,7147,0.5629
2010-12-28,BANG,EQ,40.5,41.7,45.45,41.7,42.7,42.75,43.62,203992,889791144999.9999,,41560,0.20370000000000002
2010-12-29,BANG,EQ,42.75,43.0,44.3,42.05,43.1,43.25,43.27,75076,324868415000.0,,17832,0.23750000000000002
2010-12-30,BANG,EQ,43.25,42.25,42.75,41.75,42.05,42.05,42.23,14041,59297144999.99999,,7315,0.521
2010-12-31,BANG,EQ,42.05,42.1,42.5,41.2,41.9,41.65,41.65,29438,122611595000.0,,17512,0.5949
2011-01-03,BANG,EQ,41.65,41.05,42.35,41.05,42.2,41.95,41.95,9213,38648355000.0,,4881,0.5297999999999999
2011-01-04,BANG,EQ,41.95,41.75,43.25,41.65,42.5,42.35,42.6,14652,62410540000.0,,5139,0.3507
2011-01-05,BANG,EQ,42.35,42.0,42.55,41.2,41.45,41.25,41.5,8104,33633095000.0,,6374,0.7865000000000001
2011-01-06,BANG,EQ,41.25,41.3,41.75,41.1,41.3,41.3,41.45,3066,12708150000.0,,2199,0.7172
2011-01-07,BANG,EQ,41.3,40.55,41.7,38.0,38.75,38.45,39.26,22045,86558750000.0,,16211,0.7354
2011-01-10,BANG,EQ,38.45,38.1,39.5,38.1,38.55,38.65,38.88,8365,32521665000.000004,,4025,0.48119999999999996
2011-01-11,BANG,EQ,38.65,38.0,38.7,36.55,38.2,37.25,37.71,21334,80449420000.0,,9551,0.44770000000000004
2011-01-12,BANG,EQ,37.25,39.9,39.9,36.5,38.1,37.85,37.84,12830,48549530000.0,,7696,0.5998
2011-01-13,BANG,EQ,37.85,38.0,39.7,38.0,38.6,38.3,38.67,9888,38234900000.0,,5584,0.5647
2011-01-14,BANG,EQ,38.3,38.7,41.75,38.35,39.55,39.1,39.94,44687,178490620000.0,,16775,0.3754
2011-01-17,BANG,EQ,39.1,38.7,40.7,37.9,38.95,39.5,39.27,33206,130388414999.99998,,12842,0.38670000000000004
2011-01-18,BANG,EQ,39.5,38.3,39.85,38.2,38.25,38.3,38.76,5664,21955080000.0,,3483,0.6149
2011-01-19,BANG,EQ,38.3,37.75,42.8,37.7,41.25,41.0,41.53,131553,546385245000.0,,46716,0.35509999999999997
2011-01-20,BANG,EQ,41.0,39.2,40.0,39.1,39.75,39.55,39.56,12958,51261260000.0,,6070,0.46840000000000004
2011-01-21,BANG,EQ,39.55,40.0,40.0,39.05,39.2,39.1,39.49,8154,32199355000.0,,3577,0.4387
2011-01-24,BANG,EQ,39.1,39.5,39.85,39.0,39.6,39.55,39.36,5175,20369195000.0,,3374,0.652
2011-01-25,BANG,EQ,39.55,42.0,43.3,38.8,39.0,39.1,39.98,24961,99793640000.0,,10916,0.43729999999999997
2011-01-27,BANG,EQ,39.1,39.0,39.15,38.4,38.45,38.45,38.86,2058,7998300000.0,,1640,0.7968999999999999
2011-01-28,BANG,EQ,38.45,38.45,39.2,36.0,38.0,36.65,37.07,10604,39314000000.0,,5491,0.5178
2011-01-31,BANG,EQ,36.65,36.55,36.55,34.2,35.95,35.95,35.47,5129,18191185000.0,,2954,0.5759000000000001
2011-02-01,BANG,EQ,35.95,35.25,36.95,35.0,35.25,35.4,35.81,2151,7702280000.0,,1405,0.6531999999999999
2011-02-02,BANG,EQ,35.4,35.35,37.3,35.2,35.55,35.8,36.05,10785,38884460000.0,,5851,0.5425
2011-02-03,BANG,EQ,35.8,35.5,36.5,35.5,35.6,35.65,35.83,4434,15886200000.0,,3935,0.8875000000000001
