Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BASF,EQ,686.9,690.45,701.0,672.0,683.0,682.45,685.26,60042,4114424575000.0,,23698,0.3947
2010-10-05,BASF,EQ,682.45,687.0,689.0,677.0,681.8,683.1,683.44,28247,1930504580000.0,,13046,0.4619
2010-10-06,BASF,EQ,683.1,685.05,687.0,665.0,674.0,673.9,679.72,19337,1314367570000.0,,9171,0.4743
2010-10-07,BASF,EQ,673.9,676.9,684.0,661.0,662.75,665.35,674.38,13399,903605410000.0,,6095,0.4549
2010-10-08,BASF,EQ,665.35,661.3,677.75,651.0,653.5,653.7,656.97,18209,1196280720000.0,,7640,0.41960000000000003
2010-10-11,BASF,EQ,653.7,656.0,677.7,651.0,651.0,653.05,657.31,12286,807573980000.0,,5051,0.4111
2010-10-12,BASF,EQ,653.05,654.0,673.0,646.0,660.1,662.8,664.0,24652,1636900515000.0,,9984,0.405
2010-10-13,BASF,EQ,662.8,704.0,704.0,656.0,674.5,676.85,677.07,33744,2284710875000.0,,15230,0.45130000000000003
2010-10-14,BASF,EQ,676.85,675.0,688.8,670.05,681.45,680.1,682.47,24952,1702898889999.9998,,9646,0.3866
2010-10-15,BASF,EQ,680.1,675.0,686.0,665.25,665.3,668.0,676.54,10638,719702975000.0,,6004,0.5644
2010-10-18,BASF,EQ,668.0,670.0,670.0,656.0,663.95,665.1,664.5,8492,564295375000.0,,5613,0.6609999999999999
2010-10-19,BASF,EQ,665.1,658.0,684.0,657.05,674.45,672.75,672.19,19676,1322606640000.0,,8460,0.43
2010-10-20,BASF,EQ,672.75,665.25,684.0,656.35,673.5,673.5,672.19,15476,1040282719999.9999,,6038,0.39020000000000005
2010-10-21,BASF,EQ,673.5,670.0,697.0,670.0,682.0,683.25,689.12,157238,10835639040000.0,,89894,0.5717
2010-10-22,BASF,EQ,683.25,690.1,693.8,680.05,682.25,682.7,686.45,25142,1725884435000.0002,,12439,0.4947
2010-10-25,BASF,EQ,682.7,686.0,690.0,665.0,678.9,672.05,680.63,12549,854122750000.0,,6737,0.5369
2010-10-26,BASF,EQ,672.05,689.5,689.5,665.0,669.1,670.7,673.97,7744,521918655000.0,,2844,0.36729999999999996
2010-10-27,BASF,EQ,670.7,665.0,685.0,664.0,670.0,668.1,672.05,28316,1902986189999.9998,,10836,0.38270000000000004
2010-10-28,BASF,EQ,668.1,675.0,681.0,661.0,680.0,678.0,673.26,16758,1128248395000.0,,12871,0.7681
2010-10-29,BASF,EQ,678.0,680.0,682.9,659.05,670.0,669.95,669.01,8554,572268065000.0,,4536,0.5303
2010-11-01,BASF,EQ,669.95,673.0,680.0,660.0,661.05,662.4,669.16,8084,540952220000.0,,6554,0.8107
2010-11-02,BASF,EQ,662.4,663.1,715.4,663.1,682.0,687.8,694.74,39485,2743166185000.0,,13415,0.3397
2010-11-03,BASF,EQ,687.8,692.0,715.0,688.0,691.35,697.1,703.74,32643,2297214650000.0,,12637,0.3871
2010-11-04,BASF,EQ,697.1,709.0,715.0,682.0,687.6,688.55,691.09,10850,749837275000.0,,5779,0.5326
2010-11-05,BASF,EQ,688.55,700.0,702.9,693.0,696.7,699.3,698.84,6427,449141620000.0,,4022,0.6258
