Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BBTC,EQ,561.8,563.0,569.0,552.0,552.0,554.3,559.27,4679,261680320000.00003,,2402,0.5134000000000001
2010-10-05,BBTC,EQ,554.3,559.95,563.8,550.0,553.0,552.45,555.03,5253,291556790000.0,,2632,0.501
2010-10-06,BBTC,EQ,552.45,559.9,599.6,554.05,588.5,587.15,583.57,103854,6060627030000.0,,27415,0.264
2010-10-07,BBTC,EQ,587.15,595.0,610.0,565.0,579.0,580.0,598.0,59972,3586333315000.0,,16428,0.27390000000000003
2010-10-08,BBTC,EQ,580.0,575.0,599.95,572.35,574.15,577.45,589.03,33558,1976656895000.0,,6931,0.2065
2010-10-11,BBTC,EQ,577.45,577.5,593.95,571.0,576.0,573.65,581.1,15077,876117750000.0,,6286,0.4169
2010-10-12,BBTC,EQ,573.65,584.7,584.7,556.0,561.0,562.65,564.77,8681,490275145000.0,,5130,0.5909000000000001
2010-10-13,BBTC,EQ,562.65,562.05,579.4,562.05,564.0,565.65,571.74,8570,489983395000.0,,4032,0.4705
2010-10-14,BBTC,EQ,565.65,567.0,573.5,556.0,558.05,560.1,561.81,4314,242366295000.00003,,2025,0.4694
2010-10-15,BBTC,EQ,560.1,560.1,572.0,545.0,548.9,548.6,555.87,8331,463099305000.0,,3482,0.418
2010-10-18,BBTC,EQ,548.6,541.0,545.0,535.0,540.05,542.0,539.61,6581,355114985000.0,,1636,0.2486
2010-10-19,BBTC,EQ,542.0,546.95,554.0,535.0,535.0,536.05,542.73,4673,253618740000.0,,2382,0.5097
2010-10-20,BBTC,EQ,536.05,535.0,545.45,526.0,529.85,529.85,532.9,6049,322350690000.0,,2493,0.4121
2010-10-21,BBTC,EQ,529.85,523.1,533.95,522.95,525.25,525.95,526.66,6931,365027375000.0,,3807,0.5493
2010-10-22,BBTC,EQ,525.95,532.95,539.75,526.1,530.0,530.9,533.29,3492,186225130000.0,,1788,0.512
2010-10-25,BBTC,EQ,530.9,538.0,539.0,527.0,527.0,529.15,532.48,1603,85356475000.0,,793,0.4947
2010-10-26,BBTC,EQ,529.15,524.0,540.0,524.0,526.0,527.05,531.46,8273,439672790000.00006,,5469,0.6611
2010-10-27,BBTC,EQ,527.05,521.1,543.9,521.0,521.9,527.1,533.24,5345,285017240000.0,,2155,0.4032
2010-10-28,BBTC,EQ,527.1,533.0,533.0,517.1,524.4,522.35,523.22,2084,109039920000.0,,1324,0.6353
2010-10-29,BBTC,EQ,522.35,520.0,530.0,515.1,522.0,519.7,522.86,3577,187026810000.0,,2504,0.7000000000000001
2010-11-01,BBTC,EQ,519.7,525.0,528.35,521.1,522.75,523.75,523.58,1837,96182560000.0,,1630,0.8873000000000001
2010-11-02,BBTC,EQ,523.75,530.0,530.0,519.4,520.15,520.45,520.89,465,24221260000.0,,333,0.7161
2010-11-03,BBTC,EQ,520.45,525.0,535.0,521.3,523.05,523.2,529.46,2521,133477064999.99998,,1293,0.5129
2010-11-04,BBTC,EQ,523.2,523.0,529.0,520.05,525.0,522.45,522.24,1337,69824155000.0,,898,0.6717000000000001
2010-11-05,BBTC,EQ,522.45,522.2,528.75,522.0,523.0,527.3,526.83,297,15646775000.0,,262,0.8822
2010-11-08,BBTC,EQ,527.3,529.0,534.9,507.25,526.0,526.45,526.89,2541,133882260000.00002,,1199,0.4719
2010-11-09,BBTC,EQ,526.45,535.0,581.0,520.0,570.0,570.15,559.25,26120,1460771765000.0,,12029,0.46049999999999996
2010-11-10,BBTC,EQ,570.15,579.0,579.3,551.55,567.0,560.5,567.04,18976,1076014244999.9999,,8527,0.44939999999999997
2010-11-11,BBTC,EQ,560.5,565.0,565.0,536.75,537.45,540.3,549.67,6065,333372030000.0,,4005,0.6603
2010-11-12,BBTC,EQ,540.3,542.0,560.2,534.15,543.8,542.0,548.08,7237,396647850000.0,,4006,0.5535
2010-11-15,BBTC,EQ,542.0,542.1,553.0,533.0,539.0,540.0,539.7,2048,110531385000.00002,,1688,0.8242
2010-11-16,BBTC,EQ,540.0,535.0,542.6,506.15,514.9,510.6,521.5,3572,186279925000.0,,2725,0.7629000000000001
2010-11-18,BBTC,EQ,510.6,528.5,528.5,493.15,498.0,496.0,503.67,7460,375737605000.0,,5186,0.6951999999999999
2010-11-19,BBTC,EQ,496.0,491.0,496.7,470.55,471.0,473.3,481.28,10141,488068400000.0,,7220,0.7120000000000001
2010-11-22,BBTC,EQ,473.3,470.0,489.0,460.0,474.5,471.8,472.68,2366,111836370000.0,,1109,0.4687
