Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-05-08,LYCOS,EQ,27.0,28.35,28.35,28.35,28.35,28.35,28.35,6500,18427500000.0,4,6500,1.0
2015-05-11,LYCOS,EQ,28.35,29.75,29.75,29.75,29.75,29.75,29.75,192152,571652200000.0,60,177133,0.9218000000000001
2015-05-12,LYCOS,EQ,29.75,30.45,31.2,28.6,31.2,31.2,30.43,1716985,5225213905000.0,3538,684836,0.39890000000000003
2015-05-13,LYCOS,EQ,31.2,32.1,32.75,31.75,32.75,32.75,32.6,427737,1394549000000.0,1080,184627,0.4316
2015-05-14,LYCOS,EQ,32.75,34.35,34.35,32.75,34.35,34.35,34.06,701500,2389444880000.0,3116,320455,0.4568
2015-05-15,LYCOS,EQ,34.35,35.2,35.2,32.65,32.65,32.65,33.45,401287,1342381980000.0,1336,265867,0.6625
2015-05-18,LYCOS,EQ,32.65,32.55,32.55,31.05,31.15,31.05,31.18,247090,770408930000.0,761,157199,0.6362
2015-05-19,LYCOS,EQ,31.05,30.15,32.6,30.0,32.6,32.6,32.06,127064,407417805000.0,352,79518,0.6258
2015-05-20,LYCOS,EQ,32.6,33.7,34.0,32.5,32.9,33.1,33.38,209753,700051520000.0,1002,128606,0.6131000000000001
2015-05-21,LYCOS,EQ,33.1,34.0,34.75,32.15,34.25,34.05,33.93,573483,1945660025000.0,1893,147956,0.258
2015-05-22,LYCOS,EQ,34.05,35.0,35.75,34.45,35.25,35.55,35.55,789962,2808237195000.0,2268,461374,0.584
2015-05-25,LYCOS,EQ,35.55,36.7,36.8,35.05,36.0,35.95,35.97,367520,1321952385000.0,1584,205985,0.5605
2015-05-26,LYCOS,EQ,35.95,35.95,36.45,34.2,34.2,34.2,34.52,547504,1890172914999.9998,1425,353641,0.6459
2015-05-27,LYCOS,EQ,34.2,33.5,33.5,32.5,32.55,32.5,32.62,650070,2120703705000.0,1434,478030,0.7354
2015-05-28,LYCOS,EQ,32.5,31.65,34.1,31.65,34.1,34.1,33.69,314051,1057947619999.9999,1051,208629,0.6643000000000001
2015-05-29,LYCOS,EQ,34.1,34.85,35.8,33.0,35.8,35.8,35.53,473919,1683899985000.0002,1447,306685,0.6470999999999999
2015-06-01,LYCOS,EQ,35.8,37.0,37.55,35.5,36.6,36.6,37.14,668993,2484742495000.0,2573,308954,0.4618
2015-06-02,LYCOS,EQ,36.6,37.45,37.75,35.8,36.2,36.05,36.63,329995,1208630670000.0,1621,183381,0.5557
2015-06-03,LYCOS,EQ,36.05,37.4,37.4,34.25,34.6,34.35,34.61,420602,1455620000000.0,1683,321071,0.7634000000000001
2015-06-04,LYCOS,EQ,34.35,32.8,36.05,32.8,36.05,36.05,35.66,271083,966582544999.9999,1079,195230,0.7202
2015-06-05,LYCOS,EQ,36.05,35.5,39.35,35.0,38.7,38.55,38.42,1131341,4346836245000.0005,4562,636884,0.5629
2015-06-08,LYCOS,EQ,38.55,39.0,40.0,38.25,38.5,38.8,39.17,579888,2271405375000.0,2860,323969,0.5587
2015-06-09,LYCOS,EQ,38.8,39.25,42.65,39.0,42.65,42.6,41.85,1589561,6652536940000.0,6495,746386,0.4696
2015-06-10,LYCOS,EQ,42.6,43.8,46.6,43.2,46.4,46.4,45.22,1831522,8282963759999.999,7292,802746,0.43829999999999997
2015-06-11,LYCOS,EQ,46.4,47.1,47.2,44.1,44.1,44.1,44.9,507471,2278312520000.0,2130,272437,0.5369
2015-06-12,LYCOS,EQ,44.1,41.9,41.9,41.9,41.9,41.9,41.9,14710,61634900000.0,79,14708,0.9999
2015-06-15,LYCOS,EQ,41.9,39.85,40.95,39.85,39.85,39.85,39.93,508953,2032146080000.0,1057,224774,0.4416
2015-06-16,LYCOS,EQ,39.85,38.4,40.85,38.35,38.75,39.2,39.41,1070802,4219597350000.0,6281,441488,0.4123
2015-06-17,LYCOS,EQ,39.2,39.95,40.8,38.35,39.0,38.75,39.69,566282,2247795080000.0,2803,290498,0.513
2015-06-18,LYCOS,EQ,38.75,38.65,38.75,36.85,36.85,36.85,37.33,256434,957179669999.9999,864,192368,0.7502
2015-06-19,LYCOS,EQ,36.85,35.6,38.65,35.05,36.35,36.5,36.87,888542,3276193635000.0,4285,265964,0.2993
2015-06-22,LYCOS,EQ,36.5,36.1,37.9,35.3,36.4,36.15,36.62,372735,1365000340000.0,2004,181985,0.4882
2015-06-23,LYCOS,EQ,36.15,36.7,37.95,35.85,37.95,37.9,37.06,366298,1357346045000.0,1588,220772,0.6027
2015-06-24,LYCOS,EQ,37.9,38.35,39.75,37.15,38.0,37.9,38.99,659531,2571254515000.0,3226,257654,0.3907
2015-06-25,LYCOS,EQ,37.9,37.9,37.9,36.5,36.85,36.9,36.95,179273,662446010000.0,812,120443,0.6718000000000001
2015-06-26,LYCOS,EQ,36.9,36.25,37.5,36.1,36.1,36.35,36.74,251822,925279475000.0,1300,123477,0.4903
2015-06-29,LYCOS,EQ,36.35,35.1,35.45,34.55,34.55,34.65,34.66,259381,898953790000.0,806,164561,0.6344
2015-06-30,LYCOS,EQ,34.65,33.4,34.9,32.95,33.0,32.95,33.22,695125,2308971880000.0,2237,325898,0.46880000000000005
2015-07-01,LYCOS,EQ,32.95,34.3,34.55,31.5,32.0,32.1,33.11,750676,2485119190000.0,3229,383398,0.5107
2015-07-02,LYCOS,EQ,32.1,32.4,33.7,31.85,33.7,33.65,33.17,1057206,3506978454999.9995,3798,438159,0.4144
2015-07-03,LYCOS,EQ,33.65,32.25,33.6,32.0,32.0,32.0,32.42,977180,3167980895000.0,2626,741475,0.7587999999999999
2015-07-06,LYCOS,EQ,32.0,30.55,33.35,30.45,31.75,31.45,31.44,662408,2082527895000.0,4015,326942,0.4936
2015-07-07,LYCOS,EQ,31.45,31.3,33.0,31.3,33.0,32.85,32.78,1343498,4404392710000.0,2748,1024309,0.7624
2015-07-08,LYCOS,EQ,32.85,32.55,34.45,32.25,34.25,34.3,34.19,1274131,4356641025000.0,3216,747992,0.5871000000000001
2015-07-09,LYCOS,EQ,34.3,34.3,35.5,33.05,33.2,33.2,34.58,657573,2273707380000.0,2883,459656,0.6990000000000001
2015-07-10,LYCOS,EQ,33.2,33.8,34.0,32.0,32.8,32.5,32.88,387640,1274617450000.0,2372,225137,0.5808
2015-07-13,LYCOS,EQ,32.5,32.1,33.3,32.1,32.85,33.0,32.85,491352,1614153145000.0,1358,367003,0.7469
2015-07-14,LYCOS,EQ,33.0,32.75,33.95,32.75,32.9,33.0,33.15,392675,1301855410000.0,1673,264252,0.6729999999999999
2015-07-15,LYCOS,EQ,33.0,33.2,34.45,33.15,33.85,33.8,34.0,354125,1203955540000.0,1422,199757,0.5640999999999999
2015-07-16,LYCOS,EQ,33.8,34.0,34.85,33.2,33.6,33.55,33.9,581919,1972446339999.9998,2352,367071,0.6308
2015-07-17,LYCOS,EQ,33.55,33.1,33.85,32.85,33.05,33.05,33.11,463913,1536055700000.0,1035,368099,0.7935
2015-07-20,LYCOS,EQ,33.05,33.1,33.35,32.5,32.8,32.85,32.89,725688,2386865290000.0,1825,612471,0.8440000000000001
2015-07-21,LYCOS,EQ,32.85,33.2,33.8,32.3,32.5,32.4,32.98,718796,2370303485000.0,1543,559383,0.7782
2015-07-22,LYCOS,EQ,32.4,32.1,33.0,32.1,32.65,32.7,32.62,466454,1521625045000.0,786,393302,0.8432
2015-07-23,LYCOS,EQ,32.7,33.0,34.3,32.5,34.3,34.3,33.9,649417,2201380445000.0,1928,344657,0.5307000000000001
2015-07-24,LYCOS,EQ,34.3,34.85,35.7,33.05,33.5,33.25,34.24,555303,1901339735000.0002,1864,372484,0.6708
2015-07-27,LYCOS,EQ,33.25,33.3,33.3,31.6,31.7,31.75,32.28,305695,986867269999.9999,1257,187594,0.6137
2015-07-28,LYCOS,EQ,31.75,31.8,32.5,30.7,31.5,31.1,31.8,375271,1193447740000.0,1346,212973,0.5675
2015-07-29,LYCOS,EQ,31.1,31.45,32.65,31.0,32.65,32.65,32.19,326505,1051011819999.9999,1130,249643,0.7646
2015-07-30,LYCOS,EQ,32.65,33.4,33.7,31.3,31.65,31.4,32.24,456465,1471636010000.0,1726,307098,0.6728000000000001
2015-07-31,LYCOS,EQ,31.4,31.45,32.6,31.1,31.75,31.55,31.82,352252,1120982050000.0,1278,228401,0.6484000000000001
2015-08-03,LYCOS,EQ,31.55,32.0,33.1,31.9,33.1,33.05,32.62,541805,1767505535000.0002,1599,400136,0.7384999999999999
2015-08-04,LYCOS,EQ,33.05,33.75,33.9,32.65,32.95,32.75,33.2,414609,1376503680000.0,1273,292316,0.705
2015-08-05,LYCOS,EQ,32.75,33.8,33.8,32.5,33.1,33.25,33.1,414936,1373326515000.0,1831,320557,0.7725
2015-08-06,LYCOS,EQ,33.25,32.85,33.5,32.55,33.45,33.3,33.14,241813,801289685000.0,1053,193965,0.8020999999999999
2015-08-07,LYCOS,EQ,33.3,33.65,36.6,33.65,36.3,36.4,35.98,1429851,5143898170000.0,4772,888533,0.6214000000000001
2015-08-10,LYCOS,EQ,36.4,37.2,38.8,36.0,36.7,36.85,37.52,1315946,4937804805000.0,6415,858403,0.6523000000000001
2015-08-11,LYCOS,EQ,36.85,39.0,39.65,36.3,37.0,36.8,37.62,1337588,5032571850000.0,5785,662778,0.4955
2015-08-12,LYCOS,EQ,36.8,36.6,37.35,33.15,33.15,33.15,33.52,1936353,6490529630000.0,4190,1298279,0.6705
2015-08-13,LYCOS,EQ,33.15,34.75,34.75,30.1,30.7,30.5,31.61,939825,2970775460000.0,3580,587592,0.6252000000000001
2015-08-14,LYCOS,EQ,30.5,30.0,32.0,30.0,31.15,30.95,30.89,695980,2149949975000.0,3719,436657,0.6274000000000001
2015-08-17,LYCOS,EQ,30.95,31.0,32.5,30.65,31.25,31.45,31.51,377959,1191086525000.0,2069,240218,0.6356
2015-08-18,LYCOS,EQ,31.45,31.25,32.6,31.1,31.2,31.3,31.53,495331,1561571715000.0,2875,372526,0.7521
2015-08-19,LYCOS,EQ,31.3,31.9,32.0,31.1,31.15,31.3,31.39,379142,1189965065000.0,1917,292441,0.7713
2015-08-20,LYCOS,EQ,31.3,31.0,31.8,28.65,29.1,29.15,29.92,639948,1914693970000.0,2995,489525,0.7648999999999999
2015-08-21,LYCOS,EQ,29.15,29.0,30.9,27.6,30.7,30.6,29.63,504431,1494767745000.0,4120,288251,0.5714
2015-08-24,LYCOS,EQ,30.6,29.0,29.5,27.55,27.55,27.55,28.02,774217,2169509910000.0002,2125,621695,0.8029999999999999
2015-08-25,LYCOS,EQ,27.55,27.45,28.3,24.8,26.0,25.9,25.64,895209,2294914190000.0,3979,610973,0.6825
2015-08-26,LYCOS,EQ,25.9,27.0,28.45,25.5,27.35,27.0,27.38,472969,1294903185000.0,3308,234790,0.4964
2015-08-27,LYCOS,EQ,27.0,28.4,28.4,27.2,27.8,27.6,27.79,315573,876923725000.0,1672,197668,0.6264000000000001
2015-08-28,LYCOS,EQ,27.6,27.8,28.0,26.5,27.2,27.1,27.32,485563,1326737585000.0,2099,286786,0.5906
2015-08-31,LYCOS,EQ,27.1,26.3,27.6,26.3,27.2,27.15,27.1,326497,884657340000.0,1547,251278,0.7696
2015-09-01,LYCOS,EQ,27.15,27.0,27.25,25.25,26.2,26.1,26.67,517243,1379374490000.0,1462,462262,0.8937
2015-09-02,LYCOS,EQ,26.1,25.55,26.8,25.5,25.9,25.9,25.93,475937,1234078870000.0,1696,382685,0.8041
2015-09-03,LYCOS,EQ,25.9,26.0,26.6,25.25,25.25,25.55,25.95,505037,1310729190000.0,2079,363738,0.7202
2015-09-04,LYCOS,EQ,25.55,25.1,26.1,23.2,23.35,23.45,23.93,434290,1039276730000.0001,2175,306300,0.7053
2015-09-07,LYCOS,EQ,23.45,23.45,24.25,21.15,21.15,21.15,21.61,2543707,5496553580000.0,2454,2002194,0.7870999999999999
2015-09-08,LYCOS,EQ,21.15,20.95,20.95,20.1,20.1,20.1,20.17,132660,267523179999.99997,239,103417,0.7796
2015-09-09,LYCOS,EQ,20.1,19.7,21.1,19.1,21.1,21.1,20.12,469876,945612460000.0,998,313730,0.6677
2015-09-10,LYCOS,EQ,21.1,21.85,22.15,21.25,22.15,22.15,22.07,643438,1420163380000.0,776,406588,0.6319
2015-09-11,LYCOS,EQ,22.15,23.25,23.25,23.25,23.25,23.25,23.25,29968,69675600000.0,56,29968,1.0
2015-09-14,LYCOS,EQ,23.25,24.4,24.4,23.5,24.4,24.4,24.38,669299,1631923550000.0,868,407449,0.6088
2015-09-15,LYCOS,EQ,24.4,25.6,25.6,23.8,25.4,24.8,24.74,3761822,9306832290000.0,3648,3250117,0.8640000000000001
2015-09-16,LYCOS,EQ,24.8,25.75,26.0,25.25,26.0,26.0,25.72,636138,1636336065000.0,1955,444663,0.6990000000000001
2015-09-18,LYCOS,EQ,26.0,26.7,27.3,26.4,27.3,27.3,27.09,922705,2499364645000.0,1542,513158,0.5561
2015-09-21,LYCOS,EQ,27.3,28.3,28.65,25.95,26.15,26.05,27.15,1591288,4320079770000.0005,4498,1070829,0.6729
2015-09-22,LYCOS,EQ,26.05,26.0,26.0,24.75,24.75,24.75,24.99,714357,1785193085000.0002,1563,487657,0.6827
2015-09-23,LYCOS,EQ,24.75,24.9,25.95,23.6,25.75,25.8,25.28,975548,2466193295000.0,2528,523529,0.5367000000000001
2015-09-24,LYCOS,EQ,25.8,25.75,26.6,24.8,25.15,25.1,25.44,483213,1229254610000.0,1814,291562,0.6034
2015-09-28,LYCOS,EQ,25.1,25.9,26.35,25.0,26.35,26.35,26.09,358529,935324355000.0001,1345,217375,0.6063000000000001
2015-09-29,LYCOS,EQ,26.35,26.3,27.65,25.15,27.65,27.65,27.14,379302,1029384019999.9999,1304,268066,0.7067
2015-09-30,LYCOS,EQ,27.65,28.25,28.95,27.15,27.6,27.5,27.8,602715,1675248500000.0,1564,411251,0.6823
2015-10-01,LYCOS,EQ,27.5,27.55,28.1,26.6,27.25,27.05,27.18,297390,808290705000.0,814,193181,0.6496
2015-10-05,LYCOS,EQ,27.05,27.8,27.8,26.35,26.75,26.55,26.74,317700,849504275000.0,1265,242658,0.7637999999999999
2015-10-06,LYCOS,EQ,26.55,26.95,27.0,25.3,25.7,25.65,25.87,284195,735154390000.0,781,216408,0.7615000000000001
2015-10-07,LYCOS,EQ,25.65,26.45,26.9,24.7,26.9,26.85,26.52,490461,1300788055000.0,2027,323485,0.6596
2015-10-08,LYCOS,EQ,26.85,26.9,27.5,25.7,26.25,26.2,26.29,304375,800326875000.0,1543,185903,0.6108
2015-10-09,LYCOS,EQ,26.2,26.05,27.25,25.55,26.35,26.2,26.18,260958,683139340000.0,1110,161442,0.6187
2015-10-12,LYCOS,EQ,26.2,26.5,26.8,25.25,25.9,25.7,25.95,327773,850672740000.0,847,246884,0.7532
2015-10-13,LYCOS,EQ,25.7,26.15,26.95,25.1,26.8,26.95,26.3,449421,1181982415000.0,1184,288461,0.6419
2015-10-14,LYCOS,EQ,26.95,27.2,27.8,26.55,27.0,27.0,27.17,397563,1080211740000.0,2314,281993,0.7093
2015-10-15,LYCOS,EQ,27.0,27.5,27.5,26.35,26.4,26.45,26.55,381528,1012808735000.0,1099,303273,0.7948999999999999
2015-10-16,LYCOS,EQ,26.45,26.95,26.95,26.15,26.25,26.35,26.46,218936,579209170000.0,1629,140510,0.6418
2015-10-19,LYCOS,EQ,26.35,27.4,27.4,26.05,26.15,26.25,26.44,228033,602931610000.0,940,161531,0.7084
2015-10-20,LYCOS,EQ,26.25,26.25,26.45,25.85,26.0,26.0,26.05,349024,909149105000.0001,975,299208,0.8573000000000001
2015-10-21,LYCOS,EQ,26.0,26.75,26.75,25.85,26.15,26.0,26.08,313888,818596185000.0,805,266852,0.8502
2015-10-23,LYCOS,EQ,26.0,26.05,26.7,26.0,26.35,26.25,26.24,418904,1099063335000.0,1243,330918,0.79
2015-10-26,LYCOS,EQ,26.25,26.5,27.0,26.05,26.45,26.45,26.3,459254,1207914665000.0,1523,373784,0.8139000000000001
2015-10-27,LYCOS,EQ,26.45,26.65,27.75,26.15,27.75,27.75,27.69,1495428,4141076570000.0005,1856,1103248,0.7377
2015-10-28,LYCOS,EQ,27.75,28.65,29.1,27.3,27.8,28.1,28.57,790209,2257361465000.0,3055,532179,0.6735
2015-10-29,LYCOS,EQ,28.1,28.1,28.7,27.35,28.1,28.4,28.13,268827,756119295000.0,1294,131204,0.48810000000000003
2015-10-30,LYCOS,EQ,28.4,28.5,28.9,27.7,27.85,27.8,28.2,205664,579932320000.0,912,120741,0.5871000000000001
2015-11-02,LYCOS,EQ,27.8,27.9,28.5,27.35,28.0,28.05,27.6,779108,2150586510000.0002,831,534133,0.6856
2015-11-03,LYCOS,EQ,28.05,28.65,29.45,27.9,28.15,28.35,28.69,956181,2743250010000.0,2872,594864,0.6221
2015-11-04,LYCOS,EQ,28.35,28.5,28.8,27.95,28.25,28.0,28.16,260552,733804745000.0,710,202447,0.777
2015-11-05,LYCOS,EQ,28.0,27.95,28.9,27.95,28.25,28.3,28.23,204412,577049755000.0,686,121550,0.5946
2015-11-06,LYCOS,EQ,28.3,28.55,29.3,28.35,28.9,28.8,28.82,294611,848979715000.0,1731,202208,0.6864
2015-11-09,LYCOS,EQ,28.8,28.0,28.7,27.55,28.0,28.1,28.09,477591,1341728160000.0,1101,392883,0.8226000000000001
2015-11-10,LYCOS,EQ,28.1,28.0,28.4,26.9,27.5,27.05,27.89,216205,602921080000.0,688,170549,0.7888
2015-11-11,LYCOS,EQ,27.05,28.25,28.25,27.45,27.95,27.65,27.68,129284,357819550000.0,357,95322,0.7373000000000001
2015-11-13,LYCOS,EQ,27.65,28.3,28.8,27.6,28.25,28.45,28.23,376117,1061867105000.0001,1054,282831,0.752
