Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BEARDSELL,EQ,55.7,58.45,58.5,53.0,58.0,57.55,57.33,791,4534700000.0,,753,0.9520000000000001
2010-10-06,BEARDSELL,EQ,57.55,55.5,55.5,54.7,54.7,54.7,54.92,452,2482500000.0,,452,1.0
2010-10-07,BEARDSELL,EQ,54.7,56.9,56.9,55.0,55.0,55.0,56.46,13,73400000.0,,13,1.0
2010-10-08,BEARDSELL,EQ,55.0,57.0,57.0,52.35,55.0,55.0,56.12,1789,10039435000.0,,1000,0.559
2010-10-11,BEARDSELL,EQ,55.0,53.05,57.0,53.05,57.0,57.0,54.94,370,2032900000.0,,370,1.0
2010-10-13,BEARDSELL,EQ,57.0,54.5,58.45,54.5,58.45,58.45,56.95,160,911250000.0,,110,0.6875
2010-10-14,BEARDSELL,EQ,58.45,58.45,61.35,55.55,59.85,60.0,58.55,172,1006975000.0,,157,0.9128000000000001
2010-10-15,BEARDSELL,EQ,60.0,57.05,60.0,57.0,60.0,60.0,57.17,185,1057625000.0,,185,1.0
2010-10-18,BEARDSELL,EQ,60.0,60.5,60.5,57.0,60.5,60.5,57.07,510,2910500000.0,,510,1.0
2010-10-20,BEARDSELL,EQ,60.5,57.55,60.1,57.55,60.1,60.1,59.04,2007,11850285000.0,,7,0.0034999999999999996
2010-10-21,BEARDSELL,EQ,60.1,63.0,63.0,57.1,61.95,61.95,58.8,312,1834655000.0,,310,0.9936
2010-10-22,BEARDSELL,EQ,61.95,58.85,58.85,58.85,58.85,58.85,58.85,375,2206875000.0,,375,1.0
2010-10-25,BEARDSELL,EQ,58.85,55.95,61.65,55.95,56.05,56.05,61.59,199,1225705000.0,,197,0.9899
2010-10-26,BEARDSELL,EQ,56.05,56.0,56.0,56.0,56.0,56.0,56.0,50,280000000.0,,50,1.0
2010-10-27,BEARDSELL,EQ,56.0,53.45,53.45,53.45,53.45,53.45,53.45,100,534500000.0,,100,1.0
