Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BFUTILITIE,EQ,1090.65,1095.3,1099.9,1051.05,1056.55,1056.0,1068.24,287507,30712779220000.0,,86468,0.3008
2010-10-05,BFUTILITIE,EQ,1056.0,1060.0,1091.0,1052.3,1069.0,1065.0,1075.41,255533,27480229239999.996,,58335,0.22829999999999998
2010-10-06,BFUTILITIE,EQ,1065.0,1071.0,1079.25,1012.0,1046.0,1034.9,1053.3,245310,25838529220000.0,,80336,0.3275
2010-10-07,BFUTILITIE,EQ,1034.9,1040.0,1040.0,1004.0,1007.9,1007.95,1020.26,311406,31771630655000.0,,86235,0.27690000000000003
2010-10-08,BFUTILITIE,EQ,1007.95,1018.0,1030.0,996.1,1005.0,1007.5,1012.27,175196,17734493045000.0,,41462,0.23670000000000002
2010-10-11,BFUTILITIE,EQ,1007.5,1010.0,1038.8,975.0,1026.0,1026.0,1023.46,307947,31517161920000.0,,53907,0.1751
2010-10-12,BFUTILITIE,EQ,1026.0,1026.0,1028.0,993.95,999.9,1001.5,1005.52,190596,19164875280000.0,,59749,0.3135
2010-10-13,BFUTILITIE,EQ,1001.5,1006.35,1047.9,1006.35,1034.75,1032.85,1027.53,314842,32350958520000.0,,78208,0.2484
2010-10-14,BFUTILITIE,EQ,1032.85,1040.0,1050.0,1010.0,1013.1,1012.95,1029.39,291725,30029833989999.996,,69230,0.2373
2010-10-15,BFUTILITIE,EQ,1012.95,1022.0,1022.25,980.0,987.0,987.15,1000.01,173199,17320151344999.998,,62440,0.3605
2010-10-18,BFUTILITIE,EQ,987.15,990.0,1025.0,984.1,1006.0,1008.4,1006.98,235795,23744036040000.0,,59482,0.2523
2010-10-19,BFUTILITIE,EQ,1008.4,1060.0,1089.0,998.75,1000.0,1001.65,1013.79,134582,13643852155000.002,,31408,0.2334
2010-10-20,BFUTILITIE,EQ,1001.65,1001.65,1014.0,983.5,987.55,987.55,998.14,112710,11250086385000.0,,28002,0.2484
2010-10-21,BFUTILITIE,EQ,987.55,994.5,1008.5,984.1,985.35,987.85,995.95,143250,14266924985000.0,,37892,0.2645
2010-10-22,BFUTILITIE,EQ,987.85,994.75,1009.95,982.6,983.55,985.2,995.64,156917,15623336715000.0,,31133,0.1984
2010-10-25,BFUTILITIE,EQ,985.2,994.4,994.7,961.0,968.6,968.5,978.5,171227,16754644150000.0,,61742,0.36060000000000003
2010-10-26,BFUTILITIE,EQ,968.5,974.0,982.75,963.0,970.5,967.25,972.52,100794,9802412255000.0,,24666,0.2447
2010-10-27,BFUTILITIE,EQ,967.25,970.0,985.0,951.0,953.0,954.4,965.06,141431,13648876944999.998,,40170,0.284
2010-10-28,BFUTILITIE,EQ,954.4,961.9,975.0,942.55,945.0,948.15,959.16,121289,11633584125000.0,,34382,0.28350000000000003
2010-10-29,BFUTILITIE,EQ,948.15,947.8,949.7,915.25,917.0,918.95,928.38,117213,10881837110000.0,,37994,0.3241
2010-11-01,BFUTILITIE,EQ,918.95,929.4,929.7,886.25,887.8,896.8,907.82,154329,14010359910000.0,,92121,0.5969
2010-11-02,BFUTILITIE,EQ,896.8,895.9,944.8,894.0,943.0,936.8,927.06,365580,33891511430000.0,,91049,0.24910000000000002
2010-11-03,BFUTILITIE,EQ,936.8,949.8,980.0,942.0,958.0,958.55,964.11,355542,34278010505000.0,,117534,0.3306
2010-11-04,BFUTILITIE,EQ,958.55,965.0,978.0,946.1,951.1,954.4,961.41,149994,14420500755000.002,,29542,0.197
2010-11-05,BFUTILITIE,EQ,954.4,962.0,969.0,958.0,968.0,965.1,964.15,37226,3589152800000.0,,15793,0.4242
2010-11-08,BFUTILITIE,EQ,965.1,968.75,971.0,937.2,939.0,941.3,949.15,93574,8881566380000.0,,41539,0.4439
2010-11-09,BFUTILITIE,EQ,941.3,945.0,959.0,941.55,954.5,954.35,951.31,82776,7874592390000.001,,25962,0.3136
2010-11-10,BFUTILITIE,EQ,954.35,958.0,1033.7,950.1,1014.0,1017.5,1007.52,751438,75709010690000.0,,203825,0.2712
2010-11-11,BFUTILITIE,EQ,1017.5,1019.0,1054.8,995.0,1013.45,1010.2,1030.27,500419,51556688580000.0,,130903,0.2616
2010-11-12,BFUTILITIE,EQ,1010.2,1000.0,1010.85,960.0,963.05,963.8,978.77,192379,18829539100000.0,,59060,0.307
2010-11-15,BFUTILITIE,EQ,963.8,971.8,1022.0,957.0,990.2,984.6,988.52,236771,23405189240000.0,,46821,0.1977
2010-11-16,BFUTILITIE,EQ,984.6,989.0,1032.25,951.0,969.0,970.4,994.52,503872,50111296230000.0,,148624,0.295
2010-11-18,BFUTILITIE,EQ,970.4,977.7,999.0,929.0,947.75,947.0,955.85,203936,19493196985000.0,,51126,0.25070000000000003
2010-11-19,BFUTILITIE,EQ,947.0,950.0,959.6,901.0,904.8,906.85,926.48,178244,16513867155000.002,,55694,0.3125
2010-11-22,BFUTILITIE,EQ,906.85,915.0,930.75,901.0,909.8,908.5,912.44,141201,12883792115000.0,,47456,0.3361
2010-11-23,BFUTILITIE,EQ,908.5,908.0,922.35,851.0,894.0,889.55,893.18,207720,18553142955000.0,,45394,0.21850000000000003
2010-11-24,BFUTILITIE,EQ,889.55,898.15,905.5,863.5,867.1,867.6,887.74,134900,11975598180000.0,,38991,0.289
2010-11-25,BFUTILITIE,EQ,867.6,874.8,884.0,835.0,852.5,844.6,856.06,102891,8808049040000.0,,27927,0.27140000000000003
2010-11-26,BFUTILITIE,EQ,844.6,842.0,856.4,685.0,761.7,759.3,773.22,271956,21028108805000.0,,76006,0.2795
2010-11-29,BFUTILITIE,EQ,759.3,766.0,786.0,720.0,729.9,730.4,739.78,157151,11625715100000.0,,53683,0.34159999999999996
2010-11-30,BFUTILITIE,EQ,730.4,740.0,773.0,700.2,731.55,730.9,737.56,216219,15947480980000.002,,43285,0.2002
2010-12-01,BFUTILITIE,EQ,730.9,732.0,798.05,730.0,790.0,789.15,775.77,287495,22302898680000.0,,70651,0.2457
2010-12-02,BFUTILITIE,EQ,789.15,796.0,829.0,796.0,810.0,809.05,813.58,231428,18828471825000.0,,65601,0.28350000000000003
2010-12-03,BFUTILITIE,EQ,809.05,816.0,816.0,766.0,777.0,776.55,786.13,163753,12873090960000.0,,34387,0.21
2010-12-06,BFUTILITIE,EQ,776.55,792.55,799.85,768.05,779.9,778.75,784.5,104303,8182588565000.001,,18942,0.1816
2010-12-07,BFUTILITIE,EQ,778.75,782.0,782.0,751.0,772.1,770.45,766.25,110323,8453483730000.0,,16047,0.14550000000000002
2010-12-08,BFUTILITIE,EQ,770.45,765.0,771.8,740.0,742.0,743.5,755.51,106521,8047753209999.999,,21729,0.204
2010-12-09,BFUTILITIE,EQ,743.5,745.0,747.9,678.65,689.75,689.2,707.94,142906,10116908340000.0,,53888,0.3771
2010-12-10,BFUTILITIE,EQ,689.2,689.0,713.65,645.05,680.15,686.2,682.97,189596,12948773935000.0,,58011,0.306
2010-12-13,BFUTILITIE,EQ,686.2,690.0,714.8,687.35,705.8,705.25,702.14,155348,10907532455000.0,,46747,0.3009
2010-12-14,BFUTILITIE,EQ,705.25,711.0,729.5,709.15,717.0,718.7,719.47,106355,7651907920000.0,,24408,0.2295
2010-12-15,BFUTILITIE,EQ,718.7,723.05,723.05,700.0,714.0,712.35,709.99,107671,7644483259999.999,,29173,0.27090000000000003
2010-12-16,BFUTILITIE,EQ,712.35,700.0,723.95,682.1,701.5,701.4,701.98,126338,8868683140000.0,,39462,0.3124
2010-12-20,BFUTILITIE,EQ,701.4,702.0,719.0,684.0,707.85,706.25,706.07,100774,7115303159999.999,,14992,0.14880000000000002
2010-12-21,BFUTILITIE,EQ,706.25,709.25,734.0,709.25,727.0,724.85,724.0,117983,8541986084999.999,,29155,0.24710000000000001
2010-12-22,BFUTILITIE,EQ,724.85,725.0,734.4,705.5,716.0,716.15,719.7,65525,4715811135000.0,,12437,0.1898
2010-12-23,BFUTILITIE,EQ,716.15,723.0,725.0,705.35,708.0,707.9,711.85,50320,3582025770000.0005,,12195,0.24230000000000002
2010-12-24,BFUTILITIE,EQ,707.9,712.6,849.5,708.0,849.5,844.4,796.79,3433509,273577227569999.97,,175933,0.0512
2010-12-27,BFUTILITIE,EQ,844.4,873.0,987.8,855.0,908.5,908.6,924.93,8466716,783112287215000.0,,265190,0.0313
2010-12-28,BFUTILITIE,EQ,908.6,910.2,944.0,894.0,921.95,911.0,920.89,3299507,303846958640000.0,,108459,0.0329
2010-12-29,BFUTILITIE,EQ,911.0,924.8,933.95,901.25,919.25,918.1,916.12,1381139,126529475840000.02,,60811,0.044000000000000004
2010-12-30,BFUTILITIE,EQ,918.1,924.0,924.0,895.1,901.8,904.35,905.81,556800,50435674155000.0,,45004,0.0808
2010-12-31,BFUTILITIE,EQ,904.35,850.0,946.0,850.0,918.1,920.85,928.57,1552694,144179227930000.0,,112032,0.0722
2011-01-03,BFUTILITIE,EQ,920.85,927.4,934.9,909.0,910.5,912.6,918.74,485965,44647319235000.0,,72549,0.1493
2011-01-04,BFUTILITIE,EQ,912.6,918.2,943.5,911.05,915.1,917.0,926.21,774135,71701298995000.0,,68153,0.08800000000000001
2011-01-05,BFUTILITIE,EQ,917.0,923.0,934.0,907.0,915.15,913.3,919.56,500595,46032763630000.0,,47346,0.09460000000000002
2011-01-06,BFUTILITIE,EQ,913.3,923.6,926.8,896.6,898.0,900.95,909.03,394742,35883113765000.0,,41945,0.1063
2011-01-07,BFUTILITIE,EQ,900.95,915.0,915.0,830.0,834.9,841.5,867.7,540083,46862829395000.0,,76506,0.1417
2011-01-10,BFUTILITIE,EQ,841.5,842.0,847.65,793.3,795.95,797.3,810.98,514211,41701738255000.0,,49583,0.09640000000000001
2011-01-11,BFUTILITIE,EQ,797.3,802.0,812.95,762.2,779.5,771.5,787.96,502692,39610284825000.0,,41851,0.0833
2011-01-12,BFUTILITIE,EQ,771.5,790.0,799.0,758.9,781.95,780.95,775.11,381742,29589308305000.0,,40107,0.1051
2011-01-13,BFUTILITIE,EQ,780.95,792.35,833.6,772.2,795.0,793.8,807.35,1041224,84063553395000.0,,87336,0.0839
2011-01-14,BFUTILITIE,EQ,793.8,812.0,812.0,766.05,770.0,774.3,786.64,538856,42388655720000.0,,46179,0.0857
2011-01-17,BFUTILITIE,EQ,774.3,778.4,778.4,745.0,746.0,748.15,756.19,222812,16848829644999.998,,24451,0.1097
2011-01-18,BFUTILITIE,EQ,748.15,751.0,767.35,742.0,748.55,749.55,754.88,207519,15665195725000.0,,28593,0.1378
2011-01-19,BFUTILITIE,EQ,749.55,758.75,890.0,751.35,753.2,753.8,764.03,299283,22866040630000.0,,31123,0.10400000000000001
2011-01-20,BFUTILITIE,EQ,753.8,747.0,749.95,735.2,741.0,740.75,742.15,169763,12598975405000.0,,19454,0.11460000000000001
2011-01-21,BFUTILITIE,EQ,740.75,725.3,755.9,725.3,731.95,734.45,743.52,154902,11517244845000.0,,22971,0.14830000000000002
2011-01-24,BFUTILITIE,EQ,734.45,743.5,749.0,731.25,732.55,733.65,738.18,98604,7278735025000.0,,19227,0.195
2011-01-25,BFUTILITIE,EQ,733.65,739.75,794.5,736.6,771.0,769.95,776.53,1364282,105940683340000.0,,95607,0.0701
2011-01-27,BFUTILITIE,EQ,769.95,777.4,792.2,755.55,758.55,758.7,777.24,439085,34127565260000.004,,36400,0.08289999999999999
2011-01-28,BFUTILITIE,EQ,758.7,760.0,760.0,695.5,718.0,711.65,716.84,340458,24405351695000.0,,67637,0.19870000000000002
2011-01-31,BFUTILITIE,EQ,711.65,700.0,721.8,680.2,716.5,713.8,702.47,373154,26213063345000.0,,37738,0.1011
2011-02-01,BFUTILITIE,EQ,713.8,716.1,743.0,698.0,700.0,702.45,720.32,383286,27608812255000.0,,41071,0.1072
2011-02-02,BFUTILITIE,EQ,702.45,715.9,721.85,700.0,702.0,704.05,711.38,195443,13903373244999.998,,26124,0.13369999999999999
2011-02-03,BFUTILITIE,EQ,704.05,709.4,844.9,705.1,844.9,844.9,788.11,1385463,109190325845000.0,,261842,0.189
2011-02-04,BFUTILITIE,EQ,844.9,890.0,912.0,823.0,828.25,841.35,861.91,4677465,403157067250000.0,,306892,0.06559999999999999
2011-02-07,BFUTILITIE,EQ,841.35,850.0,850.0,792.65,817.8,810.7,815.18,1955689,159424405870000.0,,89891,0.046
2011-02-08,BFUTILITIE,EQ,810.7,750.0,827.0,750.0,760.5,766.5,788.85,1005382,79309237330000.0,,73093,0.0727
