Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-04-20,BHARATWIRE,EQ,44.85,45.9,45.9,44.0,45.0,45.1,45.17,114959,519268630000.0,314,95904,0.8342
2016-04-21,BHARATWIRE,EQ,45.1,45.8,45.8,43.85,44.25,44.25,44.64,58009,258930804999.99997,166,46747,0.8059000000000001
2016-04-22,BHARATWIRE,EQ,44.25,44.25,44.3,43.05,43.05,43.2,43.57,14051,61225644999.99999,79,9667,0.688
2016-04-25,BHARATWIRE,EQ,43.2,44.3,44.3,42.0,42.7,42.15,42.55,11632,49498135000.0,117,6816,0.5860000000000001
2016-04-26,BHARATWIRE,EQ,42.15,42.25,43.3,41.1,41.5,41.6,41.78,14497,60562694999.99999,101,10290,0.7098000000000001
2016-04-27,BHARATWIRE,EQ,41.6,42.8,43.0,41.05,41.05,41.5,42.01,18802,78980935000.0,108,14075,0.7486
2016-04-28,BHARATWIRE,EQ,41.5,41.1,42.1,39.7,41.0,40.5,40.67,74586,303308815000.0,367,58686,0.7868
2016-04-29,BHARATWIRE,EQ,40.5,41.5,41.8,40.0,41.0,40.65,40.65,32275,131210170000.0,147,27340,0.8471
2016-05-02,BHARATWIRE,EQ,40.65,41.5,42.1,39.9,41.0,41.15,41.02,57925,237626070000.00003,198,51933,0.8966
2016-05-03,BHARATWIRE,EQ,41.15,41.0,42.0,40.2,41.25,40.55,40.96,11123,45561240000.0,115,8533,0.7671
2016-05-04,BHARATWIRE,EQ,40.55,40.55,41.3,39.75,40.9,40.5,40.6,9723,39475820000.0,53,9285,0.9550000000000001
2016-05-05,BHARATWIRE,EQ,40.5,42.0,42.0,40.0,40.5,40.6,40.48,5200,21048965000.0,73,4579,0.8806
2016-05-06,BHARATWIRE,EQ,40.6,39.5,41.7,39.5,40.7,40.7,40.17,6271,25189570000.0,60,5663,0.903
2016-05-09,BHARATWIRE,EQ,40.7,41.4,41.5,40.1,40.2,40.35,40.52,5933,24038335000.0,67,4242,0.715
2016-05-10,BHARATWIRE,EQ,40.35,40.1,46.8,40.1,45.15,45.4,44.9,218751,982148540000.0,798,157565,0.7203
2016-05-11,BHARATWIRE,EQ,45.4,44.45,47.0,43.05,45.15,45.7,46.13,394923,1821631150000.0,1727,303553,0.7686000000000001
2016-05-12,BHARATWIRE,EQ,45.7,45.9,46.0,43.5,44.5,44.4,44.87,12549,56306465000.0,78,8407,0.6698999999999999
2016-05-13,BHARATWIRE,EQ,44.4,44.8,44.8,43.55,43.6,43.95,44.17,12900,56973094999.99999,81,8589,0.6658
2016-05-16,BHARATWIRE,EQ,43.95,44.0,44.75,42.3,43.7,43.7,43.62,7056,30775290000.000004,49,6444,0.9133
2016-05-17,BHARATWIRE,EQ,43.7,43.5,43.95,43.0,43.2,43.2,43.31,5958,25803780000.0,46,4667,0.7833
2016-05-18,BHARATWIRE,EQ,43.2,43.2,43.2,42.6,42.7,42.8,42.87,2762,11839330000.0,23,1990,0.7205
2016-05-19,BHARATWIRE,EQ,42.8,42.4,43.5,41.8,41.8,42.05,42.6,8545,36403170000.0,85,5528,0.6469
2016-05-20,BHARATWIRE,EQ,42.05,42.0,42.45,39.75,41.45,40.3,40.46,30607,123831400000.0,170,23542,0.7692
2016-05-23,BHARATWIRE,EQ,40.3,42.3,42.3,40.15,40.5,40.6,40.65,5229,21253680000.0,40,5129,0.9809000000000001
2016-05-24,BHARATWIRE,EQ,40.6,40.25,41.35,40.05,40.75,40.75,40.57,3964,16080860000.0,25,3420,0.8628
2016-05-25,BHARATWIRE,EQ,40.75,40.0,41.8,40.0,41.25,41.0,41.07,3024,12419670000.0,36,2138,0.7070000000000001
2016-05-26,BHARATWIRE,EQ,41.0,41.5,42.25,40.0,40.8,40.55,40.98,4805,19690695000.0,65,1774,0.36920000000000003
2016-05-27,BHARATWIRE,EQ,40.55,42.0,43.2,41.5,42.85,42.4,42.3,23255,98374470000.0,138,14147,0.6083
2016-05-30,BHARATWIRE,EQ,42.4,43.0,43.55,40.2,41.0,40.7,41.25,18934,78097645000.0,122,10995,0.5807
2016-05-31,BHARATWIRE,EQ,40.7,41.0,41.0,38.25,40.4,40.4,40.2,25050,100700345000.0,196,13803,0.551
2016-06-01,BHARATWIRE,EQ,40.4,41.0,41.0,40.0,40.4,40.25,40.3,5031,20276890000.0,52,3668,0.7291
2016-06-02,BHARATWIRE,EQ,40.25,40.1,42.9,40.0,42.45,41.9,42.09,124102,522406465000.00006,1331,27991,0.2255
2016-06-03,BHARATWIRE,EQ,41.9,42.15,42.3,40.25,41.55,41.4,41.71,45603,190219520000.0,160,39709,0.8708
2016-06-06,BHARATWIRE,EQ,41.4,41.95,44.0,40.5,41.7,42.0,42.68,59001,251837840000.0,189,44458,0.7535
2016-06-07,BHARATWIRE,EQ,42.0,42.0,43.0,41.1,42.75,42.3,42.35,36359,153962350000.0,118,24592,0.6764
2016-06-08,BHARATWIRE,EQ,42.3,42.9,45.7,42.9,44.2,44.0,44.67,826180,3690825725000.0,801,767826,0.9294
2016-06-09,BHARATWIRE,EQ,44.0,45.45,45.95,44.0,44.5,44.85,45.08,719534,3243382145000.0,321,701573,0.975
2016-06-10,BHARATWIRE,EQ,44.85,45.5,45.5,44.1,45.15,44.75,44.8,50912,228082104999.99997,195,39356,0.773
2016-06-13,BHARATWIRE,EQ,44.75,44.75,44.75,43.35,44.0,43.6,43.6,108929,474963005000.0,66,107279,0.9849
2016-06-14,BHARATWIRE,EQ,43.6,44.85,45.0,43.1,43.5,43.5,43.81,8061,35312435000.0,70,6372,0.7905
2016-06-15,BHARATWIRE,EQ,43.5,44.0,44.6,43.5,43.6,43.75,44.03,13514,59497150000.0,109,10496,0.7767000000000001
2016-06-16,BHARATWIRE,EQ,43.75,43.85,44.85,43.55,44.4,43.75,43.91,9655,42394075000.0,80,6535,0.6769
2016-06-17,BHARATWIRE,EQ,43.75,44.0,44.7,43.45,43.45,43.45,43.84,5616,24623135000.0,65,5296,0.943
2016-06-20,BHARATWIRE,EQ,43.45,44.4,44.4,42.5,42.5,42.75,43.05,12080,52003695000.0,62,10224,0.8464
2016-06-21,BHARATWIRE,EQ,42.75,42.5,43.25,42.1,42.5,42.6,42.52,29555,125656470000.0,69,28799,0.9744
2016-06-22,BHARATWIRE,EQ,42.6,42.0,43.5,41.0,41.05,41.4,42.42,48996,207842245000.0,119,45303,0.9246
2016-06-23,BHARATWIRE,EQ,41.4,41.8,43.1,41.5,41.7,41.85,42.72,38063,162593390000.0,193,32811,0.8620000000000001
2016-06-24,BHARATWIRE,EQ,41.85,40.0,41.8,40.0,41.5,41.2,40.9,13713,56085894999.99999,67,10505,0.7661
2016-06-27,BHARATWIRE,EQ,41.2,42.6,43.0,41.4,42.9,42.5,42.78,36191,154821975000.0,122,29491,0.8149
2016-06-28,BHARATWIRE,EQ,42.5,42.5,43.75,42.2,42.75,42.95,43.41,35746,155187745000.0,53,31826,0.8903
2016-06-29,BHARATWIRE,EQ,42.95,43.2,43.85,42.35,43.0,43.05,43.09,10870,46839410000.0,85,7917,0.7283
