Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-09-20,BIGBLOC,EQ,36.0,37.5,43.2,36.0,43.2,43.2,42.3,95754,405056855000.0,650,33711,0.3521
2016-09-21,BIGBLOC,EQ,43.2,44.5,51.5,42.0,46.2,48.0,49.3,199006,981039965000.0,1980,58276,0.2928
2016-09-22,BIGBLOC,EQ,48.0,46.0,48.5,45.0,45.0,45.45,46.18,60863,281035460000.0,650,21018,0.3453
2016-09-23,BIGBLOC,EQ,45.45,45.05,46.75,42.5,44.5,44.7,45.1,25766,116206580000.0,164,14767,0.5731
2016-09-26,BIGBLOC,EQ,44.7,43.65,53.6,43.65,53.1,53.5,52.61,290588,1528921045000.0,1712,124329,0.4279
2016-09-27,BIGBLOC,EQ,53.5,53.25,53.45,48.15,48.15,48.2,50.02,154096,770825735000.0,2010,71566,0.4644
2016-09-28,BIGBLOC,EQ,48.2,48.0,49.85,46.0,46.05,46.1,46.77,44853,209782290000.0,217,27519,0.6135
2016-09-29,BIGBLOC,EQ,46.1,46.05,46.95,41.5,41.75,42.6,44.07,46679,205735785000.0,197,23545,0.5044
2016-09-30,BIGBLOC,EQ,42.6,41.75,46.75,39.65,45.1,45.7,42.69,66172,282493985000.0,335,32687,0.494
2016-10-03,BIGBLOC,EQ,45.7,45.5,48.8,43.65,45.75,46.05,46.3,29196,135174260000.00002,294,11097,0.3801
2016-10-04,BIGBLOC,EQ,46.05,46.5,47.0,45.5,46.5,46.05,46.18,33968,156868845000.0,238,9719,0.2861
2016-10-05,BIGBLOC,EQ,46.05,46.0,50.5,46.0,49.8,50.2,49.08,59778,293361800000.0,333,26067,0.4361
2016-10-06,BIGBLOC,EQ,50.2,50.7,51.9,50.0,50.4,50.3,50.76,51341,260593879999.99997,304,21144,0.4118
2016-10-07,BIGBLOC,EQ,50.3,50.5,54.1,50.0,53.0,52.1,51.34,55895,286950575000.0,341,27255,0.4876
2016-10-10,BIGBLOC,EQ,52.1,53.0,56.5,53.0,55.0,55.0,54.4,51064,277794810000.0,306,20802,0.40740000000000004
2016-10-13,BIGBLOC,EQ,55.0,55.6,60.0,55.0,59.95,58.85,57.41,77383,444275690000.00006,501,37892,0.4897
2016-10-14,BIGBLOC,EQ,58.85,60.15,61.75,60.0,61.6,61.15,61.26,66040,404583350000.0,341,34785,0.5267000000000001
2016-10-17,BIGBLOC,EQ,61.15,62.0,64.2,60.6,64.0,64.15,63.3,102864,651094815000.0,531,62429,0.6069
2016-10-18,BIGBLOC,EQ,64.15,64.5,66.95,62.0,66.1,66.4,65.14,97644,636021805000.0,470,64119,0.6567000000000001
2016-10-19,BIGBLOC,EQ,66.4,66.5,69.0,65.5,68.5,68.7,67.72,104422,707133560000.0,563,71786,0.6875
