Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BIRLACORPN,EQ,431.9,447.0,447.0,423.8,425.0,429.65,433.31,19596,849107044999.9999,,10073,0.514
2010-10-05,BIRLACORPN,EQ,429.65,429.65,435.75,423.35,430.0,430.7,430.29,15531,668278290000.0,,9593,0.6177
2010-10-06,BIRLACORPN,EQ,430.7,431.3,440.0,425.1,427.0,427.65,429.85,13369,574672310000.0,,10027,0.75
2010-10-07,BIRLACORPN,EQ,427.65,426.4,442.0,416.2,417.0,419.6,434.47,33921,1473754450000.0,,16036,0.47270000000000006
2010-10-08,BIRLACORPN,EQ,419.6,418.3,429.8,417.0,422.0,422.1,420.94,6657,280217045000.0,,4012,0.6027
2010-10-11,BIRLACORPN,EQ,422.1,423.4,430.0,415.5,424.0,425.85,422.9,22060,932924735000.0,,16133,0.7313
2010-10-12,BIRLACORPN,EQ,425.85,425.0,427.0,419.1,425.85,425.55,423.31,9557,404558135000.0,,7283,0.7621
2010-10-13,BIRLACORPN,EQ,425.55,424.3,429.85,421.3,428.85,427.9,426.71,6076,259268920000.00003,,3963,0.6522
2010-10-14,BIRLACORPN,EQ,427.9,426.6,433.0,422.5,430.0,429.05,425.99,16542,704677255000.0,,13885,0.8394
2010-10-15,BIRLACORPN,EQ,429.05,427.8,430.0,422.0,422.95,424.0,424.25,4360,184974620000.0,,3608,0.8275
2010-10-18,BIRLACORPN,EQ,424.0,425.3,430.8,412.0,414.25,415.8,416.2,2334,97140335000.0,,1653,0.7081999999999999
2010-10-19,BIRLACORPN,EQ,415.8,417.0,419.95,411.5,411.5,412.2,415.08,2115,87788410000.0,,1538,0.7272
2010-10-20,BIRLACORPN,EQ,412.2,411.5,414.65,405.05,409.75,409.75,409.77,30159,1235820885000.0,,26743,0.8867
2010-10-21,BIRLACORPN,EQ,409.75,408.5,418.95,394.05,416.95,409.8,404.58,14640,592298230000.0,,7570,0.5171
2010-10-22,BIRLACORPN,EQ,409.8,411.0,415.0,406.05,411.5,410.05,409.63,8384,343433880000.0,,6897,0.8226000000000001
2010-10-25,BIRLACORPN,EQ,410.05,408.8,413.0,401.2,405.0,407.6,408.1,14267,582234095000.0,,10636,0.7454999999999999
2010-10-26,BIRLACORPN,EQ,407.6,408.05,409.9,388.0,406.0,402.8,399.19,36742,1466697300000.0,,18030,0.4907
2010-10-27,BIRLACORPN,EQ,402.8,399.5,405.0,386.0,387.0,392.3,394.16,28664,1129832280000.0,,17111,0.5970000000000001
2010-10-28,BIRLACORPN,EQ,392.3,392.7,392.9,376.0,390.0,385.3,383.83,24947,957550060000.0,,15111,0.6057
2010-10-29,BIRLACORPN,EQ,385.3,376.1,400.0,376.1,399.45,394.1,391.13,30977,1211596980000.0,,19758,0.6378
2010-11-01,BIRLACORPN,EQ,394.1,407.95,431.0,385.0,387.0,390.5,391.7,19006,744472145000.0,,10902,0.5736
2010-11-02,BIRLACORPN,EQ,390.5,391.7,415.0,391.5,407.0,405.75,401.98,26963,1083870415000.0,,19339,0.7172
2010-11-03,BIRLACORPN,EQ,405.75,406.75,417.0,406.75,415.0,412.2,411.74,8689,357762835000.0,,6333,0.7289
2010-11-04,BIRLACORPN,EQ,412.2,412.25,414.0,400.05,404.2,408.15,405.1,22033,892547785000.0,,15861,0.7199
2010-11-05,BIRLACORPN,EQ,408.15,405.0,423.95,405.0,420.0,418.85,418.02,5032,210348960000.0,,3974,0.7897
2010-11-08,BIRLACORPN,EQ,418.85,418.0,434.8,410.0,430.0,428.45,423.11,44981,1903200660000.0002,,32330,0.7187
2010-11-09,BIRLACORPN,EQ,428.45,427.2,430.0,416.2,424.7,424.9,426.54,130135,5550827585000.0,,122719,0.943
2010-11-10,BIRLACORPN,EQ,424.9,420.0,422.7,411.2,411.2,415.65,416.06,19296,802823210000.0,,13389,0.6939000000000001
2010-11-11,BIRLACORPN,EQ,415.65,422.0,422.0,407.3,411.2,412.35,415.44,11144,462965390000.00006,,8617,0.7732
2010-11-12,BIRLACORPN,EQ,412.35,406.2,415.0,390.0,394.0,395.5,404.67,318265,12879353260000.0,,311796,0.9797
2010-11-15,BIRLACORPN,EQ,395.5,396.0,396.0,385.3,388.05,390.7,391.01,5385,210561100000.0,,2828,0.5252
2010-11-16,BIRLACORPN,EQ,390.7,391.9,401.2,360.5,390.0,388.25,382.15,152740,5836891340000.0,,131425,0.8604
2010-11-18,BIRLACORPN,EQ,388.25,389.4,404.8,381.1,396.5,399.1,389.97,13702,534337095000.0,,10091,0.7365
2010-11-19,BIRLACORPN,EQ,399.1,400.6,409.5,388.0,397.2,401.25,399.6,5572,222657904999.99997,,3427,0.615
2010-11-22,BIRLACORPN,EQ,401.25,390.1,397.8,382.2,395.3,395.1,390.15,132797,5181106390000.0,,117467,0.8845999999999999
2010-11-23,BIRLACORPN,EQ,395.1,390.0,395.95,385.2,392.0,391.65,390.59,6324,247006945000.00003,,4081,0.6453
2010-11-24,BIRLACORPN,EQ,391.65,403.0,403.0,387.0,389.05,389.2,390.58,4879,190562795000.0,,2690,0.5513
2010-11-25,BIRLACORPN,EQ,389.2,389.0,405.0,383.0,402.0,396.45,389.16,367850,14315402340000.0,,365393,0.9933
2010-11-26,BIRLACORPN,EQ,396.45,408.9,429.95,370.0,372.5,376.25,381.77,277711,10602259245000.0,,266605,0.96
2010-11-29,BIRLACORPN,EQ,376.25,383.5,383.5,365.1,381.95,379.95,376.1,6494,244238315000.0,,3719,0.5727000000000001
2010-11-30,BIRLACORPN,EQ,379.95,373.55,382.0,363.0,365.15,369.9,371.32,26592,987421369999.9999,,17264,0.6492
2010-12-01,BIRLACORPN,EQ,369.9,370.0,376.0,370.0,370.0,371.45,372.5,9696,361178305000.0,,4643,0.4789
2010-12-02,BIRLACORPN,EQ,371.45,383.75,383.75,366.0,370.4,370.75,372.5,7417,276285290000.0,,4324,0.583
2010-12-03,BIRLACORPN,EQ,370.75,371.0,373.95,361.0,361.0,361.3,370.43,29064,1076627555000.0001,,26075,0.8972
2010-12-06,BIRLACORPN,EQ,361.3,362.1,365.75,344.0,344.2,349.75,354.17,48365,1712920039999.9998,,41146,0.8506999999999999
2010-12-07,BIRLACORPN,EQ,349.75,356.0,356.0,342.0,346.0,345.0,344.93,22201,765789235000.0,,18395,0.8286
2010-12-08,BIRLACORPN,EQ,345.0,345.0,356.0,335.0,335.0,339.1,343.97,5676,195237545000.0,,4133,0.7282
2010-12-09,BIRLACORPN,EQ,339.1,349.95,349.95,314.0,324.0,323.35,328.79,9716,319449465000.0,,6520,0.6711
2010-12-10,BIRLACORPN,EQ,323.35,334.3,345.4,300.05,342.0,343.1,330.6,54515,1802276410000.0002,,33932,0.6224000000000001
2010-12-13,BIRLACORPN,EQ,343.1,346.0,357.0,327.0,327.0,333.4,338.24,13852,468534540000.00006,,10683,0.7712000000000001
2010-12-14,BIRLACORPN,EQ,333.4,330.05,339.0,328.05,338.0,337.0,334.0,13098,437471680000.0,,9309,0.7107
2010-12-15,BIRLACORPN,EQ,337.0,334.0,338.0,331.1,337.5,334.8,335.18,2174,72867125000.0,,1782,0.8197
2010-12-16,BIRLACORPN,EQ,334.8,331.15,346.0,331.0,334.0,334.5,336.75,3755,126448885000.00002,,2665,0.7097
2010-12-20,BIRLACORPN,EQ,334.5,337.0,346.0,335.0,335.05,335.45,336.21,10779,362401840000.0,,7867,0.7298
