Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BSELINFRA,EQ,10.25,10.4,10.45,9.8,9.95,9.95,10.04,575656,578171230000.0,,261421,0.45409999999999995
2010-10-05,BSELINFRA,EQ,9.95,10.0,10.4,9.9,10.05,10.0,10.09,364090,367347440000.0,,207709,0.5705
2010-10-06,BSELINFRA,EQ,10.0,10.05,10.8,9.95,10.3,10.3,10.36,1049024,1087112225000.0,,320062,0.30510000000000004
2010-10-07,BSELINFRA,EQ,10.3,10.35,10.65,10.1,10.2,10.15,10.4,553836,575853155000.0,,238911,0.4314
2010-10-08,BSELINFRA,EQ,10.15,10.2,10.35,9.95,9.95,10.0,10.07,296932,299131015000.0,,154344,0.5197999999999999
2010-10-11,BSELINFRA,EQ,10.0,9.85,10.25,9.85,10.0,9.95,10.06,194081,195225455000.0,,103426,0.5329
2010-10-12,BSELINFRA,EQ,9.95,10.0,10.0,9.7,9.9,9.9,9.86,257765,254075370000.00003,,159472,0.6187
2010-10-13,BSELINFRA,EQ,9.9,9.6,10.05,9.6,9.95,9.9,9.95,244015,242787290000.0,,154916,0.6349
2010-10-14,BSELINFRA,EQ,9.9,10.0,10.0,9.65,9.7,9.7,9.83,219141,215384475000.0,,125908,0.5746
2010-10-15,BSELINFRA,EQ,9.7,9.6,9.9,9.55,9.6,9.6,9.73,184589,179543415000.0,,118874,0.644
2010-10-18,BSELINFRA,EQ,9.6,9.75,9.75,9.45,9.6,9.55,9.57,148622,142181040000.0,,73087,0.4918
2010-10-19,BSELINFRA,EQ,9.55,9.65,9.8,9.45,9.55,9.55,9.64,173881,167670160000.0,,87105,0.5009
2010-10-20,BSELINFRA,EQ,9.55,9.5,9.7,9.35,9.4,9.4,9.49,134562,127713750000.0,,82429,0.6126
2010-10-21,BSELINFRA,EQ,9.4,9.5,9.55,9.35,9.45,9.4,9.45,159832,151080910000.0,,78965,0.494
