Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,BSL,EQ,33.5,32.6,34.3,32.6,33.75,33.9,33.76,3221,10874190000.0,,3110,0.9655
2010-10-05,BSL,EQ,33.9,32.6,34.4,32.6,33.7,33.75,33.81,3412,11535445000.0,,2846,0.8341
2010-10-06,BSL,EQ,33.75,33.0,34.6,33.0,34.1,34.35,34.23,5996,20527215000.0,,4950,0.8256
2010-10-07,BSL,EQ,34.35,33.5,35.15,33.5,34.95,34.7,34.19,4741,16208825000.0,,1804,0.3805
2010-10-08,BSL,EQ,34.7,33.15,35.35,33.15,34.3,34.65,34.41,3494,12023435000.0,,2922,0.8362999999999999
2010-10-11,BSL,EQ,34.65,33.15,36.0,33.15,35.0,35.0,35.26,7086,24988040000.0,,5320,0.7508
2010-10-12,BSL,EQ,35.0,33.6,36.25,33.6,34.75,35.0,35.45,4699,16659260000.0,,2497,0.5314
2010-10-13,BSL,EQ,35.0,34.05,37.5,34.05,36.6,36.55,36.14,18706,67597519999.99999,,13830,0.7393000000000001
2010-10-14,BSL,EQ,36.55,34.75,37.95,34.75,36.0,36.05,36.12,6342,22910365000.0,,3974,0.6265999999999999
2010-10-15,BSL,EQ,36.05,34.75,37.45,34.75,35.3,35.25,35.63,15244,54308340000.0,,9775,0.6412000000000001
2010-10-18,BSL,EQ,35.25,35.6,36.95,35.4,36.0,36.35,36.2,6248,22616155000.0,,3527,0.5645
2010-10-19,BSL,EQ,36.35,36.85,37.8,35.1,37.2,36.85,36.86,11471,42283035000.0,,6522,0.5686
2010-10-20,BSL,EQ,36.85,34.1,38.35,34.1,37.15,37.15,37.7,15829,59674365000.0,,11632,0.7349
2010-10-21,BSL,EQ,37.15,34.75,39.0,34.75,38.0,38.55,38.04,22414,85269535000.0,,12855,0.5735
2010-10-22,BSL,EQ,38.55,37.0,38.5,37.0,37.45,37.25,37.72,11676,44045495000.0,,7020,0.6012
2010-10-25,BSL,EQ,37.25,38.0,39.0,37.9,37.9,38.0,38.16,55796,212915825000.0,,41921,0.7513
2010-10-26,BSL,EQ,38.0,38.8,38.8,35.15,38.1,38.15,38.22,28485,108855545000.0,,19578,0.6873
2010-10-27,BSL,EQ,38.15,36.05,38.5,36.05,38.0,37.55,37.95,25957,98508330000.0,,19601,0.7551000000000001
2010-10-28,BSL,EQ,37.55,38.5,38.8,37.5,37.8,37.95,38.26,17268,66066265000.0,,11127,0.6444
2010-10-29,BSL,EQ,37.95,37.1,37.7,35.5,35.5,35.9,36.44,6735,24542610000.0,,5585,0.8293
2010-11-01,BSL,EQ,35.9,34.2,36.95,34.2,34.2,34.5,35.27,6091,21484625000.0,,5336,0.876
2010-11-02,BSL,EQ,34.5,33.1,34.85,33.1,34.85,34.45,34.22,7014,24005130000.0,,5522,0.7873000000000001
2010-11-03,BSL,EQ,34.45,33.0,39.5,33.0,36.9,36.95,37.28,36165,134820314999.99998,,9775,0.27030000000000004
2010-11-04,BSL,EQ,36.95,34.25,37.5,34.25,35.65,35.9,36.17,6317,22847375000.0,,3835,0.6071
2010-11-05,BSL,EQ,35.9,34.5,37.7,34.5,36.0,35.9,35.53,878,3119950000.0,,678,0.7722
2010-11-08,BSL,EQ,35.9,34.5,37.5,34.5,35.5,35.6,35.84,4159,14907570000.000002,,2298,0.5525
2010-11-09,BSL,EQ,35.6,36.8,36.95,35.0,36.95,36.35,35.9,6002,21549780000.0,,4865,0.8106
2010-11-10,BSL,EQ,36.35,38.95,38.95,36.0,36.7,37.1,37.2,5802,21585500000.0,,3386,0.5836
2010-11-11,BSL,EQ,37.1,36.1,38.0,36.1,36.55,36.55,37.05,3764,13947325000.0,,2329,0.6188
2010-11-12,BSL,EQ,36.55,34.1,37.5,34.1,35.15,35.4,36.06,6580,23724395000.0,,3450,0.5243
2010-11-15,BSL,EQ,35.4,34.05,36.75,34.05,34.25,34.25,34.56,4877,16854235000.0,,4782,0.9805
2010-11-16,BSL,EQ,34.25,34.2,34.5,33.55,34.3,33.8,34.11,3996,13630165000.0,,3559,0.8906000000000001
2010-11-18,BSL,EQ,33.8,32.05,35.4,32.05,34.7,34.65,33.73,4021,13564685000.0,,3731,0.9279000000000001
2010-11-19,BSL,EQ,34.65,33.1,35.0,33.1,34.0,33.75,34.28,1311,4494210000.0,,914,0.6972
2010-11-22,BSL,EQ,33.75,33.1,34.65,32.3,33.3,33.3,33.62,1417,4764035000.0,,965,0.6809999999999999
2010-11-23,BSL,EQ,33.3,32.1,33.35,32.1,32.8,32.8,32.82,315,1033740000.0,,304,0.9651000000000001
2010-11-24,BSL,EQ,32.8,31.1,34.5,31.1,32.5,32.5,32.92,5162,16991025000.0,,3109,0.6023
