Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-04-15,BYKE,EQ,164.4,165.1,165.95,163.75,164.0,164.35,164.77,112707,1857060555000.0,2099,23000,0.2041
2015-04-16,BYKE,EQ,164.35,163.55,164.1,162.0,162.95,162.7,162.77,127122,2069185950000.0,1998,31531,0.24800000000000003
2015-04-17,BYKE,EQ,162.7,163.1,163.15,160.4,161.7,161.55,161.8,135205,2187614264999.9998,2067,26865,0.19870000000000002
2015-04-20,BYKE,EQ,161.55,162.0,163.3,161.05,162.15,162.05,162.17,126267,2047641130000.0,2880,29734,0.23550000000000001
2015-04-21,BYKE,EQ,162.05,161.45,162.7,160.55,161.1,161.1,161.43,137047,2212356615000.0,2641,31504,0.2299
2015-04-22,BYKE,EQ,161.1,161.85,163.85,161.0,163.8,162.95,161.95,140865,2281303100000.0,1769,32060,0.22760000000000002
2015-04-23,BYKE,EQ,162.95,163.6,163.95,162.9,162.9,162.95,163.39,115872,1893181314999.9998,3669,26317,0.22710000000000002
2015-04-24,BYKE,EQ,162.95,163.2,163.5,161.55,161.7,161.8,162.81,133031,2165933325000.0,3982,27218,0.2046
2015-04-27,BYKE,EQ,161.8,161.9,162.5,159.05,159.8,159.6,160.5,122538,1966680495000.0,2075,31629,0.2581
2015-04-28,BYKE,EQ,159.6,159.5,162.4,159.0,162.25,162.15,160.76,124029,1993934130000.0,2469,28395,0.22890000000000002
2015-04-29,BYKE,EQ,162.15,162.1,162.45,160.8,161.7,161.7,161.67,124302,2009563025000.0,3390,29293,0.23570000000000002
2015-04-30,BYKE,EQ,161.7,161.4,161.7,160.05,161.05,161.0,160.9,127451,2050689355000.0,3495,28257,0.2217
2015-05-04,BYKE,EQ,161.0,162.0,166.15,161.9,165.15,165.1,164.56,129027,2123247600000.0,2329,29087,0.2254
2015-05-05,BYKE,EQ,165.1,164.85,165.15,161.9,163.05,162.7,163.45,136896,2237548960000.0,2887,31650,0.23120000000000002
2015-05-06,BYKE,EQ,162.7,162.1,162.55,157.35,157.4,157.7,159.49,125661,2004113264999.9998,2875,27600,0.21960000000000002
2015-05-07,BYKE,EQ,157.7,157.45,160.3,156.95,157.65,157.55,158.45,149681,2371711365000.0,3217,36243,0.2421
2015-05-08,BYKE,EQ,157.55,158.4,168.05,158.35,164.55,165.6,163.73,174820,2862384380000.0,3114,39646,0.2268
2015-05-11,BYKE,EQ,165.6,166.4,168.05,164.45,167.45,167.35,166.31,153819,2558099120000.0,3271,30964,0.2013
2015-05-12,BYKE,EQ,167.35,167.1,167.25,161.0,162.65,162.45,163.28,153663,2508971685000.0,3746,32761,0.2132
2015-05-13,BYKE,EQ,162.45,163.15,167.1,162.95,164.8,164.9,165.41,153076,2532088715000.0,3933,36872,0.2409
2015-05-14,BYKE,EQ,164.9,164.6,164.7,159.8,164.35,163.75,162.34,153919,2498737985000.0,2712,41239,0.26789999999999997
2015-05-15,BYKE,EQ,163.75,164.0,167.2,160.4,167.05,166.6,163.46,157107,2568120500000.0,2489,35953,0.2288
2015-05-18,BYKE,EQ,166.6,166.85,172.0,166.75,171.95,171.15,169.32,156188,2644525760000.0,2318,35283,0.2259
2015-05-19,BYKE,EQ,171.15,170.4,170.55,167.1,169.35,169.4,168.96,160819,2717224770000.0,2798,35921,0.22340000000000002
2015-05-20,BYKE,EQ,169.4,170.1,174.4,169.65,174.25,173.3,172.35,218400,3764036660000.0,2557,49713,0.22760000000000002
2015-05-21,BYKE,EQ,173.3,173.95,174.1,170.0,170.1,170.4,171.79,161733,2778405220000.0,3027,38160,0.2359
2015-05-22,BYKE,EQ,170.4,170.2,173.1,168.35,172.9,172.75,170.59,152179,2596083160000.0,1927,44407,0.2918
2015-05-25,BYKE,EQ,172.75,172.0,172.2,168.25,169.1,168.95,170.38,150138,2558061825000.0,2249,38772,0.2582
2015-05-26,BYKE,EQ,168.95,168.35,168.5,164.65,165.6,165.5,166.24,154227,2563823515000.0,2991,35976,0.23329999999999998
2015-05-27,BYKE,EQ,165.5,164.85,166.45,162.15,166.35,166.3,164.44,163510,2688789340000.0,2602,39145,0.23940000000000003
2015-05-28,BYKE,EQ,166.3,167.75,169.25,165.8,167.8,167.65,167.49,162614,2723645770000.0,1951,36876,0.2268
2015-05-29,BYKE,EQ,167.65,167.05,171.4,166.7,169.1,168.7,168.91,150467,2541506705000.0,3061,37162,0.247
2015-06-01,BYKE,EQ,168.7,167.9,168.0,162.5,162.7,163.35,165.57,164463,2723012205000.0,2805,34459,0.2095
2015-06-02,BYKE,EQ,163.35,163.7,164.9,162.05,163.75,163.65,163.74,173207,2836154610000.0,2584,34443,0.19890000000000002
2015-06-03,BYKE,EQ,163.65,163.1,163.3,160.95,162.05,162.1,162.02,168771,2734487655000.0,2552,33995,0.20140000000000002
2015-06-04,BYKE,EQ,162.1,162.55,162.65,157.35,159.35,159.0,159.53,176148,2810043860000.0,2541,36956,0.20980000000000001
2015-06-05,BYKE,EQ,159.0,158.05,160.55,156.65,157.6,158.0,158.3,177978,2817362420000.0,3019,40917,0.2299
