Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-20,CAMLINFINE,EQ,79.6,83.45,87.8,81.0,86.55,86.3,84.96,209065,1776261555000.0,2342,48239,0.23070000000000002
2015-01-21,CAMLINFINE,EQ,86.3,87.2,99.9,87.2,96.0,96.5,95.56,635079,6068794320000.0,6582,176322,0.2776
2015-01-22,CAMLINFINE,EQ,96.5,97.5,97.8,91.0,94.5,94.75,94.22,199938,1883815025000.0,1837,96142,0.48090000000000005
2015-01-23,CAMLINFINE,EQ,94.75,95.0,95.0,90.4,90.55,91.15,92.88,57503,534115145000.0,716,26279,0.457
2015-01-27,CAMLINFINE,EQ,91.15,94.95,94.95,89.5,91.45,90.7,90.22,59752,539093950000.0,428,46155,0.7724
2015-01-28,CAMLINFINE,EQ,90.7,92.5,95.0,89.2,90.4,90.05,91.14,109831,1000964740000.0,980,63999,0.5827
2015-01-29,CAMLINFINE,EQ,90.05,90.7,93.9,90.0,90.95,90.5,91.45,38106,348483595000.0,466,22786,0.598
2015-01-30,CAMLINFINE,EQ,90.5,90.6,92.0,90.0,90.55,90.15,90.78,22531,204533150000.0,241,14763,0.6552
2015-02-02,CAMLINFINE,EQ,90.15,90.0,95.0,89.65,93.7,93.6,91.86,48790,448178205000.0,530,32958,0.6755
2015-02-03,CAMLINFINE,EQ,93.6,91.0,95.25,91.0,93.9,93.6,93.34,19723,184090085000.0,440,10041,0.5091
2015-02-04,CAMLINFINE,EQ,93.6,94.95,104.8,92.8,101.8,101.15,100.97,233064,2353186835000.0,3158,113127,0.4854
2015-02-05,CAMLINFINE,EQ,101.15,102.7,103.0,95.35,96.05,96.95,99.53,89709,892872094999.9999,1653,47565,0.5302
2015-02-06,CAMLINFINE,EQ,96.95,96.15,103.05,90.4,100.4,98.8,98.8,183092,1808934689999.9998,1975,98308,0.5369
2015-02-09,CAMLINFINE,EQ,98.8,97.0,97.0,91.25,92.85,92.6,93.87,62770,589204565000.0,1229,31855,0.5075000000000001
2015-02-10,CAMLINFINE,EQ,92.6,93.3,96.0,92.0,93.9,93.4,94.0,33675,316546265000.0,969,14346,0.42600000000000005
2015-02-11,CAMLINFINE,EQ,93.4,95.35,96.0,91.05,93.35,93.1,94.24,35677,336207505000.0,582,26298,0.7371
2015-02-12,CAMLINFINE,EQ,93.1,94.0,94.0,92.2,93.9,92.6,92.93,23750,220716220000.00003,314,13832,0.5824
2015-02-13,CAMLINFINE,EQ,92.6,93.55,95.45,92.1,94.1,94.15,93.78,15613,146417090000.0,298,10109,0.6475
2015-02-16,CAMLINFINE,EQ,94.15,94.1,98.0,92.45,93.15,93.4,93.94,20207,189824600000.0,441,11716,0.5798
2015-02-18,CAMLINFINE,EQ,93.4,95.5,95.5,92.5,92.5,93.5,93.73,20032,187756380000.0,298,14960,0.7468000000000001
2015-02-19,CAMLINFINE,EQ,93.5,93.5,93.5,88.5,89.85,90.4,91.07,48832,444737420000.0,678,34608,0.7087000000000001
2015-02-20,CAMLINFINE,EQ,90.4,91.1,93.4,85.1,90.05,90.35,90.15,89756,809118845000.0,457,77421,0.8626
2015-02-23,CAMLINFINE,EQ,90.35,89.6,91.8,89.5,90.2,90.2,90.73,18896,171439455000.0,340,12867,0.6809000000000001
2015-02-24,CAMLINFINE,EQ,90.2,90.0,91.9,89.2,90.1,90.05,90.4,19675,177853420000.0,427,15078,0.7664
2015-02-25,CAMLINFINE,EQ,90.05,90.2,92.0,89.65,90.95,90.2,90.6,24404,221106754999.99997,375,18944,0.7763
2015-02-26,CAMLINFINE,EQ,90.2,91.2,91.95,89.6,90.0,90.0,90.13,40409,364207995000.0,301,34942,0.8647
2015-02-27,CAMLINFINE,EQ,90.0,90.9,91.5,78.1,90.0,90.5,89.24,40394,360485855000.0,593,24809,0.6142000000000001
2015-02-28,CAMLINFINE,EQ,90.5,90.0,91.35,88.35,90.1,90.4,90.08,23332,210168985000.0,307,21012,0.9006000000000001
2015-03-02,CAMLINFINE,EQ,90.4,89.55,90.5,87.65,90.2,89.5,89.37,41921,374630800000.0,318,34615,0.8257
2015-03-03,CAMLINFINE,EQ,89.5,90.5,103.0,89.1,100.9,98.55,96.32,118863,1144844365000.0,900,82768,0.6962999999999999
2015-03-04,CAMLINFINE,EQ,98.55,102.8,104.0,94.0,95.0,95.2,100.11,93605,937116030000.0001,1443,57494,0.6142000000000001
2015-03-05,CAMLINFINE,EQ,95.2,94.0,103.8,94.0,100.0,99.1,100.54,144286,1450602160000.0,1760,82991,0.5752
2015-03-09,CAMLINFINE,EQ,99.1,99.0,99.1,95.9,97.95,98.0,97.68,24282,237185120000.00003,421,16850,0.6939000000000001
2015-03-10,CAMLINFINE,EQ,98.0,98.1,100.45,97.2,97.2,98.1,99.27,49927,495610750000.0,489,40672,0.8146
2015-03-11,CAMLINFINE,EQ,98.1,98.0,99.25,95.35,96.3,96.7,97.05,13529,131304814999.99998,311,8943,0.6609999999999999
2015-03-12,CAMLINFINE,EQ,96.7,98.75,98.75,95.2,95.3,95.8,96.85,26466,256317335000.0,340,16980,0.6416
2015-03-13,CAMLINFINE,EQ,95.8,97.4,97.4,93.3,94.75,94.1,95.63,13558,129658314999.99998,285,9060,0.6681999999999999
2015-03-16,CAMLINFINE,EQ,94.1,91.7,96.4,90.8,92.25,92.2,92.33,38038,351198295000.0,523,24338,0.6398
2015-03-17,CAMLINFINE,EQ,92.2,91.0,94.0,91.0,91.2,92.35,92.43,17711,163699625000.0,216,13989,0.7898000000000001
2015-03-18,CAMLINFINE,EQ,92.35,91.75,93.5,91.5,91.55,91.75,92.06,10511,96762190000.0,161,8522,0.8108
2015-03-19,CAMLINFINE,EQ,91.75,92.8,94.0,91.5,92.0,92.8,92.29,25210,232673650000.0,281,19396,0.7694
2015-03-20,CAMLINFINE,EQ,92.8,92.5,92.5,87.55,88.95,89.0,90.19,25193,227225990000.0,349,18404,0.7305
2015-03-23,CAMLINFINE,EQ,89.0,88.8,89.45,84.0,85.15,85.1,85.79,34057,292165160000.0,535,22518,0.6612
2015-03-24,CAMLINFINE,EQ,85.1,85.1,89.0,84.1,88.9,87.0,85.53,31037,265445045000.00003,359,25772,0.8304
2015-03-25,CAMLINFINE,EQ,87.0,86.9,86.9,82.0,82.55,82.8,83.58,36992,309171360000.0,376,24430,0.6604000000000001
2015-03-26,CAMLINFINE,EQ,82.8,82.6,84.0,78.85,80.1,80.6,80.73,37770,304920455000.0,677,26810,0.7098000000000001
2015-03-27,CAMLINFINE,EQ,80.6,82.0,87.9,82.0,87.8,85.8,85.05,29123,247693479999.99997,585,16147,0.5544
2015-03-30,CAMLINFINE,EQ,85.8,86.5,88.0,84.1,87.55,87.7,86.81,14800,128472814999.99998,233,9227,0.6234000000000001
2015-03-31,CAMLINFINE,EQ,87.7,88.0,91.0,86.5,86.6,87.95,88.67,22943,203433010000.0,206,17703,0.7716
2015-04-01,CAMLINFINE,EQ,87.95,89.5,91.4,87.5,90.95,91.1,89.99,32027,288226510000.0,313,24509,0.7653
2015-04-06,CAMLINFINE,EQ,91.1,93.0,93.0,90.0,91.0,91.25,90.81,13692,124331430000.0,267,10097,0.7373999999999999
2015-04-07,CAMLINFINE,EQ,91.25,90.0,97.5,90.0,96.4,95.5,94.22,43228,407282615000.0,771,30700,0.7101999999999999
2015-04-08,CAMLINFINE,EQ,95.5,95.1,100.95,95.1,97.25,97.15,98.69,44826,442405580000.0,911,30419,0.6786
2015-04-09,CAMLINFINE,EQ,97.15,99.0,99.9,96.15,97.7,97.95,98.47,46328,456190330000.0,427,31017,0.6695000000000001
2015-04-10,CAMLINFINE,EQ,97.95,99.8,99.8,96.9,97.1,97.55,97.7,24320,237601465000.0,278,16637,0.6840999999999999
2015-04-13,CAMLINFINE,EQ,97.55,99.9,99.9,95.0,98.25,96.4,96.88,56563,547983180000.0,911,36596,0.647
2015-04-15,CAMLINFINE,EQ,96.4,98.9,100.5,96.2,97.15,96.85,98.07,64453,632104700000.0,626,47641,0.7392000000000001
2015-04-16,CAMLINFINE,EQ,96.85,100.85,100.85,95.1,95.75,96.0,96.39,20492,197530855000.0,275,18023,0.8795000000000001
2015-04-17,CAMLINFINE,EQ,96.0,96.05,98.55,93.75,93.75,94.15,95.2,19152,182335445000.0,375,13966,0.7292000000000001
2015-04-20,CAMLINFINE,EQ,94.15,95.0,95.0,89.15,90.5,89.95,91.11,26510,241538379999.99997,468,17821,0.6722
2015-04-21,CAMLINFINE,EQ,89.95,92.0,92.0,88.8,89.15,89.15,89.93,12073,108576470000.0,169,9159,0.7586
2015-04-22,CAMLINFINE,EQ,89.15,90.0,91.9,85.1,89.15,88.2,88.44,31553,279061490000.0,401,18036,0.5716
2015-04-23,CAMLINFINE,EQ,88.2,88.5,91.4,87.0,90.0,90.15,89.94,17342,155979935000.0,280,11638,0.6711
2015-04-24,CAMLINFINE,EQ,90.15,89.4,90.25,85.55,87.65,86.0,88.32,18991,167721255000.0,179,15062,0.7931
2015-04-27,CAMLINFINE,EQ,86.0,89.7,89.7,82.5,84.45,83.85,84.15,20434,171944150000.0,414,14055,0.6878000000000001
2015-04-28,CAMLINFINE,EQ,83.85,83.0,86.8,82.25,86.0,85.85,85.13,8459,72011105000.0,203,4998,0.5908
2015-04-29,CAMLINFINE,EQ,85.85,86.5,91.0,85.2,88.6,89.65,88.82,15184,134867305000.0,420,9776,0.6437999999999999
2015-04-30,CAMLINFINE,EQ,89.65,89.0,91.0,85.65,90.3,89.6,89.46,15617,139716880000.0,203,13587,0.87
2015-05-04,CAMLINFINE,EQ,89.6,90.5,93.0,89.65,93.0,92.35,91.15,10559,96244075000.0,186,7358,0.6968000000000001
2015-05-05,CAMLINFINE,EQ,92.35,94.8,94.8,92.0,93.0,92.5,92.4,8281,76513790000.0,120,6217,0.7508
2015-05-06,CAMLINFINE,EQ,92.5,92.05,92.7,88.0,89.0,88.5,89.16,9628,85845610000.0,163,7367,0.7652
2015-05-07,CAMLINFINE,EQ,88.5,88.0,88.0,85.3,86.05,86.25,86.5,10716,92689940000.0,174,9146,0.8534999999999999
2015-05-08,CAMLINFINE,EQ,86.25,88.5,91.4,85.1,85.5,86.3,87.48,32715,286191385000.0,361,13477,0.41200000000000003
