Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-09-25,CAPACITE,EQ,250.0,399.0,399.0,335.0,341.9,342.55,361.09,18583678,671031868555000.0,279779,5129001,0.276
2017-09-26,CAPACITE,EQ,342.55,345.5,352.85,328.65,336.7,337.9,341.52,3365236,114931204709999.98,55478,622846,0.18510000000000001
2017-09-27,CAPACITE,EQ,337.9,340.25,371.0,338.05,348.5,346.55,356.34,6497799,231543514315000.0,104938,1188703,0.1829
2017-09-28,CAPACITE,EQ,346.55,351.4,360.8,347.2,350.45,350.75,353.48,1683894,59522734785000.0,28524,413636,0.24559999999999998
2017-09-29,CAPACITE,EQ,350.75,354.0,357.0,334.2,338.7,338.55,345.45,1762286,60878374865000.0,28298,628584,0.3567
2017-10-03,CAPACITE,EQ,338.55,342.45,344.3,330.35,333.25,333.0,337.06,928415,31293019435000.004,18444,352290,0.37950000000000006
2017-10-04,CAPACITE,EQ,333.0,333.0,343.8,327.0,334.8,335.0,336.82,1186339,39958648535000.0,20021,309458,0.2609
2017-10-05,CAPACITE,EQ,335.0,335.1,341.95,328.65,335.5,333.8,334.79,925080,30970649685000.004,19165,301967,0.3264
2017-10-06,CAPACITE,EQ,333.8,336.1,341.8,334.35,334.8,335.95,337.46,552732,18652612090000.0,10228,267530,0.484
2017-10-09,CAPACITE,EQ,335.95,337.0,344.4,334.3,335.2,335.9,338.56,570999,19331954875000.0,9423,177288,0.3105
2017-10-10,CAPACITE,EQ,335.9,337.95,341.0,335.1,336.75,337.05,337.41,494464,16683615940000.0,7879,200341,0.40520000000000006
2017-10-11,CAPACITE,EQ,337.05,338.8,358.4,337.05,339.8,341.2,347.37,2129120,73959624425000.0,33332,549345,0.258
2017-10-12,CAPACITE,EQ,341.2,343.75,351.8,340.45,349.25,347.9,347.46,938113,32595932410000.004,15048,359018,0.38270000000000004
2017-10-13,CAPACITE,EQ,347.9,348.0,354.65,341.55,343.7,343.85,347.95,537415,18699305345000.0,8454,219090,0.40770000000000006
2017-10-16,CAPACITE,EQ,343.85,346.25,346.25,340.1,343.3,342.7,342.59,382463,13102749475000.0,5245,196940,0.5149
2017-10-17,CAPACITE,EQ,342.7,342.0,348.35,338.85,343.9,343.55,343.62,343012,11786524435000.0,6375,114066,0.3325
2017-10-18,CAPACITE,EQ,343.55,343.8,349.65,340.05,343.05,342.2,343.93,431984,14857061100000.0,7074,135111,0.3128
2017-10-19,CAPACITE,EQ,342.2,341.0,344.75,341.0,341.5,342.0,342.73,110498,3787094579999.9995,2156,72581,0.6569
2017-10-23,CAPACITE,EQ,342.0,344.5,349.0,341.55,342.5,342.25,344.57,330343,11382724360000.0,6337,146553,0.4436
2017-10-24,CAPACITE,EQ,342.25,344.85,347.8,339.15,339.6,340.75,342.72,328429,11255945405000.0,5903,162351,0.4943
2017-10-25,CAPACITE,EQ,340.75,343.5,343.5,336.0,337.55,337.3,338.15,310284,10492256765000.0,10543,180096,0.5804
2017-10-26,CAPACITE,EQ,337.3,338.4,340.0,334.5,335.0,335.15,336.22,284117,9552485695000.0,6350,159757,0.5623
2017-10-27,CAPACITE,EQ,335.15,335.5,338.75,334.0,334.95,334.95,335.52,282978,9494412215000.0,8222,168093,0.594
2017-10-30,CAPACITE,EQ,334.95,336.3,342.6,335.0,337.75,337.3,338.36,250712,8483214655000.0,7574,109992,0.4387
2017-10-31,CAPACITE,EQ,337.3,338.7,341.5,335.0,337.5,336.15,336.91,350283,11801356640000.0,7994,204614,0.5841
2017-11-01,CAPACITE,EQ,336.15,338.0,347.0,337.05,338.9,339.4,340.86,730996,24917005665000.0,17031,353185,0.4832
2017-11-02,CAPACITE,EQ,339.4,340.9,355.0,340.5,350.0,349.05,348.92,1158849,40434228845000.0,19089,502918,0.434
2017-11-03,CAPACITE,EQ,349.05,352.0,371.9,351.45,371.0,368.1,362.72,1817580,65927610045000.01,27030,757649,0.4168
2017-11-06,CAPACITE,EQ,368.1,372.0,389.15,372.0,383.6,382.7,381.82,2115488,80774214725000.0,36252,814884,0.38520000000000004
2017-11-07,CAPACITE,EQ,382.7,384.9,388.0,360.0,366.0,365.5,371.75,798170,29671687750000.0,13135,379822,0.47590000000000005
2017-11-08,CAPACITE,EQ,365.5,366.9,378.4,363.35,373.0,371.7,371.72,642996,23901468650000.0,12253,294754,0.45840000000000003
2017-11-09,CAPACITE,EQ,371.7,374.0,379.85,355.7,360.4,360.85,366.6,894594,32796062850000.0,13303,317239,0.3546
2017-11-10,CAPACITE,EQ,360.85,360.0,360.4,343.05,352.05,350.9,351.29,460898,16191055169999.998,10857,247642,0.5373
2017-11-13,CAPACITE,EQ,350.9,352.3,356.7,345.05,348.2,347.9,349.05,561256,19590427695000.0,4663,407616,0.7263
2017-11-14,CAPACITE,EQ,347.9,348.0,350.9,340.0,340.0,341.45,344.41,265658,9149438850000.0,4937,155560,0.5856
2017-11-15,CAPACITE,EQ,341.45,343.0,346.9,324.1,333.35,332.65,337.45,375780,12680548175000.0,7783,190476,0.5069
2017-11-16,CAPACITE,EQ,332.65,337.0,337.0,330.0,330.65,330.7,331.71,349092,11579596165000.0,11037,233315,0.6683
2017-11-17,CAPACITE,EQ,330.7,335.9,345.85,335.0,343.7,343.5,342.18,398436,13633747255000.002,7572,196240,0.4925
