Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,CARBORUNIV,EQ,231.2,225.0,241.0,225.0,229.1,229.3,232.52,44308,1030244340000.0,,26091,0.5889
2010-10-05,CARBORUNIV,EQ,229.3,230.0,232.0,226.0,228.0,229.6,228.96,131468,3010037105000.0,,120322,0.9152
2010-10-06,CARBORUNIV,EQ,229.6,225.0,237.7,225.0,236.0,235.1,234.71,22983,539435715000.00006,,20160,0.8772
2010-10-07,CARBORUNIV,EQ,235.1,234.0,243.5,233.6,241.05,241.1,240.65,30061,723417060000.0,,19722,0.6561
2010-10-08,CARBORUNIV,EQ,241.1,238.05,247.0,238.0,238.0,238.5,241.63,15118,365299550000.0,,8754,0.579
2010-10-11,CARBORUNIV,EQ,238.5,237.0,245.9,237.0,243.55,242.35,242.67,9899,240214620000.00003,,7000,0.7071
2010-10-12,CARBORUNIV,EQ,242.35,240.0,244.0,236.3,240.0,239.5,238.64,6707,160052775000.0,,3778,0.5633
2010-10-13,CARBORUNIV,EQ,239.5,237.0,258.8,237.0,249.35,248.8,251.55,53394,1343138330000.0,,33417,0.6259
2010-10-14,CARBORUNIV,EQ,248.8,245.0,249.0,243.1,243.1,243.9,247.11,7807,192915305000.0,,5661,0.7251000000000001
2010-10-15,CARBORUNIV,EQ,243.9,242.0,246.05,238.0,238.5,238.9,242.72,11486,278782915000.0,,9364,0.8153
2010-10-18,CARBORUNIV,EQ,238.9,237.0,238.0,229.0,233.0,231.95,231.58,8575,198577325000.0,,4988,0.5817
2010-10-19,CARBORUNIV,EQ,231.95,230.4,230.5,228.05,228.2,229.65,229.89,16318,375136850000.0,,11464,0.7025
2010-10-20,CARBORUNIV,EQ,229.65,227.0,241.0,227.0,235.1,235.1,239.02,82789,1978785005000.0,,67192,0.8116
2010-10-21,CARBORUNIV,EQ,235.1,232.0,249.75,232.0,249.0,248.9,242.46,89109,2160493330000.0,,48306,0.5421
2010-10-22,CARBORUNIV,EQ,248.9,250.3,255.2,245.0,249.9,246.65,251.18,53461,1342845700000.0,,25123,0.46990000000000004
2010-10-25,CARBORUNIV,EQ,246.65,247.0,252.8,242.0,248.0,250.15,249.31,23032,574203870000.0,,11395,0.4947
2010-10-26,CARBORUNIV,EQ,250.15,247.0,250.0,245.1,245.35,245.45,248.38,9689,240657510000.0,,5999,0.6192000000000001
2010-10-27,CARBORUNIV,EQ,245.45,248.8,248.8,241.0,242.1,244.05,243.61,9269,225802354999.99997,,6119,0.6602
2010-10-28,CARBORUNIV,EQ,244.05,248.0,256.0,245.05,255.0,255.0,253.77,57225,1452223285000.0,,48493,0.8473999999999999
2010-10-29,CARBORUNIV,EQ,255.0,253.0,260.6,253.0,257.0,258.35,257.88,80670,2080312260000.0002,,68908,0.8542000000000001
2010-11-01,CARBORUNIV,EQ,258.35,259.0,265.0,252.05,261.0,263.6,261.38,25847,675580185000.0,,19488,0.7540000000000001
2010-11-02,CARBORUNIV,EQ,263.6,267.7,267.7,243.6,260.95,260.4,258.85,19039,492826459999.99994,,10792,0.5668
2010-11-03,CARBORUNIV,EQ,260.4,262.0,266.9,260.0,262.5,263.55,260.12,717610,18666701420000.0,,705750,0.9834999999999999
2010-11-04,CARBORUNIV,EQ,263.55,260.15,268.0,260.15,261.8,260.95,262.61,7283,191260455000.0,,5373,0.7377
2010-11-05,CARBORUNIV,EQ,260.95,261.2,266.9,257.5,265.0,263.75,263.69,7263,191515430000.0,,6907,0.951
2010-11-08,CARBORUNIV,EQ,263.75,248.0,264.8,248.0,261.0,259.2,258.6,12155,314330000000.0,,10233,0.8419
2010-11-09,CARBORUNIV,EQ,259.2,256.4,264.75,256.4,263.0,262.9,259.87,9505,247004700000.0,,7706,0.8107
2010-11-10,CARBORUNIV,EQ,262.9,260.0,262.2,257.9,257.9,259.05,259.44,10112,262342225000.0,,9195,0.9093000000000001
2010-11-11,CARBORUNIV,EQ,259.05,248.0,269.0,248.0,262.0,260.85,261.96,18053,472920645000.0,,9389,0.5201
2010-11-12,CARBORUNIV,EQ,260.85,250.1,261.95,246.2,249.0,249.75,252.5,19412,490151395000.0,,15045,0.775
2010-11-15,CARBORUNIV,EQ,249.75,240.2,253.95,240.2,253.0,250.9,249.75,14978,374069690000.0,,12604,0.8415
2010-11-16,CARBORUNIV,EQ,250.9,241.05,252.0,241.05,250.0,249.6,249.48,9607,239678360000.0,,8433,0.8778
2010-11-18,CARBORUNIV,EQ,249.6,245.0,247.9,244.0,246.4,245.4,245.24,17752,435345740000.00006,,15177,0.8549
2010-11-19,CARBORUNIV,EQ,245.4,241.0,247.0,238.05,238.1,240.6,243.24,5962,145019505000.0,,5125,0.8595999999999999
2010-11-22,CARBORUNIV,EQ,240.6,240.0,243.0,236.1,240.0,240.3,240.35,10284,247176135000.0,,7329,0.7127
2010-11-23,CARBORUNIV,EQ,240.3,237.9,240.85,232.15,236.0,236.0,235.92,3258,76863945000.0,,1739,0.5338
2010-11-24,CARBORUNIV,EQ,236.0,233.65,247.5,233.65,237.1,238.65,239.96,3257,78155090000.0,,2129,0.6537000000000001
